date,ticker,open,high,low,close,volume
2020-01-02,MNTS,9.85,9.85,9.81,9.81,600
2020-01-03,MNTS,9.84,9.85,9.84,9.85,15000
2020-01-06,MNTS,9.85,9.85,9.85,9.85,0
2020-01-07,MNTS,9.85,9.85,9.85,9.85,0
2020-01-08,MNTS,9.84,9.88,9.84,9.88,225700
2020-01-09,MNTS,9.87,9.88,9.87,9.88,309296
2020-01-10,MNTS,9.88,9.88,9.88,9.88,0
2020-01-13,MNTS,9.88,9.88,9.88,9.88,0
2020-01-14,MNTS,9.88,9.88,9.88,9.88,0
2020-01-15,MNTS,9.88,9.88,9.88,9.88,0
2020-01-16,MNTS,9.88,9.88,9.88,9.88,0
2020-01-17,MNTS,9.9,10.0,9.89,9.97,120517
2020-01-21,MNTS,9.88,9.95,9.88,9.88,58100
2020-01-22,MNTS,9.88,9.88,9.88,9.88,0
2020-01-23,MNTS,9.97,9.97,9.88,9.88,13500
2020-01-24,MNTS,9.88,9.89,9.88,9.88,15000
2020-01-27,MNTS,9.88,9.89,9.88,9.89,829579
2020-01-28,MNTS,9.89,9.89,9.89,9.89,0
2020-01-29,MNTS,9.95,9.95,9.89,9.94,109020
2020-01-30,MNTS,9.94,9.94,9.94,9.94,1
2020-01-31,MNTS,9.888,9.94,9.888,9.94,329
2020-02-03,MNTS,9.94,9.94,9.94,9.94,656
2020-02-04,MNTS,9.89,9.94,9.89,9.94,152750
2020-02-05,MNTS,9.94,9.94,9.94,9.94,0
2020-02-06,MNTS,9.9,9.9,9.9,9.9,100050
2020-02-07,MNTS,9.91,9.91,9.91,9.91,250000
2020-02-10,MNTS,9.91,9.91,9.91,9.91,200200
2020-02-11,MNTS,9.91,9.91,9.91,9.91,0
2020-02-12,MNTS,9.91,9.91,9.91,9.91,0
2020-02-13,MNTS,9.91,9.91,9.91,9.91,0
2020-02-14,MNTS,9.91,9.91,9.91,9.91,0
2020-02-18,MNTS,9.91,9.91,9.91,9.91,0
2020-02-19,MNTS,9.9,9.9,9.9,9.9,1090
2020-02-20,MNTS,9.9,9.9,9.9,9.9,0
2020-02-21,MNTS,9.9,9.9,9.9,9.9,152120
2020-02-24,MNTS,9.9,9.9,9.9,9.9,0
2020-02-25,MNTS,9.92,9.92,9.92,9.92,2650
2020-02-26,MNTS,9.92,9.92,9.92,9.92,0
2020-02-27,MNTS,9.92,9.92,9.92,9.92,0
2020-02-28,MNTS,9.92,9.92,9.85,9.85,11286
2020-03-02,MNTS,9.85,9.85,9.85,9.85,0
2020-03-03,MNTS,9.85,9.85,9.85,9.85,0
2020-03-04,MNTS,9.85,9.85,9.85,9.85,13
2020-03-05,MNTS,9.85,9.85,9.85,9.85,0
2020-03-06,MNTS,9.85,9.85,9.85,9.85,0
2020-03-09,MNTS,9.85,9.85,9.85,9.85,3831
2020-03-10,MNTS,9.85,9.97,9.85,9.95,160535
2020-03-11,MNTS,9.86,9.96,9.85,9.95,141200
2020-03-12,MNTS,9.85,9.85,9.85,9.85,166416
2020-03-13,MNTS,9.8,9.8,9.77,9.77,16938
2020-03-16,MNTS,9.77,9.77,9.77,9.77,0
2020-03-17,MNTS,9.77,9.77,9.77,9.77,0
2020-03-18,MNTS,9.5,9.5,9.4,9.4,254015
2020-03-19,MNTS,9.4,9.45,9.2,9.45,1452486
2020-03-20,MNTS,9.69,9.69,9.44,9.44,126201
2020-03-23,MNTS,9.45,9.45,9.4,9.45,534400
2020-03-24,MNTS,9.45,9.45,9.45,9.45,0
2020-03-25,MNTS,9.45,9.45,9.45,9.45,0
2020-03-26,MNTS,9.6,9.6,9.6,9.6,46491
2020-03-27,MNTS,9.66,9.66,9.65,9.65,62004
2020-03-30,MNTS,9.668,9.75,9.65,9.75,60365
2020-03-31,MNTS,9.75,9.75,9.75,9.75,383
2020-04-01,MNTS,9.75,9.75,9.75,9.75,0
2020-04-02,MNTS,9.652,9.7,9.652,9.7,268881
