date,ticker,open,high,low,close,volume
2021-07-09,MRDB,9.7,9.71,9.7,9.71,600
2021-07-12,MRDB,9.85,9.85,9.57,9.65,21401
2021-07-13,MRDB,9.77,9.77,9.65,9.65,201800
2021-07-14,MRDB,9.6799,9.68,9.649,9.68,2419
2021-07-15,MRDB,9.72,9.72,9.625,9.63,31878
2021-07-16,MRDB,9.63,9.64,9.6,9.64,3090
2021-07-19,MRDB,9.65,9.65,9.61,9.61,400
2021-07-20,MRDB,9.6384,9.64,9.6,9.6,6904
2021-07-21,MRDB,9.64,9.64,9.6,9.64,48766
2021-07-22,MRDB,9.64,9.64,9.64,9.64,80
2021-07-23,MRDB,9.64,9.65,9.6,9.64,3810
2021-07-26,MRDB,9.64,9.64,9.64,9.64,0
2021-07-27,MRDB,9.62,9.62,9.62,9.62,371
2021-07-28,MRDB,9.65,9.68,9.65,9.68,8534
2021-07-29,MRDB,9.68,9.68,9.68,9.68,72
2021-07-30,MRDB,9.68,9.68,9.68,9.68,50
2021-08-02,MRDB,9.68,9.68,9.68,9.68,1
2021-08-03,MRDB,9.68,9.68,9.68,9.68,77
2021-08-04,MRDB,9.64,9.68,9.64,9.68,501252
2021-08-05,MRDB,9.9,9.9,9.68,9.68,2264
2021-08-06,MRDB,9.68,9.68,9.68,9.68,0
2021-08-09,MRDB,9.7,9.7,9.7,9.7,2550
2021-08-10,MRDB,9.7,9.7,9.7,9.7,18
2021-08-11,MRDB,9.7,9.7,9.7,9.7,32
2021-08-12,MRDB,9.65,9.65,9.6491,9.6491,6239
2021-08-13,MRDB,9.6491,9.6491,9.6491,9.6491,30
2021-08-16,MRDB,9.62,9.62,9.62,9.62,101
2021-08-17,MRDB,9.62,9.625,9.5963,9.625,27702
2021-08-18,MRDB,9.625,9.625,9.625,9.625,35
2021-08-19,MRDB,9.69,9.69,9.61,9.61,3276
2021-08-20,MRDB,9.6,9.61,9.59,9.6,4118
2021-08-23,MRDB,9.63,9.63,9.63,9.63,100
2021-08-24,MRDB,9.63,9.63,9.63,9.63,0
2021-08-25,MRDB,9.59,9.59,9.59,9.59,102
2021-08-26,MRDB,9.62,9.62,9.62,9.62,4434
2021-08-27,MRDB,9.62,9.62,9.62,9.62,28
2021-08-30,MRDB,9.62,9.62,9.62,9.62,25
2021-08-31,MRDB,9.62,9.62,9.62,9.62,0
2021-09-01,MRDB,9.62,9.62,9.62,9.62,12
2021-09-02,MRDB,9.62,9.62,9.62,9.62,8
2021-09-03,MRDB,9.5999,9.61,9.5999,9.61,9039
2021-09-07,MRDB,9.6184,9.62,9.6,9.6,2976
2021-09-08,MRDB,9.615,9.615,9.61,9.61,2112
2021-09-09,MRDB,9.62,9.62,9.6,9.61,1000
2021-09-10,MRDB,9.6,9.6199,9.6,9.6199,2701
2021-09-13,MRDB,9.62,9.62,9.62,9.62,584
2021-09-14,MRDB,9.63,9.66,9.63,9.65,123358
2021-09-15,MRDB,9.66,9.6601,9.66,9.66,5670
2021-09-16,MRDB,9.66,9.66,9.65,9.66,10322
2021-09-17,MRDB,9.66,9.7,9.65,9.655,581717
2021-09-20,MRDB,9.6797,9.6818,9.66,9.66,1816
2021-09-21,MRDB,9.66,9.66,9.66,9.66,5
2021-09-22,MRDB,9.68,9.68,9.64,9.65,21100
2021-09-23,MRDB,9.68,9.68,9.63,9.65,5506
2021-09-24,MRDB,9.65,9.65,9.65,9.65,1104
2021-09-27,MRDB,9.65,9.65,9.65,9.65,400
2021-09-28,MRDB,9.65,9.68,9.64,9.68,43958
2021-09-29,MRDB,9.645,9.65,9.645,9.65,500
2021-09-30,MRDB,9.65,9.66,9.65,9.66,3008
2021-10-01,MRDB,9.66,9.66,9.6566,9.6566,2064
2021-10-04,MRDB,9.68,9.7,9.65,9.7,39029
2021-10-05,MRDB,9.6518,9.7,9.6518,9.69,4420
2021-10-06,MRDB,9.7535,9.77,9.73,9.73,22584
2021-10-07,MRDB,9.77,9.77,9.72,9.77,1601
2021-10-08,MRDB,9.7581,9.7581,9.7581,9.7581,326
2021-10-11,MRDB,9.7581,9.7581,9.7581,9.7581,4
2021-10-12,MRDB,9.77,9.77,9.77,9.77,131
2021-10-13,MRDB,9.77,9.77,9.77,9.77,1
2021-10-14,MRDB,9.75,9.75,9.75,9.75,210
2021-10-15,MRDB,9.75,9.75,9.75,9.75,16
2021-10-18,MRDB,9.75,9.75,9.75,9.75,6
2021-10-19,MRDB,9.75,9.75,9.75,9.75,11
2021-10-20,MRDB,9.75,9.75,9.75,9.75,31
2021-10-21,MRDB,9.7,9.7,9.7,9.7,611
2021-10-22,MRDB,9.69,9.69,9.69,9.69,15184
2021-10-25,MRDB,9.75,9.75,9.69,9.695,4406
2021-10-26,MRDB,9.68,9.7051,9.68,9.7,32157
2021-10-27,MRDB,9.68,9.68,9.68,9.68,521
2021-10-28,MRDB,9.68,9.68,9.68,9.68,9
2021-10-29,MRDB,9.7,9.7,9.7,9.7,203
2021-11-01,MRDB,9.73,9.75,9.73,9.75,932
2021-11-02,MRDB,9.745,9.745,9.7,9.7,42444
2021-11-03,MRDB,9.82,9.82,9.7,9.7,3121
