date,ticker,open,high,low,close,volume
2021-04-13,MVLA,9.8,10.11,9.8,9.9479,10285
2021-04-14,MVLA,9.935,9.935,9.79,9.82,132183
2021-04-15,MVLA,9.87,9.87,9.85,9.85,706
2021-04-16,MVLA,9.81,9.82,9.8,9.82,17180
2021-04-19,MVLA,9.81,9.89,9.8,9.8445,11780
2021-04-20,MVLA,9.81,9.82,9.8,9.82,12360
2021-04-21,MVLA,9.87,9.93,9.81,9.81,22315
2021-04-22,MVLA,9.84,9.85,9.84,9.85,16849
2021-04-23,MVLA,9.91,9.91,9.9,9.9,1279
2021-04-26,MVLA,9.9,9.9,9.9,9.9,29
2021-04-27,MVLA,9.9,9.9,9.9,9.9,175012
2021-04-28,MVLA,9.89,9.9,9.88,9.89,63756
2021-04-29,MVLA,9.99,10.0,9.98,9.99,11502
2021-04-30,MVLA,9.95,9.95,9.93,9.93,7197
2021-05-03,MVLA,9.85,10.04,9.83,10.01,2624
2021-05-04,MVLA,9.95,10.02,9.8,10.02,88146
2021-05-05,MVLA,9.8,10.01,9.8,9.96,16377
2021-05-06,MVLA,9.89,9.96,9.89,9.96,35073
2021-05-07,MVLA,9.84,9.95,9.83,9.95,395721
2021-05-10,MVLA,9.86,9.87,9.83,9.83,8484
2021-05-11,MVLA,9.83,9.83,9.79,9.79,38353
2021-05-12,MVLA,9.83,9.83,9.79,9.79,15807
2021-05-13,MVLA,9.77,9.83,9.74,9.74,646215
2021-05-14,MVLA,9.99,9.99,9.71,9.76,12747
2021-05-17,MVLA,9.73,9.75,9.7,9.7,29226
2021-05-18,MVLA,9.87,10.0,9.77,9.87,158003
2021-05-19,MVLA,9.88,9.88,9.81,9.81,3641
2021-05-20,MVLA,9.75,9.8,9.75,9.8,1288
2021-05-21,MVLA,9.7,9.81,9.7,9.8,15270
2021-05-24,MVLA,9.8,9.8,9.8,9.8,0
2021-05-25,MVLA,9.81,9.81,9.81,9.81,403
2021-05-26,MVLA,9.795,9.88,9.795,9.88,1715
2021-05-27,MVLA,9.88,9.89,9.8,9.89,11260
2021-05-28,MVLA,9.87,9.87,9.83,9.83,627
2021-06-01,MVLA,9.8,9.8,9.78,9.78,518
2021-06-02,MVLA,9.78,9.78,9.74,9.74,2471
2021-06-03,MVLA,9.73,9.76,9.73,9.76,3600
2021-06-04,MVLA,9.76,9.76,9.76,9.76,521
2021-06-07,MVLA,9.83,9.87,9.83,9.87,477
2021-06-08,MVLA,9.77,9.78,9.77,9.78,1100
2021-06-09,MVLA,9.79,9.94,9.79,9.94,20435
2021-06-10,MVLA,9.87,9.88,9.73,9.74,97303
2021-06-11,MVLA,9.76,9.84,9.74,9.76,69817
2021-06-14,MVLA,9.74,9.78,9.74,9.74,2692
2021-06-15,MVLA,9.74,9.74,9.74,9.74,0
2021-06-16,MVLA,9.79,9.86,9.71,9.86,7900
2021-06-17,MVLA,9.77,9.77,9.77,9.77,524
2021-06-18,MVLA,9.79,9.8135,9.77,9.8135,2009
2021-06-21,MVLA,9.79,9.79,9.78,9.78,401
2021-06-22,MVLA,9.78,9.78,9.78,9.78,4
2021-06-23,MVLA,9.76,9.76,9.76,9.76,1459
2021-06-24,MVLA,9.77,9.77,9.77,9.77,208
2021-06-25,MVLA,9.76,9.78,9.75,9.75,808
2021-06-28,MVLA,9.76,9.79,9.75,9.75,3805
2021-06-29,MVLA,9.75,9.75,9.75,9.75,7
2021-06-30,MVLA,9.81,9.81,9.74,9.74,734
2021-07-01,MVLA,9.81,9.81,9.71,9.76,6384
2021-07-02,MVLA,9.89,9.89,9.89,9.89,1146
2021-07-06,MVLA,9.85,9.85,9.75,9.77,3272
2021-07-07,MVLA,9.76,9.76,9.76,9.76,222
2021-07-08,MVLA,9.81,9.81,9.75,9.75,4674
2021-07-09,MVLA,9.78,9.78,9.74,9.74,4210
2021-07-12,MVLA,9.76,9.79,9.75,9.75,190277
2021-07-13,MVLA,9.78,9.78,9.73,9.75,294045
2021-07-14,MVLA,9.76,9.77,9.75,9.75,90624
2021-07-15,MVLA,9.8929,9.8929,9.74,9.74,500293
2021-07-16,MVLA,9.91,9.96,9.85,9.91,4874184
2021-07-19,MVLA,9.9,9.92,9.87,9.91,1200291
2021-07-20,MVLA,9.93,10.0,9.9,9.935,1928541
2021-07-21,MVLA,9.9076,9.95,9.88,9.9,534293
2021-07-22,MVLA,9.91,9.95,9.882,9.92,208166
2021-07-23,MVLA,9.95,9.95,9.88,9.88,23268
2021-07-26,MVLA,9.92,9.92,9.855,9.86,209443
2021-07-27,MVLA,9.88,9.88,9.85,9.87,187198
2021-07-28,MVLA,9.88,9.88,9.85,9.86,18687
2021-07-29,MVLA,9.87,9.87,9.85,9.85,60495
2021-07-30,MVLA,9.87,9.87,9.84,9.86,2633
2021-08-02,MVLA,9.86,9.86,9.84,9.86,2755
2021-08-03,MVLA,9.83,9.86,9.83,9.83,15607
2021-08-04,MVLA,9.83,9.86,9.83,9.85,6165
2021-08-05,MVLA,9.7979,9.85,9.7979,9.84,1041
2021-08-06,MVLA,9.83,9.88,9.82,9.85,154270
2021-08-09,MVLA,9.83,9.855,9.83,9.835,45256
2021-08-10,MVLA,9.83,9.9,9.81,9.81,19250
2021-08-11,MVLA,9.79,9.91,9.79,9.9,236236
2021-08-12,MVLA,9.9,9.9,9.821,9.9,17503
2021-08-13,MVLA,9.855,9.9,9.83,9.9,12961
2021-08-16,MVLA,9.855,9.9,9.79,9.83,97415
2021-08-17,MVLA,9.82,9.89,9.8,9.83,11996
2021-08-18,MVLA,9.76,9.9,9.76,9.9,9480
2021-08-19,MVLA,9.8649,9.9,9.805,9.86,76573
2021-08-20,MVLA,9.7812,9.9,9.7812,9.88,26282
2021-08-23,MVLA,9.83,9.88,9.815,9.87,24393
2021-08-24,MVLA,9.82,9.86,9.82,9.83,31165
2021-08-25,MVLA,9.8,9.81,9.77,9.78,4724
2021-08-26,MVLA,9.8419,9.8419,9.77,9.77,6954
2021-08-27,MVLA,9.78,9.83,9.75,9.76,7784
2021-08-30,MVLA,9.7501,9.7501,9.7501,9.7501,568
2021-08-31,MVLA,9.84,9.85,9.805,9.85,12840
2021-09-01,MVLA,9.83,9.85,9.8156,9.83,16918
2021-09-02,MVLA,9.83,9.85,9.8,9.84,111105
2021-09-03,MVLA,9.85,9.85,9.85,9.85,2645
2021-09-07,MVLA,9.85,9.86,9.84,9.86,40388
2021-09-08,MVLA,9.86,9.86,9.8401,9.8401,1469
2021-09-09,MVLA,9.8425,9.8579,9.84,9.84,103403
2021-09-10,MVLA,9.8593,9.8593,9.8593,9.8593,1093
2021-09-13,MVLA,9.87,9.87,9.83,9.83,11672
2021-09-14,MVLA,9.85,9.85,9.8,9.82,8435
2021-09-15,MVLA,9.85,9.85,9.83,9.845,59785
2021-09-16,MVLA,9.85,9.85,9.83,9.83,1296
2021-09-17,MVLA,9.85,9.87,9.85,9.87,6042
2021-09-20,MVLA,9.85,9.88,9.85,9.87,4610
2021-09-21,MVLA,9.89,9.89,9.88,9.89,498528
2021-09-22,MVLA,9.86,9.9,9.86,9.9,622
2021-09-23,MVLA,9.88,9.9,9.86,9.86,2002
2021-09-24,MVLA,9.8936,9.8936,9.8936,9.8936,261
2021-09-27,MVLA,9.8632,9.885,9.8632,9.885,1092
2021-09-28,MVLA,9.9,9.9,9.88,9.89,20889
2021-09-29,MVLA,9.89,9.89,9.87,9.87,11080
2021-09-30,MVLA,9.88,9.89,9.87,9.88,321215
2021-10-01,MVLA,9.9,9.905,9.875,9.875,11643
2021-10-04,MVLA,9.9,9.9,9.87,9.9,73537
2021-10-05,MVLA,9.88,9.88,9.8701,9.8701,1362
2021-10-06,MVLA,9.8901,9.8901,9.88,9.88,72107
2021-10-07,MVLA,9.92,9.92,9.89,9.89,3933
2021-10-08,MVLA,9.908,9.908,9.895,9.895,23698
2021-10-11,MVLA,9.89,9.89,9.88,9.88,100871
2021-10-12,MVLA,9.9,9.91,9.9,9.9,14970
2021-10-13,MVLA,9.9,9.905,9.9,9.9,30572
2021-10-14,MVLA,9.92,9.92,9.92,9.92,2188
2021-10-15,MVLA,9.91,9.915,9.91,9.91,13657
2021-10-18,MVLA,9.91,9.91,9.91,9.91,318
2021-10-19,MVLA,9.91,9.915,9.91,9.91,13663
2021-10-20,MVLA,9.91,9.91,9.91,9.91,38
2021-10-21,MVLA,9.91,9.92,9.91,9.91,25376
2021-10-22,MVLA,9.91,9.92,9.91,9.92,99741
2021-10-25,MVLA,9.92,9.95,9.91,9.91,159194
2021-10-26,MVLA,9.91,9.95,9.91,9.95,192556
2021-10-27,MVLA,9.94,9.95,9.94,9.945,5118
2021-10-28,MVLA,9.94,9.94,9.935,9.94,9893
2021-10-29,MVLA,9.91,9.95,9.91,9.94,23611
2021-11-01,MVLA,9.94,9.95,9.93,9.93,271715
2021-11-02,MVLA,9.93,9.94,9.93,9.93,30675
2021-11-03,MVLA,9.935,9.97,9.93,9.94,261310
2021-11-04,MVLA,9.97,9.97,9.93,9.96,9537
2021-11-05,MVLA,9.9599,9.97,9.94,9.94,15956
2021-11-08,MVLA,9.97,9.97,9.93,9.97,7786
2021-11-09,MVLA,9.93,9.95,9.93,9.95,1069
2021-11-10,MVLA,9.93,9.96,9.93,9.94,52707
2021-11-11,MVLA,9.97,9.98,9.945,9.96,1022769
2021-11-12,MVLA,9.98,9.98,9.95,9.96,298357
2021-11-15,MVLA,9.97,9.98,9.96,9.97,58837
2021-11-16,MVLA,9.97,9.98,9.95,9.96,172003
2021-11-17,MVLA,9.97,9.98,9.94,9.94,146867
2021-11-18,MVLA,9.95,9.97,9.95,9.965,20399
2021-11-19,MVLA,9.95,9.97,9.94,9.96,142338
2021-11-22,MVLA,9.98,9.98,9.95,9.95,98258
2021-11-23,MVLA,9.96,9.96,9.92,9.93,1074339
2021-11-24,MVLA,9.95,9.97,9.935,9.95,690717
2021-11-26,MVLA,9.96,9.96,9.944,9.95,30863
2021-11-29,MVLA,9.96,9.96,9.93,9.94,1972866
2021-11-30,MVLA,9.95,9.955,9.93,9.93,258984
2021-12-01,MVLA,9.93,9.95,9.92,9.93,665548
2021-12-02,MVLA,9.94,9.949,9.83,9.84,36023
2021-12-03,MVLA,9.91,9.92,9.76,9.76,10320
2021-12-06,MVLA,9.76,9.775,9.74,9.77,2094589
2021-12-07,MVLA,9.79,9.79,9.74,9.75,51554
2021-12-08,MVLA,9.75,9.76,9.7282,9.74,96590
2021-12-09,MVLA,9.71,9.76,9.71,9.75,12366
2021-12-10,MVLA,9.74,9.76,9.74,9.76,155715
2021-12-13,MVLA,9.74,9.76,9.74,9.74,88649
