date,ticker,open,high,low,close,volume
2024-04-03,NIVF,8.721,9.15,2.38,3.01,1146700
2024-04-04,NIVF,2.79,2.8,1.29,1.5,1679002
2024-04-05,NIVF,1.42,1.44,0.97,1.0,2207378
2024-04-08,NIVF,1.05,1.05,0.8397,0.92,882836
2024-04-09,NIVF,0.9,1.05,0.821,0.9799,503362
2024-04-10,NIVF,0.98,1.08,0.9012,1.01,329858
2024-04-11,NIVF,0.9797,0.9819,0.86,0.9056,237585
2024-04-12,NIVF,0.9,0.9135,0.8322,0.8611,270508
2024-04-15,NIVF,0.85,0.8739,0.801,0.82,190347
2024-04-16,NIVF,0.79,0.79,0.6797,0.6918,283702
2024-04-17,NIVF,0.691,0.78,0.635,0.7602,335612
2024-04-18,NIVF,0.77,0.85,0.69,0.763,349920
2024-04-19,NIVF,0.7525,0.79,0.72,0.77,80710
2024-04-22,NIVF,1.12,1.89,1.09,1.28,80497648
2024-04-23,NIVF,1.45,2.95,1.39,2.23,136720560
2024-04-24,NIVF,2.04,2.1,1.53,1.55,5420596
2024-04-25,NIVF,1.52,1.87,1.3,1.3,3472648
2024-04-26,NIVF,1.56,2.39,1.45,1.78,57782845
2024-04-29,NIVF,2.0,2.23,1.86,2.04,9097012
2024-04-30,NIVF,1.92,1.95,1.52,1.75,1929665
2024-05-01,NIVF,1.67,1.67,1.53,1.6,732366
2024-05-02,NIVF,1.55,1.57,1.09,1.27,1017971
2024-05-03,NIVF,1.26,1.33,1.12,1.21,703291
2024-05-06,NIVF,1.12,1.24,1.12,1.13,380291
2024-05-07,NIVF,1.13,1.17,1.08,1.085,341928
2024-05-08,NIVF,1.21,1.95,1.16,1.51,26386380
2024-05-09,NIVF,1.45,1.67,1.4,1.43,1348967
2024-05-10,NIVF,1.32,1.34,1.18,1.28,595405
2024-05-13,NIVF,1.21,1.43,1.21,1.29,704417
2024-05-14,NIVF,1.19,1.3081,1.1,1.24,497725
2024-05-15,NIVF,1.24,1.28,1.1601,1.27,240824
2024-05-16,NIVF,1.22,1.3,1.22,1.22,231731
2024-05-17,NIVF,1.23,1.2615,1.12,1.1299,274686
2024-05-20,NIVF,1.14,1.35,1.12,1.3199,435590
2024-05-21,NIVF,1.36,1.44,1.2058,1.21,184770
2024-05-22,NIVF,1.2102,1.2994,1.1469,1.16,184201
2024-05-23,NIVF,1.17,1.2,1.085,1.14,261682
2024-05-24,NIVF,1.14,1.18,1.04,1.06,237613
2024-05-28,NIVF,1.08,1.2498,1.08,1.15,283331
2024-05-29,NIVF,1.11,1.25,1.09,1.18,151932
2024-05-30,NIVF,1.19,1.25,1.1502,1.23,192705
2024-05-31,NIVF,1.2,1.39,1.2,1.37,260834
2024-06-03,NIVF,1.37,1.57,1.36,1.38,1966700
2024-06-04,NIVF,1.28,1.29,1.1,1.14,565176
2024-06-05,NIVF,1.1,1.14,1.1,1.12,210265
2024-06-06,NIVF,1.12,1.25,1.1014,1.19,240372
2024-06-07,NIVF,1.11,1.15,1.11,1.15,114611
2024-06-10,NIVF,1.19,1.1999,1.09,1.17,125235
2024-06-11,NIVF,1.16,1.1649,1.12,1.145,69355
2024-06-12,NIVF,1.13,1.17,1.12,1.135,32363
2024-06-13,NIVF,1.15,1.17,1.0,1.06,124475
2024-06-14,NIVF,1.09,1.09,1.03,1.04,121131
2024-06-17,NIVF,1.09,1.09,0.95,0.982,124666
2024-06-18,NIVF,0.97,0.9928,0.9049,0.93,231954
2024-06-20,NIVF,0.91,0.942,0.8352,0.844,235582
2024-06-21,NIVF,0.9302,1.24,0.903,1.05,3554055
2024-06-24,NIVF,0.98,1.08,0.9,1.03,464713
2024-06-25,NIVF,1.02,1.09,0.9902,1.08,342332
2024-06-26,NIVF,1.03,1.08,1.01,1.015,171053
2024-06-27,NIVF,1.01,1.03,0.97,1.02,69887
2024-06-28,NIVF,1.0102,1.02,0.9702,0.9801,39029
2024-07-01,NIVF,0.98,1.0,0.95,0.97,54057
2024-07-02,NIVF,0.9525,0.998,0.9,0.9108,136180
