date,ticker,open,high,low,close,volume
2025-02-25,NKLAQ,0.23,0.25,0.175,0.183,37074200
2025-02-26,NKLAQ,0.13,0.299,0.13,0.2847,14906584
2025-02-27,NKLAQ,0.2251,0.2489,0.182,0.215,7906564
2025-02-28,NKLAQ,0.1911,0.229,0.162,0.201,2879526
2025-03-03,NKLAQ,0.1865,0.1949,0.175,0.1815,1961481
2025-03-04,NKLAQ,0.1725,0.189,0.162,0.1801,1938042
2025-03-05,NKLAQ,0.1791,0.191,0.1561,0.1644,1729752
2025-03-06,NKLAQ,0.1549,0.16,0.1213,0.1321,1882469
2025-03-07,NKLAQ,0.127,0.1365,0.121,0.1365,995187
2025-03-10,NKLAQ,0.145,0.149,0.121,0.13,834612
2025-03-11,NKLAQ,0.13,0.136,0.1,0.115,2053195
2025-03-12,NKLAQ,0.115,0.115,0.1006,0.1061,1229084
2025-03-13,NKLAQ,0.1101,0.136,0.1101,0.1265,938524
2025-03-14,NKLAQ,0.1184,0.13,0.105,0.1298,1056136
2025-03-17,NKLAQ,0.12,0.135,0.1055,0.116,452612
2025-03-18,NKLAQ,0.1145,0.125,0.11,0.125,348798
2025-03-19,NKLAQ,0.125,0.135,0.11,0.132,500534
2025-03-20,NKLAQ,0.132,0.135,0.11,0.1125,480795
2025-03-21,NKLAQ,0.1124,0.134,0.106,0.12,640698
2025-03-24,NKLAQ,0.115,0.1236,0.106,0.1236,467290
2025-03-25,NKLAQ,0.11,0.1275,0.1016,0.1056,1043628
2025-03-26,NKLAQ,0.11,0.11,0.0965,0.105,1074754
2025-03-27,NKLAQ,0.0962,0.109,0.0911,0.1046,857581
2025-03-28,NKLAQ,0.11,0.244,0.0993,0.1046,857581
2025-03-31,NKLAQ,0.22,0.23,0.1222,0.1275,4764660
2025-04-01,NKLAQ,0.13,0.1689,0.1215,0.144,2340729
2025-04-02,NKLAQ,0.144,0.145,0.13,0.133,803011
2025-04-03,NKLAQ,0.1337,0.14,0.129,0.139,1120792
2025-04-04,NKLAQ,0.1371,0.144,0.124,0.144,1077841
2025-04-07,NKLAQ,0.138,0.1632,0.12,0.135,959500
2025-04-08,NKLAQ,0.125,0.151,0.12,0.125,725925
2025-04-09,NKLAQ,0.1239,0.149,0.12,0.1325,823693
2025-04-10,NKLAQ,0.125,0.13,0.115,0.121,634923
2025-04-11,NKLAQ,0.1208,0.1239,0.09,0.115,2545434
2025-04-14,NKLAQ,0.1055,0.12,0.1012,0.1099,634274
2025-04-15,NKLAQ,0.1032,0.1199,0.1015,0.1142,635019
