date,ticker,open,high,low,close,volume
2021-09-20,NOGNQ,9.9639,9.9639,9.9594,9.9594,740
2021-09-21,NOGNQ,9.77,9.85,9.77,9.85,10603
2021-09-22,NOGNQ,9.7905,9.7905,9.7905,9.7905,389
2021-09-23,NOGNQ,9.7911,9.83,9.7911,9.83,31156
2021-09-24,NOGNQ,9.8419,9.86,9.83,9.83,61449
2021-09-27,NOGNQ,9.83,9.91,9.83,9.87,59553
2021-09-28,NOGNQ,9.85,9.85,9.83,9.85,67129
2021-09-29,NOGNQ,9.85,9.92,9.85,9.9,1085700
2021-09-30,NOGNQ,9.9,9.9,9.9,9.9,0
2021-10-01,NOGNQ,9.86,9.86,9.86,9.86,550
2021-10-04,NOGNQ,9.88,9.88,9.85,9.85,8065
2021-10-05,NOGNQ,9.85,9.85,9.85,9.85,26802
2021-10-06,NOGNQ,9.85,9.85,9.85,9.85,4
2021-10-07,NOGNQ,9.85,9.86,9.85,9.86,30015
2021-10-08,NOGNQ,9.85,9.86,9.85,9.85,400
2021-10-11,NOGNQ,9.92,9.92,9.85,9.85,107144
2021-10-12,NOGNQ,9.85,9.85,9.85,9.85,273
2021-10-13,NOGNQ,9.86,9.885,9.85,9.85,4117
2021-10-14,NOGNQ,9.86,9.86,9.86,9.86,243
2021-10-15,NOGNQ,9.86,9.86,9.86,9.86,63
2021-10-18,NOGNQ,9.86,9.86,9.85,9.85,32137
2021-10-19,NOGNQ,9.85,9.85,9.85,9.85,1039
2021-10-20,NOGNQ,9.85,9.8699,9.85,9.8699,1004
2021-10-21,NOGNQ,9.8699,9.8699,9.8699,9.8699,28
2021-10-22,NOGNQ,9.85,9.85,9.85,9.85,159
2021-10-25,NOGNQ,9.855,9.86,9.85,9.86,10804
2021-10-26,NOGNQ,9.8596,9.9,9.8596,9.88,528419
2021-10-27,NOGNQ,9.85,9.89,9.85,9.87,100057
2021-10-28,NOGNQ,9.89,9.89,9.89,9.89,251
2021-10-29,NOGNQ,9.89,9.89,9.89,9.89,1
2021-11-01,NOGNQ,9.88,9.88,9.88,9.88,100
2021-11-02,NOGNQ,9.87,9.88,9.8602,9.88,151138
2021-11-03,NOGNQ,9.86,9.949,9.85,9.91,29898
2021-11-04,NOGNQ,9.9,9.9,9.9,9.9,14712
2021-11-05,NOGNQ,9.86,9.86,9.85,9.85,1604
2021-11-08,NOGNQ,9.86,9.88,9.86,9.87,724
2021-11-09,NOGNQ,9.88,9.88,9.88,9.88,100
2021-11-10,NOGNQ,9.86,9.89,9.85,9.89,517926
2021-11-11,NOGNQ,9.9,9.9,9.9,9.9,221
2021-11-12,NOGNQ,9.85,9.865,9.8484,9.85,46986
2021-11-15,NOGNQ,9.85,9.88,9.85,9.85,139749
2021-11-16,NOGNQ,9.89,9.89,9.89,9.89,115
2021-11-17,NOGNQ,9.88,9.88,9.87,9.88,3040
