date,ticker,open,high,low,close,volume
2021-08-16,OTMO,8.9,9.4814,8.1,9.23,45878
2021-08-17,OTMO,9.04,9.2,8.2,8.31,112989
2021-08-18,OTMO,8.29,8.58,7.42,7.45,129637
2021-08-19,OTMO,6.99,7.287,6.05,6.05,150339
2021-08-20,OTMO,6.0686,6.48,6.04,6.21,96335
2021-08-23,OTMO,6.52,6.89,6.3,6.65,136651
2021-08-24,OTMO,6.75,7.4,6.75,7.33,60393
2021-08-25,OTMO,7.4,7.4,6.67,6.75,34203
2021-08-26,OTMO,6.9133,6.96,6.8,6.88,32774
2021-08-27,OTMO,6.9379,7.4,6.9379,7.11,77256
2021-08-30,OTMO,7.5,7.5,6.99,7.15,23599
2021-08-31,OTMO,7.08,7.25,6.78,7.25,35729
2021-09-01,OTMO,7.25,7.4,7.25,7.31,30578
2021-09-02,OTMO,7.31,7.49,7.31,7.36,17556
2021-09-03,OTMO,7.37,7.8,7.37,7.5,17989
2021-09-07,OTMO,7.62,8.5,7.58,8.05,56551
2021-09-08,OTMO,8.05,8.5,7.9,8.04,21894
2021-09-09,OTMO,8.04,8.04,6.25,6.64,1767909
2021-09-10,OTMO,6.7,6.95,6.08,6.29,158718
2021-09-13,OTMO,6.2,6.44,6.06,6.15,62881
2021-09-14,OTMO,6.15,6.245,5.55,5.67,50637
2021-09-15,OTMO,5.75,6.24,5.49,5.66,53254
2021-09-16,OTMO,5.61,5.79,5.35,5.49,87779
2021-09-17,OTMO,5.55,6.0499,5.55,5.74,87314
2021-09-20,OTMO,5.6,5.665,4.95,5.0,182595
2021-09-21,OTMO,5.25,5.25,4.52,4.62,212482
2021-09-22,OTMO,4.8,4.89,4.62,4.77,54998
2021-09-23,OTMO,4.86,4.86,4.44,4.54,108473
2021-09-24,OTMO,4.67,4.8,4.3,4.49,447348
2021-09-27,OTMO,4.45,4.97,4.45,4.78,319067
2021-09-28,OTMO,5.1,5.1986,4.81,4.86,99076
2021-09-29,OTMO,4.95,5.05,4.57,4.73,61169
2021-09-30,OTMO,4.72,4.93,4.6101,4.78,42116
2021-10-01,OTMO,4.82,5.1,4.69,4.9,44486
2021-10-04,OTMO,5.69,6.99,4.9,4.98,3789810
2021-10-05,OTMO,5.24,5.73,5.03,5.73,921832
2021-10-06,OTMO,5.62,5.93,5.205,5.22,300199
2021-10-07,OTMO,5.4,5.65,5.14,5.21,216669
2021-10-08,OTMO,5.29,5.29,4.79,4.86,206969
2021-10-11,OTMO,4.83,5.0999,4.82,4.83,80314
2021-10-12,OTMO,4.91,5.04,4.7,4.74,123510
2021-10-13,OTMO,4.76,4.91,4.63,4.66,65800
2021-10-14,OTMO,4.63,4.8173,4.5,4.56,192426
2021-10-15,OTMO,4.62,4.62,4.43,4.44,90105
2021-10-18,OTMO,4.48,4.5294,4.37,4.41,53703
2021-10-19,OTMO,4.45,4.56,4.41,4.48,84814
2021-10-20,OTMO,4.38,4.67,4.38,4.6,61236
2021-10-21,OTMO,4.6,4.84,4.6,4.81,92813
2021-10-22,OTMO,4.8,5.0679,4.67,4.81,127739
2021-10-25,OTMO,4.84,5.05,4.84,5.0,80918
2021-10-26,OTMO,5.04,5.165,5.0,5.06,143591
2021-10-27,OTMO,5.1,5.37,5.05,5.11,83312
2021-10-28,OTMO,5.1,5.165,4.9,4.94,65888
2021-10-29,OTMO,4.9,5.03,4.78,4.84,54549
2021-11-01,OTMO,4.79,4.91,4.76,4.85,77317
2021-11-02,OTMO,4.8,5.96,4.61,4.7,2198204
2021-11-03,OTMO,4.7,4.7545,4.52,4.605,204104
2021-11-04,OTMO,4.56,4.59,3.64,4.005,2203036
2021-11-05,OTMO,4.0,4.1,3.95,4.015,829207
2021-11-08,OTMO,4.03,4.26,4.03,4.25,221478
2021-11-09,OTMO,4.3,4.35,4.09,4.18,218967
2021-11-10,OTMO,4.21,4.21,3.91,4.0,125177
2021-11-11,OTMO,4.1,4.2237,3.76,3.86,233522
2021-11-12,OTMO,3.82,3.99,3.76,3.91,174917
2021-11-15,OTMO,4.01,4.01,3.8,3.98,188808
2021-11-16,OTMO,3.96,3.96,3.8102,3.95,93734
2021-11-17,OTMO,3.88,3.95,3.8001,3.91,81896
2021-11-18,OTMO,3.93,4.1,3.81,3.97,369391
2021-11-19,OTMO,4.0,4.07,3.9,4.07,113605
2021-11-22,OTMO,4.1,4.14,3.91,4.11,136421
2021-11-23,OTMO,4.11,4.15,3.53,3.73,152909
2021-11-24,OTMO,3.7,3.761,3.6,3.67,117268
2021-11-26,OTMO,3.6,3.621,3.4,3.54,110328
2021-11-29,OTMO,3.59,3.74,3.54,3.66,157198
