date,ticker,open,high,low,close,volume
2021-03-01,PERF,10.13,10.25,10.03,10.1065,49673
2021-03-02,PERF,10.1,10.16,9.91,9.91,204110
2021-03-03,PERF,10.37,10.37,9.85,9.9,127621
2021-03-04,PERF,9.85,9.96,9.85,9.95,195747
2021-03-05,PERF,9.91,9.9847,9.85,9.95,63646
2021-03-08,PERF,10.1,10.1,9.94,10.0,43216
2021-03-09,PERF,9.95,10.12,9.95,10.01,168518
2021-03-10,PERF,9.9595,10.13,9.87,9.9,72854
2021-03-11,PERF,9.9,9.9,9.8,9.86,342367
2021-03-12,PERF,9.75,9.88,9.74,9.8,289277
2021-03-15,PERF,9.9,9.92,9.81,9.86,150187
2021-03-16,PERF,9.7825,9.9,9.7825,9.85,58062
2021-03-17,PERF,9.85,10.0,9.8056,9.93,111748
2021-03-18,PERF,9.8535,9.98,9.83,9.85,58838
2021-03-19,PERF,9.9,9.9271,9.76,9.77,48168
2021-03-22,PERF,9.75,9.81,9.75,9.77,26342
2021-03-23,PERF,9.7701,9.815,9.7,9.7,70792
2021-03-24,PERF,9.7193,9.75,9.56,9.6,322953
2021-03-25,PERF,9.57,9.66,9.52,9.63,54188
2021-03-26,PERF,9.71,9.825,9.67,9.82,35654
2021-03-29,PERF,9.8,9.8,9.6317,9.75,21714
2021-03-30,PERF,9.76,9.84,9.7113,9.79,26636
2021-03-31,PERF,9.79,9.79,9.73,9.77,41409
2021-04-01,PERF,9.8,9.93,9.75,9.76,45966
2021-04-05,PERF,9.84,9.85,9.82,9.82,53877
2021-04-06,PERF,9.84,9.86,9.77,9.81,50657
2021-04-07,PERF,9.77,9.825,9.77,9.8,33403
2021-04-08,PERF,9.81,9.86,9.8,9.86,20233
2021-04-09,PERF,9.82,9.95,9.82,9.95,10467
2021-04-12,PERF,9.85,9.85,9.8,9.82,20006
2021-04-13,PERF,9.83,9.86,9.76,9.85,94184
2021-04-14,PERF,9.8299,9.86,9.81,9.82,206219
2021-04-15,PERF,9.83,9.84,9.82,9.84,30969
2021-04-16,PERF,9.8482,9.8482,9.81,9.83,52174
2021-04-19,PERF,9.83,9.8383,9.8,9.81,9712
2021-04-20,PERF,9.8,9.93,9.8,9.8,45945
2021-04-21,PERF,9.8366,10.05,9.81,9.84,47880
2021-04-22,PERF,9.85,9.85,9.77,9.785,75199
2021-04-23,PERF,9.8,9.82,9.8,9.8,26041
2021-04-26,PERF,9.81,9.81,9.75,9.79,22246
2021-04-27,PERF,9.75,9.8,9.75,9.8,62268
2021-04-28,PERF,9.8,9.83,9.75,9.77,23459
2021-04-29,PERF,9.84,9.84,9.78,9.82,16864
2021-04-30,PERF,9.765,9.81,9.765,9.81,3421
2021-05-03,PERF,9.8,9.8,9.7618,9.8,1369
2021-05-04,PERF,9.82,9.85,9.75,9.77,17947
2021-05-05,PERF,9.8,9.82,9.8,9.8,95091
2021-05-06,PERF,9.76,9.78,9.76,9.77,10030
2021-05-07,PERF,9.82,9.82,9.76,9.79,6107
2021-05-10,PERF,9.76,9.78,9.76,9.775,15059
2021-05-11,PERF,9.75,9.78,9.75,9.78,13923
2021-05-12,PERF,9.77,9.77,9.76,9.765,10065
2021-05-13,PERF,9.75,9.765,9.7,9.74,72454
2021-05-14,PERF,9.735,9.74,9.68,9.7,127894
2021-05-17,PERF,9.68,9.7,9.63,9.7,338505
2021-05-18,PERF,9.67,9.67,9.65,9.66,21556
2021-05-19,PERF,9.66,9.66,9.65,9.66,26123
2021-05-20,PERF,9.67,9.67,9.61,9.63,296791
2021-05-21,PERF,9.64,9.65,9.64,9.65,11550
2021-05-24,PERF,9.62,9.65,9.62,9.65,35211
2021-05-25,PERF,9.64,9.65,9.64,9.65,16216
2021-05-26,PERF,9.66,9.67,9.65,9.67,14030
2021-05-27,PERF,9.64,9.64,9.64,9.64,443
2021-05-28,PERF,9.65,9.6801,9.65,9.66,22735
2021-06-01,PERF,9.65,9.7,9.65,9.68,39496
2021-06-02,PERF,9.67,9.67,9.65,9.66,50402
2021-06-03,PERF,9.65,9.66,9.65,9.65,2500
2021-06-04,PERF,9.67,9.6736,9.67,9.67,10337
2021-06-07,PERF,9.66,9.67,9.66,9.67,3860
2021-06-08,PERF,9.67,9.6897,9.66,9.68,2329
2021-06-09,PERF,9.72,9.72,9.69,9.69,3196
2021-06-10,PERF,9.68,9.71,9.68,9.7,4922
2021-06-11,PERF,9.69,9.79,9.69,9.71,25604
2021-06-14,PERF,9.65,9.73,9.65,9.73,11263
2021-06-15,PERF,9.72,9.73,9.67,9.68,27300
2021-06-16,PERF,9.67,9.7004,9.65,9.7,79767
2021-06-17,PERF,9.69,9.7,9.69,9.7,3747
2021-06-18,PERF,9.7,9.7,9.66,9.7,78242
2021-06-21,PERF,9.7,9.72,9.69,9.72,13963
2021-06-22,PERF,9.68,9.7,9.65,9.7,17151
2021-06-23,PERF,9.71,9.71,9.68,9.68,113656
2021-06-24,PERF,9.67,9.7068,9.67,9.68,3553
2021-06-25,PERF,9.72,9.72,9.7,9.7,1155
2021-06-28,PERF,9.68,9.7,9.65,9.65,15247
2021-06-29,PERF,9.7,9.707,9.68,9.68,232960
2021-06-30,PERF,9.68,9.7,9.68,9.68,11070
2021-07-01,PERF,9.71,9.71,9.67,9.69,13200
2021-07-02,PERF,9.68,9.68,9.67,9.67,6092
2021-07-06,PERF,9.68,9.7,9.67,9.68,17008
2021-07-07,PERF,9.65,9.68,9.65,9.66,30251
2021-07-08,PERF,9.65,9.7,9.65,9.68,419842
2021-07-09,PERF,9.67,9.69,9.58,9.67,32686
2021-07-12,PERF,9.72,9.72,9.72,9.72,625
2021-07-13,PERF,9.66,9.69,9.66,9.68,8279
2021-07-14,PERF,9.69,9.7,9.66,9.68,56497
2021-07-15,PERF,9.7,9.71,9.65,9.65,32299
2021-07-16,PERF,9.69,9.69,9.68,9.68,29252
2021-07-19,PERF,9.63,9.68,9.63,9.67,40830
2021-07-20,PERF,9.68,9.68,9.65,9.68,14497
2021-07-21,PERF,9.66,9.67,9.66,9.67,4261
2021-07-22,PERF,9.73,9.73,9.66,9.67,9912
2021-07-23,PERF,9.66,9.73,9.66,9.73,22552
2021-07-26,PERF,9.67,9.67,9.65,9.66,188225
2021-07-27,PERF,9.65,9.68,9.64,9.67,115427
2021-07-28,PERF,9.685,9.72,9.67,9.71,4711
