date,ticker,open,high,low,close,volume
2024-07-19,PSIG,3.49,4.2,2.25,3.41,590304
2024-07-22,PSIG,3.29,3.29,2.25,2.7,463738
2024-07-23,PSIG,2.27,2.3,1.81,1.9201,523817
2024-07-24,PSIG,1.7,2.1194,1.67,1.72,285201
2024-07-25,PSIG,1.56,2.17,1.55,2.07,1597436
2024-07-26,PSIG,1.75,1.78,1.34,1.42,716264
2024-07-29,PSIG,1.38,1.4299,1.14,1.2,312099
2024-07-30,PSIG,1.19,1.5,1.115,1.36,467439
2024-07-31,PSIG,1.34,1.4,1.06,1.11,204930
2024-08-01,PSIG,1.1235,1.17,0.91,0.9295,300123
2024-08-02,PSIG,0.8404,0.875,0.751,0.76,1120318
2024-08-05,PSIG,0.7187,0.739,0.65,0.732,267742
2024-08-06,PSIG,0.71,0.97,0.7,0.87,585508
2024-08-07,PSIG,0.8,0.855,0.78,0.8,345601
2024-08-08,PSIG,0.8065,0.86,0.69,0.69,188438
2024-08-09,PSIG,0.736,1.04,0.7113,1.01,2374993
2024-08-12,PSIG,1.43,2.82,1.35,2.3,182756240
2024-08-13,PSIG,2.03,2.5,1.6,2.42,7953104
2024-08-14,PSIG,2.1,2.64,1.8,2.01,7523998
2024-08-15,PSIG,1.96,2.12,1.72,1.85,1031571
2024-08-16,PSIG,1.76,1.8465,1.23,1.44,1334138
2024-08-19,PSIG,1.5,1.59,1.41,1.48,269550
2024-08-20,PSIG,1.47,1.52,1.43,1.48,200372
2024-08-21,PSIG,1.51,1.51,0.85,1.07,1181706
2024-08-22,PSIG,1.09,1.11,0.9538,0.98,263532
2024-08-23,PSIG,0.9866,1.05,0.9266,0.97,176393
2024-08-26,PSIG,0.95,1.0,0.91,0.938,100494
2024-08-27,PSIG,0.95,0.95,0.752,0.89,151439
2024-08-28,PSIG,0.88,0.88,0.7734,0.8005,182652
2024-08-29,PSIG,0.81,0.8899,0.801,0.8271,50336
2024-08-30,PSIG,0.81,0.89,0.8093,0.86,57406
2024-09-03,PSIG,0.858,0.859,0.8,0.8519,92152
2024-09-04,PSIG,0.88,0.8999,0.722,0.75,164795
2024-09-05,PSIG,0.76,0.7993,0.75,0.7698,103793
2024-09-06,PSIG,0.779,0.78,0.706,0.732,55348
2024-09-09,PSIG,0.75,0.79,0.74,0.76,119593
2024-09-10,PSIG,0.81,0.9108,0.775,0.9034,336905
2024-09-11,PSIG,0.937,1.26,0.87,1.09,598571
2024-09-12,PSIG,0.99,1.08,0.9639,1.0201,197128
2024-09-13,PSIG,1.03,1.14,0.96,0.975,251789
2024-09-16,PSIG,0.9458,0.993,0.9,0.98,102453
2024-09-17,PSIG,1.0,1.0199,0.928,0.949,41096
2024-09-18,PSIG,0.9799,0.9799,0.8867,0.94,87146
2024-09-19,PSIG,0.949,0.949,0.875,0.8885,40650
2024-09-20,PSIG,0.8601,0.92,0.8011,0.8683,99628
2024-09-23,PSIG,0.9099,0.9099,0.8325,0.8575,26909
2024-09-24,PSIG,0.888,0.898,0.85,0.8501,26448
2024-09-25,PSIG,0.841,0.858,0.75,0.801,48528
2024-09-26,PSIG,0.8829,0.8829,0.781,0.8205,8919
2024-09-27,PSIG,0.8384,0.843,0.7825,0.8027,47939
2024-09-30,PSIG,0.8343,0.8471,0.7851,0.819,28325
2024-10-01,PSIG,0.857,0.857,0.79,0.8282,110374
2024-10-02,PSIG,0.84,0.87,0.7829,0.8012,82916
2024-10-03,PSIG,0.81,0.815,0.76,0.76,35737
2024-10-04,PSIG,0.7502,0.8004,0.7502,0.7541,47150
2024-10-07,PSIG,0.7819,0.782,0.73,0.7301,42622
2024-10-08,PSIG,0.78,0.78,0.75,0.765,28214
2024-10-09,PSIG,0.764,0.81,0.73,0.7703,26314
2024-10-10,PSIG,0.814,0.814,0.7592,0.768,23438
2024-10-11,PSIG,0.7682,0.87,0.7682,0.8398,191470
2024-10-14,PSIG,0.895,0.95,0.86,0.919,207807
2024-10-15,PSIG,0.9106,0.925,0.8368,0.8443,65746
2024-10-16,PSIG,0.865,0.8698,0.7601,0.84,63316
2024-10-17,PSIG,0.84,0.8687,0.8001,0.818,23031
2024-10-18,PSIG,0.862,0.88,0.82,0.8324,25097
2024-10-21,PSIG,0.83,0.83,0.73,0.7701,62528
2024-10-22,PSIG,0.8114,0.8655,0.77,0.811,203820
2024-10-23,PSIG,0.7967,0.8498,0.775,0.7753,45919
2024-10-24,PSIG,0.8,0.809,0.775,0.7871,76192
2024-10-25,PSIG,0.8047,0.8299,0.7725,0.7991,60134
2024-10-28,PSIG,0.7898,0.8211,0.771,0.8025,49049
2024-10-29,PSIG,0.795,0.8025,0.7685,0.78,52965
2024-10-30,PSIG,0.78,0.8,0.771,0.7999,36132
2024-10-31,PSIG,0.7606,0.819,0.76,0.809,43593
2024-11-01,PSIG,0.809,0.809,0.772,0.7975,15315
2024-11-04,PSIG,0.79,0.7901,0.73,0.7852,38735
2024-11-05,PSIG,0.751,0.7843,0.745,0.7482,19849
2024-11-06,PSIG,0.7856,0.79,0.73,0.74,31567
2024-11-07,PSIG,0.769,0.8,0.7301,0.759,110624
2024-11-08,PSIG,0.7362,0.7888,0.55,0.7,275322
2024-11-11,PSIG,0.7398,0.7398,0.6126,0.6637,49413
2024-11-12,PSIG,0.67,0.67,0.61,0.6286,62358
2024-11-13,PSIG,0.611,0.615,0.5281,0.545,157697
2024-11-14,PSIG,0.5287,0.55,0.5015,0.536,56007
2024-11-15,PSIG,0.5247,0.54,0.5,0.526,51879
2024-11-18,PSIG,0.55,0.565,0.5015,0.534,31460
2024-11-19,PSIG,0.5101,0.58,0.5101,0.535,27680
2024-11-20,PSIG,0.5732,0.5732,0.535,0.5375,14254
2024-11-21,PSIG,0.55,0.5809,0.535,0.54,8309
2024-11-22,PSIG,0.541,0.58,0.54,0.5641,21800
2024-11-25,PSIG,0.5434,0.5877,0.5256,0.56,16286
2024-11-26,PSIG,0.5354,0.555,0.506,0.55,15326
2024-11-27,PSIG,0.5575,0.6299,0.5251,0.5855,41944
2024-11-29,PSIG,0.584,0.78,0.532,0.6,185566
2024-12-02,PSIG,0.685,0.685,0.573,0.583,75559
2024-12-03,PSIG,0.58,0.68,0.58,0.65,69403
2024-12-04,PSIG,0.65,0.6824,0.61,0.6451,39270
2024-12-05,PSIG,0.649,0.649,0.5423,0.591,63876
2024-12-06,PSIG,0.609,0.61,0.555,0.5826,71339
2024-12-09,PSIG,0.58,0.588,0.526,0.5878,26205
2024-12-10,PSIG,0.588,0.6054,0.547,0.562,23986
2024-12-11,PSIG,0.6018,0.7,0.5787,0.5923,79131
2024-12-12,PSIG,0.5897,0.6152,0.491,0.495,134192
2024-12-13,PSIG,0.4951,0.5269,0.4449,0.4449,38740
2024-12-16,PSIG,0.45,0.459,0.4111,0.421,49201
2024-12-17,PSIG,0.4515,0.4686,0.4112,0.42,21703
2024-12-18,PSIG,0.4393,0.4545,0.3829,0.4295,93187
2024-12-19,PSIG,0.449,0.4499,0.39,0.4101,159226
2024-12-20,PSIG,0.3808,0.5175,0.38,0.51,408263
2024-12-23,PSIG,0.4947,0.5149,0.435,0.4413,99613
2024-12-24,PSIG,0.4518,0.4785,0.41,0.4224,38177
2024-12-26,PSIG,0.4451,0.5137,0.4115,0.473,209420
2024-12-27,PSIG,0.4912,0.68,0.466,0.521,430610
2024-12-30,PSIG,0.534,0.57,0.4843,0.5074,105446
2024-12-31,PSIG,0.4987,0.63,0.48,0.5634,202435
2025-01-02,PSIG,0.619,0.628,0.5799,0.6195,93479
2025-01-03,PSIG,0.6009,0.6149,0.5501,0.6023,98548
2025-01-06,PSIG,0.5842,0.64,0.5801,0.61,50682
2025-01-07,PSIG,0.639,0.8491,0.61,0.7625,759627
