date,ticker,open,high,low,close,volume
2021-08-12,RKLY,16.56,16.56,13.75,15.33,228997
2021-08-13,RKLY,14.97,14.97,11.09,13.14,609719
2021-08-16,RKLY,13.5,13.74,11.55,12.0,304297
2021-08-17,RKLY,11.61,12.5,10.5,10.54,343774
2021-08-18,RKLY,11.3,11.3,9.8,10.0,510710
2021-08-19,RKLY,10.0,10.0,7.28,7.41,1007103
2021-08-20,RKLY,7.22,8.6859,6.95,7.89,634913
2021-08-23,RKLY,8.1,8.1,7.46,7.49,425761
2021-08-24,RKLY,7.84,8.0,7.49,7.59,345860
2021-08-25,RKLY,7.42,7.66,7.13,7.28,351627
2021-08-26,RKLY,7.5,7.72,7.43,7.62,325421
2021-08-27,RKLY,7.6,7.7038,6.81,7.03,379369
2021-08-30,RKLY,7.2,7.31,6.96,7.04,387765
2021-08-31,RKLY,7.0,7.24,6.87,7.01,215674
2021-09-01,RKLY,7.1,10.89,6.94,9.16,4390304
2021-09-02,RKLY,9.19,10.4,9.14,9.95,1340484
2021-09-03,RKLY,9.95,10.0,9.0,9.36,392367
2021-09-07,RKLY,9.76,10.0,9.2,9.25,636715
2021-09-08,RKLY,9.65,9.75,9.0,9.38,386816
2021-09-09,RKLY,10.28,11.45,9.61,10.14,3524674
2021-09-10,RKLY,9.94,10.84,9.65,9.8,1201464
2021-09-13,RKLY,9.85,9.9,9.05,9.52,649979
2021-09-14,RKLY,9.57,9.57,7.66,7.86,1057601
2021-09-15,RKLY,8.09,8.09,7.52,7.61,423163
2021-09-16,RKLY,7.8,9.98,7.8,8.96,2228698
2021-09-17,RKLY,9.03,10.0,8.14,8.64,1860160
2021-09-20,RKLY,8.54,9.25,8.45,9.18,851980
2021-09-21,RKLY,9.56,12.0,9.35,11.13,3582052
2021-09-22,RKLY,10.9,10.9,9.3579,10.17,1775695
2021-09-23,RKLY,9.72,9.8,8.53,8.62,3384102
2021-09-24,RKLY,8.7,9.61,8.5,9.03,1346147
2021-09-27,RKLY,9.02,9.12,7.93,8.09,1820601
2021-09-28,RKLY,8.15,8.49,7.85,8.2,688434
2021-09-29,RKLY,8.59,8.6,7.86,8.11,644212
2021-09-30,RKLY,7.99,8.21,7.35,7.53,1135235
2021-10-01,RKLY,7.46,7.5941,7.23,7.55,588109
2021-10-04,RKLY,7.6,7.97,7.23,7.86,601239
2021-10-05,RKLY,7.9,8.09,7.22,7.58,565570
2021-10-06,RKLY,7.5,7.5,6.89,7.13,951905
2021-10-07,RKLY,7.16,7.46,6.94,7.19,758685
2021-10-08,RKLY,7.1,7.29,6.93,7.04,740024
2021-10-11,RKLY,7.04,7.07,6.75,6.89,740037
2021-10-12,RKLY,6.89,7.03,6.71,6.98,652224
2021-10-13,RKLY,7.0,7.5,6.95,7.45,900115
2021-10-14,RKLY,7.37,7.5,7.09,7.3,414140
2021-10-15,RKLY,7.25,7.48,7.16,7.23,370092
2021-10-18,RKLY,7.25,7.25,7.01,7.14,498775
2021-10-19,RKLY,7.25,7.78,7.05,7.57,1839879
2021-10-20,RKLY,7.5,7.5,6.74,7.0,1064043
2021-10-21,RKLY,6.81,7.25,6.78,7.2,659035
2021-10-22,RKLY,7.13,7.17,6.9,6.97,383546
2021-10-25,RKLY,7.09,7.11,6.9,7.07,330341
2021-10-26,RKLY,7.05,7.5,7.03,7.09,740167
2021-10-27,RKLY,7.18,7.3,6.92,7.0,392812
2021-10-28,RKLY,7.09,7.0924,6.85,6.99,358953
2021-10-29,RKLY,6.87,7.01,6.64,6.95,767892
2021-11-01,RKLY,7.0,7.06,6.92,7.01,895200
2021-11-02,RKLY,7.0,7.09,6.82,6.95,468092
2021-11-03,RKLY,7.0,7.07,6.93,7.0,570376
2021-11-04,RKLY,6.85,7.04,6.7,6.87,886089
2021-11-05,RKLY,6.91,6.95,6.55,6.6,599939
2021-11-08,RKLY,6.56,6.62,6.42,6.45,662090
2021-11-09,RKLY,6.54,6.5957,6.33,6.48,375995
2021-11-10,RKLY,6.53,6.55,5.96,6.09,1265777
2021-11-11,RKLY,6.13,6.3017,6.1,6.2,434444
2021-11-12,RKLY,6.29,6.8,6.22,6.68,820260
2021-11-15,RKLY,6.78,6.8,6.46,6.79,598070
2021-11-16,RKLY,6.79,7.5,6.56,6.66,2570316
2021-11-17,RKLY,6.75,6.8199,6.04,6.11,1252970
2021-11-18,RKLY,6.25,6.25,5.86,6.15,834776
2021-11-19,RKLY,6.26,6.4,6.14,6.34,492370
2021-11-22,RKLY,6.35,6.65,6.03,6.62,1813595
2021-11-23,RKLY,6.6,6.61,5.96,6.15,566912
2021-11-24,RKLY,6.15,6.39,5.96,6.38,340869
2021-11-26,RKLY,6.5,6.55,6.14,6.53,456274
2021-11-29,RKLY,6.48,6.87,6.31,6.74,627761
2021-11-30,RKLY,6.55,6.84,6.02,6.4,2386913
2021-12-01,RKLY,6.3,6.61,6.1,6.11,563710
2021-12-02,RKLY,6.1,6.25,5.99,6.18,508738
2021-12-03,RKLY,6.2,6.2475,5.7,5.9,611004
2021-12-06,RKLY,5.82,5.82,5.0,5.09,1749235
