date,ticker,open,high,low,close,volume
2019-07-26,SKIL,9.81,9.95,9.81,9.9,302950
2019-07-29,SKIL,10.05,10.05,9.93,9.93,2301
2019-07-30,SKIL,9.93,9.93,9.93,9.93,50
2019-07-31,SKIL,9.92,9.93,9.92,9.93,800
2019-08-01,SKIL,9.91,9.93,9.91,9.926,2201
2019-08-02,SKIL,9.92,9.93,9.92,9.93,900
2019-08-05,SKIL,9.93,9.93,9.93,9.93,2800
2019-08-06,SKIL,9.93,9.93,9.93,9.93,2500
2019-08-07,SKIL,9.93,9.93,9.9,9.93,26300
2019-08-08,SKIL,9.93,9.93,9.93,9.93,0
2019-08-09,SKIL,9.93,9.93,9.93,9.93,0
2019-08-12,SKIL,9.9,9.93,9.9,9.93,13000
2019-08-13,SKIL,9.93,9.93,9.93,9.93,0
2019-08-14,SKIL,9.93,9.93,9.93,9.93,0
2019-08-15,SKIL,9.93,9.93,9.93,9.93,0
2019-08-16,SKIL,9.93,9.93,9.93,9.93,0
2019-08-19,SKIL,9.93,9.93,9.93,9.93,0
2019-08-20,SKIL,9.95,9.95,9.95,9.95,205300
2019-08-21,SKIL,9.94,9.95,9.9,9.95,204709
2019-08-22,SKIL,9.95,9.95,9.95,9.95,0
2019-08-23,SKIL,9.95,9.95,9.95,9.95,0
2019-08-26,SKIL,9.95,9.95,9.95,9.95,0
2019-08-27,SKIL,9.95,9.95,9.95,9.95,1707
2019-08-28,SKIL,9.9429,9.9429,9.9021,9.94,3450
2019-08-29,SKIL,9.845,9.95,9.845,9.95,2000
2019-08-30,SKIL,9.95,9.95,9.95,9.95,150
2019-09-03,SKIL,9.95,9.95,9.95,9.95,1200
2019-09-04,SKIL,9.95,9.95,9.923,9.95,11000
2019-09-05,SKIL,9.95,9.95,9.95,9.95,0
2019-09-06,SKIL,9.95,9.95,9.95,9.95,98
2019-09-09,SKIL,9.95,9.95,9.95,9.95,0
2019-09-10,SKIL,9.95,9.95,9.9,9.9,101872
2019-09-11,SKIL,9.9,9.9,9.9,9.9,0
