date,ticker,open,high,low,close,volume
2020-11-03,SPIR,9.5,9.7,9.5,9.7,323
2020-11-04,SPIR,9.59,9.59,9.5,9.5,200
2020-11-05,SPIR,9.5,9.5,9.5,9.5,0
2020-11-06,SPIR,9.75,9.75,9.67,9.68,700
2020-11-09,SPIR,9.7,9.78,9.63,9.65,3835
2020-11-10,SPIR,9.7,9.74,9.7,9.74,892
2020-11-11,SPIR,9.625,9.74,9.625,9.7,2400
2020-11-12,SPIR,9.73,9.73,9.73,9.73,352
2020-11-13,SPIR,9.73,9.73,9.7,9.7,5000
2020-11-16,SPIR,9.7,9.71,9.7,9.7,10975
2020-11-17,SPIR,9.7,9.7,9.7,9.7,5601
2020-11-18,SPIR,9.7,9.71,9.7,9.7,6950
2020-11-19,SPIR,9.69,9.7,9.67,9.7,100900
2020-11-20,SPIR,9.74,9.74,9.74,9.74,370000
2020-11-23,SPIR,9.8,9.85,9.8,9.8,16504
2020-11-24,SPIR,9.7533,9.7533,9.7533,9.7533,201
2020-11-25,SPIR,9.81,9.81,9.7601,9.7601,1099
2020-11-27,SPIR,9.86,9.86,9.85,9.85,857
2020-11-30,SPIR,9.86,9.863,9.81,9.84,129681
2020-12-01,SPIR,9.84,9.8603,9.84,9.84,124119
2020-12-02,SPIR,9.89,9.89,9.81,9.85,33928
2020-12-03,SPIR,9.89,9.89,9.85,9.88,58252
2020-12-04,SPIR,9.89,9.89,9.8,9.88,79129
2020-12-07,SPIR,10.02,10.18,9.8,9.99,73280
2020-12-08,SPIR,10.06,10.06,9.78,9.86,24719
2020-12-09,SPIR,10.0,10.04,9.82,9.83,41050
2020-12-10,SPIR,9.9,10.0,9.83,9.87,208731
2020-12-11,SPIR,9.94,9.99,9.9,9.9,31107
2020-12-14,SPIR,10.0,10.11,9.9,10.02,378487
2020-12-15,SPIR,10.1,10.13,9.98,10.05,53929
2020-12-16,SPIR,10.12,10.12,10.0,10.01,8472
2020-12-17,SPIR,10.05,10.05,10.0,10.02,6014
2020-12-18,SPIR,10.05,10.39,10.0499,10.06,112854
2020-12-21,SPIR,10.05,10.14,9.99,10.085,26653
2020-12-22,SPIR,10.2,10.2,9.95,10.05,34521
2020-12-23,SPIR,10.1,10.1,9.95,10.07,37678
2020-12-24,SPIR,10.1,10.16,10.0301,10.0801,20501
2020-12-28,SPIR,10.25,10.31,10.12,10.2,51098
2020-12-29,SPIR,10.15,10.2,10.0,10.06,35583
2020-12-30,SPIR,10.0201,10.17,10.0201,10.17,14856
2020-12-31,SPIR,10.08,10.13,10.0,10.01,187227
2021-01-04,SPIR,10.09,10.17,10.075,10.08,40696
2021-01-05,SPIR,10.05,10.1,10.05,10.1,206469
2021-01-06,SPIR,10.105,10.105,10.03,10.1,112811
2021-01-07,SPIR,10.1,10.2572,10.0,10.13,86477
2021-01-08,SPIR,10.2309,10.27,10.15,10.21,245750
2021-01-11,SPIR,10.25,10.2899,10.15,10.22,291256
2021-01-12,SPIR,10.28,10.29,10.16,10.19,160577
2021-01-13,SPIR,10.28,10.38,10.2,10.33,163892
2021-01-14,SPIR,10.69,10.69,10.25,10.3,142496
2021-01-15,SPIR,10.28,10.49,10.22,10.45,179698
2021-01-19,SPIR,10.48,10.7,10.32,10.54,184153
2021-01-20,SPIR,10.59,10.64,10.39,10.44,183482
2021-01-21,SPIR,10.5,10.6999,10.46,10.49,204534
2021-01-22,SPIR,10.5,10.6499,10.5,10.53,294954
2021-01-25,SPIR,10.59,10.71,10.34,10.53,223595
2021-01-26,SPIR,10.54,10.5494,10.34,10.36,290883
2021-01-27,SPIR,10.21,10.33,10.12,10.2,323005
2021-01-28,SPIR,10.23,10.38,10.165,10.19,61444
2021-01-29,SPIR,10.24,10.3,10.14,10.26,195211
2021-02-01,SPIR,10.3,10.49,10.2,10.4,323474
2021-02-02,SPIR,10.55,10.55,10.3506,10.44,50170
2021-02-03,SPIR,10.5,10.68,10.47,10.51,60315
2021-02-04,SPIR,10.6,10.64,10.34,10.49,187843
2021-02-05,SPIR,10.55,10.72,10.5,10.61,208406
2021-02-08,SPIR,10.65,10.8599,10.46,10.54,147248
2021-02-09,SPIR,10.52,10.6,10.435,10.54,77774
2021-02-10,SPIR,10.55,10.64,10.42,10.45,84130
2021-02-11,SPIR,10.54,10.6,10.5,10.52,91315
2021-02-12,SPIR,10.46,10.59,10.45,10.5,85518
2021-02-16,SPIR,10.55,10.55,10.43,10.5,85327
2021-02-17,SPIR,10.5,10.54,10.42,10.52,45361
2021-02-18,SPIR,10.48,10.55,10.42,10.49,30401
2021-02-19,SPIR,10.55,10.55,10.34,10.35,323348
2021-02-22,SPIR,10.43,10.52,10.3601,10.48,126614
2021-02-23,SPIR,10.43,10.43,10.17,10.325,186115
2021-02-24,SPIR,10.43,10.5,10.34,10.39,166510
2021-02-25,SPIR,10.35,10.42,10.2,10.25,126376
2021-02-26,SPIR,10.17,10.47,10.17,10.47,262150
2021-03-01,SPIR,11.98,12.05,10.88,10.99,12291113
2021-03-02,SPIR,11.07,11.08,10.4,10.44,3824489
2021-03-03,SPIR,10.56,10.75,10.18,10.22,2383412
2021-03-04,SPIR,10.28,10.34,10.03,10.13,2762295
2021-03-05,SPIR,10.49,10.72,10.03,10.66,1613601
2021-03-08,SPIR,10.6,10.74,10.35,10.43,983081
2021-03-09,SPIR,10.55,10.6787,10.3698,10.49,453399
2021-03-10,SPIR,10.55,10.6657,10.37,10.48,634265
2021-03-11,SPIR,10.63,10.6399,10.446,10.57,1486951
2021-03-12,SPIR,10.5,10.79,10.39,10.66,477300
2021-03-15,SPIR,10.66,10.665,10.4,10.52,867350
2021-03-16,SPIR,10.51,10.55,10.22,10.32,750523
2021-03-17,SPIR,10.25,10.4,10.21,10.3,1021453
2021-03-18,SPIR,10.25,10.34,10.21,10.24,708574
2021-03-19,SPIR,10.33,10.4,10.23,10.37,489393
2021-03-22,SPIR,10.5,10.63,10.24,10.25,774521
2021-03-23,SPIR,10.27,10.28,10.11,10.11,802498
2021-03-24,SPIR,10.16,10.16,9.83,10.01,970554
2021-03-25,SPIR,9.89,10.03,9.82,9.9,1298192
2021-03-26,SPIR,10.03,10.27,9.96,10.05,1426885
2021-03-29,SPIR,10.21,10.25,9.94,10.02,669256
2021-03-30,SPIR,10.01,10.03,9.94,9.96,225220
2021-03-31,SPIR,10.04,10.05,9.96,10.02,311545
2021-04-01,SPIR,10.04,10.07,9.98,10.01,462234
2021-04-05,SPIR,10.01,10.09,10.0,10.02,272819
2021-04-06,SPIR,10.03,10.05,9.96,9.98,249818
2021-04-07,SPIR,10.01,10.03,9.89,9.93,253900
2021-04-08,SPIR,9.95,9.99,9.89,9.97,235887
2021-04-09,SPIR,9.95,9.999,9.94,9.99,134248
2021-04-12,SPIR,9.99,9.99,9.91,9.95,113668
2021-04-13,SPIR,9.93,9.935,9.87,9.88,178607
2021-04-14,SPIR,9.88,9.91,9.86,9.89,782024
2021-04-15,SPIR,9.91,9.93,9.9,9.91,281138
2021-04-16,SPIR,9.94,9.94,9.87,9.91,195596
2021-04-19,SPIR,9.98,9.98,9.83,9.87,626054
2021-04-20,SPIR,9.83,9.88,9.82,9.87,242195
2021-04-21,SPIR,9.82,9.93,9.82,9.9,108379
2021-04-22,SPIR,9.88,9.955,9.86,9.93,810682
2021-04-23,SPIR,9.94,9.96,9.9,9.95,177938
2021-04-26,SPIR,9.95,9.96,9.9,9.95,612555
2021-04-27,SPIR,9.95,9.96,9.935,9.95,244815
2021-04-28,SPIR,9.95,9.95,9.895,9.91,109089
2021-04-29,SPIR,9.91,9.945,9.89,9.93,226916
2021-04-30,SPIR,9.93,9.93,9.9,9.91,76825
2021-05-03,SPIR,9.94,9.94,9.9,9.92,258193
2021-05-04,SPIR,9.91,9.92,9.85,9.89,231759
2021-05-05,SPIR,9.88,9.91,9.88,9.9,105800
2021-05-06,SPIR,9.89,9.92,9.8801,9.9,779978
2021-05-07,SPIR,9.89,9.9101,9.89,9.9,212547
2021-05-10,SPIR,9.9,9.9199,9.88,9.89,254590
2021-05-11,SPIR,9.84,9.88,9.84,9.87,505108
2021-05-12,SPIR,9.85,9.89,9.85,9.87,204960
2021-05-13,SPIR,9.86,9.9,9.86,9.87,339415
2021-05-14,SPIR,9.9,9.9,9.87,9.89,121596
2021-05-17,SPIR,9.87,9.89,9.86,9.88,147003
2021-05-18,SPIR,9.87,9.89,9.87,9.88,117663
2021-05-19,SPIR,9.87,9.89,9.87,9.89,769369
2021-05-20,SPIR,9.87,9.91,9.85,9.9,431505
2021-05-21,SPIR,9.92,9.94,9.89,9.91,48349
2021-05-24,SPIR,9.92,9.9492,9.85,9.9,177884
2021-05-25,SPIR,9.89,9.91,9.86,9.9,379110
2021-05-26,SPIR,9.92,9.92,9.85,9.87,194287
2021-05-27,SPIR,9.89,9.91,9.88,9.89,170632
2021-05-28,SPIR,9.89,9.91,9.88,9.9,227272
2021-06-01,SPIR,9.89,9.95,9.89,9.95,95034
2021-06-02,SPIR,9.94,9.96,9.91,9.94,197163
2021-06-03,SPIR,9.92,9.9486,9.92,9.94,62159
2021-06-04,SPIR,9.95,9.95,9.93,9.93,128684
2021-06-07,SPIR,9.93,9.95,9.93,9.93,39805
2021-06-08,SPIR,9.94,9.96,9.93,9.94,281470
2021-06-09,SPIR,9.98,10.01,9.93,9.94,390189
2021-06-10,SPIR,9.99,9.99,9.94,9.95,206783
2021-06-11,SPIR,10.07,10.105,9.99,10.0,190805
2021-06-14,SPIR,10.02,10.04,9.95,9.98,124672
2021-06-15,SPIR,10.0,10.01,9.91,9.94,170600
2021-06-16,SPIR,9.95,9.96,9.92,9.94,98729
2021-06-17,SPIR,9.94,9.96,9.93,9.94,67803
2021-06-18,SPIR,9.93,9.97,9.93,9.95,37889
2021-06-21,SPIR,9.96,9.96,9.91,9.95,38448
2021-06-22,SPIR,9.94,9.98,9.933,9.96,95230
2021-06-23,SPIR,9.95,9.98,9.94,9.96,79293
2021-06-24,SPIR,9.94,9.98,9.94,9.96,61525
2021-06-25,SPIR,9.99,9.99,9.95,9.99,78139
2021-06-28,SPIR,10.0,10.0,9.9501,9.97,37538
2021-06-29,SPIR,9.95,10.01,9.95,9.99,28407
2021-06-30,SPIR,10.01,10.01,9.95,9.98,91553
2021-07-01,SPIR,10.02,10.03,9.95,9.98,126259
2021-07-02,SPIR,10.0,10.04,10.0,10.02,143217
2021-07-06,SPIR,10.02,10.04,9.96,9.97,172070
2021-07-07,SPIR,10.0,10.05,9.95,9.97,362035
2021-07-08,SPIR,9.94,9.98,9.94,9.96,58113
2021-07-09,SPIR,9.94,9.97,9.94,9.97,37043
2021-07-12,SPIR,9.93,10.0,9.93,9.97,31129
2021-07-13,SPIR,9.96,10.0,9.95,9.97,67238
2021-07-14,SPIR,10.0,10.0,9.94,9.96,50784
2021-07-15,SPIR,9.97,9.97,9.95,9.96,70446
2021-07-16,SPIR,9.95,10.0,9.94,10.0,105968
2021-07-19,SPIR,9.95,9.97,9.91,9.96,168069
2021-07-20,SPIR,9.93,9.96,9.93,9.95,31681
2021-07-21,SPIR,9.95,9.96,9.94,9.95,99152
2021-07-22,SPIR,9.93,9.95,9.93,9.94,102550
2021-07-23,SPIR,9.94,9.97,9.92,9.96,186735
2021-07-26,SPIR,9.96,9.97,9.95,9.96,256504
2021-07-27,SPIR,9.96,9.97,9.95,9.95,668075
2021-07-28,SPIR,9.97,9.97,9.95,9.95,237372
2021-07-29,SPIR,9.95,9.96,9.95,9.95,479326
2021-07-30,SPIR,9.95,9.97,9.95,9.96,417367
2021-08-02,SPIR,9.95,9.97,9.95,9.96,297453
2021-08-03,SPIR,9.95,9.97,9.95,9.96,193748
2021-08-04,SPIR,9.96,9.97,9.96,9.96,141925
2021-08-05,SPIR,9.96,10.0,9.96,9.97,4727145
2021-08-06,SPIR,9.97,9.99,9.97,9.98,195621
2021-08-09,SPIR,9.98,9.99,9.97,9.98,201419
2021-08-10,SPIR,9.85,9.89,9.61,9.79,258692
2021-08-11,SPIR,9.77,9.8,9.55,9.6,200675
2021-08-12,SPIR,9.62,9.78,9.61,9.64,78920
2021-08-13,SPIR,9.66,9.69,9.2001,9.23,119783
2021-08-16,SPIR,9.45,10.15,9.45,9.93,523714
2021-08-17,SPIR,10.25,10.52,9.3,9.41,256327
2021-08-18,SPIR,9.51,10.09,9.45,9.9,185644
2021-08-19,SPIR,9.99,9.99,8.77,8.85,148762
2021-08-20,SPIR,8.99,9.3,8.682,9.05,122384
2021-08-23,SPIR,9.84,9.84,8.3,8.35,224736
2021-08-24,SPIR,8.27,8.88,8.27,8.77,123904
2021-08-25,SPIR,8.87,8.93,8.73,8.9,49788
2021-08-26,SPIR,9.0,9.9999,8.9,9.72,254627
2021-08-27,SPIR,9.64,9.79,9.25,9.5,175664
2021-08-30,SPIR,9.72,9.73,9.1601,9.37,73772
2021-08-31,SPIR,9.37,9.68,9.34,9.63,65595
2021-09-01,SPIR,9.6,9.99,9.5564,9.91,53002
2021-09-02,SPIR,9.99,9.99,9.12,9.18,147335
2021-09-03,SPIR,9.2,12.85,9.11,11.85,1355645
2021-09-07,SPIR,11.58,12.64,10.47,10.65,853973
2021-09-08,SPIR,10.49,11.65,10.36,11.22,358090
2021-09-09,SPIR,10.96,12.3,10.96,11.03,452459
2021-09-10,SPIR,11.12,11.24,9.92,9.92,234409
2021-09-13,SPIR,9.99,10.08,9.16,9.28,285325
2021-09-14,SPIR,9.61,9.8,9.0,9.18,147965
2021-09-15,SPIR,9.51,9.95,9.22,9.76,330441
2021-09-16,SPIR,12.13,13.2,10.86,11.41,4067739
