date,ticker,open,high,low,close,volume
2021-04-19,SPWR,9.85,9.85,9.85,9.85,120
2021-04-20,SPWR,9.85,10.05,9.85,10.05,2163
2021-04-21,SPWR,9.9,10.05,9.85,9.85,30394
2021-04-22,SPWR,10.04,10.04,9.86,9.87,3413
2021-04-23,SPWR,9.85,9.85,9.85,9.85,110
2021-04-26,SPWR,10.03,10.03,10.03,10.03,111
2021-04-27,SPWR,10.0,10.0,10.0,10.0,1002
2021-04-28,SPWR,9.99,9.99,9.83,9.83,3771
2021-04-29,SPWR,9.85,9.97,9.85,9.86,1226
2021-04-30,SPWR,9.9,9.9,9.86,9.86,3108
2021-05-03,SPWR,9.9,9.92,9.86,9.86,5273
2021-05-04,SPWR,9.88,9.88,9.82,9.88,22529
2021-05-05,SPWR,9.88,9.88,9.83,9.83,8700
2021-05-06,SPWR,9.82,9.84,9.82,9.83,4738
2021-05-07,SPWR,9.89,9.9593,9.82,9.84,7226
2021-05-10,SPWR,9.82,9.835,9.76,9.76,31966
2021-05-11,SPWR,9.77,9.815,9.77,9.805,318
2021-05-12,SPWR,9.82,9.82,9.82,9.82,1209
2021-05-13,SPWR,10.1,10.1,9.8,9.8,561
2021-05-14,SPWR,9.79,9.8,9.79,9.79,1451
2021-05-17,SPWR,9.79,9.85,9.79,9.8,3545
2021-05-18,SPWR,9.78,9.78,9.7,9.7,33406
2021-05-19,SPWR,9.75,9.7599,9.69,9.69,11419
2021-05-20,SPWR,9.74,9.75,9.74,9.75,3917
2021-05-21,SPWR,9.7,9.75,9.7,9.72,67060
2021-05-24,SPWR,9.72,9.74,9.72,9.74,385
2021-05-25,SPWR,9.75,9.75,9.74,9.74,484
2021-05-26,SPWR,9.66,9.76,9.66,9.75,2279
2021-05-27,SPWR,9.76,9.7672,9.76,9.76,1823
2021-05-28,SPWR,9.8,9.8,9.68,9.725,3192
2021-06-01,SPWR,9.8,9.8,9.7,9.72,2263
2021-06-02,SPWR,9.8,9.88,9.79,9.8,40019
2021-06-03,SPWR,9.6501,9.83,9.6501,9.75,9781
2021-06-04,SPWR,9.8,9.825,9.8,9.8,32782
2021-06-07,SPWR,9.92,9.92,9.92,9.92,5323
2021-06-08,SPWR,10.3,10.3,9.8,9.8,1066
2021-06-09,SPWR,9.8,9.8,9.75,9.75,1977
2021-06-10,SPWR,9.77,9.77,9.65,9.7,46856
2021-06-11,SPWR,9.739,9.739,9.69,9.7,13998
2021-06-14,SPWR,9.7,9.75,9.68,9.75,5894
2021-06-15,SPWR,9.79,9.8,9.68,9.7,31339
2021-06-16,SPWR,9.74,9.74,9.7,9.7,619
2021-06-17,SPWR,9.76,9.76,9.69,9.74,11342
2021-06-18,SPWR,9.7,9.7,9.7,9.7,313
2021-06-21,SPWR,9.74,9.8106,9.705,9.75,1183
2021-06-22,SPWR,9.78,9.8,9.748,9.75,51271
2021-06-23,SPWR,9.8,10.02,9.73,10.02,40367
2021-06-24,SPWR,9.8,9.8,9.75,9.76,29503
2021-06-25,SPWR,9.75,9.8114,9.74,9.74,81301
2021-06-28,SPWR,9.77,9.77,9.72,9.72,7149
2021-06-29,SPWR,9.69,9.7136,9.69,9.7,518
2021-06-30,SPWR,9.68,9.7,9.675,9.7,27403
2021-07-01,SPWR,9.7,9.77,9.7,9.7,7446
2021-07-02,SPWR,9.66,9.73,9.66,9.73,6853
2021-07-06,SPWR,9.74,9.75,9.735,9.735,5229
2021-07-07,SPWR,9.75,9.75,9.75,9.75,1337
2021-07-08,SPWR,9.7,9.73,9.7,9.7,33607
2021-07-09,SPWR,9.67,9.715,9.67,9.7,9261
2021-07-12,SPWR,9.7,9.7,9.7,9.7,148
2021-07-13,SPWR,9.7,9.7,9.7,9.7,16
2021-07-14,SPWR,9.7,9.7,9.7,9.7,2
2021-07-15,SPWR,9.7,9.7,9.7,9.7,17
2021-07-16,SPWR,9.66,9.66,9.66,9.66,9776
2021-07-19,SPWR,9.66,9.69,9.66,9.69,502
2021-07-20,SPWR,9.69,9.69,9.69,9.69,100
2021-07-21,SPWR,9.7,9.7,9.64,9.64,403554
2021-07-22,SPWR,9.64,9.66,9.62,9.66,9638
2021-07-23,SPWR,9.66,9.6883,9.64,9.68,5880
2021-07-26,SPWR,9.68,9.68,9.6183,9.64,202137
2021-07-27,SPWR,9.62,9.64,9.62,9.64,44835
2021-07-28,SPWR,9.63,9.6401,9.625,9.64,30696
2021-07-29,SPWR,9.67,9.8,9.66,9.8,45401
2021-07-30,SPWR,9.75,9.75,9.7,9.7,5783
2021-08-02,SPWR,9.7,9.7,9.7,9.7,4
2021-08-03,SPWR,9.7,9.7,9.7,9.7,300
2021-08-04,SPWR,9.68,9.68,9.68,9.68,1575
2021-08-05,SPWR,9.63,9.63,9.63,9.63,100
2021-08-06,SPWR,9.81,9.81,9.6962,9.7,4007
2021-08-09,SPWR,9.71,9.71,9.71,9.71,400
2021-08-10,SPWR,9.68,9.72,9.65,9.7,253181
2021-08-11,SPWR,9.7099,9.74,9.7099,9.74,348
2021-08-12,SPWR,9.7568,9.7568,9.725,9.725,453
2021-08-13,SPWR,9.725,9.725,9.725,9.725,0
2021-08-16,SPWR,9.65,9.65,9.65,9.65,210
2021-08-17,SPWR,9.65,9.7,9.65,9.69,2011
2021-08-18,SPWR,9.65,9.65,9.65,9.65,132
2021-08-19,SPWR,9.66,9.66,9.66,9.66,188
2021-08-20,SPWR,9.66,9.66,9.66,9.66,0
2021-08-23,SPWR,9.72,9.72,9.6965,9.7,1212
2021-08-24,SPWR,9.75,9.7965,9.7,9.78,1065
2021-08-25,SPWR,9.8,9.8,9.75,9.75,323
2021-08-26,SPWR,9.75,9.75,9.75,9.75,9
2021-08-27,SPWR,9.75,9.75,9.75,9.75,0
2021-08-30,SPWR,9.799,9.799,9.67,9.72,10388
2021-08-31,SPWR,9.67,9.72,9.67,9.72,984
2021-09-01,SPWR,9.71,9.71,9.71,9.71,23732
2021-09-02,SPWR,9.7,9.7,9.7,9.7,4228
2021-09-03,SPWR,9.67,9.67,9.67,9.67,107
2021-09-07,SPWR,9.66,9.7,9.66,9.67,2791
2021-09-08,SPWR,9.66,9.71,9.66,9.71,1512
2021-09-09,SPWR,9.71,9.71,9.71,9.71,45
2021-09-10,SPWR,9.67,9.75,9.66,9.75,24559
2021-09-13,SPWR,9.75,9.75,9.75,9.75,57
2021-09-14,SPWR,9.69,9.75,9.69,9.7,12839
2021-09-15,SPWR,9.64,9.71,9.64,9.71,9630
2021-09-16,SPWR,9.6,9.72,9.6,9.72,250557
2021-09-17,SPWR,9.7,9.7,9.7,9.7,206
2021-09-20,SPWR,9.64,9.7,9.64,9.7,1767
2021-09-21,SPWR,9.7,9.75,9.7,9.75,19820
2021-09-22,SPWR,9.7,9.715,9.7,9.715,604
2021-09-23,SPWR,9.69,9.7,9.69,9.7,1146
2021-09-24,SPWR,9.7,9.7,9.6996,9.7,1274
2021-09-27,SPWR,9.7,9.73,9.7,9.73,11486
2021-09-28,SPWR,9.65,9.7,9.65,9.7,100199
2021-09-29,SPWR,9.73,9.75,9.73,9.75,2435
2021-09-30,SPWR,9.75,9.75,9.75,9.75,225
2021-10-01,SPWR,9.75,9.78,9.73,9.77,102900
2021-10-04,SPWR,9.8,9.8,9.69,9.69,6507
2021-10-05,SPWR,9.69,9.69,9.69,9.69,371
2021-10-06,SPWR,9.74,9.8,9.74,9.79,130751
2021-10-07,SPWR,9.79,9.79,9.76,9.78,643677
2021-10-08,SPWR,9.77,9.78,9.74,9.77,3908
2021-10-11,SPWR,9.74,9.74,9.74,9.74,246
2021-10-12,SPWR,9.71,9.75,9.7,9.75,23583
2021-10-13,SPWR,9.75,9.75,9.75,9.75,171
2021-10-14,SPWR,9.75,9.75,9.75,9.75,109
2021-10-15,SPWR,9.76,9.76,9.71,9.75,24413
2021-10-18,SPWR,9.73,9.75,9.71,9.71,26595
2021-10-19,SPWR,9.73,9.74,9.71,9.71,2416
2021-10-20,SPWR,9.71,9.73,9.7,9.72,13175
2021-10-21,SPWR,9.71,9.72,9.69,9.71,1752
2021-10-22,SPWR,9.7,9.72,9.7,9.71,4237
2021-10-25,SPWR,9.74,9.74,9.72,9.73,5405
2021-10-26,SPWR,9.75,9.75,9.72,9.73,4133
2021-10-27,SPWR,9.715,9.73,9.7,9.73,990
2021-10-28,SPWR,9.725,9.755,9.725,9.755,357
2021-10-29,SPWR,9.73,9.74,9.73,9.74,151271
2021-11-01,SPWR,9.72,9.76,9.72,9.76,1347
2021-11-02,SPWR,9.76,9.76,9.76,9.76,125
2021-11-03,SPWR,9.75,9.75,9.72,9.745,1719
2021-11-04,SPWR,9.7201,9.78,9.7201,9.74,6537
2021-11-05,SPWR,9.73,9.73,9.73,9.73,322
2021-11-08,SPWR,9.79,9.79,9.74,9.75,623
2021-11-09,SPWR,9.75,9.75,9.75,9.75,277
2021-11-10,SPWR,9.75,9.75,9.75,9.75,305
2021-11-11,SPWR,9.74,9.74,9.74,9.74,320
2021-11-12,SPWR,9.73,9.74,9.73,9.74,9191
2021-11-15,SPWR,9.72,9.72,9.72,9.72,115
2021-11-16,SPWR,9.748,9.85,9.7475,9.85,20828
2021-11-17,SPWR,9.85,9.86,9.8,9.85,1915
2021-11-18,SPWR,9.8,9.84,9.8,9.84,1008
2021-11-19,SPWR,9.84,9.85,9.75,9.8,11530
2021-11-22,SPWR,9.75,9.75,9.75,9.75,19546
2021-11-23,SPWR,9.75,9.75,9.74,9.74,2636
2021-11-24,SPWR,9.75,9.75,9.7301,9.75,88921
2021-11-26,SPWR,9.73,9.735,9.73,9.73,5030
2021-11-29,SPWR,9.7499,9.76,9.73,9.73,45941
2021-11-30,SPWR,9.72,9.75,9.72,9.75,20578
2021-12-01,SPWR,9.73,9.77,9.73,9.77,703590
2021-12-02,SPWR,9.8,9.8,9.73,9.77,5080
2021-12-03,SPWR,9.73,9.73,9.71,9.73,83746
2021-12-06,SPWR,9.7,9.75,9.7,9.73,181560
2021-12-07,SPWR,9.75,9.75,9.7105,9.72,10934
2021-12-08,SPWR,9.72,9.72,9.72,9.72,98
