date,ticker,open,high,low,close,volume
2020-08-07,SST,10.1,10.1,9.9,10.02,348978
2020-08-10,SST,10.14,10.14,10.03,10.05,7824
2020-08-11,SST,10.02,10.03,10.02,10.02,1407
2020-08-12,SST,10.03,10.07,10.02,10.05,5100
2020-08-13,SST,10.15,10.25,10.04,10.06,1154542
2020-08-14,SST,10.22,10.6999,10.15,10.3,2589
2020-08-17,SST,10.1699,10.71,10.068,10.68,122616
2020-08-18,SST,10.75,10.75,10.0,10.21,40590
2020-08-19,SST,10.21,10.26,10.01,10.05,199344
2020-08-20,SST,10.04,10.04,10.0,10.0,151205
2020-08-21,SST,9.86,10.15,9.86,10.0,306443
2020-08-24,SST,10.0,10.1,10.0,10.0,17598
2020-08-25,SST,9.92,10.065,9.92,10.065,17984
2020-08-26,SST,9.94,10.1,9.94,10.05,26085
2020-08-27,SST,9.98,9.98,9.92,9.975,230749
2020-08-28,SST,9.95,10.0,9.9,9.98,143588
2020-08-31,SST,10.01,10.01,9.9,9.95,5317
2020-09-01,SST,9.9,10.0,9.9,9.9,10713
2020-09-02,SST,9.94,10.06,9.94,9.97,864555
2020-09-03,SST,9.96,10.04,9.96,10.02,755077
2020-09-04,SST,10.17,10.25,10.03,10.065,14412
2020-09-08,SST,10.11,10.2,10.0,10.2,18197
2020-09-09,SST,10.34,10.44,10.17,10.4,102870
2020-09-10,SST,10.28,10.45,10.06,10.43,451155
2020-09-11,SST,10.21,10.47,10.18,10.37,1165023
2020-09-14,SST,10.49,10.5,10.11,10.425,46963
2020-09-15,SST,10.32,10.45,10.25,10.45,72586
2020-09-16,SST,10.4,10.4774,10.21,10.3399,22761
2020-09-17,SST,10.3,10.31,10.25,10.3,19370
2020-09-18,SST,10.31,10.445,10.28,10.41,53379
2020-09-21,SST,10.25,10.45,10.25,10.26,29482
2020-09-22,SST,10.4,10.4,10.2,10.2,65689
2020-09-23,SST,10.2,10.25,10.05,10.11,1417778
2020-09-24,SST,10.06,10.17,9.97,10.16,87840
2020-09-25,SST,10.14,10.14,10.12,10.12,1434
2020-09-28,SST,10.27,10.27,10.06,10.14,8554
2020-09-29,SST,10.2,10.2,10.15,10.17,74748
2020-09-30,SST,10.19,10.19,10.16,10.18,10048
2020-10-01,SST,10.17,10.3,10.17,10.195,642444
2020-10-02,SST,10.18,10.18,10.18,10.18,1000
2020-10-05,SST,10.08,10.2,10.01,10.09,66892
2020-10-06,SST,10.02,10.15,10.01,10.03,159939
2020-10-07,SST,10.05,10.13,9.975,10.0,419950
2020-10-08,SST,10.1,10.1,9.98,10.09,6835
2020-10-09,SST,10.17,10.18,9.99,10.075,6024
2020-10-12,SST,10.15,10.15,10.15,10.15,152
2020-10-13,SST,10.1,10.1,10.0,10.0,5293
2020-10-14,SST,10.01,10.1,10.0,10.0,508762
2020-10-15,SST,10.02,10.02,10.0,10.02,1931
2020-10-16,SST,9.98,10.1,9.98,10.08,4174
2020-10-19,SST,10.09,10.14,10.0,10.0,5559
2020-10-20,SST,10.13,10.13,10.05,10.05,1174
