date,ticker,open,high,low,close,volume
2018-09-12,TTCFQ,9.58,9.62,9.55,9.57,2597025
2018-09-13,TTCFQ,9.58,9.58,9.57,9.58,166800
2018-09-14,TTCFQ,9.58,9.58,9.58,9.58,0
2018-09-17,TTCFQ,9.57,9.57,9.52,9.57,1500
2018-09-18,TTCFQ,9.57,9.57,9.55,9.57,6002
2018-09-19,TTCFQ,9.57,9.58,9.53,9.57,16923
2018-09-20,TTCFQ,9.57,9.57,9.57,9.57,4000
2018-09-21,TTCFQ,9.57,9.57,9.53,9.57,50302
2018-09-24,TTCFQ,9.57,9.57,9.53,9.55,426473
2018-09-25,TTCFQ,9.53,9.57,9.53,9.55,144304
2018-09-26,TTCFQ,9.83,9.83,9.53,9.55,624781
2018-09-27,TTCFQ,9.54,9.55,9.53,9.54,8339
2018-09-28,TTCFQ,9.54,9.55,9.54,9.55,590133
2018-10-01,TTCFQ,9.54,9.54,9.53,9.54,56380
2018-10-02,TTCFQ,9.52,9.54,9.52,9.54,1500
2018-10-03,TTCFQ,9.54,9.54,9.52,9.52,7825
2018-10-04,TTCFQ,9.54,9.57,9.53,9.56,57945
2018-10-05,TTCFQ,9.53,9.57,9.53,9.56,169407
2018-10-08,TTCFQ,9.55,9.56,9.55,9.55,1200
2018-10-09,TTCFQ,9.55,9.55,9.53,9.55,150300
2018-10-10,TTCFQ,9.55,9.55,9.55,9.55,0
2018-10-11,TTCFQ,9.54,9.55,9.54,9.55,75976
2018-10-12,TTCFQ,9.55,9.55,9.55,9.55,0
2018-10-15,TTCFQ,9.55,9.55,9.55,9.55,10300
2018-10-16,TTCFQ,9.55,9.55,9.55,9.55,0
2018-10-17,TTCFQ,9.53,9.53,9.53,9.53,10258
2018-10-18,TTCFQ,9.55,9.55,9.53,9.55,6500
2018-10-19,TTCFQ,9.55,9.55,9.55,9.55,0
2018-10-22,TTCFQ,9.55,9.55,9.55,9.55,0
2018-10-23,TTCFQ,9.54,9.69,9.54,9.6,75661
2018-10-24,TTCFQ,9.6,9.65,9.6,9.65,17152
2018-10-25,TTCFQ,9.55,9.71,9.55,9.63,207000
2018-10-26,TTCFQ,9.73,9.73,9.73,9.73,1552
2018-10-29,TTCFQ,9.63,9.63,9.63,9.63,400
2018-10-30,TTCFQ,9.63,9.63,9.63,9.63,0
2018-10-31,TTCFQ,9.63,9.63,9.63,9.63,0
2018-11-01,TTCFQ,9.63,9.63,9.63,9.63,0
2018-11-02,TTCFQ,9.63,9.63,9.63,9.63,0
2018-11-05,TTCFQ,9.63,9.63,9.63,9.63,0
2018-11-06,TTCFQ,9.63,9.63,9.63,9.63,0
2018-11-07,TTCFQ,9.61,9.61,9.61,9.61,600900
2018-11-08,TTCFQ,9.68,9.68,9.6,9.63,140720
2018-11-09,TTCFQ,9.63,9.63,9.63,9.63,0
2018-11-12,TTCFQ,9.6301,9.6301,9.63,9.63,700
2018-11-13,TTCFQ,9.62,9.63,9.62,9.63,1150
2018-11-14,TTCFQ,9.63,9.65,9.62,9.63,618656
2018-11-15,TTCFQ,9.63,9.63,9.63,9.63,2099
2018-11-16,TTCFQ,9.54,9.64,9.52,9.64,103604
2018-11-19,TTCFQ,9.63,9.65,9.63,9.65,142975
2018-11-20,TTCFQ,9.65,9.7,9.62,9.62,314900
2018-11-21,TTCFQ,9.69,9.69,9.62,9.62,12000
2018-11-26,TTCFQ,9.62,9.64,9.62,9.63,156215
2018-11-27,TTCFQ,9.65,9.65,9.65,9.65,100
2018-11-28,TTCFQ,9.64,9.69,9.64,9.65,7200
2018-11-29,TTCFQ,9.65,9.69,9.65,9.65,155700
2018-11-30,TTCFQ,9.65,9.66,9.65,9.66,84950
2018-12-03,TTCFQ,9.67,9.67,9.67,9.67,100
2018-12-04,TTCFQ,9.67,9.67,9.67,9.67,40
2018-12-06,TTCFQ,9.6911,9.7,9.6911,9.7,50409
2018-12-07,TTCFQ,9.69,9.69,9.69,9.69,200
2018-12-10,TTCFQ,9.68,9.69,9.63,9.69,900
