date,ticker,open,high,low,close,volume
2021-03-29,UHG,10.18,10.18,9.6,9.75,130247
2021-03-30,UHG,10.25,10.25,9.7058,9.75,64613
2021-03-31,UHG,10.0,10.0,9.74,9.76,20185
2021-04-01,UHG,9.7354,9.75,9.72,9.75,531333
2021-04-05,UHG,9.75,9.82,9.75,9.805,7574
2021-04-06,UHG,9.65,9.95,9.65,9.75,11225
2021-04-07,UHG,9.785,9.85,9.76,9.84,24055
2021-04-08,UHG,9.975,9.99,9.9,9.98,6292
2021-04-09,UHG,9.98,9.98,9.98,9.98,410
2021-04-12,UHG,9.98,9.98,9.98,9.98,33
2021-04-13,UHG,9.85,9.85,9.85,9.85,4015
2021-04-14,UHG,9.8,9.95,9.8,9.85,140267
2021-04-15,UHG,9.85,9.86,9.85,9.85,9283
2021-04-16,UHG,9.8,9.82,9.8,9.82,24477
2021-04-19,UHG,9.7644,9.95,9.7644,9.85,7794
2021-04-20,UHG,9.9,9.9,9.9,9.9,292
2021-04-21,UHG,9.85,9.85,9.82,9.85,3657
2021-04-22,UHG,9.7923,9.7923,9.7923,9.7923,1531
2021-04-23,UHG,9.795,9.8,9.755,9.8,12330
2021-04-26,UHG,9.72,9.72,9.68,9.68,5229
2021-04-27,UHG,9.67,9.76,9.67,9.76,6908
2021-04-28,UHG,9.76,9.7943,9.76,9.7604,37322
2021-04-29,UHG,9.8,9.8,9.76,9.76,12401
2021-04-30,UHG,9.75,9.76,9.74,9.75,103831
2021-05-03,UHG,9.77,9.79,9.77,9.77,36572
2021-05-04,UHG,9.79,9.8,9.79,9.79,11101
2021-05-05,UHG,9.79,9.79,9.74,9.75,57103
2021-05-06,UHG,9.75,9.76,9.74,9.74,58497
2021-05-07,UHG,9.74,9.8058,9.74,9.74,26952
2021-05-10,UHG,9.74,9.81,9.74,9.78,25386
2021-05-11,UHG,9.78,9.78,9.75,9.75,1150
2021-05-12,UHG,9.75,9.75,9.75,9.75,88
2021-05-13,UHG,9.75,9.75,9.75,9.75,40
2021-05-14,UHG,9.75,9.75,9.75,9.75,23
2021-05-17,UHG,9.75,9.75,9.75,9.75,2
2021-05-18,UHG,9.715,9.75,9.7,9.7,13606
2021-05-19,UHG,9.7,9.7,9.63,9.655,32430
2021-05-20,UHG,9.63,9.695,9.61,9.61,188630
2021-05-21,UHG,9.61,9.6502,9.61,9.6502,30851
2021-05-24,UHG,9.631,9.6441,9.62,9.62,2350
2021-05-25,UHG,9.65,9.66,9.65,9.65,1311
2021-05-26,UHG,9.68,9.725,9.62,9.72,12371
2021-05-27,UHG,9.63,9.645,9.62,9.63,40911
2021-05-28,UHG,9.63,9.68,9.62,9.68,59775
2021-06-01,UHG,9.68,9.73,9.64,9.73,34236
2021-06-02,UHG,9.71,9.78,9.71,9.78,31803
2021-06-03,UHG,9.74,9.76,9.74,9.76,2101
2021-06-04,UHG,9.76,9.78,9.74,9.74,30261
2021-06-07,UHG,9.75,9.76,9.74,9.75,24345
2021-06-08,UHG,9.75,9.75,9.75,9.75,24
2021-06-09,UHG,9.75,9.75,9.75,9.75,471
2021-06-10,UHG,9.76,9.78,9.7,9.77,9299
2021-06-11,UHG,9.76,9.77,9.73,9.73,11179
2021-06-14,UHG,9.72,9.72,9.72,9.72,1116
