date,ticker,open,high,low,close,volume
2021-06-07,VWESQ,10.35,11.13,10.25,11.07,1233500
2021-06-08,VWESQ,11.64,12.65,11.5,12.6,1270961
2021-06-09,VWESQ,13.25,13.399,12.3868,12.8,1036501
2021-06-10,VWESQ,12.51,13.48,12.51,12.85,716082
2021-06-11,VWESQ,13.07,13.14,12.5,12.63,333914
2021-06-14,VWESQ,12.9,12.9,12.107,12.19,417853
2021-06-15,VWESQ,12.31,12.415,11.5,11.78,727258
2021-06-16,VWESQ,11.76,12.12,11.6,11.8,264313
2021-06-17,VWESQ,11.79,12.18,11.785,11.98,412091
2021-06-18,VWESQ,11.94,11.9427,11.52,11.86,192132
2021-06-21,VWESQ,11.86,11.86,11.4,11.53,324932
2021-06-22,VWESQ,11.6,11.94,11.6,11.9,140361
2021-06-23,VWESQ,11.9,12.17,11.7357,12.13,115356
2021-06-24,VWESQ,12.2,12.72,12.023,12.06,269087
2021-06-25,VWESQ,12.07,12.2,11.49,11.79,306081
2021-06-28,VWESQ,11.78,12.0637,11.5,11.73,267798
2021-06-29,VWESQ,11.51,12.29,11.51,12.21,210256
2021-06-30,VWESQ,12.2,12.2,11.95,12.0,102696
2021-07-01,VWESQ,12.0,12.12,11.86,11.87,98850
2021-07-02,VWESQ,12.05,12.0777,11.58,11.68,187822
2021-07-06,VWESQ,11.65,11.68,11.12,11.15,210263
2021-07-07,VWESQ,11.4,11.4,11.01,11.06,204987
2021-07-08,VWESQ,10.75,11.12,10.6,11.08,323716
2021-07-09,VWESQ,11.06,12.1145,10.9,11.88,1272309
2021-07-12,VWESQ,11.99,12.13,11.57,11.59,216995
2021-07-13,VWESQ,11.65,12.0,11.49,11.77,260534
2021-07-14,VWESQ,11.67,11.9,11.18,11.33,374374
2021-07-15,VWESQ,11.455,11.6002,10.53,10.7,286464
2021-07-16,VWESQ,10.82,10.9661,10.65,10.79,195635
2021-07-19,VWESQ,10.66,10.875,10.455,10.54,280423
2021-07-20,VWESQ,10.6,10.7,10.18,10.52,397541
2021-07-21,VWESQ,10.59,10.95,10.45,10.72,268989
2021-07-22,VWESQ,10.73,10.75,10.5,10.62,183030
2021-07-23,VWESQ,10.77,10.83,10.42,10.61,178490
2021-07-26,VWESQ,10.58,10.7,10.25,10.28,249615
2021-07-27,VWESQ,10.24,10.28,9.69,10.12,346460
