date,ticker,open,high,low,close,volume
2020-11-04,WGS,9.8,9.8,9.8,9.8,2010
2020-11-05,WGS,9.8,9.8,9.8,9.8,0
2020-11-06,WGS,9.8,9.8,9.8,9.8,10
2020-11-09,WGS,9.8,9.8,9.8,9.8,0
2020-11-10,WGS,9.8,9.8,9.8,9.8,0
2020-11-11,WGS,9.8,9.8,9.8,9.8,18
2020-11-12,WGS,10.3,10.3,10.3,10.3,218
2020-11-13,WGS,10.0285,10.23,10.0285,10.23,707
2020-11-16,WGS,10.87,10.87,9.66,9.93,7982
2020-11-17,WGS,9.93,9.93,9.93,9.93,362667
2020-11-18,WGS,9.93,9.93,9.93,9.93,91
2020-11-19,WGS,9.92,9.92,9.8981,9.92,1224
2020-11-20,WGS,9.9007,10.02,9.9007,10.02,3094
2020-11-23,WGS,10.0,10.07,9.99,10.02,25374
2020-11-24,WGS,10.04,10.15,10.02,10.07,36155
2020-11-25,WGS,10.1,10.2,10.1,10.15,32512
2020-11-27,WGS,10.13,10.16,10.13,10.13,1751
2020-11-30,WGS,10.22,10.28,10.05,10.245,10585
2020-12-01,WGS,11.04,12.14,10.105,10.3512,26703
2020-12-02,WGS,11.0,11.0,10.2,10.6662,29893
2020-12-03,WGS,10.4,10.5,10.13,10.2,108575
2020-12-04,WGS,10.27,10.3,10.196,10.25,92410
2020-12-07,WGS,11.0,12.0,10.35,10.5,300105
2020-12-08,WGS,10.6,10.6,10.25,10.35,121709
2020-12-09,WGS,10.6,10.6,10.28,10.5,303445
2020-12-10,WGS,10.59,10.65,10.35,10.4285,458127
2020-12-11,WGS,10.6,10.6,10.35,10.56,210021
2020-12-14,WGS,10.7,11.47,10.6,10.73,508963
2020-12-15,WGS,10.8,11.0,10.6,10.6,97054
2020-12-16,WGS,10.75,10.9,10.46,10.68,280343
2020-12-17,WGS,10.68,10.68,10.55,10.66,96593
2020-12-18,WGS,10.88,10.9,10.63,10.85,253304
2020-12-21,WGS,11.27,12.03,10.79,11.3,769630
2020-12-22,WGS,11.64,11.75,11.12,11.27,431167
2020-12-23,WGS,11.21,11.57,11.15,11.47,320303
2020-12-24,WGS,12.15,12.25,11.5,11.59,446304
2020-12-28,WGS,11.85,11.85,11.22,11.39,465958
2020-12-29,WGS,11.5,11.5,10.9,11.1,446476
2020-12-30,WGS,11.01,11.38,10.9,11.07,144673
2020-12-31,WGS,11.07,11.22,10.86,11.04,272790
2021-01-04,WGS,11.04,11.39,10.71,10.7498,444273
2021-01-05,WGS,10.94,11.15,10.81,10.95,466933
2021-01-06,WGS,10.93,11.1,10.7,10.89,150767
2021-01-07,WGS,11.34,11.34,10.71,11.2,852899
2021-01-08,WGS,11.205,11.5,11.1,11.35,385706
2021-01-11,WGS,11.43,11.52,11.15,11.52,709329
2021-01-12,WGS,11.52,11.77,11.31,11.73,366166
2021-01-13,WGS,11.85,12.4,11.72,12.19,659863
2021-01-14,WGS,12.8,12.88,11.71,12.15,707077
2021-01-15,WGS,12.26,12.26,11.29,11.86,635013
2021-01-19,WGS,12.11,12.11,11.26,11.65,696075
2021-01-20,WGS,11.76,12.0,11.75,11.91,313029
2021-01-21,WGS,11.8,12.05,11.7876,12.01,243108
2021-01-22,WGS,12.05,12.28,11.885,12.25,377627
2021-01-25,WGS,12.52,13.52,12.05,12.49,1102335
2021-01-26,WGS,12.72,13.2,12.49,12.98,1043775
2021-01-27,WGS,12.17,12.8,11.26,12.46,966876
2021-01-28,WGS,12.75,12.75,12.0,12.58,734065
2021-01-29,WGS,12.3,12.51,12.15,12.51,420379
2021-02-01,WGS,12.53,13.52,12.31,12.73,466551
2021-02-02,WGS,13.46,13.88,13.1,13.14,535326
2021-02-03,WGS,13.32,14.99,13.32,13.58,505911
2021-02-04,WGS,13.51,13.8541,13.5,13.75,338927
2021-02-05,WGS,14.07,14.68,13.45,13.81,961580
2021-02-08,WGS,14.65,14.69,14.1,14.27,569005
2021-02-09,WGS,14.53,15.7,14.2,15.52,911378
2021-02-10,WGS,23.0,25.74,18.98,22.1,25644428
2021-02-11,WGS,20.96,22.89,20.7501,22.35,6058870
2021-02-12,WGS,26.1965,27.18,25.25,25.81,6857929
2021-02-16,WGS,26.56,26.9,24.31,24.49,3288587
2021-02-17,WGS,24.55,24.74,22.37,23.28,2494033
2021-02-18,WGS,23.51,24.99,23.1,23.9,1983134
2021-02-19,WGS,24.04,24.84,22.75,23.1,2572850
2021-02-22,WGS,23.1,23.42,21.25,21.49,2184767
2021-02-23,WGS,20.14,20.79,18.19,19.56,4112998
2021-02-24,WGS,20.01,21.1987,19.81,20.1,1506983
2021-02-25,WGS,20.2,21.5,18.56,19.26,2529933
2021-02-26,WGS,19.82,20.9,18.3701,20.01,2361433
2021-03-01,WGS,20.77,21.44,20.31,20.98,1591726
2021-03-02,WGS,20.84,21.48,19.58,19.75,1065250
2021-03-03,WGS,19.79,19.9673,17.61,18.19,2722831
2021-03-04,WGS,18.01,18.07,14.71,16.01,4786898
2021-03-05,WGS,16.03,16.58,13.67,16.41,3415185
2021-03-08,WGS,16.88,17.4,14.73,15.11,1538449
2021-03-09,WGS,15.78,17.17,15.62,16.1,997236
2021-03-10,WGS,16.77,17.49,16.37,16.75,734213
2021-03-11,WGS,16.98,17.75,16.88,17.23,764576
2021-03-12,WGS,17.05,17.36,16.5,17.27,545599
2021-03-15,WGS,17.5135,18.69,17.48,17.99,531883
2021-03-16,WGS,17.85,18.4599,16.94,16.96,558238
2021-03-17,WGS,16.08,16.98,15.35,16.65,739179
2021-03-18,WGS,16.25,16.45,15.51,15.65,482500
2021-03-19,WGS,15.86,16.14,15.05,15.76,600771
2021-03-22,WGS,15.9,17.14,15.75,16.72,454004
2021-03-23,WGS,17.04,17.04,15.06,15.44,677320
2021-03-24,WGS,15.6,15.65,13.71,13.84,1322341
2021-03-25,WGS,13.04,14.65,12.75,14.38,2182560
2021-03-26,WGS,13.95,14.89,13.11,14.13,1463784
2021-03-29,WGS,13.8,14.14,13.52,13.67,659522
2021-03-30,WGS,13.59,14.29,13.05,13.63,742532
2021-03-31,WGS,14.0,15.03,13.87,14.89,837874
2021-04-01,WGS,15.34,16.92,15.03,16.75,2053159
2021-04-05,WGS,16.76,16.76,15.35,15.61,975464
2021-04-06,WGS,15.47,15.99,15.05,15.61,746986
