date,ticker,open,high,low,close,volume
2021-09-23,XAGE,10.04,10.08,9.65,9.75,3685
2021-09-24,XAGE,9.75,9.75,9.75,9.75,376
2021-09-27,XAGE,9.87,9.87,9.62,9.66,16998
2021-09-28,XAGE,9.6638,9.68,9.66,9.66,3589
2021-09-29,XAGE,9.66,9.66,9.65,9.65,76162
2021-09-30,XAGE,9.68,9.68,9.68,9.68,542
2021-10-01,XAGE,9.6552,9.6552,9.6552,9.6552,245
2021-10-04,XAGE,9.66,9.66,9.66,9.66,1023
2021-10-05,XAGE,9.66,9.69,9.6422,9.69,6107
2021-10-06,XAGE,9.675,9.7,9.675,9.7,33958
2021-10-07,XAGE,9.67,9.73,9.67,9.73,1566
2021-10-08,XAGE,9.73,9.73,9.73,9.73,302
2021-10-11,XAGE,9.73,9.73,9.73,9.73,55
2021-10-12,XAGE,9.73,9.73,9.73,9.73,63
2021-10-13,XAGE,9.79,9.79,9.79,9.79,328
2021-10-14,XAGE,9.7167,9.72,9.7,9.7,20097
2021-10-15,XAGE,9.715,9.715,9.715,9.715,519
2021-10-18,XAGE,9.715,9.715,9.715,9.715,20
2021-10-19,XAGE,9.6694,9.71,9.6694,9.71,260
2021-10-20,XAGE,9.71,9.71,9.71,9.71,43
2021-10-21,XAGE,9.71,9.71,9.71,9.71,35
2021-10-22,XAGE,9.71,9.71,9.71,9.71,56
2021-10-25,XAGE,9.7,9.7,9.68,9.7,14300
2021-10-26,XAGE,9.71,9.71,9.7,9.71,6811
2021-10-27,XAGE,9.7,9.71,9.7,9.71,4396
2021-10-28,XAGE,9.71,9.71,9.71,9.71,210
2021-10-29,XAGE,9.66,9.66,9.66,9.66,309
2021-11-01,XAGE,9.7,9.85,9.7,9.75,26524
2021-11-02,XAGE,9.78,9.81,9.7202,9.765,2926
2021-11-03,XAGE,9.71,9.8,9.71,9.79,5182
2021-11-04,XAGE,9.79,9.79,9.79,9.79,100
2021-11-05,XAGE,9.79,9.79,9.79,9.79,25
2021-11-08,XAGE,9.79,9.79,9.79,9.79,323
2021-11-09,XAGE,9.71,9.79,9.71,9.79,1304
2021-11-10,XAGE,9.75,9.76,9.71,9.76,599
2021-11-11,XAGE,9.7,9.7,9.7,9.7,121
2021-11-12,XAGE,9.7499,9.7499,9.7499,9.7499,1121
2021-11-15,XAGE,9.73,9.73,9.73,9.73,2215
2021-11-16,XAGE,9.71,9.71,9.71,9.71,112
2021-11-17,XAGE,9.72,9.72,9.72,9.72,1001
2021-11-18,XAGE,9.74,9.74,9.71,9.71,2464
2021-11-19,XAGE,9.73,9.73,9.71,9.71,2427
2021-11-22,XAGE,9.71,9.71,9.71,9.71,4
2021-11-23,XAGE,9.71,9.71,9.71,9.71,105
2021-11-24,XAGE,9.71,9.71,9.71,9.71,33
2021-11-26,XAGE,9.71,9.71,9.71,9.71,1000
2021-11-29,XAGE,9.72,9.72,9.72,9.72,12022
2021-11-30,XAGE,9.7288,9.7288,9.71,9.71,631
2021-12-01,XAGE,9.71,9.71,9.71,9.71,10167
2021-12-02,XAGE,9.71,9.71,9.67,9.68,31886
2021-12-03,XAGE,9.68,9.68,9.68,9.68,67
2021-12-06,XAGE,9.68,9.68,9.68,9.68,2
2021-12-07,XAGE,9.68,9.68,9.68,9.68,11
2021-12-08,XAGE,9.68,9.68,9.68,9.68,32
2021-12-09,XAGE,9.68,9.68,9.68,9.68,0
2021-12-10,XAGE,9.79,9.79,9.77,9.77,3987
2021-12-13,XAGE,9.78,9.78,9.78,9.78,105
2021-12-14,XAGE,9.78,9.78,9.78,9.78,4065
2021-12-15,XAGE,9.78,9.78,9.78,9.78,4
2021-12-16,XAGE,9.78,9.78,9.78,9.78,0
2021-12-17,XAGE,9.78,9.78,9.78,9.78,2
2021-12-20,XAGE,9.78,9.78,9.78,9.78,4
2021-12-21,XAGE,9.78,9.78,9.74,9.75,1701
2021-12-22,XAGE,9.75,9.75,9.75,9.75,0
2021-12-23,XAGE,9.76,9.76,9.75,9.75,3292
2021-12-27,XAGE,9.704,9.704,9.7,9.7,6698
2021-12-28,XAGE,9.7,9.7,9.69,9.69,10442
2021-12-29,XAGE,9.69,9.69,9.69,9.69,50
2021-12-30,XAGE,9.65,9.65,9.6,9.62,3843
2021-12-31,XAGE,9.62,9.62,9.62,9.62,51
2022-01-03,XAGE,9.62,9.62,9.62,9.62,5
2022-01-04,XAGE,9.62,9.62,9.62,9.62,10
2022-01-05,XAGE,9.6301,9.6301,9.6301,9.6301,111
2022-01-06,XAGE,9.6301,9.6301,9.6301,9.6301,0
2022-01-07,XAGE,9.6301,9.6301,9.6301,9.6301,20
2022-01-10,XAGE,9.65,9.68,9.65,9.68,5178
2022-01-11,XAGE,9.65,9.65,9.61,9.65,22031
2022-01-12,XAGE,9.65,9.65,9.629,9.629,5262
2022-01-13,XAGE,9.6429,9.6506,9.6429,9.65,9106
2022-01-14,XAGE,9.66,9.66,9.66,9.66,3000
2022-01-18,XAGE,9.69,9.69,9.69,9.69,484
2022-01-19,XAGE,9.69,9.69,9.69,9.69,0
2022-01-20,XAGE,9.69,9.69,9.69,9.69,2
2022-01-21,XAGE,9.63,9.63,9.62,9.62,303
2022-01-24,XAGE,9.63,9.6696,9.63,9.6696,1584
2022-01-25,XAGE,9.6696,9.6696,9.6696,9.6696,3
2022-01-26,XAGE,9.6696,9.6696,9.6696,9.6696,0
2022-01-27,XAGE,9.65,9.65,9.6,9.65,4514
2022-01-28,XAGE,9.6217,9.63,9.61,9.62,3174
2022-01-31,XAGE,9.62,9.7,9.6188,9.7,4481
2022-02-01,XAGE,9.74,9.74,9.6,9.62,8162
2022-02-02,XAGE,9.62,9.62,9.62,9.62,59
2022-02-03,XAGE,9.65,9.65,9.65,9.65,117
2022-02-04,XAGE,9.65,9.65,9.65,9.65,12
2022-02-07,XAGE,9.6,9.7,9.6,9.7,11949
2022-02-08,XAGE,9.646,9.65,9.61,9.62,1417
2022-02-09,XAGE,9.65,9.655,9.65,9.65,11317
2022-02-10,XAGE,9.65,9.65,9.65,9.65,0
2022-02-11,XAGE,9.62,9.68,9.62,9.68,302
2022-02-14,XAGE,9.635,9.65,9.635,9.65,2670
2022-02-15,XAGE,9.65,9.6609,9.65,9.6609,365
2022-02-16,XAGE,9.62,9.62,9.6,9.6,8031
2022-02-17,XAGE,9.61,9.61,9.61,9.61,1068
2022-02-18,XAGE,9.64,9.64,9.64,9.64,2520
2022-02-22,XAGE,9.64,9.64,9.64,9.64,14
2022-02-23,XAGE,9.64,9.64,9.64,9.64,0
2022-02-24,XAGE,9.64,9.64,9.64,9.64,3
2022-02-25,XAGE,9.64,9.64,9.64,9.64,0
2022-02-28,XAGE,9.64,9.64,9.64,9.64,3
2022-03-01,XAGE,9.64,9.75,9.62,9.62,18603
2022-03-02,XAGE,9.65,9.65,9.64,9.642,1630
2022-03-03,XAGE,9.66,9.716,9.66,9.66,6014
2022-03-04,XAGE,9.66,9.66,9.66,9.66,0
2022-03-07,XAGE,9.62,9.66,9.62,9.66,4742
2022-03-08,XAGE,9.62,9.6776,9.62,9.66,2487
2022-03-09,XAGE,9.66,9.66,9.66,9.66,13266
2022-03-10,XAGE,9.66,9.66,9.66,9.66,51
2022-03-11,XAGE,9.67,9.67,9.67,9.67,2450
2022-03-14,XAGE,9.67,9.67,9.67,9.67,2
2022-03-15,XAGE,9.67,9.67,9.67,9.67,0
2022-03-16,XAGE,9.6201,9.68,9.62,9.68,12137
2022-03-17,XAGE,9.68,9.68,9.68,9.68,50
2022-03-18,XAGE,9.68,9.68,9.65,9.68,15470
2022-03-21,XAGE,9.6936,9.6936,9.63,9.68,44742
2022-03-22,XAGE,9.68,9.68,9.68,9.68,11
2022-03-23,XAGE,9.68,9.68,9.68,9.68,1
2022-03-24,XAGE,9.68,9.68,9.68,9.68,3
2022-03-25,XAGE,9.68,9.68,9.68,9.68,10
2022-03-28,XAGE,9.68,9.68,9.68,9.68,30
2022-03-29,XAGE,9.7,9.7,9.68,9.7,102732
2022-03-30,XAGE,9.7,9.7,9.7,9.7,1
2022-03-31,XAGE,9.72,9.74,9.72,9.74,1558
2022-04-01,XAGE,9.74,9.74,9.74,9.74,20250
2022-04-04,XAGE,9.74,9.74,9.74,9.74,0
2022-04-05,XAGE,9.74,9.74,9.74,9.74,30
2022-04-06,XAGE,9.74,9.74,9.74,9.74,0
2022-04-07,XAGE,9.69,9.69,9.69,9.69,275
2022-04-08,XAGE,9.69,9.69,9.69,9.69,1902
2022-04-11,XAGE,9.69,9.69,9.69,9.69,1
2022-04-12,XAGE,9.69,9.69,9.69,9.69,0
2022-04-13,XAGE,9.705,9.75,9.705,9.75,7891
2022-04-14,XAGE,9.68,9.74,9.65,9.74,3488
2022-04-18,XAGE,9.71,9.72,9.69,9.72,4533
2022-04-19,XAGE,9.68,9.71,9.68,9.71,4154
2022-04-20,XAGE,9.7,9.72,9.7,9.72,2068
2022-04-21,XAGE,9.7,9.7,9.7,9.7,330
2022-04-22,XAGE,9.71,9.71,9.71,9.71,2620
2022-04-25,XAGE,9.71,9.71,9.71,9.71,25
2022-04-26,XAGE,9.69,9.7,9.69,9.7,9371
2022-04-27,XAGE,9.71,9.71,9.71,9.71,5001
2022-04-28,XAGE,9.71,9.71,9.71,9.71,0
2022-04-29,XAGE,9.7,9.7,9.7,9.7,14298
2022-05-02,XAGE,9.7,9.7,9.7,9.7,0
2022-05-03,XAGE,9.7,9.7,9.7,9.7,0
2022-05-04,XAGE,9.7,9.7,9.7,9.7,0
2022-05-05,XAGE,9.7,9.7,9.7,9.7,15
2022-05-06,XAGE,9.7,9.7,9.7,9.7,0
2022-05-09,XAGE,9.7,9.7,9.7,9.7,29
2022-05-10,XAGE,9.71,9.71,9.71,9.71,268
2022-05-11,XAGE,9.68,9.68,9.68,9.68,261
2022-05-12,XAGE,9.68,9.68,9.68,9.68,90
2022-05-13,XAGE,9.68,9.68,9.68,9.68,0
2022-05-16,XAGE,9.68,9.68,9.68,9.68,300
2022-05-17,XAGE,9.68,9.68,9.68,9.68,0
2022-05-18,XAGE,9.66,9.66,9.66,9.66,200
2022-05-19,XAGE,9.66,9.66,9.66,9.66,0
2022-05-20,XAGE,9.66,9.66,9.65,9.65,405
2022-05-23,XAGE,9.65,9.65,9.65,9.65,4
2022-05-24,XAGE,9.65,9.65,9.65,9.65,2
2022-05-25,XAGE,9.65,9.65,9.65,9.65,0
2022-05-26,XAGE,9.65,9.65,9.65,9.65,0
2022-05-27,XAGE,9.65,9.65,9.65,9.65,10
2022-05-31,XAGE,9.65,9.65,9.65,9.65,0
2022-06-01,XAGE,9.65,9.65,9.65,9.65,48000
2022-06-02,XAGE,9.65,9.65,9.65,9.65,1
2022-06-03,XAGE,9.65,9.65,9.65,9.65,12
2022-06-06,XAGE,9.65,9.65,9.65,9.65,636000
2022-06-07,XAGE,9.65,9.66,9.65,9.66,15168
2022-06-08,XAGE,9.66,9.67,9.65,9.67,100058
2022-06-09,XAGE,9.67,9.67,9.67,9.67,2200
2022-06-10,XAGE,9.67,9.67,9.67,9.67,0
2022-06-13,XAGE,9.68,9.68,9.68,9.68,257
2022-06-14,XAGE,9.67,9.67,9.67,9.67,4594
2022-06-15,XAGE,9.69,9.69,9.66,9.69,3251
2022-06-16,XAGE,9.69,9.69,9.69,9.69,415
2022-06-17,XAGE,9.67,9.67,9.67,9.67,301
2022-06-21,XAGE,9.67,9.67,9.67,9.67,73
2022-06-22,XAGE,9.69,9.69,9.69,9.69,200
2022-06-23,XAGE,9.67,9.67,9.67,9.67,15000
2022-06-24,XAGE,9.67,9.67,9.67,9.67,0
2022-06-27,XAGE,9.69,9.7,9.6897,9.7,2786
2022-06-28,XAGE,9.7,9.7,9.7,9.7,1
2022-06-29,XAGE,9.69,9.69,9.69,9.69,300040
2022-06-30,XAGE,9.69,9.69,9.68,9.68,5894
2022-07-01,XAGE,9.7,9.785,9.7,9.7,15639
2022-07-05,XAGE,9.7,9.7,9.7,9.7,1
2022-07-06,XAGE,9.68,9.68,9.68,9.68,302
2022-07-07,XAGE,9.69,9.69,9.69,9.69,3039
2022-07-08,XAGE,9.68,9.68,9.68,9.68,348
2022-07-11,XAGE,9.71,9.71,9.71,9.71,1100
2022-07-12,XAGE,9.71,9.71,9.71,9.71,0
2022-07-13,XAGE,9.68,9.695,9.68,9.695,2100
2022-07-14,XAGE,9.695,9.695,9.695,9.695,0
2022-07-15,XAGE,9.695,9.695,9.695,9.695,0
2022-07-18,XAGE,9.695,9.695,9.695,9.695,32
2022-07-19,XAGE,9.695,9.695,9.695,9.695,0
2022-07-20,XAGE,9.695,9.695,9.695,9.695,12
2022-07-21,XAGE,9.695,9.695,9.695,9.695,5
2022-07-22,XAGE,9.7,9.7,9.69,9.7,4401
2022-07-25,XAGE,9.71,9.71,9.68,9.71,62697
2022-07-26,XAGE,9.72,9.72,9.72,9.72,1406
2022-07-27,XAGE,9.72,9.72,9.7,9.72,124030
2022-07-28,XAGE,9.72,9.72,9.72,9.72,358249
2022-07-29,XAGE,9.73,9.73,9.73,9.73,1600
2022-08-01,XAGE,9.73,9.73,9.72,9.72,2603
2022-08-02,XAGE,9.72,9.72,9.72,9.72,64171
2022-08-03,XAGE,9.7,9.73,9.7,9.73,4738
2022-08-04,XAGE,9.74,9.74,9.74,9.74,9400
2022-08-05,XAGE,9.73,9.73,9.73,9.73,424
2022-08-08,XAGE,9.73,9.73,9.73,9.73,300
2022-08-09,XAGE,9.73,9.73,9.73,9.73,0
2022-08-10,XAGE,9.73,9.73,9.73,9.73,0
2022-08-11,XAGE,9.74,9.74,9.74,9.74,1600
2022-08-12,XAGE,9.74,9.74,9.74,9.74,20
2022-08-15,XAGE,9.74,9.74,9.74,9.74,0
2022-08-16,XAGE,9.74,9.74,9.74,9.74,50
2022-08-17,XAGE,9.73,9.73,9.72,9.72,1008
2022-08-18,XAGE,9.73,9.73,9.73,9.73,700
2022-08-19,XAGE,9.74,9.74,9.74,9.74,602
2022-08-22,XAGE,9.73,9.74,9.72,9.74,5520
2022-08-23,XAGE,9.74,9.74,9.74,9.74,0
2022-08-24,XAGE,9.7,9.7,9.7,9.7,100
2022-08-25,XAGE,9.71,9.72,9.71,9.72,23553
2022-08-26,XAGE,9.75,9.83,9.73,9.74,6501
2022-08-29,XAGE,9.74,9.74,9.74,9.74,0
2022-08-30,XAGE,9.74,9.74,9.74,9.74,5000
2022-08-31,XAGE,9.74,9.74,9.74,9.74,0
2022-09-01,XAGE,9.74,9.74,9.74,9.74,722
2022-09-02,XAGE,9.74,9.74,9.74,9.74,0
2022-09-06,XAGE,9.74,9.74,9.74,9.74,5
2022-09-07,XAGE,9.74,9.74,9.74,9.74,0
2022-09-08,XAGE,9.74,9.74,9.74,9.74,9
2022-09-09,XAGE,9.74,9.74,9.74,9.74,9
2022-09-12,XAGE,9.74,9.74,9.74,9.74,0
2022-09-13,XAGE,9.74,9.74,9.74,9.74,51
2022-09-14,XAGE,9.68,9.74,9.67,9.74,23901
2022-09-15,XAGE,9.74,9.74,9.74,9.74,203
2022-09-16,XAGE,9.74,9.74,9.74,9.74,53
2022-09-19,XAGE,9.74,9.74,9.74,9.74,0
2022-09-20,XAGE,9.72,9.72,9.72,9.72,1138
2022-09-21,XAGE,9.72,9.74,9.72,9.73,9600
2022-09-22,XAGE,9.74,9.74,9.74,9.74,18102
2022-09-23,XAGE,9.74,9.74,9.74,9.74,0
2022-09-26,XAGE,9.72,9.72,9.7,9.7,5201
2022-09-27,XAGE,9.72,9.72,9.7,9.71,2400
2022-09-28,XAGE,9.735,9.74,9.73,9.74,49825
2022-09-29,XAGE,9.74,9.74,9.74,9.74,0
2022-09-30,XAGE,9.74,9.74,9.74,9.74,44100
2022-10-03,XAGE,9.74,9.74,9.74,9.74,1
2022-10-04,XAGE,9.75,9.75,9.735,9.735,3358
2022-10-05,XAGE,9.735,9.735,9.735,9.735,0
2022-10-06,XAGE,9.735,9.735,9.735,9.735,0
2022-10-07,XAGE,9.75,9.75,9.75,9.75,281
2022-10-10,XAGE,9.75,9.75,9.75,9.75,0
2022-10-11,XAGE,9.73,9.76,9.73,9.755,6698
2022-10-12,XAGE,9.755,9.755,9.755,9.755,0
2022-10-13,XAGE,9.755,9.755,9.755,9.755,0
2022-10-14,XAGE,9.755,9.755,9.755,9.755,0
2022-10-17,XAGE,9.77,9.77,9.76,9.76,773
2022-10-18,XAGE,9.76,9.76,9.76,9.76,1
2022-10-19,XAGE,9.77,9.77,9.77,9.77,1400
2022-10-20,XAGE,9.755,9.77,9.755,9.77,1600
2022-10-21,XAGE,9.775,9.78,9.775,9.775,169600
2022-10-24,XAGE,9.775,9.775,9.775,9.775,0
2022-10-25,XAGE,9.77,9.78,9.77,9.78,300
2022-10-26,XAGE,9.79,9.79,9.79,9.79,5686
2022-10-27,XAGE,9.8,9.8,9.8,9.8,1768
2022-10-28,XAGE,9.8,9.8,9.8,9.8,24
2022-10-31,XAGE,9.78,9.8,9.78,9.8,47617
2022-11-01,XAGE,9.8,9.81,9.8,9.81,15059
2022-11-02,XAGE,9.8,9.81,9.8,9.8,10210
2022-11-03,XAGE,9.8,9.8,9.8,9.8,0
2022-11-04,XAGE,9.81,9.82,9.81,9.82,4245
2022-11-07,XAGE,9.82,9.83,9.82,9.82,38726
2022-11-08,XAGE,9.82,9.82,9.82,9.82,32
2022-11-09,XAGE,9.77,9.84,9.77,9.84,409
2022-11-10,XAGE,9.83,9.84,9.83,9.83,24631
2022-11-11,XAGE,9.8,9.83,9.78,9.83,16580
2022-11-14,XAGE,9.83,9.83,9.83,9.83,10787
2022-11-15,XAGE,9.83,9.83,9.83,9.83,0
2022-11-16,XAGE,9.84,9.84,9.825,9.84,41907
2022-11-17,XAGE,9.83,9.83,9.83,9.83,13313
2022-11-18,XAGE,9.835,9.835,9.82,9.82,2731
2022-11-21,XAGE,9.79,9.84,9.79,9.84,539
2022-11-22,XAGE,9.85,9.86,9.85,9.86,53000
2022-11-23,XAGE,9.85,9.86,9.85,9.86,590
2022-11-25,XAGE,9.86,9.87,9.86,9.87,5494
2022-11-28,XAGE,9.8312,9.8312,9.8312,9.8312,180
2022-11-29,XAGE,9.83,9.87,9.83,9.87,4918
2022-11-30,XAGE,9.88,9.89,9.88,9.89,4514
2022-12-01,XAGE,9.88,9.89,9.88,9.89,2101
2022-12-02,XAGE,9.89,9.89,9.89,9.89,0
2022-12-05,XAGE,9.88,9.91,9.88,9.91,15180
2022-12-06,XAGE,9.89,9.89,9.88,9.88,37428
2022-12-07,XAGE,9.9,9.9,9.86,9.86,3200
2022-12-08,XAGE,9.89,9.89,9.88,9.88,28453
2022-12-09,XAGE,9.88,9.88,9.88,9.88,0
2022-12-12,XAGE,9.88,9.88,9.88,9.88,24
2022-12-13,XAGE,9.88,9.88,9.88,9.88,60
2022-12-14,XAGE,9.87,9.87,9.87,9.87,100
2022-12-15,XAGE,9.86,9.88,9.86,9.88,1938
2022-12-16,XAGE,9.89,9.89,9.89,9.89,416
2022-12-19,XAGE,9.88,9.9,9.88,9.9,1125
2022-12-20,XAGE,9.88,9.88,9.88,9.88,3000
2022-12-21,XAGE,9.89,9.94,9.88,9.94,2920
2022-12-22,XAGE,9.94,9.94,9.94,9.94,11
2022-12-23,XAGE,9.94,9.94,9.94,9.94,0
2022-12-27,XAGE,9.9,9.91,9.89,9.91,115988
2022-12-28,XAGE,9.91,9.93,9.91,9.93,92735
2022-12-29,XAGE,9.94,9.94,9.94,9.94,225
2022-12-30,XAGE,9.9,9.9173,9.9,9.9173,401
2023-01-03,XAGE,9.93,9.95,9.93,9.95,405
2023-01-04,XAGE,9.95,9.95,9.95,9.95,374
2023-01-05,XAGE,9.98,10.02,9.95,10.01,21542
2023-01-06,XAGE,9.98,9.98,9.98,9.98,249
2023-01-09,XAGE,9.96,9.96,9.96,9.96,140
2023-01-10,XAGE,9.96,9.96,9.96,9.96,306
2023-01-11,XAGE,9.96,10.0,9.96,10.0,123685
2023-01-12,XAGE,10.0,10.0,10.0,10.0,8
2023-01-13,XAGE,9.9844,9.9844,9.97,9.97,200
2023-01-17,XAGE,10.02,10.02,9.97,9.98,2708
2023-01-18,XAGE,9.97,9.97,9.97,9.97,100
2023-01-19,XAGE,9.98,9.99,9.97,9.97,4569
2023-01-20,XAGE,9.98,9.99,9.98,9.99,2831
2023-01-23,XAGE,10.0,10.0,9.99,10.0,25826
2023-01-24,XAGE,10.0,10.0,10.0,10.0,1455
2023-01-25,XAGE,10.02,10.05,10.02,10.05,2827
2023-01-26,XAGE,10.05,10.05,10.05,10.05,302
2023-01-27,XAGE,10.05,10.05,10.05,10.05,0
2023-01-30,XAGE,10.05,10.05,10.05,10.05,2
2023-01-31,XAGE,10.05,10.05,10.05,10.05,0
2023-02-01,XAGE,10.05,10.05,10.05,10.05,22
2023-02-02,XAGE,10.03,10.03,10.03,10.03,115230
2023-02-03,XAGE,10.03,10.04,10.03,10.04,712
2023-02-06,XAGE,10.06,10.06,10.03,10.05,41336
2023-02-07,XAGE,10.04,10.04,10.04,10.04,260
2023-02-08,XAGE,10.04,10.04,10.04,10.04,11
2023-02-09,XAGE,10.035,10.04,10.035,10.04,8108
2023-02-10,XAGE,10.04,10.04,10.04,10.04,56262
2023-02-13,XAGE,10.03,10.04,10.03,10.04,226
2023-02-14,XAGE,10.04,10.06,10.04,10.06,17830
2023-02-15,XAGE,10.04,10.04,10.04,10.04,6093
2023-02-16,XAGE,10.04,10.04,10.04,10.04,118
2023-02-17,XAGE,10.04,10.04,10.04,10.04,5
2023-02-21,XAGE,10.04,10.04,10.04,10.04,2
2023-02-22,XAGE,10.04,10.04,10.04,10.04,1
2023-02-23,XAGE,10.04,10.04,10.04,10.04,2
2023-02-24,XAGE,10.08,10.08,10.08,10.08,11177
2023-02-27,XAGE,10.09,10.09,10.08,10.08,405
2023-02-28,XAGE,10.08,10.08,10.07,10.07,2620
2023-03-01,XAGE,10.07,10.07,10.07,10.07,400
2023-03-02,XAGE,10.08,10.08,10.08,10.08,461
2023-03-03,XAGE,10.08,10.08,10.08,10.08,137
2023-03-06,XAGE,10.1,10.1,10.1,10.1,4100
2023-03-07,XAGE,10.08,10.09,10.08,10.08,93620
2023-03-08,XAGE,10.1,10.1,10.1,10.1,536
2023-03-09,XAGE,10.09,10.09,10.09,10.09,201
2023-03-10,XAGE,10.08,10.08,10.08,10.08,267
2023-03-13,XAGE,10.08,10.08,10.08,10.08,401
2023-03-14,XAGE,10.11,10.11,10.11,10.11,500
2023-03-15,XAGE,10.11,10.11,10.11,10.11,33
