date,ticker,open,high,low,close,volume
2021-08-20,XOS,8.64,9.0,7.2727,7.55,307129
2021-08-23,XOS,8.5,8.5,7.53,7.84,631101
2021-08-24,XOS,8.15,8.17,6.77,6.94,1509370
2021-08-25,XOS,7.07,7.07,6.02,6.19,2074629
2021-08-26,XOS,6.07,6.25,5.835,6.18,786230
2021-08-27,XOS,6.08,6.15,5.65,6.04,860312
2021-08-30,XOS,6.3615,6.75,6.25,6.62,1303214
2021-08-31,XOS,6.8,7.09,6.55,7.06,968012
2021-09-01,XOS,7.16,7.24,6.56,6.71,875875
2021-09-02,XOS,6.83,7.01,6.6,7.0,493457
2021-09-03,XOS,6.8775,7.95,6.8775,7.76,881513
2021-09-07,XOS,8.0791,8.96,7.8,7.86,1676848
2021-09-08,XOS,8.0,8.9,7.95,8.08,1124996
2021-09-09,XOS,7.95,8.64,7.9,8.36,626579
2021-09-10,XOS,8.36,8.44,7.1105,7.17,1155965
2021-09-13,XOS,7.52,7.59,6.7,6.71,753088
2021-09-14,XOS,6.76,6.89,6.21,6.28,651308
2021-09-15,XOS,6.21,6.28,6.01,6.16,745063
2021-09-16,XOS,6.82,7.3,6.22,6.79,1748899
2021-09-17,XOS,6.94,7.75,6.82,7.52,3011682
2021-09-20,XOS,6.88,7.05,6.52,6.96,1246583
2021-09-21,XOS,7.0,7.1899,6.6094,7.15,757182
2021-09-22,XOS,7.22,7.63,7.15,7.35,651475
2021-09-23,XOS,7.26,7.401,7.02,7.08,704273
2021-09-24,XOS,6.58,6.75,5.55,5.56,7487057
2021-09-27,XOS,5.78,5.79,5.35,5.45,2179351
2021-09-28,XOS,5.49,5.55,4.92,5.03,2823374
2021-09-29,XOS,5.09,5.28,4.65,4.67,2778807
2021-09-30,XOS,4.8698,4.87,4.53,4.63,2075452
2021-10-01,XOS,4.73,4.7999,4.48,4.79,1438375
2021-10-04,XOS,4.8,4.8,4.52,4.6,1168499
2021-10-05,XOS,4.64,4.69,4.44,4.52,1189244
2021-10-06,XOS,4.46,4.55,4.25,4.3,1353704
2021-10-07,XOS,4.37,4.645,4.35,4.57,655447
2021-10-08,XOS,4.5,4.6,4.48,4.53,603078
2021-10-11,XOS,4.75,4.93,4.61,4.67,987807
2021-10-12,XOS,4.65,4.9,4.61,4.89,538259
2021-10-13,XOS,4.87,4.92,4.71,4.79,525935
2021-10-14,XOS,4.7538,4.91,4.7,4.72,811493
2021-10-15,XOS,4.75,4.8,4.65,4.68,1016096
2021-10-18,XOS,4.6,4.67,4.41,4.44,851678
2021-10-19,XOS,4.43,4.5888,4.42,4.48,787674
2021-10-20,XOS,4.5,4.62,4.385,4.4,576307
2021-10-21,XOS,4.4,4.58,4.38,4.43,404660
2021-10-22,XOS,4.4,4.46,4.1,4.34,1187952
2021-10-25,XOS,4.37,4.585,4.2536,4.57,736814
2021-10-26,XOS,4.57,4.67,4.35,4.42,738141
2021-10-27,XOS,4.48,4.72,4.4,4.47,1417640
2021-10-28,XOS,4.6,5.25,4.47,5.06,2596043
2021-10-29,XOS,5.03,5.44,5.01,5.28,1464545
2021-11-01,XOS,5.44,5.67,5.27,5.41,1194781
2021-11-02,XOS,5.48,5.6,5.14,5.31,722930
2021-11-03,XOS,5.2686,5.34,4.93,5.02,721169
2021-11-04,XOS,5.06,5.15,4.75,4.86,834287
2021-11-05,XOS,4.8,4.9693,4.6801,4.87,437943
2021-11-08,XOS,5.0,5.14,4.88,5.06,1135552
2021-11-09,XOS,5.07,5.15,4.81,4.87,841370
2021-11-10,XOS,4.915,5.06,4.69,4.81,729807
2021-11-11,XOS,4.85,5.02,4.65,4.97,1263235
2021-11-12,XOS,4.95,4.95,4.42,4.52,1851626
2021-11-15,XOS,4.63,4.64,4.45,4.53,696351
2021-11-16,XOS,4.55,4.56,4.37,4.4,897149
2021-11-17,XOS,4.41,4.48,4.21,4.42,853496
2021-11-18,XOS,4.45,4.458,4.2201,4.26,1194747
2021-11-19,XOS,4.26,4.39,4.1909,4.35,523325
2021-11-22,XOS,4.35,4.35,3.95,4.15,1282043
2021-11-23,XOS,4.35,4.35,3.945,4.01,1220016
2021-11-24,XOS,3.96,4.17,3.84,4.16,441087
2021-11-26,XOS,4.1,4.35,4.02,4.27,555379
2021-11-29,XOS,4.27,4.31,4.06,4.11,725154
2021-11-30,XOS,4.1,4.1762,3.95,4.03,486409
2021-12-01,XOS,4.02,4.02,3.69,3.71,772814
2021-12-02,XOS,3.75,3.8784,3.65,3.81,928729
2021-12-03,XOS,3.86,3.86,3.3,3.44,1621118
2021-12-06,XOS,3.53,3.59,3.25,3.49,829756
