date,ticker,open,high,low,close,volume
2021-12-20,ZGN,10.3,11.32,10.11,10.74,1174185
2021-12-21,ZGN,11.89,12.49,11.0,11.87,1751919
2021-12-22,ZGN,12.4,12.65,11.93,12.25,968522
2021-12-23,ZGN,12.2,12.45,11.89,12.0,687446
2021-12-27,ZGN,12.15,12.2,11.3001,11.65,414166
2021-12-28,ZGN,11.81,11.81,11.22,11.52,375539
2021-12-29,ZGN,11.5,11.5,11.01,11.02,572566
2021-12-30,ZGN,11.11,11.12,10.59,10.9,291414
2021-12-31,ZGN,10.9,10.9,10.43,10.48,176279
2022-01-03,ZGN,10.45,11.0,10.35,10.79,306525
2022-01-04,ZGN,10.98,11.024,10.5,10.71,296290
2022-01-05,ZGN,10.81,10.94,10.05,10.07,296224
2022-01-06,ZGN,10.08,10.33,9.22,9.26,634386
2022-01-07,ZGN,9.56,10.24,9.5,10.02,285784
2022-01-10,ZGN,10.2,10.2518,9.6,9.99,232257
2022-01-11,ZGN,10.0,10.27,9.69,10.16,274991
2022-01-12,ZGN,10.2,10.24,9.92,10.06,272180
2022-01-13,ZGN,10.0,10.16,9.66,9.73,619414
2022-01-14,ZGN,9.72,9.79,9.55,9.75,321932
2022-01-18,ZGN,10.0,10.16,9.75,10.03,278718
2022-01-19,ZGN,10.05,10.25,9.89,9.94,335360
2022-01-20,ZGN,10.11,10.11,9.52,9.55,354208
2022-01-21,ZGN,9.51,9.97,9.51,9.95,337258
2022-01-24,ZGN,9.9,9.9,9.3,9.8,570369
2022-01-25,ZGN,9.7,9.89,9.56,9.64,311701
2022-01-26,ZGN,9.8,9.85,9.45,9.57,180116
2022-01-27,ZGN,9.62,9.97,9.48,9.69,281067
2022-01-28,ZGN,9.6,9.81,9.5,9.61,228523
2022-01-31,ZGN,9.61,10.28,9.56,10.24,825250
2022-02-01,ZGN,10.8,10.8,10.2,10.5,400441
2022-02-02,ZGN,10.58,10.78,10.21,10.28,97170
2022-02-03,ZGN,10.34,10.4,10.11,10.23,86314
2022-02-04,ZGN,10.5,10.67,10.2,10.65,189687
2022-02-07,ZGN,10.51,10.58,10.16,10.24,51646
2022-02-08,ZGN,10.11,10.4,9.9,10.05,146183
2022-02-09,ZGN,10.05,10.39,10.02,10.18,152334
2022-02-10,ZGN,10.24,10.3,10.1,10.27,126768
2022-02-11,ZGN,10.63,10.9,9.95,10.08,267669
2022-02-14,ZGN,9.94,10.02,9.815,9.97,81439
2022-02-15,ZGN,9.89,10.0799,9.77,10.0,160276
2022-02-16,ZGN,10.0,10.0448,9.68,9.91,102274
2022-02-17,ZGN,9.7,9.85,9.7,9.77,101444
2022-02-18,ZGN,9.81,9.96,9.66,9.7,129609
2022-02-22,ZGN,9.58,9.78,9.53,9.7,102892
2022-02-23,ZGN,9.79,9.79,9.41,9.7,68383
2022-02-24,ZGN,9.53,9.75,9.06,9.72,142577
2022-02-25,ZGN,9.5,9.81,9.5,9.62,32216
2022-02-28,ZGN,9.71,9.85,9.51,9.67,53844
2022-03-01,ZGN,9.5,9.67,9.24,9.56,99838
2022-03-02,ZGN,9.48,9.75,9.37,9.61,49396
2022-03-03,ZGN,9.7,9.71,9.39,9.65,77580
2022-03-04,ZGN,9.41,9.61,9.2,9.55,84720
2022-03-07,ZGN,9.39,9.39,8.89,9.04,392385
2022-03-08,ZGN,9.13,9.73,8.97,9.71,172755
2022-03-09,ZGN,9.74,9.9,9.34,9.89,95887
2022-03-10,ZGN,9.73,9.9,9.63,9.64,73732
2022-03-11,ZGN,9.94,9.94,9.51,9.51,40704
2022-03-14,ZGN,9.55,9.9,9.36,9.69,96329
2022-03-15,ZGN,9.58,10.38,9.58,10.15,126592
2022-03-16,ZGN,10.32,10.32,9.97,10.03,84707
2022-03-17,ZGN,9.88,10.27,9.86,10.19,118271
2022-03-18,ZGN,10.15,10.61,10.15,10.56,122833
2022-03-21,ZGN,10.46,10.62,10.29,10.56,103301
2022-03-22,ZGN,10.52,11.0,10.52,10.83,90212
2022-03-23,ZGN,10.98,10.98,10.62,10.77,87264
2022-03-24,ZGN,10.74,10.97,10.68,10.72,48694
2022-03-25,ZGN,10.62,10.88,10.48,10.61,77359
2022-03-28,ZGN,10.53,10.83,10.53,10.67,61819
2022-03-29,ZGN,10.69,10.73,10.55,10.62,153852
2022-03-30,ZGN,10.61,10.61,10.55,10.6,56140
2022-03-31,ZGN,10.49,10.61,10.44,10.55,84270
2022-04-01,ZGN,10.47,10.61,10.47,10.56,57176
2022-04-04,ZGN,10.78,10.78,10.37,10.59,56758
2022-04-05,ZGN,10.6,10.63,10.47,10.52,24757
2022-04-06,ZGN,10.45,10.56,10.2,10.53,37811
2022-04-07,ZGN,10.52,10.56,10.22,10.49,39233
2022-04-08,ZGN,10.46,10.5,10.35,10.38,28212
2022-04-11,ZGN,10.45,10.46,10.11,10.33,36406
2022-04-12,ZGN,10.49,10.5,10.25,10.38,45115
2022-04-13,ZGN,10.39,10.4,10.16,10.19,44900
2022-04-14,ZGN,10.3,10.4,10.07,10.08,27044
2022-04-18,ZGN,10.18,10.22,9.99,10.2,12385
2022-04-19,ZGN,10.29,10.5,9.99,10.3,72748
2022-04-20,ZGN,10.5,10.5,10.15,10.2,51246
2022-04-21,ZGN,10.29,10.34,10.2,10.21,27166
2022-04-22,ZGN,10.21,10.49,10.2,10.28,15808
2022-04-25,ZGN,10.37,10.5,10.07,10.49,43697
2022-04-26,ZGN,10.35,10.5,10.2447,10.49,69897
2022-04-27,ZGN,10.38,10.76,10.24,10.45,120102
2022-04-28,ZGN,10.59,10.59,10.21,10.24,21487
2022-04-29,ZGN,10.2,10.34,9.82,9.83,39732
2022-05-02,ZGN,9.68,9.9,9.33,9.75,134630
2022-05-03,ZGN,9.58,9.84,9.58,9.67,35835
2022-05-04,ZGN,9.57,9.96,9.5,9.96,59287
2022-05-05,ZGN,9.96,9.96,9.55,9.6,16759
2022-05-06,ZGN,9.27,9.5667,9.25,9.52,52329
2022-05-09,ZGN,9.26,9.43,9.12,9.22,71716
2022-05-10,ZGN,9.81,9.89,9.17,9.24,99005
2022-05-11,ZGN,9.1686,9.91,9.1686,9.88,35195
2022-05-12,ZGN,9.67,9.82,9.67,9.71,10255
2022-05-13,ZGN,9.65,9.92,9.65,9.78,57218
2022-05-16,ZGN,9.9,9.96,9.6676,9.92,25859
2022-05-17,ZGN,9.96,10.22,9.75,10.22,43954
2022-05-18,ZGN,10.39,10.39,10.055,10.25,21829
2022-05-19,ZGN,10.02,10.49,10.02,10.48,55006
2022-05-20,ZGN,10.47,10.49,10.1884,10.49,71745
2022-05-23,ZGN,10.3,10.55,10.3,10.42,186240
2022-05-24,ZGN,10.31,10.6384,10.16,10.52,47915
2022-05-25,ZGN,10.44,10.485,10.33,10.33,19455
2022-05-26,ZGN,10.385,10.67,10.17,10.47,46043
2022-05-27,ZGN,10.15,10.45,10.15,10.28,24180
2022-05-31,ZGN,10.11,10.39,10.01,10.24,55512
2022-06-01,ZGN,10.17,10.37,10.17,10.27,15112
2022-06-02,ZGN,10.17,10.65,10.17,10.65,131226
2022-06-03,ZGN,10.33,10.72,10.33,10.62,162091
2022-06-06,ZGN,10.59,10.59,10.0,10.05,96148
2022-06-07,ZGN,10.04,10.1603,9.77,9.88,54275
2022-06-08,ZGN,9.74,9.86,9.54,9.62,112348
2022-06-09,ZGN,10.6,11.02,9.89,10.05,287288
2022-06-10,ZGN,10.06,10.49,9.8783,10.41,119853
2022-06-13,ZGN,10.2,10.5,9.93,10.17,210986
2022-06-14,ZGN,10.13,10.31,9.9,10.25,143708
2022-06-15,ZGN,10.38,10.47,10.1,10.38,107837
2022-06-16,ZGN,10.19,10.5,10.16,10.48,123587
2022-06-17,ZGN,10.42,10.57,10.34,10.52,251350
2022-06-21,ZGN,10.55,10.78,10.34,10.48,215441
2022-06-22,ZGN,10.4,10.4,10.03,10.05,149850
2022-06-23,ZGN,10.21,10.55,10.06,10.48,442789
2022-06-24,ZGN,10.41,12.0562,10.35,11.54,5641307
2022-06-27,ZGN,11.25,11.25,10.86,10.97,212402
2022-06-28,ZGN,10.98,10.98,10.5,10.66,103670
2022-06-29,ZGN,10.55,10.55,10.17,10.18,251279
2022-06-30,ZGN,10.2,10.55,9.79,10.55,208132
2022-07-01,ZGN,10.55,11.17,10.47,11.09,200531
2022-07-05,ZGN,10.98,11.72,10.73,11.72,154884
2022-07-06,ZGN,11.53,11.66,10.93,11.22,89667
2022-07-07,ZGN,10.98,11.38,10.61,10.69,143557
2022-07-08,ZGN,10.53,10.71,10.3627,10.68,63128
2022-07-11,ZGN,10.53,10.605,10.21,10.42,83113
2022-07-12,ZGN,10.33,10.65,10.21,10.33,60006
2022-07-13,ZGN,10.15,10.31,10.06,10.25,35069
2022-07-14,ZGN,10.06,10.47,9.9,10.44,49953
2022-07-15,ZGN,10.6,11.0,10.26,10.98,69866
2022-07-18,ZGN,10.94,11.03,10.79,10.83,47727
2022-07-19,ZGN,10.95,11.11,10.6,10.79,104613
2022-07-20,ZGN,10.68,10.85,10.64,10.76,49774
2022-07-21,ZGN,10.6,11.07,10.58,11.07,52364
2022-07-22,ZGN,11.05,11.18,10.9501,11.05,100724
2022-07-25,ZGN,11.0,11.2017,10.89,10.98,60673
2022-07-26,ZGN,10.86,11.01,10.85,10.88,36421
2022-07-27,ZGN,10.79,11.07,10.55,10.98,42311
2022-07-28,ZGN,10.99,11.02,10.9,11.0,69234
2022-07-29,ZGN,10.98,11.02,10.89,11.0,70414
2022-08-01,ZGN,10.9,11.44,10.9,11.21,78077
2022-08-02,ZGN,11.3,11.3,10.68,10.7,37103
2022-08-03,ZGN,10.72,11.0,10.675,11.0,48841
2022-08-04,ZGN,11.0,11.24,10.94,11.04,50860
2022-08-05,ZGN,10.99,11.0,10.89,11.0,29218
2022-08-08,ZGN,10.92,11.23,10.92,10.92,74584
2022-08-09,ZGN,10.94,11.31,10.7,11.12,86110
2022-08-10,ZGN,11.21,11.21,10.73,11.11,77598
2022-08-11,ZGN,11.1,11.42,11.1,11.16,65026
2022-08-12,ZGN,11.29,11.6,11.24,11.3,105620
2022-08-15,ZGN,11.23,11.32,11.1,11.16,59617
2022-08-16,ZGN,11.28,11.64,11.2,11.32,135135
2022-08-17,ZGN,11.24,11.24,10.68,10.88,55562
2022-08-18,ZGN,10.99,11.125,10.845,11.01,33436
2022-08-19,ZGN,11.07,11.07,10.7,10.9,60959
2022-08-22,ZGN,10.84,10.84,10.68,10.68,38492
2022-08-23,ZGN,10.75,10.79,10.37,10.42,41420
2022-08-24,ZGN,10.42,10.68,10.29,10.61,50120
2022-08-25,ZGN,10.65,10.87,10.48,10.86,50540
2022-08-26,ZGN,11.47,11.47,10.34,10.54,57752
2022-08-29,ZGN,10.32,10.4045,9.84,10.19,90187
2022-08-30,ZGN,10.1,10.51,10.1,10.31,40391
2022-08-31,ZGN,10.31,10.31,10.06,10.24,42610
2022-09-01,ZGN,10.19,10.25,9.96,10.2,50529
2022-09-02,ZGN,10.32,10.33,9.965,10.01,27897
2022-09-06,ZGN,10.2,10.2,9.915,9.93,45531
2022-09-07,ZGN,9.87,10.35,9.77,10.32,72144
2022-09-08,ZGN,10.06,10.19,10.05,10.19,30969
2022-09-09,ZGN,10.09,10.595,10.09,10.53,42239
2022-09-12,ZGN,10.41,10.68,10.41,10.66,24684
2022-09-13,ZGN,10.58,10.63,10.18,10.26,57837
2022-09-14,ZGN,10.17,10.44,9.9,10.14,42654
2022-09-15,ZGN,10.19,10.2,9.95,10.03,35856
2022-09-16,ZGN,9.92,10.62,9.82,10.54,148074
2022-09-19,ZGN,10.44,10.69,10.26,10.5,71067
2022-09-20,ZGN,10.36,10.45,9.95,10.28,53901
2022-09-21,ZGN,10.33,10.33,9.926,10.0,41196
2022-09-22,ZGN,9.86,10.32,9.86,10.1,50523
2022-09-23,ZGN,10.02,10.02,9.59,9.93,98241
2022-09-26,ZGN,10.05,10.48,10.0,10.3,76063
2022-09-27,ZGN,10.32,10.79,10.31,10.73,54455
2022-09-28,ZGN,10.78,11.0,10.63,10.94,81723
2022-09-29,ZGN,10.76,10.88,10.45,10.62,71220
2022-09-30,ZGN,10.5,10.92,10.5,10.75,73317
2022-10-03,ZGN,10.68,11.04,10.47,10.97,101704
2022-10-04,ZGN,11.07,11.085,10.91,11.0,61627
2022-10-05,ZGN,10.8,11.06,10.48,10.68,57216
2022-10-06,ZGN,10.84,10.93,10.68,10.84,31976
2022-10-07,ZGN,10.69,10.8,10.47,10.55,42557
2022-10-10,ZGN,10.67,10.67,10.3799,10.43,54019
2022-10-11,ZGN,10.3,10.53,10.18,10.28,75542
2022-10-12,ZGN,10.38,10.51,10.23,10.43,85849
