date,ticker,open,high,low,close,volume
2021-09-03,ZURA,9.75,9.77,9.7,9.7,15622
2021-09-07,ZURA,9.7,9.7,9.7,9.7,23
2021-09-08,ZURA,9.7,9.74,9.7,9.74,76221
2021-09-09,ZURA,9.74,9.74,9.74,9.74,0
2021-09-10,ZURA,9.75,9.77,9.74,9.77,27321
2021-09-13,ZURA,9.74,9.84,9.73,9.84,9837
2021-09-14,ZURA,9.84,9.89,9.84,9.89,916
2021-09-15,ZURA,9.89,9.89,9.8621,9.89,500
2021-09-16,ZURA,9.8,9.8,9.7,9.7,603
2021-09-17,ZURA,9.89,9.89,9.89,9.89,476
2021-09-20,ZURA,9.89,9.89,9.89,9.89,0
2021-09-21,ZURA,9.89,9.89,9.89,9.89,1
2021-09-22,ZURA,9.89,9.89,9.89,9.89,13
2021-09-23,ZURA,9.87,9.87,9.78,9.86,400
2021-09-24,ZURA,9.86,9.86,9.86,9.86,0
2021-09-27,ZURA,9.86,9.86,9.86,9.86,0
2021-09-28,ZURA,9.86,9.86,9.86,9.86,0
2021-09-29,ZURA,9.86,9.86,9.86,9.86,0
2021-09-30,ZURA,9.86,9.86,9.86,9.86,0
2021-10-01,ZURA,9.86,9.98,9.86,9.86,43214
2021-10-04,ZURA,9.98,9.98,9.86,9.86,1536
2021-10-05,ZURA,9.9417,9.96,9.81,9.81,6010
2021-10-06,ZURA,9.81,9.81,9.81,9.81,0
2021-10-07,ZURA,9.98,9.98,9.8,9.84,7057
2021-10-08,ZURA,9.83,9.98,9.83,9.84,12010
2021-10-11,ZURA,9.84,9.84,9.84,9.84,0
2021-10-12,ZURA,9.84,9.84,9.84,9.84,0
2021-10-13,ZURA,9.84,9.84,9.84,9.84,0
2021-10-14,ZURA,9.875,9.95,9.87,9.87,123926
2021-10-15,ZURA,9.87,9.87,9.87,9.87,0
2021-10-18,ZURA,9.85,9.85,9.81,9.81,2715
2021-10-19,ZURA,9.85,9.88,9.81,9.81,4406
2021-10-20,ZURA,9.79,9.87,9.79,9.87,500
2021-10-21,ZURA,9.87,9.87,9.87,9.87,18
2021-10-22,ZURA,9.87,9.87,9.87,9.87,25
2021-10-25,ZURA,9.87,9.87,9.87,9.87,77
2021-10-26,ZURA,9.88,9.88,9.88,9.88,135
2021-10-27,ZURA,9.88,9.88,9.88,9.88,0
2021-10-28,ZURA,9.88,9.88,9.88,9.88,0
2021-10-29,ZURA,9.95,9.95,9.87,9.87,235
2021-11-01,ZURA,9.87,9.87,9.87,9.87,1
2021-11-02,ZURA,9.89,9.89,9.89,9.89,26995
2021-11-03,ZURA,9.87,9.87,9.87,9.87,201
2021-11-04,ZURA,9.86,9.9,9.85,9.88,76718
2021-11-05,ZURA,9.88,9.88,9.88,9.88,0
2021-11-08,ZURA,9.88,9.88,9.88,9.88,3
2021-11-09,ZURA,9.88,9.88,9.87,9.87,2210
2021-11-10,ZURA,9.82,9.88,9.82,9.88,27495
2021-11-11,ZURA,9.88,9.89,9.87,9.87,3102
2021-11-12,ZURA,9.88,9.9,9.88,9.9,600
2021-11-15,ZURA,9.9,10.05,9.9,9.9,29928
2021-11-16,ZURA,9.91,9.95,9.8825,9.9,17878
2021-11-17,ZURA,9.93,9.93,9.93,9.93,700
2021-11-18,ZURA,9.92,9.95,9.87,9.9,45792
2021-11-19,ZURA,9.9,9.905,9.85,9.9,180901
2021-11-22,ZURA,9.96,10.0,9.84,9.89,30334
2021-11-23,ZURA,9.9,9.9,9.89,9.9,149562
2021-11-24,ZURA,9.91,9.91,9.88,9.88,1120
2021-11-26,ZURA,9.9,9.9,9.88,9.88,49673
2021-11-29,ZURA,9.91,9.92,9.88,9.9,5636
2021-11-30,ZURA,9.9,9.9,9.88,9.89,2264
2021-12-01,ZURA,9.89,9.89,9.89,9.89,0
2021-12-02,ZURA,9.8726,9.88,9.86,9.88,701
2021-12-03,ZURA,9.88,9.88,9.88,9.88,419
2021-12-06,ZURA,9.88,9.89,9.88,9.89,1316
2021-12-07,ZURA,9.89,9.89,9.89,9.89,0
2021-12-08,ZURA,9.88,9.89,9.84,9.84,8825
2021-12-09,ZURA,9.84,9.84,9.84,9.84,202
2021-12-10,ZURA,9.8559,9.8559,9.8559,9.8559,302
2021-12-13,ZURA,9.8559,9.8559,9.8559,9.8559,0
2021-12-14,ZURA,9.846,9.85,9.846,9.85,7900
2021-12-15,ZURA,9.86,9.86,9.85,9.86,5603
2021-12-16,ZURA,9.86,9.86,9.86,9.86,51
2021-12-17,ZURA,9.85,9.865,9.84,9.85,1401
2021-12-20,ZURA,9.85,9.85,9.85,9.85,0
2021-12-21,ZURA,9.85,9.86,9.85,9.86,1980
2021-12-22,ZURA,9.86,9.86,9.86,9.86,0
2021-12-23,ZURA,9.81,9.85,9.81,9.85,4301
2021-12-27,ZURA,9.85,9.85,9.85,9.85,0
2021-12-28,ZURA,9.832,9.86,9.83,9.85,2406
2021-12-29,ZURA,9.81,9.85,9.81,9.85,5720
2021-12-30,ZURA,9.85,9.85,9.85,9.85,0
2021-12-31,ZURA,9.82,9.87,9.82,9.87,18414
2022-01-03,ZURA,9.87,9.87,9.87,9.87,0
2022-01-04,ZURA,9.86,9.87,9.86,9.87,11391
2022-01-05,ZURA,9.85,9.85,9.85,9.85,7416
2022-01-06,ZURA,9.85,9.88,9.85,9.86,217906
2022-01-07,ZURA,9.86,9.86,9.86,9.86,6
2022-01-10,ZURA,9.86,9.86,9.86,9.86,63
2022-01-11,ZURA,9.87,9.9,9.86,9.9,32295
2022-01-12,ZURA,9.8717,9.8717,9.8717,9.8717,300
2022-01-13,ZURA,9.86,9.86,9.8,9.8,39606
2022-01-14,ZURA,9.83,9.83,9.83,9.83,5900
2022-01-18,ZURA,9.83,9.83,9.83,9.83,20170
2022-01-19,ZURA,9.81,9.81,9.8,9.8,3728
2022-01-20,ZURA,9.82,9.82,9.82,9.82,16948
2022-01-21,ZURA,9.82,9.82,9.82,9.82,11510
2022-01-24,ZURA,9.8,9.83,9.8,9.83,38590
2022-01-25,ZURA,9.8,9.82,9.8,9.82,6404
2022-01-26,ZURA,9.82,9.82,9.82,9.82,0
2022-01-27,ZURA,9.82,9.82,9.82,9.82,3399
2022-01-28,ZURA,9.82,9.82,9.82,9.82,9300
2022-01-31,ZURA,9.82,9.82,9.82,9.82,0
2022-02-01,ZURA,9.84,9.84,9.83,9.84,5177
2022-02-02,ZURA,9.82,9.82,9.82,9.82,8000
2022-02-03,ZURA,9.82,9.82,9.82,9.82,4326
2022-02-04,ZURA,9.84,9.84,9.84,9.84,213
2022-02-07,ZURA,9.83,9.84,9.83,9.83,9306
2022-02-08,ZURA,9.83,9.83,9.83,9.83,28883
2022-02-09,ZURA,9.83,9.84,9.83,9.83,19109
2022-02-10,ZURA,9.84,9.84,9.83,9.84,20518
2022-02-11,ZURA,9.84,9.8499,9.83,9.8499,2351
2022-02-14,ZURA,9.84,9.84,9.84,9.84,201
2022-02-15,ZURA,9.85,9.85,9.8201,9.8201,1350
2022-02-16,ZURA,9.85,9.85,9.84,9.8401,1066
2022-02-17,ZURA,9.8401,9.8401,9.8401,9.8401,52
2022-02-18,ZURA,9.85,9.85,9.85,9.85,1679
2022-02-22,ZURA,9.85,9.85,9.85,9.85,1003
2022-02-23,ZURA,9.85,9.85,9.85,9.85,0
2022-02-24,ZURA,9.83,9.83,9.83,9.83,300
2022-02-25,ZURA,9.84,9.85,9.84,9.85,21464
2022-02-28,ZURA,9.85,9.85,9.8302,9.85,17259
2022-03-01,ZURA,9.86,9.88,9.86,9.86,85654
2022-03-02,ZURA,9.82,9.87,9.82,9.87,57742
2022-03-03,ZURA,9.87,9.87,9.87,9.87,542
2022-03-04,ZURA,9.88,9.88,9.87,9.87,2675
