date,ticker,open,high,low,close,volume
2007-11-07,ACIC,7.25,7.25,7.15,7.15,437500
2007-11-08,ACIC,7.23,7.23,7.2,7.2,5500
2007-11-09,ACIC,7.2,7.2,7.2,7.2,0
2007-11-12,ACIC,7.25,7.25,7.25,7.25,3000
2007-11-13,ACIC,7.25,7.3,7.25,7.3,3000
2007-11-14,ACIC,7.28,7.28,7.28,7.28,1000
2007-11-15,ACIC,7.28,7.28,7.28,7.28,0
2007-11-16,ACIC,7.28,7.28,7.28,7.28,0
2007-11-19,ACIC,7.27,7.27,7.27,7.27,230200
2007-11-20,ACIC,7.25,7.25,7.25,7.25,22700
2007-11-21,ACIC,7.25,7.25,7.25,7.25,0
2007-11-23,ACIC,7.25,7.25,7.25,7.25,16500
2007-11-26,ACIC,7.3,7.3,7.3,7.3,300
2007-11-27,ACIC,7.3,7.3,7.3,7.3,0
2007-11-28,ACIC,7.3,7.3,7.3,7.3,0
2007-11-29,ACIC,7.3,7.3,7.3,7.3,0
2007-11-30,ACIC,7.2,7.22,7.2,7.22,355200
2007-12-03,ACIC,7.2,7.2,7.2,7.2,4300
2007-12-04,ACIC,7.2,7.2,7.2,7.2,0
2007-12-05,ACIC,7.22,7.22,7.22,7.22,150000
2007-12-06,ACIC,7.22,7.22,7.22,7.22,0
2007-12-07,ACIC,7.22,7.22,7.21,7.21,60000
2007-12-10,ACIC,7.22,7.22,7.22,7.22,11000
2007-12-11,ACIC,7.22,7.22,7.22,7.22,0
2007-12-12,ACIC,7.22,7.22,7.22,7.22,0
2007-12-13,ACIC,7.22,7.22,7.22,7.22,0
2007-12-14,ACIC,7.22,7.22,7.22,7.22,0
2007-12-17,ACIC,7.22,7.22,7.22,7.22,0
2007-12-18,ACIC,7.24,7.24,7.24,7.24,2000
2007-12-19,ACIC,7.24,7.24,7.24,7.24,1000
2007-12-20,ACIC,7.24,7.24,7.24,7.24,0
2007-12-21,ACIC,7.24,7.24,7.24,7.24,0
2007-12-24,ACIC,7.24,7.24,7.24,7.24,0
2007-12-26,ACIC,7.24,7.24,7.24,7.24,0
2007-12-27,ACIC,7.24,7.24,7.24,7.24,0
2007-12-28,ACIC,7.24,7.24,7.24,7.24,0
2007-12-31,ACIC,7.24,7.24,7.24,7.24,0
2008-01-02,ACIC,7.24,7.24,7.24,7.24,0
2008-01-03,ACIC,7.24,7.24,7.24,7.24,0
2008-01-04,ACIC,7.24,7.24,7.24,7.24,0
2008-01-07,ACIC,7.24,7.24,7.24,7.24,0
2008-01-08,ACIC,7.24,7.24,7.24,7.24,0
2008-01-09,ACIC,7.24,7.24,7.24,7.24,0
2008-01-10,ACIC,7.22,7.22,7.22,7.22,3000
2008-01-11,ACIC,7.25,7.25,7.22,7.22,3100
2008-01-14,ACIC,7.22,7.22,7.22,7.22,0
2008-01-15,ACIC,7.22,7.22,7.22,7.22,0
2008-01-16,ACIC,7.2,7.2,7.2,7.2,1000
2008-01-17,ACIC,7.2,7.2,7.2,7.2,60000
2008-01-18,ACIC,7.2,7.2,7.2,7.2,0
2008-01-22,ACIC,7.2,7.2,7.2,7.2,0
2008-01-23,ACIC,7.2,7.2,7.2,7.2,0
2008-01-24,ACIC,7.2,7.2,7.2,7.2,10000
2008-01-25,ACIC,7.19,7.19,7.19,7.19,3000
2008-01-28,ACIC,7.19,7.19,7.19,7.19,0
2008-01-29,ACIC,7.19,7.19,7.19,7.19,0
2008-01-30,ACIC,7.19,7.19,7.19,7.19,0
2008-01-31,ACIC,7.19,7.19,7.19,7.19,0
2008-02-01,ACIC,7.19,7.19,7.19,7.19,0
2008-02-04,ACIC,7.21,7.21,7.21,7.21,14500
2008-02-05,ACIC,7.21,7.21,7.21,7.21,0
2008-02-06,ACIC,7.21,7.21,7.21,7.21,0
2008-02-07,ACIC,7.21,7.21,7.21,7.21,0
2008-02-08,ACIC,7.21,7.21,7.21,7.21,0
2008-02-11,ACIC,7.21,7.21,7.21,7.21,0
2008-02-12,ACIC,7.21,7.21,7.21,7.21,0
2008-02-13,ACIC,7.21,7.21,7.21,7.21,0
2008-02-14,ACIC,7.22,7.22,7.22,7.22,1500
2008-02-15,ACIC,7.23,7.23,7.16,7.17,20500
2008-02-19,ACIC,7.17,7.17,7.17,7.17,0
2008-02-20,ACIC,7.17,7.17,7.17,7.17,0
2008-02-21,ACIC,7.17,7.17,7.17,7.17,0
2008-02-22,ACIC,7.17,7.17,7.17,7.17,0
2008-02-25,ACIC,7.17,7.17,7.17,7.17,0
2008-02-26,ACIC,7.18,7.18,7.18,7.18,1000
2008-02-27,ACIC,7.18,7.18,7.18,7.18,0
2008-02-28,ACIC,7.18,7.18,7.17,7.17,23500
2008-02-29,ACIC,7.17,7.17,7.17,7.17,0
2008-03-03,ACIC,7.17,7.17,7.17,7.17,0
2008-03-04,ACIC,7.16,7.16,7.16,7.16,8500
2008-03-05,ACIC,7.16,7.16,7.16,7.16,0
2008-03-06,ACIC,7.16,7.16,7.16,7.16,0
2008-03-07,ACIC,7.16,7.16,7.16,7.16,0
2008-03-10,ACIC,7.15,7.16,7.12,7.15,23500
2008-03-11,ACIC,7.15,7.15,7.13,7.13,40000
2008-03-12,ACIC,7.14,7.14,7.14,7.14,425000
2008-03-13,ACIC,7.14,7.14,7.14,7.14,0
2008-03-14,ACIC,7.13,7.14,7.12,7.12,16500
2008-03-17,ACIC,7.12,7.12,7.12,7.12,0
2008-03-18,ACIC,7.12,7.12,7.12,7.12,0
2008-03-19,ACIC,7.12,7.12,7.12,7.12,0
2008-03-20,ACIC,7.12,7.12,7.12,7.12,0
2008-03-24,ACIC,7.12,7.12,7.12,7.12,0
2008-03-25,ACIC,7.12,7.12,7.12,7.12,0
2008-03-26,ACIC,7.17,7.21,7.17,7.21,1500
2008-03-27,ACIC,7.21,7.21,7.21,7.21,0
2008-03-28,ACIC,7.25,7.25,7.25,7.25,500
2008-03-31,ACIC,7.24,7.24,7.24,7.24,500
2008-04-01,ACIC,7.24,7.24,7.24,7.24,0
2008-04-02,ACIC,7.24,7.24,7.24,7.24,0
2008-04-03,ACIC,7.25,7.45,7.25,7.35,53000
2008-04-04,ACIC,7.4,7.4,7.4,7.4,500
2008-04-07,ACIC,7.4,7.4,7.4,7.4,0
2008-04-08,ACIC,7.4,7.4,7.4,7.4,0
2008-04-09,ACIC,7.38,7.38,7.35,7.35,2000
2008-04-10,ACIC,7.3,7.3,7.3,7.3,500
2008-04-11,ACIC,7.3,7.3,7.3,7.3,0
2008-04-14,ACIC,7.3,7.3,7.28,7.3,11000
2008-04-15,ACIC,7.28,7.28,7.28,7.28,500
2008-04-16,ACIC,7.28,7.28,7.28,7.28,0
2008-04-17,ACIC,7.27,7.27,7.27,7.27,500
2008-04-18,ACIC,7.28,7.28,7.28,7.28,2500
2008-04-21,ACIC,7.28,7.28,7.28,7.28,500
2008-04-22,ACIC,7.28,7.28,7.26,7.26,1000
2008-04-23,ACIC,7.26,7.26,7.26,7.26,0
2008-04-24,ACIC,7.26,7.26,7.26,7.26,0
2008-04-25,ACIC,7.26,7.26,7.26,7.26,500
2008-04-28,ACIC,7.26,7.26,7.26,7.26,0
2008-04-29,ACIC,7.26,7.26,7.23,7.23,2000
2008-04-30,ACIC,7.23,7.23,7.23,7.23,500
2008-05-01,ACIC,7.23,7.23,7.23,7.23,0
2008-05-02,ACIC,7.23,7.23,7.23,7.23,0
2008-05-05,ACIC,7.23,7.23,7.23,7.23,0
2008-05-06,ACIC,7.23,7.23,7.23,7.23,0
2008-05-07,ACIC,7.23,7.23,7.23,7.23,10500
2008-05-08,ACIC,7.23,7.23,7.23,7.23,0
2008-05-09,ACIC,7.23,7.23,7.23,7.23,0
2008-05-12,ACIC,7.23,7.23,7.23,7.23,0
2008-05-13,ACIC,7.23,7.23,7.23,7.23,0
2008-05-14,ACIC,7.23,7.23,7.23,7.23,0
2008-05-15,ACIC,7.23,7.23,7.23,7.23,0
2008-05-16,ACIC,7.23,7.23,7.23,7.23,0
2008-05-19,ACIC,7.23,7.23,7.23,7.23,0
2008-05-20,ACIC,7.23,7.23,7.23,7.23,0
2008-05-21,ACIC,7.23,7.23,7.23,7.23,0
2008-05-22,ACIC,7.25,7.25,7.25,7.25,4500
2008-05-23,ACIC,7.3,7.3,7.3,7.3,20000
2008-05-27,ACIC,7.3,7.3,7.3,7.3,0
2008-05-28,ACIC,7.3,7.3,7.3,7.3,0
2008-05-29,ACIC,7.3,7.3,7.3,7.3,0
2008-05-30,ACIC,7.3,7.3,7.3,7.3,0
2008-06-02,ACIC,7.3,7.3,7.3,7.3,0
2008-06-03,ACIC,7.3,7.3,7.3,7.3,0
2008-06-04,ACIC,7.29,7.29,7.28,7.28,5500
2008-06-05,ACIC,7.28,7.28,7.28,7.28,0
2008-06-06,ACIC,7.28,7.28,7.28,7.28,0
2008-06-09,ACIC,7.28,7.28,7.28,7.28,0
2008-06-10,ACIC,7.28,7.28,7.28,7.28,0
2008-06-11,ACIC,7.28,7.28,7.28,7.28,0
2008-06-12,ACIC,7.32,7.32,7.32,7.32,10000
2008-06-13,ACIC,7.32,7.32,7.32,7.32,0
2008-06-16,ACIC,7.32,7.32,7.32,7.32,0
2008-06-17,ACIC,7.33,7.35,7.33,7.33,4000
2008-06-18,ACIC,7.33,7.33,7.33,7.33,0
2008-06-19,ACIC,7.33,7.33,7.33,7.33,21000
2008-06-20,ACIC,7.33,7.33,7.33,7.33,0
2008-06-23,ACIC,7.33,7.33,7.33,7.33,0
2008-06-24,ACIC,7.33,7.33,7.33,7.33,0
2008-06-25,ACIC,7.33,7.33,7.33,7.33,0
2008-06-26,ACIC,7.35,7.37,7.35,7.37,6500
2008-06-27,ACIC,7.37,7.37,7.37,7.37,0
2008-06-30,ACIC,7.39,7.39,7.39,7.39,500
2008-07-01,ACIC,7.36,7.36,7.33,7.33,2500
2008-07-02,ACIC,7.33,7.33,7.33,7.33,0
2008-07-03,ACIC,7.33,7.33,7.33,7.33,0
