date,ticker,open,high,low,close,volume
2025-11-19,ALIS,9.9,9.92,9.9,9.919,14846
2025-11-20,ALIS,9.9087,9.92,9.9,9.9,477819
2025-11-21,ALIS,9.85,9.92,9.85,9.915,78233
2025-11-24,ALIS,9.92,9.95,9.92,9.92,32734
2025-11-25,ALIS,9.925,9.95,9.92,9.93,2737
2025-11-26,ALIS,9.92,9.95,9.91,9.91,254734
2025-11-28,ALIS,9.95,9.95,9.9,9.9,994
2025-12-01,ALIS,9.91,9.91,9.9,9.9,170496
2025-12-02,ALIS,9.9,9.91,9.9,9.91,1543
2025-12-03,ALIS,9.91,9.91,9.9,9.9,66727
2025-12-04,ALIS,9.9,9.9,9.9,9.9,3936
2025-12-05,ALIS,9.9,9.9,9.9,9.9,5024
2025-12-08,ALIS,9.9,9.9,9.9,9.9,1506
2025-12-09,ALIS,9.91,9.91,9.895,9.9,208281
2025-12-10,ALIS,9.905,9.91,9.905,9.91,5034
2025-12-11,ALIS,9.905,9.91,9.9,9.91,6017
2025-12-12,ALIS,9.91,9.91,9.91,9.91,72
2025-12-15,ALIS,9.91,9.91,9.91,9.91,37468
2025-12-16,ALIS,9.9038,9.91,9.9038,9.9099,7650
2025-12-17,ALIS,9.9,9.91,9.9,9.91,356623
2025-12-18,ALIS,9.91,9.91,9.91,9.91,2
2025-12-19,ALIS,9.91,9.91,9.9,9.91,4505
2025-12-22,ALIS,9.91,9.91,9.91,9.91,2
2025-12-23,ALIS,9.91,9.91,9.9,9.9,602
2025-12-24,ALIS,9.9,9.9,9.9,9.9,2
2025-12-26,ALIS,9.91,9.93,9.91,9.93,99121
2025-12-29,ALIS,9.93,9.95,9.92,9.93,5454
2025-12-30,ALIS,9.93,9.93,9.93,9.93,1937
2025-12-31,ALIS,9.93,9.94,9.93,9.93,16632
