date,ticker,open,high,low,close,volume
2025-08-27,APAD,9.9,9.9,9.9,9.9,233
2025-08-28,APAD,9.93,9.93,9.89,9.9,65473
2025-08-29,APAD,9.89,9.9,9.89,9.89,18481
2025-09-02,APAD,9.89,9.89,9.89,9.89,773623
2025-09-03,APAD,9.89,9.89,9.89,9.89,390050
2025-09-04,APAD,9.89,9.89,9.88,9.88,32384
2025-09-05,APAD,9.89,9.8999,9.89,9.89,15276
2025-09-08,APAD,9.9,9.9,9.89,9.89,364994
2025-09-09,APAD,9.88,9.89,9.87,9.89,20624
2025-09-10,APAD,9.89,9.89,9.89,9.89,2
2025-09-11,APAD,9.9,9.9,9.9,9.9,8534
2025-09-12,APAD,9.9,9.9,9.9,9.9,60
2025-09-15,APAD,9.89,9.89,9.88,9.88,424692
2025-09-16,APAD,9.8898,9.8898,9.88,9.88,421
2025-09-17,APAD,9.89,9.89,9.89,9.89,6006
2025-09-18,APAD,9.89,9.89,9.89,9.89,35541
2025-09-19,APAD,9.9,9.92,9.9,9.92,2227
2025-09-22,APAD,9.9,9.9,9.9,9.9,1095
2025-09-23,APAD,9.9,9.9,9.9,9.9,219
2025-09-24,APAD,10.0,10.0,9.89,9.9,56017
2025-09-25,APAD,9.88,9.898,9.88,9.898,1546
2025-09-26,APAD,9.898,9.898,9.898,9.898,0
2025-09-29,APAD,9.898,9.898,9.898,9.898,159
2025-09-30,APAD,9.898,9.898,9.898,9.898,120
2025-10-01,APAD,9.9,9.9,9.895,9.9,158530
2025-10-02,APAD,9.9,9.9,9.9,9.9,0
2025-10-03,APAD,9.9,9.9,9.9,9.9,32
2025-10-06,APAD,9.92,9.92,9.91,9.92,305230
2025-10-07,APAD,9.92,9.92,9.92,9.92,12
2025-10-08,APAD,9.9158,9.9158,9.9158,9.9158,126
2025-10-09,APAD,9.91,9.92,9.91,9.92,99314
2025-10-10,APAD,9.9316,9.9316,9.9316,9.9316,492
2025-10-13,APAD,9.9316,9.9316,9.9316,9.9316,20
2025-10-14,APAD,9.94,9.95,9.94,9.95,76276
2025-10-15,APAD,9.95,9.95,9.9427,9.9427,67530
2025-10-16,APAD,9.92,9.9209,9.92,9.9209,807
2025-10-17,APAD,9.94,9.94,9.94,9.94,47771
2025-10-20,APAD,9.95,9.95,9.9499,9.95,231362
2025-10-21,APAD,9.9595,9.97,9.9595,9.97,378182
2025-10-22,APAD,9.97,9.98,9.97,9.97,644998
2025-10-23,APAD,9.97,9.98,9.97,9.98,10406
2025-10-24,APAD,9.97,9.99,9.97,9.99,41732
2025-10-27,APAD,9.98,9.985,9.97,9.98,320446
2025-10-28,APAD,9.98,9.98,9.98,9.98,127755
2025-10-29,APAD,9.97,9.97,9.97,9.97,781
2025-10-30,APAD,9.98,9.98,9.98,9.98,262
2025-10-31,APAD,9.97,9.97,9.97,9.97,384
2025-11-03,APAD,9.97,9.97,9.97,9.97,1053
2025-11-04,APAD,9.91,9.99,9.91,9.99,112558
2025-11-05,APAD,9.98,9.98,9.98,9.98,349
2025-11-06,APAD,10.0,10.0,10.0,10.0,2006
2025-11-07,APAD,9.98,9.98,9.97,9.97,50121
2025-11-10,APAD,9.97,9.97,9.97,9.97,67
2025-11-11,APAD,9.98,9.98,9.98,9.98,25066
2025-11-12,APAD,9.99,10.0,9.99,9.9999,60080
2025-11-13,APAD,10.0,10.0,10.0,10.0,10000
2025-11-14,APAD,9.99,9.99,9.99,9.99,533
2025-11-17,APAD,9.99,9.9901,9.99,9.99,32101
2025-11-18,APAD,9.99,9.99,9.99,9.99,50098
2025-11-19,APAD,9.99,9.99,9.99,9.99,109
2025-11-20,APAD,9.99,9.99,9.99,9.99,50217
2025-11-21,APAD,10.0,10.005,10.0,10.005,1736
2025-11-24,APAD,10.005,10.005,10.005,10.005,8
2025-11-25,APAD,10.05,10.21,10.02,10.02,16598
2025-11-26,APAD,10.07,10.12,10.05,10.06,1127494
2025-11-28,APAD,10.07,10.1,10.05,10.08,65230
2025-12-01,APAD,10.07,10.09,10.05,10.08,55186
2025-12-02,APAD,10.06,10.1,10.05,10.09,249495
2025-12-03,APAD,10.08,10.1,10.06,10.1,448802
2025-12-04,APAD,10.1,10.11,10.08,10.09,27342
2025-12-05,APAD,10.1,10.12,10.09,10.09,110661
2025-12-08,APAD,10.1,10.1,10.08,10.0999,252550
2025-12-09,APAD,10.08,10.1,10.08,10.08,89472
2025-12-10,APAD,10.11,10.11,10.08,10.08,73458
2025-12-11,APAD,10.1,10.1,10.08,10.08,18951
2025-12-12,APAD,10.08,10.08,10.05,10.05,103770
2025-12-15,APAD,10.06,10.06,10.05,10.05,22479
2025-12-16,APAD,10.05,10.07,10.05,10.05,212168
2025-12-17,APAD,10.06,10.06,10.04,10.04,400141
2025-12-18,APAD,10.05,10.05,10.05,10.05,1466
2025-12-19,APAD,10.05,10.07,10.05,10.07,82135
2025-12-22,APAD,10.066,10.066,10.05,10.05,2165
2025-12-23,APAD,10.0447,10.0447,10.04,10.04,413
2025-12-24,APAD,10.06,10.06,10.04,10.04,892
2025-12-26,APAD,10.05,10.05,10.05,10.05,6720
2025-12-29,APAD,10.05,10.05,10.04,10.05,26956
2025-12-30,APAD,10.05,10.05,10.04,10.04,51467
2025-12-31,APAD,10.05,10.05,10.05,10.05,764
