date,ticker,open,high,low,close,volume
2025-08-05,AXIN,9.9654,9.97,9.93,9.97,760
2025-08-06,AXIN,9.97,9.97,9.93,9.96,19484
2025-08-07,AXIN,9.97,9.98,9.96,9.97,1271080
2025-08-08,AXIN,9.98,9.98,9.95,9.95,651
2025-08-11,AXIN,9.97,9.98,9.97,9.98,454811
2025-08-12,AXIN,9.97,9.97,9.97,9.97,225731
2025-08-13,AXIN,9.97,9.97,9.97,9.97,270094
2025-08-14,AXIN,9.97,9.9788,9.97,9.97,34332
2025-08-15,AXIN,9.97,9.97,9.97,9.97,14142
2025-08-18,AXIN,9.96,9.96,9.96,9.96,18711
2025-08-19,AXIN,9.96,9.96,9.96,9.96,37
2025-08-20,AXIN,9.98,9.98,9.98,9.98,304
2025-08-21,AXIN,9.98,9.98,9.98,9.98,7
2025-08-22,AXIN,9.98,9.98,9.98,9.98,51
2025-08-25,AXIN,9.98,9.98,9.98,9.98,59
2025-08-26,AXIN,9.97,9.97,9.97,9.97,718
2025-08-27,AXIN,9.9776,9.9776,9.9776,9.9776,1081
2025-08-28,AXIN,9.9776,9.9776,9.9776,9.9776,94
2025-08-29,AXIN,9.9776,9.9776,9.9776,9.9776,74
2025-09-02,AXIN,9.97,9.97,9.97,9.97,14197
2025-09-03,AXIN,9.97,9.97,9.97,9.97,296276
2025-09-04,AXIN,9.97,9.97,9.97,9.97,9
2025-09-05,AXIN,9.97,9.97,9.97,9.97,24921
2025-09-08,AXIN,9.9651,9.9651,9.9651,9.9651,1015
2025-09-09,AXIN,9.952,9.97,9.952,9.97,2020
2025-09-10,AXIN,9.95,9.95,9.95,9.95,609
2025-09-11,AXIN,9.97,9.97,9.97,9.97,354
2025-09-12,AXIN,9.95,9.955,9.95,9.955,210275
2025-09-15,AXIN,9.9593,9.97,9.9593,9.97,227533
2025-09-16,AXIN,9.97,9.97,9.97,9.97,120
2025-09-17,AXIN,9.97,9.97,9.97,9.97,31
2025-09-18,AXIN,9.97,9.97,9.97,9.97,42
2025-09-19,AXIN,9.97,9.97,9.97,9.97,218
2025-09-22,AXIN,9.97,9.97,9.97,9.97,211
2025-09-23,AXIN,9.97,9.97,9.97,9.97,11
2025-09-24,AXIN,9.96,9.96,9.96,9.96,603
2025-09-25,AXIN,9.96,9.96,9.96,9.96,24468
2025-09-26,AXIN,9.96,9.96,9.96,9.96,30
2025-09-29,AXIN,9.96,9.96,9.96,9.96,155
2025-09-30,AXIN,9.96,9.96,9.96,9.96,23
2025-10-01,AXIN,9.96,9.96,9.96,9.96,84
2025-10-02,AXIN,9.98,9.98,9.98,9.98,162
2025-10-03,AXIN,9.98,9.98,9.98,9.98,79
2025-10-06,AXIN,9.95,9.95,9.95,9.95,253
2025-10-07,AXIN,9.97,9.97,9.97,9.97,1036
2025-10-08,AXIN,9.98,9.98,9.97,9.97,109620
2025-10-09,AXIN,9.97,9.98,9.97,9.98,28487
2025-10-10,AXIN,9.99,9.99,9.99,9.99,125176
2025-10-13,AXIN,9.99,9.99,9.99,9.99,49
2025-10-14,AXIN,10.0,10.0,10.0,10.0,24433
2025-10-15,AXIN,10.0,10.04,10.0,10.04,67951
2025-10-16,AXIN,10.02,10.06,10.02,10.02,66095
2025-10-17,AXIN,10.02,10.02,10.02,10.02,6829
2025-10-20,AXIN,10.03,10.04,10.02,10.02,102721
2025-10-21,AXIN,10.03,10.03,10.03,10.03,6622
2025-10-22,AXIN,10.04,10.04,10.04,10.04,476
2025-10-23,AXIN,10.04,10.04,10.035,10.035,330
2025-10-24,AXIN,10.04,10.04,10.04,10.04,102045
2025-10-27,AXIN,10.04,10.04,10.04,10.04,52295
2025-10-28,AXIN,10.04,10.05,10.04,10.05,221685
2025-10-29,AXIN,10.055,10.07,10.05,10.07,170770
2025-10-30,AXIN,10.07,10.07,10.07,10.07,99
2025-10-31,AXIN,10.05,10.06,10.05,10.06,26637
2025-11-03,AXIN,10.05,10.07,10.05,10.07,500
2025-11-04,AXIN,10.06,10.07,10.06,10.07,1600
2025-11-05,AXIN,10.07,10.07,10.07,10.07,16
2025-11-06,AXIN,10.06,10.06,10.06,10.06,25131
2025-11-07,AXIN,10.07,10.08,10.07,10.08,54738
2025-11-10,AXIN,10.07,10.08,10.06,10.07,76546
2025-11-11,AXIN,10.08,10.08,10.08,10.08,603
2025-11-12,AXIN,10.08,10.08,10.08,10.08,81
2025-11-13,AXIN,10.08,10.08,10.08,10.08,29
2025-11-14,AXIN,10.08,10.08,10.08,10.08,1480
2025-11-17,AXIN,10.07,10.07,10.07,10.07,556
2025-11-18,AXIN,10.07,10.07,10.07,10.07,73
2025-11-19,AXIN,10.07,10.07,10.07,10.07,305
2025-11-20,AXIN,10.07,10.07,10.07,10.07,143
2025-11-21,AXIN,10.07,10.07,10.07,10.07,1136
2025-11-24,AXIN,10.07,10.07,10.07,10.07,67
2025-11-25,AXIN,10.06,10.06,10.06,10.06,3882
2025-11-26,AXIN,10.06,10.06,10.06,10.06,5
2025-11-28,AXIN,10.06,10.06,10.06,10.06,56
2025-12-01,AXIN,10.08,10.085,10.08,10.08,51156
2025-12-02,AXIN,10.08,10.08,10.08,10.08,334
2025-12-03,AXIN,10.08,10.08,10.08,10.08,43
2025-12-04,AXIN,10.09,10.1,10.08,10.09,111775
2025-12-05,AXIN,10.1,10.1,10.09,10.1,3202
2025-12-08,AXIN,10.14,10.14,10.09,10.09,1671
2025-12-09,AXIN,10.15,10.15,10.0835,10.0835,2071
2025-12-10,AXIN,10.09,10.09,10.0776,10.09,3215
2025-12-11,AXIN,10.09,10.09,10.09,10.09,43
2025-12-12,AXIN,10.09,10.09,10.07,10.07,26982
2025-12-15,AXIN,10.09,10.09,10.07,10.07,311372
2025-12-16,AXIN,10.08,10.08,10.08,10.08,143
2025-12-17,AXIN,10.08,10.08,10.08,10.08,115
2025-12-18,AXIN,10.06,10.06,10.05,10.05,30874
2025-12-19,AXIN,10.075,10.075,10.075,10.075,157
2025-12-22,AXIN,10.075,10.075,10.075,10.075,73
2025-12-23,AXIN,10.06,10.06,10.06,10.06,50053
2025-12-24,AXIN,10.06,10.06,10.06,10.06,14
2025-12-26,AXIN,10.06,10.06,10.06,10.06,16
2025-12-29,AXIN,10.06,10.06,10.06,10.06,115
2025-12-30,AXIN,10.05,10.05,10.05,10.05,1576
2025-12-31,AXIN,10.06,10.06,10.06,10.06,6048
