date,ticker,open,high,low,close,volume
2024-12-16,BEAG,9.86,9.86,9.855,9.855,7869
2024-12-17,BEAG,9.855,9.855,9.855,9.855,6086
2024-12-18,BEAG,9.86,9.87,9.842,9.86,83988
2024-12-19,BEAG,9.8575,9.86,9.8575,9.86,980560
2024-12-20,BEAG,9.86,9.86,9.86,9.86,647747
2024-12-23,BEAG,9.86,9.86,9.86,9.86,115
2024-12-24,BEAG,9.86,9.86,9.86,9.86,65
2024-12-26,BEAG,9.85,9.85,9.85,9.85,39175
2024-12-27,BEAG,9.86,9.86,9.86,9.86,3154
2024-12-30,BEAG,9.865,9.87,9.865,9.87,16252
2024-12-31,BEAG,9.87,9.87,9.87,9.87,4
2025-01-02,BEAG,9.87,9.87,9.86,9.86,127162
2025-01-03,BEAG,9.86,9.86,9.86,9.86,756620
2025-01-06,BEAG,9.87,9.87,9.8588,9.86,42702
2025-01-07,BEAG,9.87,9.88,9.87,9.8783,9198
2025-01-08,BEAG,9.899,9.9,9.899,9.9,3141
2025-01-10,BEAG,9.9,9.9,9.88,9.88,2302
2025-01-13,BEAG,9.91,9.91,9.91,9.91,792
2025-01-14,BEAG,9.9,9.91,9.88,9.8815,11605
2025-01-15,BEAG,9.89,9.92,9.885,9.92,6696
2025-01-16,BEAG,9.909,9.91,9.909,9.91,1990
2025-01-17,BEAG,9.89,9.95,9.89,9.91,1506
2025-01-21,BEAG,9.8999,9.9,9.8899,9.89,20524
2025-01-22,BEAG,9.88,9.9001,9.87,9.8906,19125
2025-01-23,BEAG,9.9088,9.9253,9.9,9.9005,1918
2025-01-24,BEAG,9.8974,9.9104,9.8974,9.9104,200472
2025-01-27,BEAG,9.9,9.9101,9.9,9.91,1314
2025-01-28,BEAG,9.9079,9.91,9.9,9.9096,9104
2025-01-29,BEAG,9.9314,9.9314,9.9,9.9098,56660
2025-01-30,BEAG,9.91,9.9858,9.9089,9.91,9777
2025-01-31,BEAG,9.91,9.91,9.9,9.9099,13064
2025-02-03,BEAG,9.9099,9.9251,9.9079,9.9205,186340
2025-02-04,BEAG,9.92,9.93,9.92,9.9204,6662
2025-02-05,BEAG,9.92,10.4,9.92,9.94,172465
2025-02-06,BEAG,10.0,10.0007,9.93,9.9447,2408
2025-02-07,BEAG,10.0,10.0,9.94,9.98,203131
2025-02-10,BEAG,9.98,10.0,9.97,9.99,25953
2025-02-11,BEAG,9.98,10.0,9.98,9.99,90961
2025-02-12,BEAG,9.99,10.06,9.97,9.99,1570167
