date,ticker,open,high,low,close,volume
2023-08-17,BOWN,10.25,10.25,10.1,10.1198,517934
2023-08-18,BOWN,10.15,10.2,10.11,10.11,351698
2023-08-21,BOWN,10.13,10.13,10.11,10.12,62051
2023-08-22,BOWN,10.13,10.13,10.13,10.13,10056
2023-08-23,BOWN,10.13,10.13,10.12,10.12,20067
2023-08-24,BOWN,10.11,10.125,10.11,10.12,190653
2023-08-25,BOWN,10.1335,10.1335,10.12,10.12,451451
2023-08-28,BOWN,10.13,10.13,10.12,10.12,100121
2023-08-29,BOWN,10.13,10.15,10.12,10.14,220310
2023-08-30,BOWN,10.14,10.1415,10.14,10.1415,55143
2023-08-31,BOWN,10.15,10.15,10.14,10.14,11805
2023-09-01,BOWN,10.15,10.15,10.14,10.14,4480
2023-09-05,BOWN,10.14,10.14,10.14,10.14,2
2023-09-06,BOWN,10.15,10.1584,10.15,10.1584,155984
2023-09-07,BOWN,10.15,10.16,10.15,10.15,105897
2023-09-08,BOWN,10.15,10.15,10.15,10.15,0
2023-09-11,BOWN,10.15,10.16,10.15,10.15,52277
2023-09-12,BOWN,10.15,10.15,10.15,10.15,0
2023-09-13,BOWN,10.18,10.1863,10.15,10.15,1602
2023-09-14,BOWN,10.15,10.15,10.15,10.15,0
2023-09-15,BOWN,10.22,10.31,10.2,10.2,8841
2023-09-18,BOWN,10.15,10.16,10.15,10.16,703
2023-09-19,BOWN,10.17,10.22,10.15,10.16,20959
2023-09-20,BOWN,10.15,10.15,10.15,10.15,100
2023-09-21,BOWN,10.17,10.175,10.16,10.175,63431
2023-09-22,BOWN,10.175,10.175,10.175,10.175,1600
2023-09-25,BOWN,10.19,10.19,10.19,10.19,1000
2023-09-26,BOWN,10.19,10.19,10.19,10.19,0
2023-09-27,BOWN,10.23,10.23,10.2,10.2,4733
2023-09-28,BOWN,10.2,10.2,10.2,10.2,98
2023-09-29,BOWN,10.2,10.2,10.2,10.2,0
2023-10-02,BOWN,10.2,10.2,10.2,10.2,29
2023-10-03,BOWN,10.195,10.2,10.195,10.2,539
2023-10-04,BOWN,10.2,10.2,10.2,10.2,3
2023-10-05,BOWN,10.2,10.21,10.2,10.21,913
2023-10-06,BOWN,10.205,10.21,10.205,10.21,200
2023-10-09,BOWN,10.2,10.2,10.2,10.2,1000
2023-10-10,BOWN,10.2,10.205,10.2,10.2,1090
2023-10-11,BOWN,10.205,10.205,10.2,10.2,704
2023-10-12,BOWN,10.209,10.21,10.2,10.21,10058
2023-10-13,BOWN,10.25,10.25,10.25,10.25,217
2023-10-16,BOWN,10.25,10.25,10.25,10.25,0
2023-10-17,BOWN,10.25,10.25,10.24,10.25,2102
2023-10-18,BOWN,10.25,10.25,10.25,10.25,109
2023-10-19,BOWN,10.25,10.25,10.22,10.22,277
2023-10-20,BOWN,10.22,10.22,10.21,10.21,851
2023-10-23,BOWN,10.21,10.2101,10.21,10.21,4666
2023-10-24,BOWN,10.21,10.21,10.21,10.21,0
2023-10-25,BOWN,10.21,10.21,10.21,10.21,0
2023-10-26,BOWN,10.21,10.21,10.21,10.21,0
2023-10-27,BOWN,10.22,10.23,10.22,10.22,151704
2023-10-30,BOWN,10.24,10.24,10.22,10.23,106758
2023-10-31,BOWN,10.23,10.23,10.225,10.23,18496
2023-11-01,BOWN,10.23,10.23,10.225,10.225,1328
2023-11-02,BOWN,10.23,10.23,10.23,10.23,81532
2023-11-03,BOWN,10.27,10.27,10.27,10.27,100
2023-11-06,BOWN,10.27,10.27,10.27,10.27,127
2023-11-07,BOWN,10.24,10.24,10.24,10.24,638
2023-11-08,BOWN,10.24,10.24,10.24,10.24,0
2023-11-09,BOWN,10.24,10.24,10.24,10.24,0
2023-11-10,BOWN,10.24,10.24,10.24,10.24,0
2023-11-13,BOWN,10.24,10.24,10.24,10.24,0
2023-11-14,BOWN,10.24,10.24,10.24,10.24,0
2023-11-15,BOWN,10.24,10.27,10.24,10.25,100534
2023-11-16,BOWN,10.3,10.3,10.24,10.24,444
2023-11-17,BOWN,10.25,10.25,10.25,10.25,2230
2023-11-20,BOWN,10.25,10.25,10.245,10.25,80883
2023-11-21,BOWN,10.26,10.26,10.26,10.26,19297
2023-11-22,BOWN,10.27,10.27,10.27,10.27,151
2023-11-24,BOWN,10.27,10.27,10.27,10.27,1
2023-11-27,BOWN,10.27,10.27,10.27,10.27,0
2023-11-28,BOWN,10.27,10.275,10.26,10.27,210440
2023-11-29,BOWN,10.27,10.28,10.27,10.28,211448
2023-11-30,BOWN,10.29,10.3,10.29,10.3,8013
2023-12-01,BOWN,10.3,10.3,10.3,10.3,1
2023-12-04,BOWN,10.28,10.2867,10.28,10.28,37252
2023-12-05,BOWN,10.28,10.28,10.28,10.28,1155
2023-12-06,BOWN,10.28,10.29,10.28,10.29,13686
