date,ticker,open,high,low,close,volume
2025-06-26,CAEP,10.65,10.71,10.5,10.5,10935528
2025-06-27,CAEP,10.51,10.59,10.4736,10.53,671115
2025-06-30,CAEP,10.53,10.64,10.53,10.55,391132
2025-07-01,CAEP,10.6,10.6,10.49,10.5,653451
2025-07-02,CAEP,10.46,10.5,10.31,10.49,136732
2025-07-03,CAEP,10.5,10.5,10.445,10.49,98087
2025-07-07,CAEP,10.65,10.65,10.42,10.47,13035
2025-07-08,CAEP,10.5,10.5,10.3,10.45,289375
2025-07-09,CAEP,10.48,10.48,10.36,10.46,107604
2025-07-10,CAEP,10.47,10.54,10.412,10.43,153898
2025-07-11,CAEP,10.6,10.6,10.42,10.57,66746
2025-07-14,CAEP,10.57,10.65,10.47,10.51,78177
2025-07-15,CAEP,10.5,10.99,10.5,10.85,752944
2025-07-16,CAEP,10.79,11.05,10.725,10.95,1256712
2025-07-17,CAEP,11.05,11.09,10.86,10.92,1129442
2025-07-18,CAEP,10.89,10.95,10.72,10.77,227745
2025-07-21,CAEP,10.755,10.78,10.68,10.75,72323
2025-07-22,CAEP,10.78,10.78,10.51,10.635,52404
2025-07-23,CAEP,10.63,10.78,10.61,10.69,22937
2025-07-24,CAEP,10.73,10.75,10.56,10.67,31695
2025-07-25,CAEP,10.7366,10.74,10.61,10.74,19719
2025-07-28,CAEP,10.75,10.75,10.6,10.61,62311
2025-07-29,CAEP,10.6,10.72,10.6,10.65,66763
2025-07-30,CAEP,10.605,10.65,10.6,10.63,42694
2025-07-31,CAEP,10.61,10.61,10.48,10.48,19439
2025-08-01,CAEP,10.4,10.553,10.4,10.55,35475
2025-08-04,CAEP,10.4917,10.6,10.48,10.55,49081
2025-08-05,CAEP,10.555,10.6,10.47,10.54,12077
2025-08-06,CAEP,10.48,10.6,10.4,10.54,44196
2025-08-07,CAEP,10.55,10.58,10.5,10.56,94402
2025-08-08,CAEP,10.47,10.62,10.46,10.54,48176
2025-08-11,CAEP,10.58,10.65,10.455,10.48,51132
2025-08-12,CAEP,10.42,10.53,10.4,10.45,20130
2025-08-13,CAEP,10.5,10.5,10.32,10.42,125416
2025-08-14,CAEP,10.47,10.6,10.415,10.47,147650
2025-08-15,CAEP,10.44,10.54,10.37,10.49,25322
