date,ticker,open,high,low,close,volume
2024-11-05,CCTSF,3.0,11.03,3.0,11.03,2285
2024-11-06,CCTSF,11.06,11.06,11.06,11.06,261
2024-11-07,CCTSF,10.83,10.9,10.83,10.88,3280
2024-11-08,CCTSF,10.905,10.905,10.905,10.905,164
2024-11-11,CCTSF,10.905,10.905,10.905,10.905,33
2024-11-12,CCTSF,10.905,10.905,10.905,10.905,0
2024-11-13,CCTSF,10.905,10.905,10.905,10.905,2
2024-11-14,CCTSF,10.905,10.905,10.905,10.905,0
2024-11-15,CCTSF,11.16,11.16,11.16,11.16,124
2024-11-18,CCTSF,11.16,11.16,11.16,11.16,0
2024-11-19,CCTSF,11.16,11.16,11.16,11.16,0
2024-11-20,CCTSF,11.16,11.16,11.16,11.16,0
2024-11-21,CCTSF,11.16,11.16,11.16,11.16,0
2024-11-22,CCTSF,11.16,11.16,11.16,11.16,0
2024-11-25,CCTSF,11.39,11.39,11.39,11.39,299
2024-11-26,CCTSF,11.39,11.39,11.39,11.39,0
2024-11-27,CCTSF,11.39,11.39,11.39,11.39,0
2024-11-29,CCTSF,11.39,11.39,11.39,11.39,8
2024-12-02,CCTSF,11.39,11.39,11.39,11.39,0
2024-12-03,CCTSF,11.39,11.39,11.39,11.39,0
2024-12-04,CCTSF,11.39,11.39,11.39,11.39,0
2024-12-05,CCTSF,11.39,11.39,11.39,11.39,3
2024-12-06,CCTSF,11.39,11.39,11.39,11.39,0
2024-12-09,CCTSF,11.39,11.39,11.39,11.39,0
2024-12-10,CCTSF,11.39,11.39,11.39,11.39,0
2024-12-11,CCTSF,11.39,11.39,11.39,11.39,0
2024-12-12,CCTSF,11.39,11.39,11.39,11.39,0
2024-12-13,CCTSF,11.39,11.39,11.39,11.39,0
2024-12-16,CCTSF,11.06,11.06,11.06,11.06,652
2024-12-17,CCTSF,11.06,11.06,11.06,11.06,2
2024-12-18,CCTSF,11.06,11.06,11.06,11.06,2
2024-12-19,CCTSF,11.06,11.06,11.06,11.06,2
2024-12-20,CCTSF,11.06,11.06,11.06,11.06,0
2024-12-23,CCTSF,11.06,11.06,11.06,11.06,0
2024-12-24,CCTSF,11.06,11.06,11.06,11.06,0
2024-12-26,CCTSF,11.06,11.06,11.06,11.06,0
2024-12-27,CCTSF,11.06,11.06,11.06,11.06,0
2024-12-30,CCTSF,11.06,11.06,11.06,11.06,0
2024-12-31,CCTSF,11.06,11.06,11.06,11.06,0
2025-01-02,CCTSF,11.06,11.06,11.06,11.06,1
2025-01-03,CCTSF,11.06,11.06,11.06,11.06,0
2025-01-06,CCTSF,11.06,11.06,11.06,11.06,0
2025-01-07,CCTSF,11.06,11.06,11.06,11.06,1
2025-01-08,CCTSF,11.06,11.06,11.06,11.06,0
2025-01-10,CCTSF,11.06,11.06,11.06,11.06,0
2025-01-13,CCTSF,11.06,11.06,11.06,11.06,0
2025-01-14,CCTSF,11.06,11.06,11.06,11.06,1
2025-01-15,CCTSF,11.06,11.06,11.06,11.06,0
2025-01-16,CCTSF,11.06,11.06,11.06,11.06,3
2025-01-17,CCTSF,11.06,11.06,11.06,11.06,0
2025-01-21,CCTSF,11.06,11.06,11.06,11.06,2
2025-01-22,CCTSF,11.06,11.06,11.06,11.06,0
2025-01-23,CCTSF,11.06,11.06,11.06,11.06,0
2025-01-24,CCTSF,11.06,11.06,11.06,11.06,0
2025-01-27,CCTSF,11.06,11.06,11.06,11.06,80
2025-01-28,CCTSF,11.06,11.06,11.06,11.06,0
2025-01-29,CCTSF,11.06,11.06,11.06,11.06,0
2025-01-30,CCTSF,11.06,11.06,11.06,11.06,0
2025-01-31,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-03,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-04,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-05,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-06,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-07,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-10,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-11,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-12,CCTSF,11.06,11.06,11.06,11.06,1
2025-02-13,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-14,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-18,CCTSF,11.06,11.06,11.06,11.06,2
2025-02-19,CCTSF,11.06,11.06,11.06,11.06,1
2025-02-20,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-21,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-24,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-25,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-26,CCTSF,11.06,11.06,11.06,11.06,0
2025-02-27,CCTSF,11.12,11.12,11.12,11.12,311
2025-02-28,CCTSF,11.12,11.12,11.12,11.12,0
2025-03-03,CCTSF,11.12,11.12,11.12,11.12,0
2025-03-04,CCTSF,11.12,11.12,11.12,11.12,0
2025-03-05,CCTSF,11.12,11.12,11.12,11.12,0
2025-03-06,CCTSF,11.12,11.12,11.12,11.12,0
2025-03-07,CCTSF,11.12,11.12,11.12,11.12,0
2025-03-10,CCTSF,11.12,11.12,11.12,11.12,0
2025-03-11,CCTSF,11.12,11.12,11.12,11.12,0
2025-03-12,CCTSF,11.12,11.12,11.12,11.12,0
