date,ticker,open,high,low,close,volume
2025-08-21,CEPF,10.13,10.18,10.12,10.12,16463870
2025-08-22,CEPF,10.12,10.15,10.12,10.135,1531699
2025-08-25,CEPF,10.16,10.16,10.12,10.13,346360
2025-08-26,CEPF,10.13,10.16,10.13,10.135,463559
2025-08-27,CEPF,10.14,10.15,10.13,10.14,814594
2025-08-28,CEPF,10.14,10.16,10.13,10.15,286779
2025-08-29,CEPF,10.14,10.19,10.13,10.14,227400
2025-09-02,CEPF,10.12,10.14,10.09,10.1,432687
2025-09-03,CEPF,10.1,10.135,10.1,10.125,817321
2025-09-04,CEPF,10.15,10.15,10.1,10.1,61706
2025-09-05,CEPF,10.12,10.12,10.1,10.11,114289
2025-09-08,CEPF,10.11,10.13,10.1,10.12,233239
2025-09-09,CEPF,10.12,10.14,10.11,10.14,433680
2025-09-10,CEPF,10.12,10.15,10.105,10.11,291272
2025-09-11,CEPF,10.13,10.17,10.12,10.165,128248
2025-09-12,CEPF,10.17,10.19,10.14,10.16,25032
2025-09-15,CEPF,10.15,10.17,10.14,10.15,348493
2025-09-16,CEPF,10.13,10.17,10.13,10.17,56027
2025-09-17,CEPF,10.15,10.17,10.15,10.165,45423
2025-09-18,CEPF,10.18,10.18,10.15,10.17,111566
2025-09-19,CEPF,10.15,10.19,10.15,10.19,306267
2025-09-22,CEPF,10.18,10.18,10.1522,10.17,5747
2025-09-23,CEPF,10.39,10.65,10.155,10.19,12559
2025-09-24,CEPF,10.175,10.19,10.17,10.17,32701
2025-09-25,CEPF,10.17,10.18,10.16,10.17,13445
2025-09-26,CEPF,10.16,10.2,10.16,10.2,155652
2025-09-29,CEPF,10.1765,10.22,10.175,10.2,21097
2025-09-30,CEPF,10.22,10.22,10.17,10.185,7631
2025-10-01,CEPF,10.16,10.25,10.1559,10.22,476041
2025-10-02,CEPF,10.21,10.3,10.2,10.27,102363
2025-10-03,CEPF,10.2476,10.29,10.2288,10.27,90342
2025-10-06,CEPF,10.27,10.35,10.255,10.35,215858
2025-10-07,CEPF,10.36,10.4,10.27,10.3,35643
2025-10-08,CEPF,10.29,10.4,10.275,10.4,708533
2025-10-09,CEPF,10.4,10.43,10.35,10.42,709171
2025-10-10,CEPF,10.4999,10.54,10.41,10.53,655623
2025-10-13,CEPF,10.53,10.6,10.465,10.575,958434
2025-10-14,CEPF,10.55,10.67,10.55,10.565,490320
2025-10-15,CEPF,10.55,10.56,10.51,10.55,42777
2025-10-16,CEPF,10.56,10.56,10.455,10.5,70375
2025-10-17,CEPF,10.45,10.48,10.32,10.44,290451
2025-10-20,CEPF,10.45,10.57,10.4,10.56,460308
2025-10-21,CEPF,10.5,10.57,10.5,10.51,153955
2025-10-22,CEPF,10.45,10.49,10.45,10.48,102255
2025-10-23,CEPF,10.46,10.5,10.4464,10.48,15863
2025-10-24,CEPF,10.45,10.55,10.45,10.53,103969
2025-10-27,CEPF,10.55,10.64,10.55,10.6,853174
2025-10-28,CEPF,10.58,10.63,10.56,10.62,50541
2025-10-29,CEPF,10.6399,10.6399,10.54,10.54,155729
2025-10-30,CEPF,10.54,10.6,10.52,10.52,6241
2025-10-31,CEPF,10.6,10.6,10.52,10.53,5131
2025-11-03,CEPF,10.52,10.535,10.51,10.51,10609
2025-11-04,CEPF,10.55,10.6,10.48,10.5,140696
2025-11-05,CEPF,10.5,10.55,10.5,10.515,25723
2025-11-06,CEPF,10.49,10.515,10.46,10.48,40653
2025-11-07,CEPF,10.45,10.45,10.33,10.44,634888
2025-11-10,CEPF,10.45,10.46,10.4,10.43,5119
2025-11-11,CEPF,10.44,10.45,10.3701,10.43,245154
2025-11-12,CEPF,10.4,10.46,10.4,10.46,21375
2025-11-13,CEPF,10.4,10.46,10.4,10.44,93158
2025-11-14,CEPF,10.36,10.43,10.36,10.4,188985
2025-11-17,CEPF,10.4316,10.4316,10.36,10.39,235363
