date,ticker,open,high,low,close,volume
2025-06-24,CGCT,10.0,10.01,10.0,10.01,369087
2025-06-25,CGCT,10.01,10.03,10.0,10.01,297505
2025-06-26,CGCT,10.02,10.02,10.0,10.0,192387
2025-06-27,CGCT,10.0,10.0,10.0,10.0,433
2025-06-30,CGCT,10.02,10.02,10.02,10.02,200
2025-07-01,CGCT,10.0028,10.01,10.0,10.0,354597
2025-07-02,CGCT,10.0,10.0065,10.0,10.0,104537
2025-07-03,CGCT,10.0,10.0,10.0,10.0,227722
2025-07-07,CGCT,10.01,10.02,10.005,10.02,828793
2025-07-08,CGCT,10.01,10.02,10.01,10.015,101874
2025-07-09,CGCT,10.02,10.02,10.02,10.02,3677
2025-07-10,CGCT,10.02,10.02,10.02,10.02,6911
2025-07-11,CGCT,10.03,10.03,10.03,10.03,587
2025-07-14,CGCT,10.03,10.03,10.03,10.03,171
2025-07-15,CGCT,10.01,10.02,10.01,10.02,43150
2025-07-16,CGCT,10.011,10.011,10.0104,10.0104,3110
2025-07-17,CGCT,10.0104,10.0104,10.0104,10.0104,24
2025-07-18,CGCT,10.0104,10.0104,10.0104,10.0104,15
2025-07-21,CGCT,10.02,10.02,10.02,10.02,9229
2025-07-22,CGCT,10.02,10.02,10.02,10.02,2016
2025-07-23,CGCT,10.03,10.06,10.03,10.045,29135
2025-07-24,CGCT,10.0498,10.05,10.045,10.045,3136
2025-07-25,CGCT,10.045,10.045,10.045,10.045,1811
2025-07-28,CGCT,10.045,10.045,10.045,10.045,1814
2025-07-29,CGCT,10.045,10.045,10.045,10.045,1714
2025-07-30,CGCT,10.04,10.055,10.04,10.055,1945
2025-07-31,CGCT,10.055,10.055,10.055,10.055,1026
2025-08-01,CGCT,10.055,10.055,10.055,10.055,1034
2025-08-04,CGCT,10.06,10.06,10.04,10.04,1614
2025-08-05,CGCT,10.03,10.03,10.03,10.03,100907
2025-08-06,CGCT,10.04,10.05,10.04,10.04,4976
2025-08-07,CGCT,10.07,10.08,10.0528,10.0528,11002
2025-08-08,CGCT,10.05,10.05,10.05,10.05,2656
2025-08-11,CGCT,10.03,10.03,10.03,10.03,12937
2025-08-12,CGCT,10.03,10.0333,10.01,10.01,1519747
2025-08-13,CGCT,10.025,10.025,10.025,10.025,33113
2025-08-14,CGCT,10.03,10.035,10.03,10.03,50688
2025-08-15,CGCT,10.027,10.027,10.027,10.027,37607
2025-08-18,CGCT,10.027,10.027,10.027,10.027,35564
2025-08-19,CGCT,10.03,10.03,10.02,10.02,280904
2025-08-20,CGCT,10.02,10.02,10.02,10.02,40202
2025-08-21,CGCT,10.04,10.04,10.03,10.03,69205
2025-08-22,CGCT,10.03,10.03,10.03,10.03,41605
2025-08-25,CGCT,10.01,10.05,10.01,10.05,62113
2025-08-26,CGCT,10.02,10.02,10.02,10.02,35010
2025-08-27,CGCT,10.02,10.02,10.02,10.02,37339
