date,ticker,open,high,low,close,volume
2025-03-17,COLA,9.96,9.96,9.96,9.96,1672
2025-03-18,COLA,9.96,9.96,9.96,9.96,78
2025-03-19,COLA,9.95,9.98,9.95,9.98,2180
2025-03-20,COLA,10.0,10.0,9.96,9.97,312550
2025-03-21,COLA,9.98,9.98,9.98,9.98,50338
2025-03-24,COLA,9.98,9.98,9.96,9.97,55997
2025-03-25,COLA,9.965,9.97,9.96,9.97,420635
2025-03-26,COLA,9.97,9.99,9.96,9.97,813052
2025-03-27,COLA,9.97,9.99,9.97,9.99,78149
2025-03-28,COLA,9.9741,9.9741,9.97,9.97,5437
2025-03-31,COLA,10.0,10.01,9.985,10.01,13416
2025-04-01,COLA,10.01,10.01,10.01,10.01,12
2025-04-02,COLA,10.01,10.01,10.01,10.01,6
2025-04-03,COLA,10.01,10.01,10.01,10.01,12
2025-04-04,COLA,10.0,10.0,10.0,10.0,100010
2025-04-07,COLA,10.04,10.04,10.04,10.04,198
2025-04-08,COLA,10.04,10.04,10.04,10.04,23
2025-04-09,COLA,10.04,10.04,10.04,10.04,2600
2025-04-10,COLA,10.02,10.02,10.01,10.01,884
2025-04-11,COLA,10.01,10.01,10.01,10.01,77908
2025-04-14,COLA,10.04,10.05,10.04,10.05,9425
2025-04-15,COLA,10.03,10.03,10.03,10.03,402
2025-04-16,COLA,10.02,10.02,10.0,10.0,622
2025-04-17,COLA,10.0,10.0,10.0,10.0,4
2025-04-21,COLA,9.99,10.0,9.99,10.0,205
2025-04-22,COLA,10.0,10.015,10.0,10.015,125718
2025-04-23,COLA,10.01,10.01,10.01,10.01,1147
2025-04-24,COLA,10.02,10.03,10.01,10.02,18457
2025-04-25,COLA,10.02,10.045,10.02,10.04,324130
2025-04-28,COLA,10.02,10.03,10.02,10.03,31794
2025-04-29,COLA,10.03,10.04,10.03,10.04,78421
2025-04-30,COLA,10.03,10.04,10.03,10.03,178289
2025-05-01,COLA,10.0388,10.045,10.0388,10.04,81906
2025-05-02,COLA,10.05,10.07,10.05,10.07,70530
2025-05-05,COLA,10.07,10.07,10.07,10.07,1002
2025-05-06,COLA,10.07,10.07,10.07,10.07,1907
2025-05-07,COLA,10.04,10.1,10.04,10.1,1904
2025-05-08,COLA,10.1,10.1,10.1,10.1,305
2025-05-09,COLA,10.1,10.1,10.1,10.1,0
2025-05-12,COLA,10.1,10.1,10.1,10.1,0
2025-05-13,COLA,10.05,10.05,10.05,10.05,130491
2025-05-14,COLA,10.09,10.09,10.075,10.09,53515
2025-05-15,COLA,10.09,10.09,10.09,10.09,115
2025-05-16,COLA,10.09,10.09,10.09,10.09,6
2025-05-19,COLA,10.09,10.09,10.09,10.09,0
2025-05-20,COLA,10.09,10.09,10.09,10.09,0
