date,ticker,open,high,low,close,volume
2025-01-21,CSLMF,11.71,11.71,11.6,11.69,4200
2025-01-22,CSLMF,11.15,11.15,11.15,11.15,2293
2025-01-23,CSLMF,11.15,11.15,11.15,11.15,0
2025-01-24,CSLMF,11.15,11.15,11.15,11.15,0
2025-01-27,CSLMF,11.4,11.4,11.33,11.33,1200
2025-01-28,CSLMF,11.33,11.33,11.33,11.33,0
2025-01-29,CSLMF,11.33,11.33,11.33,11.33,0
2025-01-30,CSLMF,11.6,11.6,11.6,11.6,140
2025-01-31,CSLMF,11.6,11.6,11.6,11.6,402
2025-02-03,CSLMF,11.6,11.6,11.6,11.6,0
2025-02-04,CSLMF,11.6,11.6,11.6,11.6,0
2025-02-05,CSLMF,11.6,11.6,11.6,11.6,72
2025-02-06,CSLMF,11.6,11.6,11.6,11.6,0
2025-02-07,CSLMF,11.6,11.6,11.6,11.6,0
2025-02-10,CSLMF,11.6,11.6,11.6,11.6,0
2025-02-11,CSLMF,11.6,11.6,11.6,11.6,0
2025-02-12,CSLMF,11.6,11.6,11.6,11.6,3
2025-02-13,CSLMF,11.99,12.5,11.781,12.0,1800
2025-02-14,CSLMF,11.61,11.61,11.61,11.61,1000
2025-02-18,CSLMF,11.61,11.61,11.61,11.61,1
2025-02-19,CSLMF,11.61,11.61,11.61,11.61,3
2025-02-20,CSLMF,12.0,12.0,12.0,12.0,500
2025-02-21,CSLMF,12.0,12.0,12.0,12.0,0
2025-02-24,CSLMF,12.0,12.0,12.0,12.0,0
2025-02-25,CSLMF,12.0,12.0,12.0,12.0,0
2025-02-26,CSLMF,12.0,12.0,12.0,12.0,0
2025-02-27,CSLMF,11.61,11.61,11.61,11.61,843
2025-02-28,CSLMF,11.61,11.61,11.61,11.61,0
2025-03-03,CSLMF,11.61,11.61,11.61,11.61,1
2025-03-04,CSLMF,11.61,11.61,11.61,11.61,2
2025-03-05,CSLMF,11.61,11.61,11.61,11.61,1
2025-03-06,CSLMF,11.61,11.61,11.61,11.61,1
2025-03-07,CSLMF,11.61,11.61,11.61,11.61,2
