date,ticker,open,high,low,close,volume
2022-03-17,DUET,9.86,9.88,9.86,9.88,2292
2022-03-18,DUET,9.88,9.93,9.84,9.84,206837
2022-03-21,DUET,9.86,9.93,9.85,9.88,285375
2022-03-22,DUET,9.82,9.8598,9.82,9.84,936
2022-03-23,DUET,9.84,9.84,9.84,9.84,660
2022-03-24,DUET,9.86,9.88,9.86,9.88,1526
2022-03-25,DUET,9.85,9.88,9.78,9.84,681650
2022-03-28,DUET,9.87,9.87,9.87,9.87,377
2022-03-29,DUET,9.88,9.88,9.88,9.88,3401
2022-03-30,DUET,9.88,9.88,9.88,9.88,0
2022-03-31,DUET,9.86,9.89,9.86,9.89,53802
2022-04-01,DUET,9.89,9.89,9.89,9.89,11
2022-04-04,DUET,9.89,9.89,9.89,9.89,5
2022-04-05,DUET,9.89,9.89,9.89,9.89,12
2022-04-06,DUET,9.89,9.89,9.89,9.89,0
2022-04-07,DUET,9.8782,9.8782,9.8782,9.8782,712
2022-04-08,DUET,9.87,9.87,9.87,9.87,1844
2022-04-11,DUET,9.88,9.88,9.88,9.88,50000
2022-04-12,DUET,9.9,9.9,9.9,9.9,26414
2022-04-13,DUET,9.9,9.9,9.9,9.9,5
2022-04-14,DUET,9.9,9.9,9.9,9.9,10330
2022-04-18,DUET,9.9,9.91,9.9,9.91,15078
2022-04-19,DUET,9.93,9.93,9.93,9.93,4312
2022-04-20,DUET,9.93,9.93,9.93,9.93,1
2022-04-21,DUET,9.94,9.94,9.94,9.94,4908
2022-04-22,DUET,9.94,9.94,9.94,9.94,0
2022-04-25,DUET,9.94,9.94,9.94,9.94,6
2022-04-26,DUET,9.9,9.9,9.9,9.9,107478
2022-04-27,DUET,9.9,9.9,9.9,9.9,0
2022-04-28,DUET,9.9,9.9,9.9,9.9,300
2022-04-29,DUET,9.9,9.9,9.9,9.9,200010
2022-05-02,DUET,9.92,9.92,9.92,9.92,1152
2022-05-03,DUET,9.92,9.92,9.92,9.92,0
2022-05-04,DUET,9.92,9.92,9.92,9.92,0
2022-05-05,DUET,9.92,9.92,9.92,9.92,1
2022-05-06,DUET,9.93,9.93,9.93,9.93,677
2022-05-09,DUET,9.93,9.93,9.93,9.93,6
2022-05-10,DUET,9.93,9.93,9.93,9.93,0
2022-05-11,DUET,9.89,9.89,9.89,9.89,2800
2022-05-12,DUET,9.88,9.88,9.87,9.87,2806
2022-05-13,DUET,9.87,9.87,9.87,9.87,97
2022-05-16,DUET,9.87,9.87,9.87,9.87,5
2022-05-17,DUET,9.87,9.87,9.87,9.87,97
2022-05-18,DUET,9.87,9.87,9.87,9.87,2
2022-05-19,DUET,9.87,9.87,9.87,9.87,2
2022-05-20,DUET,9.87,9.87,9.87,9.87,0
2022-05-23,DUET,9.87,9.87,9.87,9.87,0
2022-05-24,DUET,9.87,9.87,9.87,9.87,0
2022-05-25,DUET,9.87,9.87,9.87,9.87,0
2022-05-26,DUET,9.9,9.9,9.9,9.9,108
2022-05-27,DUET,9.89,9.89,9.88,9.88,193021
2022-05-31,DUET,9.91,9.91,9.91,9.91,183
2022-06-01,DUET,9.91,9.91,9.91,9.91,50
2022-06-02,DUET,9.91,9.91,9.91,9.91,0
2022-06-03,DUET,9.91,9.91,9.91,9.91,246
2022-06-06,DUET,9.91,9.91,9.87,9.87,251
2022-06-07,DUET,9.92,9.92,9.92,9.92,5854
2022-06-08,DUET,9.92,9.92,9.92,9.92,2
