date,ticker,open,high,low,close,volume
2025-06-30,EGHA,10.39,10.39,9.93,10.0,28479
2025-07-01,EGHA,10.05,10.05,9.96,9.965,41977
2025-07-02,EGHA,9.9476,9.97,9.9476,9.97,4335
2025-07-03,EGHA,9.97,9.97,9.97,9.97,178
2025-07-07,EGHA,9.96,9.97,9.96,9.9605,100298
2025-07-08,EGHA,9.98,9.98,9.97,9.98,135324
2025-07-09,EGHA,9.95,10.005,9.95,10.005,6844
2025-07-10,EGHA,10.02,10.02,9.99,9.99,20359
2025-07-11,EGHA,9.99,9.99,9.99,9.99,12943
2025-07-14,EGHA,9.9829,9.99,9.9829,9.99,1981
2025-07-15,EGHA,10.0,10.265,10.0,10.02,3066
2025-07-16,EGHA,10.0,10.01,10.0,10.01,1292
2025-07-17,EGHA,10.01,10.02,10.01,10.02,20867
2025-07-18,EGHA,10.02,10.02,10.005,10.005,535
2025-07-21,EGHA,10.02,10.05,10.0,10.05,262915
2025-07-22,EGHA,10.04,10.04,10.04,10.04,24108
2025-07-23,EGHA,10.02,10.02,10.02,10.02,7334
2025-07-24,EGHA,10.04,10.04,10.04,10.04,7322
2025-07-25,EGHA,10.02,10.12,10.02,10.11,7571
2025-07-28,EGHA,10.11,10.11,10.11,10.11,6701
2025-07-29,EGHA,10.11,10.11,10.11,10.11,6700
2025-07-30,EGHA,10.04,10.04,10.04,10.04,306624
2025-07-31,EGHA,10.06,10.11,10.06,10.1,36623
2025-08-01,EGHA,10.1,10.1,10.1,10.1,13334
2025-08-04,EGHA,10.03,10.03,10.03,10.03,13566
2025-08-05,EGHA,10.03,10.03,10.03,10.03,8500
2025-08-06,EGHA,10.03,10.03,10.03,10.03,8102
2025-08-07,EGHA,10.03,10.03,10.03,10.03,7900
2025-08-08,EGHA,10.02,10.02,10.02,10.02,8227
2025-08-11,EGHA,10.03,10.04,10.023,10.03,469615
2025-08-12,EGHA,10.0282,10.1,10.0194,10.04,483304
2025-08-13,EGHA,10.0506,10.0506,10.03,10.05,28810
2025-08-14,EGHA,10.06,10.0718,10.03,10.0301,44211
2025-08-15,EGHA,10.01,10.01,10.01,10.01,21820
2025-08-18,EGHA,10.02,10.02,10.02,10.02,21912
2025-08-19,EGHA,10.0357,10.0357,10.02,10.03,22869
2025-08-20,EGHA,10.01,10.01,10.01,10.01,22408
2025-08-21,EGHA,10.02,10.072,10.02,10.02,33708
2025-08-22,EGHA,10.01,10.01,10.01,10.01,7544
2025-08-25,EGHA,10.01,10.01,10.01,10.01,107
2025-08-26,EGHA,10.01,10.01,10.01,10.01,107
2025-08-27,EGHA,10.01,10.01,10.01,10.01,106
2025-08-28,EGHA,10.01,10.01,10.01,10.01,105
2025-08-29,EGHA,10.01,10.01,10.01,10.01,105
2025-09-02,EGHA,10.01,10.01,10.01,10.01,109
2025-09-03,EGHA,10.01,10.01,10.01,10.01,107
2025-09-04,EGHA,10.01,10.01,10.01,10.01,0
2025-09-05,EGHA,10.03,10.03,10.015,10.015,575000
2025-09-08,EGHA,10.015,10.015,10.015,10.015,3
2025-09-09,EGHA,10.015,10.015,10.015,10.015,0
2025-09-10,EGHA,10.015,10.015,10.015,10.015,0
2025-09-11,EGHA,10.02,10.06,10.02,10.05,8089
2025-09-12,EGHA,10.02,10.02,10.02,10.02,100810
2025-09-15,EGHA,10.02,10.02,10.02,10.02,0
2025-09-16,EGHA,10.02,10.02,10.02,10.02,0
2025-09-17,EGHA,10.02,10.02,10.02,10.02,11633
2025-09-18,EGHA,10.02,10.02,10.02,10.02,0
2025-09-19,EGHA,10.02,10.02,10.02,10.02,5
2025-09-22,EGHA,10.01,10.01,10.01,10.01,107
2025-09-23,EGHA,10.0498,10.0499,10.0498,10.0499,1000
2025-09-24,EGHA,10.01,10.01,10.01,10.01,1105
2025-09-25,EGHA,10.01,10.01,10.01,10.01,5
2025-09-26,EGHA,10.01,10.01,10.01,10.01,0
2025-09-29,EGHA,10.01,10.01,10.01,10.01,1993
2025-09-30,EGHA,10.01,10.01,10.01,10.01,0
2025-10-01,EGHA,10.01,10.01,10.01,10.01,2
2025-10-02,EGHA,10.01,10.01,10.01,10.01,5
2025-10-03,EGHA,10.07,10.07,10.07,10.07,3175
2025-10-06,EGHA,10.07,10.07,10.06,10.07,16802
2025-10-07,EGHA,9.3143,10.08,9.3143,10.05,60376
2025-10-08,EGHA,10.045,10.045,10.03,10.03,16374
2025-10-09,EGHA,10.045,10.05,10.045,10.05,10031
2025-10-10,EGHA,10.05,10.05,10.05,10.05,4114
2025-10-13,EGHA,10.045,10.05,10.045,10.05,20550
2025-10-14,EGHA,10.075,10.075,10.075,10.075,170958
2025-10-15,EGHA,10.075,10.075,10.075,10.075,76
2025-10-16,EGHA,10.075,10.075,10.075,10.075,117
2025-10-17,EGHA,10.075,10.075,10.075,10.075,125148
2025-10-20,EGHA,10.075,10.08,10.075,10.08,140024
2025-10-21,EGHA,10.08,10.08,10.08,10.08,100
2025-10-22,EGHA,10.05,10.08,10.05,10.08,2205
2025-10-23,EGHA,10.08,10.08,10.08,10.08,32
2025-10-24,EGHA,10.09,10.12,10.09,10.11,253175
2025-10-27,EGHA,10.12,10.14,10.12,10.14,14275
2025-10-28,EGHA,10.14,10.14,10.14,10.14,60
2025-10-29,EGHA,10.14,10.14,10.14,10.14,11
2025-10-30,EGHA,10.14,10.14,10.14,10.14,20
2025-10-31,EGHA,10.11,10.11,10.1,10.1,30015
2025-11-03,EGHA,10.1385,10.1385,10.11,10.11,2361
2025-11-04,EGHA,10.12,10.12,10.12,10.12,5997
2025-11-05,EGHA,10.12,10.12,10.12,10.12,0
2025-11-06,EGHA,10.12,10.12,10.12,10.12,0
2025-11-07,EGHA,10.12,10.12,10.12,10.12,0
2025-11-10,EGHA,10.12,10.12,10.12,10.12,0
2025-11-11,EGHA,10.11,10.13,10.11,10.13,114451
2025-11-12,EGHA,10.14,10.14,10.14,10.14,1900
2025-11-13,EGHA,10.14,10.14,10.14,10.14,0
2025-11-14,EGHA,10.14,10.14,10.14,10.14,0
2025-11-17,EGHA,10.14,10.14,10.14,10.14,3
2025-11-18,EGHA,10.14,10.14,10.14,10.14,0
2025-11-19,EGHA,10.15,10.15,10.13,10.13,2301
2025-11-20,EGHA,10.12,10.12,10.12,10.12,164
2025-11-21,EGHA,10.12,10.12,10.12,10.12,35000
2025-11-24,EGHA,10.12,10.12,10.12,10.12,0
