date,ticker,open,high,low,close,volume
2020-03-20,ESSC,9.35,9.35,9.35,9.35,5000
2020-03-23,ESSC,9.35,9.35,9.35,9.35,1000
2020-03-24,ESSC,9.35,9.35,9.35,9.35,5000
2020-03-25,ESSC,9.4,9.5,9.4,9.5,15200
2020-03-26,ESSC,9.5,9.5,9.5,9.5,2
2020-03-27,ESSC,9.7,9.7,9.7,9.7,5068
2020-03-30,ESSC,9.7,9.7,9.7,9.7,0
2020-03-31,ESSC,9.65,9.65,9.65,9.65,5032
2020-04-01,ESSC,9.4,9.4,9.4,9.4,200
2020-04-02,ESSC,9.66,9.66,9.66,9.66,2001
2020-04-03,ESSC,9.66,9.66,9.66,9.66,0
2020-04-06,ESSC,9.5,9.6,9.5,9.6,1506
2020-04-07,ESSC,9.6,9.6,9.6,9.6,0
2020-04-08,ESSC,9.68,9.68,9.63,9.63,1100
2020-04-09,ESSC,9.6,9.62,9.6,9.62,1798
2020-04-13,ESSC,9.62,9.62,9.62,9.62,0
2020-04-14,ESSC,9.75,9.75,9.75,9.75,2100
2020-04-15,ESSC,9.75,9.75,9.75,9.75,0
2020-04-16,ESSC,9.75,9.75,9.75,9.75,3700
2020-04-17,ESSC,9.7,9.7,9.7,9.7,6706
2020-04-20,ESSC,9.7,9.7,9.7,9.7,1
2020-04-21,ESSC,9.7,9.7,9.7,9.7,0
2020-04-22,ESSC,9.7,9.7,9.7,9.7,0
2020-04-23,ESSC,9.77,9.77,9.77,9.77,900
2020-04-24,ESSC,9.77,9.77,9.77,9.77,4
2020-04-27,ESSC,9.75,9.75,9.75,9.75,3000
2020-04-28,ESSC,9.75,9.75,9.75,9.75,0
2020-04-29,ESSC,9.7,9.77,9.7,9.77,500301
2020-04-30,ESSC,9.73,9.73,9.73,9.73,350000
2020-05-01,ESSC,9.73,9.73,9.73,9.73,250000
2020-05-04,ESSC,9.75,9.75,9.73,9.73,151000
2020-05-05,ESSC,9.73,9.73,9.73,9.73,1200
2020-05-06,ESSC,9.72,9.72,9.7,9.7,5800
