date,ticker,open,high,low,close,volume
2025-04-21,FERA,10.1,10.1,9.87,9.87,23563
2025-04-22,FERA,9.89,9.9,9.89,9.9,55811
2025-04-23,FERA,9.8888,9.89,9.88,9.88,107480
2025-04-24,FERA,9.89,9.91,9.88,9.895,745906
2025-04-25,FERA,9.8901,9.9082,9.8901,9.9,502656
2025-04-28,FERA,9.9,9.905,9.9,9.9,120074
2025-04-29,FERA,9.91,9.95,9.91,9.945,1466439
2025-04-30,FERA,9.91,9.94,9.91,9.94,82096
2025-05-01,FERA,9.94,9.94,9.94,9.94,18240
2025-05-02,FERA,9.95,9.95,9.94,9.95,278505
2025-05-05,FERA,9.94,9.95,9.94,9.95,1142
2025-05-06,FERA,9.94,9.95,9.94,9.95,68002
2025-05-07,FERA,9.95,9.97,9.94,9.97,596998
2025-05-08,FERA,9.969,10.035,9.9655,10.03,231086
2025-05-09,FERA,10.01,10.03,9.94,9.99,172971
2025-05-12,FERA,9.99,10.0,9.99,10.0,70909
2025-05-13,FERA,10.0,10.0,10.0,10.0,9238
2025-05-14,FERA,9.99,10.04,9.99,10.035,228615
2025-05-15,FERA,10.01,10.01,9.995,9.995,356
2025-05-16,FERA,10.01,10.05,10.01,10.05,43924
2025-05-19,FERA,10.06,10.0685,10.06,10.06,11433
2025-05-20,FERA,10.05,10.0762,10.05,10.07,81170
2025-05-21,FERA,10.03,10.07,10.03,10.07,63321
2025-05-22,FERA,10.04,10.04,10.01,10.01,50812
2025-05-23,FERA,10.08,10.08,10.04,10.045,42903
2025-05-27,FERA,10.05,10.07,10.03,10.06,44526
2025-05-28,FERA,10.06,10.0685,10.06,10.06,112817
2025-05-29,FERA,10.07,10.075,10.06,10.06,33003
2025-05-30,FERA,10.07,10.1,10.07,10.1,146347
2025-06-02,FERA,10.1,10.13,10.0904,10.13,85392
2025-06-03,FERA,10.14,10.14,10.105,10.14,12025
2025-06-04,FERA,10.12,10.14,10.11,10.11,263726
2025-06-05,FERA,10.11,10.11,10.1,10.11,30180
2025-06-06,FERA,10.11,10.11,10.1,10.1,146143
2025-06-09,FERA,10.1,10.14,10.1,10.13,38174
2025-06-10,FERA,10.1,10.13,10.1,10.13,53260
2025-06-11,FERA,10.13,10.13,10.1,10.1,535
2025-06-12,FERA,10.124,10.13,10.1,10.1,1213
2025-06-13,FERA,10.101,10.13,10.1,10.13,86317
2025-06-16,FERA,10.11,10.14,10.11,10.13,63409
2025-06-17,FERA,10.14,10.15,10.11,10.11,8324
2025-06-18,FERA,10.11,10.16,10.11,10.12,40188
2025-06-20,FERA,10.135,10.17,10.11,10.17,1717991
2025-06-23,FERA,10.165,10.17,10.15,10.17,106077
2025-06-24,FERA,10.1668,10.17,10.1668,10.17,2119
2025-06-25,FERA,10.16,10.16,10.12,10.12,162408
2025-06-26,FERA,10.13,10.15,10.13,10.14,201417
2025-06-27,FERA,10.15,10.16,10.14,10.15,44608
2025-06-30,FERA,10.16,10.16,10.15,10.15,122671
