date,ticker,open,high,low,close,volume
2025-02-11,FGMC,9.85,9.85,9.63,9.65,492823
2025-02-12,FGMC,9.67,9.67,9.62,9.6374,64497
2025-02-13,FGMC,9.641,9.641,9.64,9.6401,2223
2025-02-14,FGMC,9.64,9.6451,9.6149,9.6149,21694
2025-02-18,FGMC,9.61,9.6251,9.56,9.59,23185
2025-02-19,FGMC,9.6,9.6101,9.57,9.575,53637
2025-02-20,FGMC,9.59,9.6,9.58,9.58,26731
2025-02-21,FGMC,9.6,9.6,9.59,9.59,11590
2025-02-24,FGMC,9.6,9.6,9.59,9.59,32964
2025-02-25,FGMC,9.61,9.63,9.59,9.5901,10449
2025-02-26,FGMC,9.59,9.59,9.59,9.59,50172
2025-02-27,FGMC,9.59,9.59,9.59,9.59,2957
2025-02-28,FGMC,9.58,9.58,9.57,9.58,3858
2025-03-03,FGMC,9.58,9.59,9.57,9.58,42567
2025-03-04,FGMC,9.57,9.57,9.55,9.56,16313
2025-03-05,FGMC,9.57,9.57,9.53,9.53,31617
2025-03-06,FGMC,9.54,9.55,9.5349,9.54,633413
2025-03-07,FGMC,9.53,9.57,9.53,9.57,911
2025-03-10,FGMC,9.57,9.57,9.57,9.57,8
2025-03-11,FGMC,9.57,9.58,9.55,9.57,366660
2025-03-12,FGMC,9.57,9.57,9.555,9.565,33033
2025-03-13,FGMC,9.56,9.57,9.555,9.57,6579
2025-03-14,FGMC,9.57,9.57,9.57,9.57,1
2025-03-17,FGMC,9.57,9.57,9.57,9.57,98
2025-03-18,FGMC,9.57,9.57,9.57,9.57,4281
2025-03-19,FGMC,9.57,9.57,9.57,9.57,9
2025-03-20,FGMC,9.565,9.57,9.555,9.56,6449
2025-03-21,FGMC,9.56,9.56,9.56,9.56,1
2025-03-24,FGMC,9.56,9.56,9.56,9.56,112
2025-03-25,FGMC,9.57,9.58,9.565,9.57,6132
2025-03-26,FGMC,9.575,9.575,9.57,9.57,1144
2025-03-27,FGMC,9.58,9.59,9.58,9.59,4033
2025-03-28,FGMC,9.59,9.59,9.59,9.59,50075
2025-03-31,FGMC,9.59,9.59,9.59,9.59,35
2025-04-01,FGMC,9.6,9.6,9.58,9.58,31935
