date,ticker,open,high,low,close,volume
2021-05-07,FTPA,9.86,9.86,9.86,9.86,500
2021-05-10,FTPA,9.86,9.86,9.86,9.86,0
2021-05-11,FTPA,9.86,9.86,9.86,9.86,1500
2021-05-12,FTPA,9.85,9.86,9.85,9.86,1760
2021-05-13,FTPA,9.86,9.86,9.86,9.86,0
2021-05-14,FTPA,9.86,9.86,9.86,9.86,4
2021-05-17,FTPA,9.86,9.86,9.86,9.86,0
2021-05-18,FTPA,9.86,9.86,9.86,9.86,1
2021-05-19,FTPA,9.85,9.85,9.85,9.85,1360
2021-05-20,FTPA,9.85,9.85,9.85,9.85,1
2021-05-21,FTPA,9.85,9.85,9.85,9.85,0
2021-05-24,FTPA,9.85,9.85,9.85,9.85,1
2021-05-25,FTPA,9.85,9.85,9.85,9.85,0
2021-05-26,FTPA,10.21,10.21,10.21,10.21,104
2021-05-27,FTPA,10.21,10.21,10.21,10.21,0
2021-05-28,FTPA,10.05,10.05,9.92,9.92,810
2021-06-01,FTPA,9.92,9.92,9.92,9.92,1
2021-06-02,FTPA,9.92,9.92,9.92,9.92,0
2021-06-03,FTPA,9.92,9.92,9.92,9.92,0
2021-06-04,FTPA,9.92,9.92,9.92,9.92,1
2021-06-07,FTPA,9.92,9.92,9.92,9.92,3
2021-06-08,FTPA,9.92,9.92,9.92,9.92,0
2021-06-09,FTPA,9.92,9.92,9.92,9.92,1
2021-06-10,FTPA,9.92,9.92,9.92,9.92,2
2021-06-11,FTPA,9.92,9.92,9.92,9.92,1
2021-06-14,FTPA,9.85,9.9,9.62,9.9,9889
2021-06-15,FTPA,9.72,9.85,9.65,9.85,1600
2021-06-16,FTPA,9.85,9.85,9.85,9.85,0
2021-06-17,FTPA,9.85,9.85,9.85,9.85,2
2021-06-18,FTPA,9.85,9.85,9.85,9.85,0
2021-06-21,FTPA,10.47,10.47,9.8,9.8,125200
2021-06-22,FTPA,9.8,9.8,9.8,9.8,63
2021-06-23,FTPA,9.7,9.8,9.65,9.8,738
2021-06-24,FTPA,9.8,9.8,9.8,9.8,0
2021-06-25,FTPA,9.8,9.8,9.8,9.8,0
2021-06-28,FTPA,9.8,9.8,9.8,9.8,43
2021-06-29,FTPA,9.75,9.75,9.75,9.75,400
2021-06-30,FTPA,10.8,10.8,9.75,9.76,2740
2021-07-01,FTPA,10.1172,10.1172,10.1172,10.1172,125
2021-07-02,FTPA,10.7395,10.7395,9.8,9.8,506
2021-07-06,FTPA,9.71,9.71,9.68,9.68,426
2021-07-07,FTPA,9.75,9.76,9.75,9.75,41604
2021-07-08,FTPA,9.75,9.75,9.7,9.72,2017
2021-07-09,FTPA,9.75,9.8481,9.73,9.8481,2910
2021-07-12,FTPA,9.93,9.93,9.85,9.85,5051
2021-07-13,FTPA,11.142,11.15,9.79,9.98,1956
2021-07-14,FTPA,9.98,9.98,9.98,9.98,2
2021-07-15,FTPA,9.98,9.98,9.98,9.98,2
2021-07-16,FTPA,9.98,9.98,9.98,9.98,3
2021-07-19,FTPA,9.98,9.98,9.98,9.98,0
2021-07-20,FTPA,9.98,9.98,9.98,9.98,21
2021-07-21,FTPA,9.75,9.75,9.66,9.71,27437
2021-07-22,FTPA,9.73,9.75,9.66,9.73,73373
2021-07-23,FTPA,9.73,9.73,9.73,9.73,101
2021-07-26,FTPA,9.73,9.73,9.73,9.73,0
2021-07-27,FTPA,9.73,9.73,9.73,9.73,0
2021-07-28,FTPA,9.73,9.73,9.73,9.73,0
2021-07-29,FTPA,9.72,9.72,9.72,9.72,225
2021-07-30,FTPA,9.72,9.72,9.72,9.72,0
2021-08-02,FTPA,9.72,9.72,9.72,9.72,6
2021-08-03,FTPA,9.73,9.73,9.7,9.73,3081
2021-08-04,FTPA,9.735,9.74,9.735,9.74,1703
2021-08-05,FTPA,9.74,9.74,9.74,9.74,0
2021-08-06,FTPA,9.74,9.74,9.74,9.74,1
2021-08-09,FTPA,9.74,9.74,9.74,9.74,0
2021-08-10,FTPA,9.74,9.74,9.74,9.74,0
2021-08-11,FTPA,9.76,9.76,9.76,9.76,250
2021-08-12,FTPA,9.76,9.76,9.76,9.76,1
2021-08-13,FTPA,9.68,9.76,9.68,9.76,425
2021-08-16,FTPA,9.6956,9.75,9.6956,9.75,350
2021-08-17,FTPA,9.66,9.72,9.66,9.72,1200
2021-08-18,FTPA,9.73,9.736,9.73,9.736,300
2021-08-19,FTPA,9.66,9.717,9.66,9.717,622
2021-08-20,FTPA,9.717,9.717,9.717,9.717,2
2021-08-23,FTPA,9.67,9.69,9.67,9.69,6711
2021-08-24,FTPA,9.69,9.69,9.69,9.69,100
2021-08-25,FTPA,9.69,9.69,9.69,9.69,200000
2021-08-26,FTPA,9.69,9.69,9.69,9.69,0
2021-08-27,FTPA,9.7,9.7,9.7,9.7,100
2021-08-30,FTPA,9.68,9.72,9.66,9.72,1300
2021-08-31,FTPA,9.72,9.72,9.72,9.72,104
2021-09-01,FTPA,9.72,9.72,9.72,9.72,98
2021-09-02,FTPA,9.71,9.719,9.71,9.719,2200
2021-09-03,FTPA,9.719,9.719,9.719,9.719,4
2021-09-07,FTPA,9.765,9.765,9.71,9.71,15654
2021-09-08,FTPA,9.71,9.71,9.71,9.71,0
2021-09-09,FTPA,9.71,9.71,9.71,9.71,0
2021-09-10,FTPA,9.71,9.71,9.67,9.67,2872
2021-09-13,FTPA,9.7,9.7,9.7,9.7,100
2021-09-14,FTPA,9.7,9.7,9.7,9.7,0
2021-09-15,FTPA,9.72,9.75,9.72,9.75,1001693
2021-09-16,FTPA,9.76,9.79,9.76,9.79,900
2021-09-17,FTPA,9.79,9.79,9.79,9.79,67
2021-09-20,FTPA,9.79,9.79,9.79,9.79,0
2021-09-21,FTPA,9.75,9.75,9.75,9.75,140100
2021-09-22,FTPA,9.74,9.74,9.73,9.73,414
2021-09-23,FTPA,9.6601,9.77,9.6601,9.74,1214
2021-09-24,FTPA,9.6932,9.76,9.6932,9.76,741
2021-09-27,FTPA,9.76,9.76,9.76,9.76,2
2021-09-28,FTPA,9.76,9.76,9.76,9.76,1
2021-09-29,FTPA,9.71,9.71,9.71,9.71,1024
2021-09-30,FTPA,9.75,9.77,9.75,9.75,1756
2021-10-01,FTPA,9.7,9.75,9.7,9.75,481
2021-10-04,FTPA,9.73,9.77,9.73,9.74,113089
2021-10-05,FTPA,9.75,9.85,9.71,9.8,339902
2021-10-06,FTPA,9.75,9.8,9.73,9.8,38630
2021-10-07,FTPA,9.765,9.765,9.76,9.76,788
2021-10-08,FTPA,9.765,9.8,9.765,9.77,1666
2021-10-11,FTPA,9.77,9.77,9.77,9.77,3
2021-10-12,FTPA,9.77,9.77,9.77,9.77,0
2021-10-13,FTPA,9.77,9.77,9.77,9.77,1
2021-10-14,FTPA,9.77,9.77,9.77,9.77,84
2021-10-15,FTPA,9.77,9.77,9.77,9.77,21
2021-10-18,FTPA,9.77,9.77,9.77,9.77,10
2021-10-19,FTPA,9.77,9.77,9.77,9.77,114
2021-10-20,FTPA,9.77,9.77,9.77,9.77,1
2021-10-21,FTPA,9.77,9.77,9.77,9.77,0
2021-10-22,FTPA,9.77,9.77,9.77,9.77,0
2021-10-25,FTPA,9.62,9.75,9.62,9.75,912
2021-10-26,FTPA,9.74,9.74,9.74,9.74,112
2021-10-27,FTPA,9.72,9.75,9.72,9.75,624
2021-10-28,FTPA,9.7106,9.76,9.7106,9.76,904
2021-10-29,FTPA,9.76,9.76,9.76,9.76,147
2021-11-01,FTPA,9.76,9.76,9.76,9.76,0
2021-11-02,FTPA,9.76,9.79,9.76,9.79,31316
2021-11-03,FTPA,9.74,9.74,9.74,9.74,200
2021-11-04,FTPA,9.74,9.74,9.74,9.74,3
2021-11-05,FTPA,9.78,9.84,9.78,9.79,200200
2021-11-08,FTPA,9.79,9.79,9.79,9.79,2
2021-11-09,FTPA,9.83,9.84,9.79,9.84,22900
2021-11-10,FTPA,9.74,9.74,9.74,9.74,200
2021-11-11,FTPA,9.74,9.74,9.74,9.74,0
2021-11-12,FTPA,9.74,9.74,9.74,9.74,0
2021-11-15,FTPA,9.75,9.75,9.75,9.75,500
2021-11-16,FTPA,9.76,9.84,9.75,9.84,19038
2021-11-17,FTPA,9.79,9.84,9.79,9.84,3355
2021-11-18,FTPA,9.8,9.8,9.79,9.79,300300
2021-11-19,FTPA,9.79,9.83,9.75,9.83,1651
2021-11-22,FTPA,9.8,9.84,9.8,9.84,50879
2021-11-23,FTPA,9.83,9.84,9.8,9.84,9251
2021-11-24,FTPA,9.84,9.84,9.84,9.84,0
2021-11-26,FTPA,9.84,9.84,9.84,9.84,0
2021-11-29,FTPA,9.84,9.84,9.84,9.84,0
2021-11-30,FTPA,9.85,9.85,9.85,9.85,207
2021-12-01,FTPA,9.85,9.85,9.85,9.85,3500
2021-12-02,FTPA,9.85,9.85,9.85,9.85,0
2021-12-03,FTPA,9.85,9.85,9.85,9.85,12
2021-12-06,FTPA,9.85,9.85,9.85,9.85,2
2021-12-07,FTPA,9.85,9.85,9.85,9.85,0
2021-12-08,FTPA,9.85,9.85,9.85,9.85,5
2021-12-09,FTPA,9.83,9.85,9.83,9.85,1089
2021-12-10,FTPA,9.85,9.85,9.85,9.85,1
2021-12-13,FTPA,9.85,9.85,9.85,9.85,0
2021-12-14,FTPA,9.85,9.85,9.85,9.85,5402
2021-12-15,FTPA,9.85,9.85,9.85,9.85,86
2021-12-16,FTPA,9.85,9.85,9.85,9.85,0
2021-12-17,FTPA,9.85,9.85,9.85,9.85,5
2021-12-20,FTPA,9.85,9.85,9.85,9.85,0
2021-12-21,FTPA,9.85,9.85,9.85,9.85,1
2021-12-22,FTPA,9.85,9.85,9.85,9.85,1163
2021-12-23,FTPA,9.84,9.84,9.84,9.84,103
2021-12-27,FTPA,9.84,9.84,9.84,9.84,0
