date,ticker,open,high,low,close,volume
2022-06-17,GBBK,9.81,9.83,9.77,9.7991,6141
2022-06-21,GBBK,9.82,9.82,9.82,9.82,10684
2022-06-22,GBBK,9.82,9.82,9.75,9.75,684
2022-06-23,GBBK,9.75,9.75,9.75,9.75,115
2022-06-24,GBBK,9.75,9.75,9.75,9.75,122
2022-06-27,GBBK,9.75,9.75,9.75,9.75,55
2022-06-28,GBBK,9.75,9.75,9.75,9.75,58
2022-06-29,GBBK,9.75,9.75,9.75,9.75,66
2022-06-30,GBBK,9.83,9.85,9.825,9.84,1248
2022-07-01,GBBK,9.86,9.86,9.8499,9.8499,276
2022-07-05,GBBK,9.82,9.82,9.8,9.8,17404
2022-07-06,GBBK,9.8,9.81,9.78,9.8,62290
2022-07-07,GBBK,9.786,9.8,9.78,9.79,15741
2022-07-08,GBBK,9.79,9.8,9.79,9.8,31273
2022-07-11,GBBK,9.8,9.805,9.7999,9.8,526188
2022-07-12,GBBK,9.8,9.81,9.8,9.81,328035
2022-07-13,GBBK,9.8,9.81,9.79,9.8,149241
2022-07-14,GBBK,9.8,9.81,9.8,9.8,45293
2022-07-15,GBBK,9.8,9.81,9.8,9.8,34175
2022-07-18,GBBK,9.8,9.81,9.8,9.81,171855
2022-07-19,GBBK,9.8,9.815,9.7998,9.8,45871
2022-07-20,GBBK,9.8,9.8,9.8,9.8,255
2022-07-21,GBBK,9.805,9.81,9.8,9.81,95884
2022-07-22,GBBK,9.8,9.81,9.8,9.81,39046
2022-07-25,GBBK,9.81,9.83,9.8,9.83,723710
2022-07-26,GBBK,9.83,9.83,9.825,9.825,2903
2022-07-27,GBBK,9.83,9.83,9.83,9.83,31746
2022-07-28,GBBK,9.825,9.8364,9.82,9.8364,84307
2022-07-29,GBBK,9.84,9.845,9.84,9.845,18548
2022-08-01,GBBK,9.85,9.85,9.8433,9.85,23558
2022-08-02,GBBK,9.85,9.87,9.85,9.8699,31012
2022-08-03,GBBK,9.8699,9.8699,9.8699,9.8699,0
2022-08-04,GBBK,9.87,9.87,9.85,9.85,210138
2022-08-05,GBBK,9.84,9.85,9.84,9.85,15306
2022-08-08,GBBK,9.87,9.87,9.84,9.84,20855
2022-08-09,GBBK,9.84,9.85,9.83,9.83,33405
2022-08-10,GBBK,9.85,9.85,9.8498,9.8498,21772
2022-08-11,GBBK,9.85,9.86,9.85,9.85,488317
2022-08-12,GBBK,9.85,9.85,9.85,9.85,1320
2022-08-15,GBBK,9.85,9.87,9.85,9.865,520039
2022-08-16,GBBK,9.86,9.86,9.86,9.86,1811
2022-08-17,GBBK,9.855,9.855,9.84,9.84,16602
2022-08-18,GBBK,9.84,9.84,9.84,9.84,41
2022-08-19,GBBK,9.84,9.84,9.84,9.84,1
2022-08-22,GBBK,9.8481,9.87,9.8481,9.87,986
2022-08-23,GBBK,9.86,9.87,9.86,9.87,5693
2022-08-24,GBBK,9.87,9.87,9.84,9.85,12460
2022-08-25,GBBK,9.85,9.85,9.85,9.85,0
2022-08-26,GBBK,9.85,9.86,9.82,9.8599,20090
2022-08-29,GBBK,9.87,9.87,9.86,9.86,9375
2022-08-30,GBBK,9.86,9.86,9.86,9.86,20
2022-08-31,GBBK,9.86,9.86,9.86,9.86,3
2022-09-01,GBBK,9.86,9.86,9.86,9.86,19110
2022-09-02,GBBK,9.86,9.86,9.86,9.86,15000
2022-09-06,GBBK,9.86,9.86,9.86,9.86,10
2022-09-07,GBBK,9.8375,9.8375,9.8375,9.8375,1310
2022-09-08,GBBK,9.83,9.83,9.83,9.83,3101
2022-09-09,GBBK,9.85,9.86,9.85,9.86,4316
2022-09-12,GBBK,9.86,9.86,9.86,9.86,6
2022-09-13,GBBK,9.86,9.87,9.86,9.86,12996
2022-09-14,GBBK,9.86,9.86,9.86,9.86,25000
2022-09-15,GBBK,9.85,9.85,9.85,9.85,52003
2022-09-16,GBBK,9.85,9.85,9.85,9.85,4
2022-09-19,GBBK,9.85,9.85,9.85,9.85,0
2022-09-20,GBBK,9.87,9.87,9.87,9.87,12003
2022-09-21,GBBK,9.87,9.87,9.87,9.87,0
2022-09-22,GBBK,9.85,9.85,9.85,9.85,100
2022-09-23,GBBK,9.85,9.85,9.85,9.85,100
2022-09-26,GBBK,9.85,9.85,9.85,9.85,0
2022-09-27,GBBK,9.84,9.865,9.84,9.865,499238
2022-09-28,GBBK,9.88,9.88,9.88,9.88,1002
2022-09-29,GBBK,9.88,9.88,9.88,9.88,21
2022-09-30,GBBK,9.87,9.87,9.87,9.87,25003
2022-10-03,GBBK,9.87,9.87,9.87,9.87,25000
2022-10-04,GBBK,9.87,9.87,9.87,9.87,7
2022-10-05,GBBK,9.87,9.87,9.87,9.87,15
2022-10-06,GBBK,9.87,9.87,9.87,9.87,17
2022-10-07,GBBK,9.87,9.87,9.87,9.87,10
2022-10-10,GBBK,9.87,9.87,9.87,9.87,3
2022-10-11,GBBK,9.9,9.9,9.9,9.9,100
2022-10-12,GBBK,9.9,9.9,9.9,9.9,100
2022-10-13,GBBK,9.91,9.91,9.91,9.91,2860
2022-10-14,GBBK,9.94,9.94,9.94,9.94,112
2022-10-17,GBBK,9.89,9.94,9.89,9.94,25115
2022-10-18,GBBK,9.9,9.9,9.89,9.895,6162
2022-10-19,GBBK,9.95,9.95,9.95,9.95,518
2022-10-20,GBBK,9.95,9.95,9.95,9.95,197
2022-10-21,GBBK,9.96,9.96,9.9,9.96,75246
2022-10-24,GBBK,9.96,9.96,9.96,9.96,725
2022-10-25,GBBK,9.95,9.955,9.945,9.95,19022
2022-10-26,GBBK,9.945,9.945,9.94,9.94,18825
2022-10-27,GBBK,9.92,9.92,9.895,9.9,8862
2022-10-28,GBBK,9.9,9.9,9.9,9.9,1900
2022-10-31,GBBK,9.9,9.9,9.9,9.9,2
2022-11-01,GBBK,9.9,9.9,9.9,9.9,51
2022-11-02,GBBK,9.9,9.9,9.9,9.9,1300
2022-11-03,GBBK,9.91,9.945,9.905,9.945,10828
2022-11-04,GBBK,9.945,9.945,9.945,9.945,2
2022-11-07,GBBK,9.91,9.94,9.91,9.935,40704
2022-11-08,GBBK,9.91,9.93,9.9,9.93,21589
2022-11-09,GBBK,9.93,9.93,9.93,9.93,13
2022-11-10,GBBK,9.93,9.94,9.93,9.93,10465
2022-11-11,GBBK,9.93,9.93,9.93,9.93,51
2022-11-14,GBBK,9.93,9.93,9.93,9.93,56
2022-11-15,GBBK,9.925,9.93,9.925,9.93,4690
2022-11-16,GBBK,9.935,9.94,9.935,9.94,9300
2022-11-17,GBBK,9.94,9.94,9.94,9.94,28
2022-11-18,GBBK,9.94,9.94,9.94,9.94,0
2022-11-21,GBBK,9.94,9.94,9.94,9.94,0
2022-11-22,GBBK,9.94,9.94,9.94,9.94,1
2022-11-23,GBBK,9.94,9.94,9.94,9.94,210
2022-11-25,GBBK,9.94,9.94,9.94,9.94,0
2022-11-28,GBBK,9.94,9.94,9.94,9.94,9
2022-11-29,GBBK,9.95,9.97,9.95,9.97,2431
2022-11-30,GBBK,9.97,9.97,9.97,9.97,631
2022-12-01,GBBK,9.99,9.99,9.99,9.99,1619
2022-12-02,GBBK,9.99,9.99,9.96,9.96,202
2022-12-05,GBBK,9.96,9.96,9.96,9.96,61
2022-12-06,GBBK,9.99,10.0,9.93,10.0,7501
2022-12-07,GBBK,10.0,10.0,10.0,10.0,6
2022-12-08,GBBK,9.96,9.98,9.96,9.98,505
2022-12-09,GBBK,9.98,9.98,9.98,9.98,9
2022-12-12,GBBK,9.98,9.98,9.98,9.98,16
2022-12-13,GBBK,9.98,9.98,9.98,9.98,5
2022-12-14,GBBK,9.98,9.98,9.98,9.98,0
2022-12-15,GBBK,9.96,9.96,9.96,9.96,3002
2022-12-16,GBBK,9.96,9.98,9.96,9.98,2200
2022-12-19,GBBK,10.0,10.0,9.99,10.0,9704
2022-12-20,GBBK,10.0,10.0,10.0,10.0,2
2022-12-21,GBBK,10.0,10.0,10.0,10.0,20
2022-12-22,GBBK,10.13,10.13,10.13,10.13,683
2022-12-23,GBBK,10.0,10.0,10.0,10.0,30005
2022-12-27,GBBK,9.96,10.05,9.96,10.05,62137
2022-12-28,GBBK,10.14,10.14,10.12,10.12,1522
2022-12-29,GBBK,10.12,10.12,10.12,10.12,207
2022-12-30,GBBK,10.14,10.14,10.09,10.09,6674
2023-01-03,GBBK,10.15,10.15,10.15,10.15,1973
2023-01-04,GBBK,10.15,10.15,10.15,10.15,79
