date,ticker,open,high,low,close,volume
2023-01-26,HSPOF,10.15,10.15,10.1,10.12,306526
2023-01-27,HSPOF,10.12,10.13,10.12,10.13,355611
2023-01-30,HSPOF,10.14,10.14,10.12,10.12,260168
2023-01-31,HSPOF,10.14,10.14,10.125,10.125,50100
2023-02-01,HSPOF,10.13,10.13,10.13,10.13,198006
2023-02-02,HSPOF,10.13,10.13,10.12,10.13,10337
2023-02-03,HSPOF,10.13,10.14,10.12,10.13,442543
2023-02-06,HSPOF,10.14,10.14,10.12,10.14,405055
2023-02-07,HSPOF,10.14,10.14,10.13,10.13,4098
2023-02-08,HSPOF,10.16,10.16,10.13,10.13,1967
2023-02-09,HSPOF,10.14,10.15,10.13,10.13,114183
2023-02-10,HSPOF,10.15,10.15,10.14,10.14,146982
2023-02-13,HSPOF,10.15,10.15,10.14,10.14,70057
2023-02-14,HSPOF,10.15,10.15,10.14,10.14,7001
2023-02-15,HSPOF,10.15,10.15,10.14,10.145,168538
2023-02-16,HSPOF,10.14,10.15,10.14,10.14,59046
2023-02-17,HSPOF,10.14,10.14,10.14,10.14,6
2023-02-21,HSPOF,10.13,10.14,10.13,10.14,66711
2023-02-22,HSPOF,10.145,10.16,10.145,10.16,8000
2023-02-23,HSPOF,10.16,10.16,10.15,10.1566,351102
2023-02-24,HSPOF,10.17,10.17,10.17,10.17,402
2023-02-27,HSPOF,10.18,10.18,10.17,10.17,7047
2023-02-28,HSPOF,10.18,10.18,10.18,10.18,1805
2023-03-01,HSPOF,10.18,10.18,10.15,10.15,3306
2023-03-02,HSPOF,10.165,10.165,10.165,10.165,1751
2023-03-03,HSPOF,10.165,10.165,10.165,10.165,0
2023-03-06,HSPOF,10.2,10.2,10.1554,10.1558,2963
2023-03-07,HSPOF,10.16,10.18,10.16,10.18,3500
2023-03-08,HSPOF,10.19,10.19,10.18,10.18,845
2023-03-09,HSPOF,10.18,10.18,10.18,10.18,272
2023-03-10,HSPOF,10.18,10.18,10.18,10.18,222
2023-03-13,HSPOF,10.18,10.18,10.18,10.18,10000
2023-03-14,HSPOF,10.2,10.2,10.19,10.19,9971
2023-03-15,HSPOF,10.18,10.18,10.18,10.18,6718
2023-03-16,HSPOF,10.19,10.19,10.19,10.19,5042
2023-03-17,HSPOF,10.18,10.18,10.18,10.18,143
2023-03-20,HSPOF,10.18,10.18,10.18,10.18,6
2023-03-21,HSPOF,10.18,10.18,10.18,10.18,95
2023-03-22,HSPOF,10.2,10.2,10.2,10.2,2653
2023-03-23,HSPOF,10.205,10.22,10.205,10.22,20063
2023-03-24,HSPOF,10.22,10.22,10.22,10.22,167
2023-03-27,HSPOF,10.22,10.22,10.22,10.22,50
2023-03-28,HSPOF,10.22,10.22,10.1931,10.22,22720
2023-03-29,HSPOF,10.22,10.22,10.22,10.22,11051
2023-03-30,HSPOF,10.22,10.22,10.22,10.22,21
2023-03-31,HSPOF,10.22,10.22,10.22,10.22,3
2023-04-03,HSPOF,10.23,10.23,10.23,10.23,300
2023-04-04,HSPOF,10.23,10.23,10.23,10.23,0
2023-04-05,HSPOF,10.23,10.23,10.23,10.23,0
2023-04-06,HSPOF,10.22,10.22,10.22,10.22,165
2023-04-10,HSPOF,10.22,10.23,10.22,10.23,35172
2023-04-11,HSPOF,10.24,10.24,10.2382,10.2382,17850
2023-04-12,HSPOF,10.22,10.22,10.22,10.22,7808
2023-04-13,HSPOF,10.22,10.22,10.22,10.22,2
2023-04-14,HSPOF,10.22,10.22,10.22,10.22,2
2023-04-17,HSPOF,10.22,10.22,10.22,10.22,4
2023-04-18,HSPOF,10.245,10.27,10.24,10.2501,69491
2023-04-19,HSPOF,10.2501,10.2501,10.2501,10.2501,0
2023-04-20,HSPOF,10.25,10.25,10.25,10.25,9832
2023-04-21,HSPOF,10.26,10.26,10.26,10.26,539
2023-04-24,HSPOF,10.25,10.25,10.25,10.25,210
2023-04-25,HSPOF,10.25,10.25,10.25,10.25,15
2023-04-26,HSPOF,10.25,10.25,10.25,10.25,0
2023-04-27,HSPOF,10.25,10.25,10.25,10.25,0
2023-04-28,HSPOF,10.25,10.25,10.25,10.25,0
2023-05-01,HSPOF,10.27,10.27,10.27,10.27,139
2023-05-02,HSPOF,10.265,10.265,10.26,10.265,20904
2023-05-03,HSPOF,10.265,10.27,10.265,10.27,8085
2023-05-04,HSPOF,10.27,10.27,10.27,10.27,30250
2023-05-05,HSPOF,10.27,10.27,10.27,10.27,5000
2023-05-08,HSPOF,10.27,10.27,10.27,10.27,1
2023-05-09,HSPOF,10.3,10.3,10.3,10.3,3647
2023-05-10,HSPOF,10.3,10.3,10.3,10.3,62
2023-05-11,HSPOF,10.3,10.3,10.3,10.3,10
