date,ticker,open,high,low,close,volume
2023-09-15,HYAC,10.17,10.17,10.16,10.17,456425
2023-09-18,HYAC,10.18,10.18,10.17,10.17,244127
2023-09-19,HYAC,10.18,10.25,10.17,10.18,886736
2023-09-20,HYAC,10.18,10.18,10.17,10.18,22138
2023-09-21,HYAC,10.175,10.175,10.17,10.175,175784
2023-09-22,HYAC,10.18,10.18,10.17,10.17,66888
2023-09-25,HYAC,10.165,10.18,10.16,10.16,125068
2023-09-26,HYAC,10.17,10.18,10.16,10.17,36035
2023-09-27,HYAC,10.17,10.17,10.17,10.17,0
2023-09-28,HYAC,10.16,10.18,10.16,10.17,9704
2023-09-29,HYAC,10.16,10.18,10.16,10.17,11103
2023-10-02,HYAC,10.17,10.17,10.16,10.16,10187
2023-10-03,HYAC,10.1701,10.1701,10.16,10.1701,3846
2023-10-04,HYAC,10.18,10.18,10.18,10.18,334809
2023-10-05,HYAC,10.18,10.18,10.18,10.18,0
2023-10-06,HYAC,10.19,10.19,10.18,10.185,5651
2023-10-09,HYAC,10.19,10.19,10.18,10.18,2084
2023-10-10,HYAC,10.19,10.2,10.18,10.19,761698
2023-10-11,HYAC,10.19,10.195,10.19,10.19,158115
2023-10-12,HYAC,10.195,10.2,10.19,10.195,27766
2023-10-13,HYAC,10.195,10.2,10.19,10.2,665
2023-10-16,HYAC,10.2,10.2,10.19,10.19,1213
2023-10-17,HYAC,10.2,10.21,10.2,10.21,362775
2023-10-18,HYAC,10.2,10.21,10.2,10.21,66721
2023-10-19,HYAC,10.25,10.25,10.19,10.19,201766
2023-10-20,HYAC,10.35,10.35,10.19,10.34,59097
2023-10-23,HYAC,10.22,10.22,10.18,10.19,76784
2023-10-24,HYAC,10.19,10.1933,10.19,10.19,8133
2023-10-25,HYAC,10.19,10.19,10.19,10.19,25832
2023-10-26,HYAC,10.2,10.2,10.19,10.19,13337
2023-10-27,HYAC,10.19,10.19,10.19,10.19,32915
2023-10-30,HYAC,10.2,10.21,10.19,10.19,150641
2023-10-31,HYAC,10.195,10.21,10.195,10.2,202503
2023-11-01,HYAC,10.205,10.25,10.2,10.21,325866
2023-11-02,HYAC,10.23,10.23,10.21,10.21,10045
2023-11-03,HYAC,10.2177,10.23,10.21,10.23,18428
2023-11-06,HYAC,10.24,10.24,10.23,10.24,1266
2023-11-07,HYAC,10.234,10.234,10.23,10.23,1080
2023-11-08,HYAC,10.24,10.24,10.23,10.24,21865
2023-11-09,HYAC,10.25,10.25,10.24,10.24,1990
2023-11-10,HYAC,10.24,10.24,10.24,10.24,0
2023-11-13,HYAC,10.2464,10.2464,10.2464,10.2464,820
2023-11-14,HYAC,10.24,10.26,10.24,10.26,11465
2023-11-15,HYAC,10.25,10.28,10.25,10.25,15251
2023-11-16,HYAC,10.24,10.25,10.24,10.25,10853
2023-11-17,HYAC,10.255,10.255,10.24,10.25,44199
2023-11-20,HYAC,10.25,10.25,10.25,10.25,127
2023-11-21,HYAC,10.26,10.26,10.24,10.25,165014
2023-11-22,HYAC,10.25,10.255,10.25,10.25,18771
2023-11-24,HYAC,10.25,10.25,10.25,10.25,0
2023-11-27,HYAC,10.26,10.27,10.25,10.26,26839
2023-11-28,HYAC,10.27,10.27,10.265,10.265,1155
2023-11-29,HYAC,10.27,10.27,10.27,10.27,26308
2023-11-30,HYAC,10.27,10.28,10.27,10.28,35707
2023-12-01,HYAC,10.28,10.28,10.27,10.27,81843
2023-12-04,HYAC,10.27,10.27,10.26,10.265,414389
2023-12-05,HYAC,10.26,10.275,10.26,10.27,6658
2023-12-06,HYAC,10.29,10.29,10.26,10.27,32466
2023-12-07,HYAC,10.2744,10.29,10.27,10.27,4625
2023-12-08,HYAC,10.28,10.28,10.28,10.28,4340
2023-12-11,HYAC,10.27,10.2767,10.27,10.27,152857
2023-12-12,HYAC,10.28,10.28,10.28,10.28,628
2023-12-13,HYAC,10.28,10.28,10.28,10.28,14001
2023-12-14,HYAC,10.28,10.28,10.27,10.27,75558
2023-12-15,HYAC,10.27,10.27,10.265,10.27,105620
2023-12-18,HYAC,10.27,10.2701,10.27,10.2701,2513
2023-12-19,HYAC,10.26,10.26,10.26,10.26,1410
2023-12-20,HYAC,10.26,10.26,10.26,10.26,176
2023-12-21,HYAC,10.26,10.26,10.26,10.26,66
2023-12-22,HYAC,10.26,10.26,10.26,10.26,0
2023-12-26,HYAC,10.28,10.28,10.27,10.27,814
2023-12-27,HYAC,10.27,10.27,10.27,10.27,19760
2023-12-28,HYAC,10.27,10.27,10.27,10.27,286
2023-12-29,HYAC,10.27,10.27,10.27,10.27,31
2024-01-02,HYAC,10.29,10.3,10.29,10.29,77390
2024-01-03,HYAC,10.3,10.3,10.3,10.3,11599
2024-01-04,HYAC,10.3,10.32,10.3,10.3,23470
2024-01-05,HYAC,10.3,10.3,10.3,10.3,0
2024-01-08,HYAC,10.3,10.3,10.3,10.3,0
2024-01-09,HYAC,10.325,10.325,10.3,10.3,100684
2024-01-10,HYAC,10.3,10.31,10.3,10.31,15889
2024-01-11,HYAC,10.3,10.3,10.3,10.3,10178
2024-01-12,HYAC,10.3,10.3,10.3,10.3,0
2024-01-16,HYAC,10.31,10.31,10.3,10.3,1202
2024-01-17,HYAC,10.3,10.3,10.3,10.3,148930
2024-01-18,HYAC,10.31,10.31,10.31,10.31,20000
2024-01-19,HYAC,10.316,10.35,10.316,10.35,3283
2024-01-22,HYAC,10.31,10.31,10.31,10.31,38246
2024-01-23,HYAC,10.31,10.31,10.31,10.31,10022
2024-01-24,HYAC,10.3144,10.3144,10.3144,10.3144,3805
2024-01-25,HYAC,10.3144,10.3144,10.3144,10.3144,11
2024-01-26,HYAC,10.32,10.32,10.315,10.315,50569
2024-01-29,HYAC,10.31,10.34,10.31,10.34,129807
2024-01-30,HYAC,10.33,10.34,10.33,10.335,2372
2024-01-31,HYAC,10.3316,10.345,10.33,10.33,108236
2024-02-01,HYAC,10.33,10.35,10.33,10.35,158584
2024-02-02,HYAC,10.34,10.35,10.34,10.35,5620
2024-02-05,HYAC,10.35,10.36,10.35,10.36,1135
2024-02-06,HYAC,10.36,10.36,10.36,10.36,0
2024-02-07,HYAC,10.35,10.3667,10.35,10.36,35950
2024-02-08,HYAC,10.36,10.36,10.36,10.36,50259
2024-02-09,HYAC,10.3664,10.39,10.36,10.39,66700
2024-02-12,HYAC,10.37,10.39,10.365,10.39,3020
2024-02-13,HYAC,10.36,10.375,10.36,10.365,6760
