date,ticker,open,high,low,close,volume
2025-03-07,IPEX,9.86,9.87,9.86,9.87,529402
2025-03-10,IPEX,9.86,9.88,9.86,9.88,2048
2025-03-11,IPEX,9.8791,9.89,9.875,9.88,28338
2025-03-12,IPEX,9.87,9.88,9.87,9.88,6080
2025-03-13,IPEX,9.88,9.88,9.87,9.88,31550
2025-03-14,IPEX,9.88,9.88,9.87,9.87,183235
2025-03-17,IPEX,9.88,9.88,9.87,9.875,147743
2025-03-18,IPEX,9.88,9.89,9.87,9.885,1924859
2025-03-19,IPEX,9.88,9.885,9.88,9.885,70448
2025-03-20,IPEX,9.89,9.895,9.89,9.89,124667
2025-03-21,IPEX,9.89,9.89,9.89,9.89,1103
2025-03-24,IPEX,9.9,9.9,9.89,9.9,119237
2025-03-25,IPEX,9.895,9.9,9.89,9.895,81079
2025-03-26,IPEX,9.8986,9.94,9.89,9.91,430267
2025-03-27,IPEX,9.9099,9.9099,9.9099,9.9099,17584
2025-03-28,IPEX,9.9,9.91,9.9,9.9099,330262
2025-03-31,IPEX,9.919,9.92,9.919,9.92,6311
2025-04-01,IPEX,9.9182,9.97,9.91,9.97,9840
2025-04-02,IPEX,9.97,9.97,9.97,9.97,79
2025-04-03,IPEX,9.93,9.97,9.93,9.97,64404
2025-04-04,IPEX,9.93,9.94,9.93,9.94,5649
2025-04-07,IPEX,9.95,9.95,9.91,9.92,1759
2025-04-08,IPEX,9.95,9.95,9.92,9.92,268
2025-04-09,IPEX,9.925,9.93,9.925,9.93,26924
2025-04-10,IPEX,9.93,9.93,9.93,9.93,701
2025-04-11,IPEX,9.9101,9.93,9.9101,9.93,13399
2025-04-14,IPEX,9.91,9.93,9.91,9.93,15500
2025-04-15,IPEX,9.92,9.93,9.92,9.93,76317
2025-04-16,IPEX,9.94,9.94,9.92,9.93,4744
2025-04-17,IPEX,9.96,9.96,9.95,9.95,385
2025-04-21,IPEX,9.94,10.13,9.93,10.13,1852
2025-04-22,IPEX,9.98,10.14,9.94,10.14,3635
2025-04-23,IPEX,10.19,10.19,9.94,10.01,1274
2025-04-24,IPEX,9.99,9.99,9.95,9.95,2445
2025-04-25,IPEX,9.9561,9.96,9.9561,9.96,10883
2025-04-28,IPEX,9.955,9.97,9.955,9.96,178561
2025-04-29,IPEX,9.97,9.98,9.96,9.97,21517
2025-04-30,IPEX,9.97,9.97,9.9698,9.97,9150
2025-05-01,IPEX,9.975,9.98,9.975,9.98,10461
2025-05-02,IPEX,9.98,9.985,9.98,9.985,895
2025-05-05,IPEX,9.98,10.0,9.98,10.0,7770
2025-05-06,IPEX,9.995,9.9988,9.99,9.99,7946
2025-05-07,IPEX,10.0,10.0,9.98,9.98,1046
2025-05-08,IPEX,9.99,9.99,9.99,9.99,152
2025-05-09,IPEX,9.99,9.99,9.99,9.99,44
2025-05-12,IPEX,10.0,10.0,9.9999,10.0,19462
2025-05-13,IPEX,10.0,10.0,10.0,10.0,815
2025-05-14,IPEX,10.0,10.0,10.0,10.0,44
2025-05-15,IPEX,10.0,10.0,10.0,10.0,2
2025-05-16,IPEX,10.0,10.0,10.0,10.0,9
2025-05-19,IPEX,10.01,10.03,10.01,10.03,200125
2025-05-20,IPEX,10.03,10.03,10.03,10.03,531
2025-05-21,IPEX,10.03,10.03,10.03,10.03,20
2025-05-22,IPEX,10.03,10.03,10.03,10.03,17
2025-05-23,IPEX,10.03,10.03,10.03,10.03,195
2025-05-27,IPEX,10.03,10.03,10.03,10.03,126
2025-05-28,IPEX,10.02,10.02,10.02,10.02,5017
2025-05-29,IPEX,10.02,10.02,10.02,10.02,16
2025-05-30,IPEX,10.03,10.04,10.03,10.04,3630
2025-06-02,IPEX,10.035,10.04,10.035,10.04,18010
2025-06-03,IPEX,10.04,10.04,10.04,10.04,38
2025-06-04,IPEX,10.04,10.04,10.04,10.04,78
2025-06-05,IPEX,10.06,10.06,10.05,10.05,1767
2025-06-06,IPEX,10.07,10.07,10.06,10.06,5254
2025-06-09,IPEX,10.07,10.07,10.07,10.07,5017
2025-06-10,IPEX,10.07,10.07,10.07,10.07,55
2025-06-11,IPEX,10.07,10.07,10.07,10.07,31
