date,ticker,open,high,low,close,volume
2024-12-26,IVCBF,13.99,13.99,10.51,13.99,562
2024-12-27,IVCBF,13.0,13.0,13.0,13.0,112
2024-12-30,IVCBF,10.51,10.51,10.51,10.51,244
2024-12-31,IVCBF,10.51,10.51,10.51,10.51,0
2025-01-02,IVCBF,10.51,10.51,10.51,10.51,0
2025-01-03,IVCBF,10.51,10.51,10.51,10.51,0
2025-01-06,IVCBF,10.51,10.51,10.51,10.51,0
2025-01-07,IVCBF,10.51,10.51,10.51,10.51,0
2025-01-08,IVCBF,10.51,10.51,10.51,10.51,33
2025-01-10,IVCBF,10.51,10.51,10.51,10.51,0
2025-01-13,IVCBF,10.51,10.51,10.51,10.51,0
2025-01-14,IVCBF,10.51,10.51,10.51,10.51,1
2025-01-15,IVCBF,10.51,10.51,10.51,10.51,48
2025-01-16,IVCBF,10.51,10.51,10.51,10.51,11
2025-01-17,IVCBF,10.51,10.51,10.51,10.51,0
2025-01-21,IVCBF,10.51,10.51,10.51,10.51,46
2025-01-22,IVCBF,10.51,10.51,10.51,10.51,0
2025-01-23,IVCBF,10.51,10.51,10.51,10.51,11
2025-01-24,IVCBF,10.51,10.51,10.51,10.51,0
2025-01-27,IVCBF,10.51,10.51,10.51,10.51,0
2025-01-28,IVCBF,10.51,10.51,10.51,10.51,55
2025-01-29,IVCBF,10.51,10.51,10.51,10.51,0
2025-01-30,IVCBF,10.51,10.51,10.51,10.51,0
2025-01-31,IVCBF,10.51,10.51,10.51,10.51,0
2025-02-03,IVCBF,10.51,10.51,10.51,10.51,0
2025-02-04,IVCBF,10.51,10.51,10.51,10.51,0
2025-02-05,IVCBF,10.51,10.51,10.51,10.51,0
2025-02-06,IVCBF,10.51,10.51,10.51,10.51,0
2025-02-07,IVCBF,10.51,10.51,10.51,10.51,1
2025-02-10,IVCBF,10.51,10.51,10.51,10.51,0
2025-02-11,IVCBF,10.51,10.51,10.51,10.51,2
2025-02-12,IVCBF,10.51,10.51,10.51,10.51,19
2025-02-13,IVCBF,10.51,10.51,10.51,10.51,0
2025-02-14,IVCBF,10.51,10.51,10.51,10.51,0
2025-02-18,IVCBF,10.51,10.51,10.51,10.51,0
2025-02-19,IVCBF,10.51,10.51,10.51,10.51,1
2025-02-20,IVCBF,10.51,10.51,10.51,10.51,0
2025-02-21,IVCBF,10.51,10.51,10.51,10.51,0
2025-02-24,IVCBF,10.51,10.51,10.51,10.51,0
2025-02-25,IVCBF,10.51,10.51,10.51,10.51,0
2025-02-26,IVCBF,10.51,10.51,10.51,10.51,0
2025-02-27,IVCBF,10.69,10.69,10.69,10.69,954
2025-02-28,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-03,IVCBF,10.69,10.69,10.69,10.69,170
2025-03-04,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-05,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-06,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-07,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-10,IVCBF,10.69,10.69,10.69,10.69,20
2025-03-11,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-12,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-13,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-14,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-17,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-18,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-19,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-20,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-21,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-24,IVCBF,10.69,10.69,10.69,10.69,3
2025-03-25,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-26,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-27,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-28,IVCBF,10.69,10.69,10.69,10.69,0
2025-03-31,IVCBF,10.85,10.85,10.85,10.85,300
2025-04-01,IVCBF,10.85,10.85,10.85,10.85,29
2025-04-02,IVCBF,10.85,10.85,10.85,10.85,0
2025-04-03,IVCBF,10.85,10.85,10.85,10.85,0
2025-04-04,IVCBF,10.85,10.85,10.85,10.85,207
2025-04-07,IVCBF,10.85,10.85,10.85,10.85,1
2025-04-08,IVCBF,10.85,10.85,10.85,10.85,1000
2025-04-09,IVCBF,10.85,10.85,10.85,10.85,0
2025-04-10,IVCBF,10.85,10.85,10.85,10.85,0
2025-04-11,IVCBF,11.0,11.0,11.0,11.0,200
2025-04-14,IVCBF,11.0,11.0,11.0,11.0,0
2025-04-15,IVCBF,11.0,11.0,11.0,11.0,0
2025-04-16,IVCBF,11.0,11.0,11.0,11.0,0
2025-04-17,IVCBF,11.0,11.0,11.0,11.0,0
2025-04-21,IVCBF,11.0,11.0,11.0,11.0,0
2025-04-22,IVCBF,11.0,11.0,11.0,11.0,0
2025-04-23,IVCBF,11.0,11.0,11.0,11.0,0
2025-04-24,IVCBF,11.0,11.0,11.0,11.0,2
2025-04-25,IVCBF,11.0,11.0,11.0,11.0,0
2025-04-28,IVCBF,11.0,11.0,11.0,11.0,0
2025-04-29,IVCBF,11.0,11.0,11.0,11.0,0
2025-04-30,IVCBF,11.0,11.0,11.0,11.0,1
2025-05-01,IVCBF,11.0,11.0,11.0,11.0,2
2025-05-02,IVCBF,11.0,11.0,11.0,11.0,17
2025-05-05,IVCBF,11.0,11.0,11.0,11.0,0
