date,ticker,open,high,low,close,volume
2024-11-05,JWSMF,11.32,11.32,11.32,11.32,626
2024-11-06,JWSMF,11.32,11.32,11.32,11.32,0
2024-11-07,JWSMF,11.32,11.32,11.32,11.32,1
2024-11-08,JWSMF,11.3,11.3,11.29,11.3,5748
2024-11-11,JWSMF,11.3,11.3,11.3,11.3,0
2024-11-12,JWSMF,11.35,11.35,11.35,11.35,5000
2024-11-13,JWSMF,11.35,11.35,11.35,11.35,2010
2024-11-14,JWSMF,11.35,11.35,11.35,11.35,0
2024-11-15,JWSMF,11.35,11.35,11.35,11.35,3
2024-11-18,JWSMF,11.35,11.35,11.35,11.35,2
2024-11-19,JWSMF,11.36,11.36,11.36,11.36,108
2024-11-20,JWSMF,11.36,11.44,11.36,11.44,2084
2024-11-21,JWSMF,11.44,11.44,11.44,11.44,1
2024-11-22,JWSMF,11.02,11.02,11.01,11.01,1022
2024-11-25,JWSMF,11.01,11.01,11.01,11.01,1
2024-11-26,JWSMF,11.01,11.01,11.01,11.01,0
2024-11-27,JWSMF,11.36,11.36,11.36,11.36,500
2024-11-29,JWSMF,11.36,11.36,11.36,11.36,0
2024-12-02,JWSMF,11.01,11.01,11.01,11.01,111
2024-12-03,JWSMF,10.91,10.91,10.91,10.91,776
2024-12-04,JWSMF,10.91,10.91,10.91,10.91,0
2024-12-05,JWSMF,10.91,10.91,10.91,10.91,0
2024-12-06,JWSMF,10.91,10.91,10.91,10.91,0
2024-12-09,JWSMF,10.81,11.0,10.81,11.0,350
2024-12-10,JWSMF,11.0,11.0,11.0,11.0,0
2024-12-11,JWSMF,11.0,11.0,11.0,11.0,1
2024-12-12,JWSMF,11.0,11.0,11.0,11.0,0
2024-12-13,JWSMF,11.0,11.0,11.0,11.0,0
2024-12-16,JWSMF,11.0,11.0,11.0,11.0,0
2024-12-17,JWSMF,10.74,10.74,10.74,10.74,890
2024-12-18,JWSMF,10.74,10.74,10.74,10.74,0
2024-12-19,JWSMF,10.74,10.74,10.74,10.74,0
2024-12-20,JWSMF,10.74,10.74,10.74,10.74,5
2024-12-23,JWSMF,10.74,10.74,10.74,10.74,64
2024-12-24,JWSMF,10.74,10.74,10.74,10.74,0
2024-12-26,JWSMF,10.74,10.74,10.74,10.74,0
2024-12-27,JWSMF,10.74,10.74,10.74,10.74,0
2024-12-30,JWSMF,10.51,10.51,10.51,10.51,1000
2024-12-31,JWSMF,10.51,10.51,10.51,10.51,0
2025-01-02,JWSMF,10.51,10.51,10.51,10.51,0
2025-01-03,JWSMF,10.51,10.51,10.51,10.51,0
2025-01-06,JWSMF,10.51,10.51,10.51,10.51,0
2025-01-07,JWSMF,10.51,10.51,10.51,10.51,38
2025-01-08,JWSMF,10.51,10.51,10.51,10.51,0
2025-01-10,JWSMF,10.51,10.51,10.51,10.51,0
2025-01-13,JWSMF,10.51,10.51,10.51,10.51,0
