date,ticker,open,high,low,close,volume
2025-11-21,KRSP,10.7,10.7,10.65,10.7,14207
2025-11-24,KRSP,10.7,10.7,10.35,10.4,64203
2025-11-25,KRSP,10.35,10.45,10.35,10.41,7593
2025-11-26,KRSP,10.35,10.43,10.35,10.4,940
2025-11-28,KRSP,10.5,10.5,10.4001,10.5,1061
2025-12-01,KRSP,10.38,10.4,10.35,10.4,6180
2025-12-02,KRSP,10.44,10.5,10.44,10.5,2490
2025-12-03,KRSP,10.5,10.5,10.5,10.5,11
2025-12-04,KRSP,10.5,10.5,10.5,10.5,283
2025-12-05,KRSP,10.4,10.4,10.35,10.3619,2919
2025-12-08,KRSP,10.35,10.35,10.3,10.33,3146
2025-12-09,KRSP,10.32,10.32,10.32,10.32,205
2025-12-10,KRSP,10.36,10.36,10.36,10.36,232
2025-12-11,KRSP,10.36,10.36,10.33,10.36,29091
2025-12-12,KRSP,10.4,10.4,10.36,10.36,5407
2025-12-15,KRSP,10.36,10.36,10.36,10.36,31195
2025-12-16,KRSP,10.35,10.35,10.32,10.35,4219
2025-12-17,KRSP,10.33,10.34,10.32,10.34,14474
2025-12-18,KRSP,10.36,10.36,10.36,10.36,543
2025-12-19,KRSP,10.36,10.36,10.34,10.34,5178
2025-12-22,KRSP,10.5,10.5,10.29,10.3,13077
2025-12-23,KRSP,10.3,10.3,10.25,10.25,26278
2025-12-24,KRSP,10.27,10.29,10.26,10.28,27128
2025-12-26,KRSP,10.35,10.35,10.28,10.28,1068
2025-12-29,KRSP,10.21,10.2571,10.21,10.22,9194
2025-12-30,KRSP,10.24,10.29,10.24,10.25,34338
2025-12-31,KRSP,10.25,10.25,10.25,10.25,52
