date,ticker,open,high,low,close,volume
2025-11-26,LAFA,9.9,9.91,9.895,9.895,35721
2025-11-28,LAFA,9.9,9.9,9.87,9.9,2909
2025-12-01,LAFA,9.8703,9.895,9.87,9.87,10404
2025-12-02,LAFA,9.8801,9.8801,9.88,9.88,700
2025-12-03,LAFA,9.89,9.89,9.87,9.88,43997
2025-12-04,LAFA,9.89,9.89,9.89,9.89,10002
2025-12-05,LAFA,9.89,9.89,9.89,9.89,0
2025-12-08,LAFA,9.88,9.88,9.88,9.88,25029
2025-12-09,LAFA,9.875,9.885,9.875,9.88,21752
2025-12-10,LAFA,9.88,9.9,9.88,9.88,19972
2025-12-11,LAFA,9.88,9.88,9.88,9.88,625
2025-12-12,LAFA,9.88,9.88,9.88,9.88,211
2025-12-15,LAFA,9.88,9.88,9.88,9.88,85
2025-12-16,LAFA,9.895,9.9,9.895,9.9,15217
2025-12-17,LAFA,9.92,9.92,9.91,9.91,1921
2025-12-18,LAFA,9.89,9.89,9.89,9.89,1600
2025-12-19,LAFA,9.9,9.9,9.9,9.9,8347
2025-12-22,LAFA,9.9,9.9,9.9,9.9,2
2025-12-23,LAFA,9.9,9.9,9.9,9.9,0
2025-12-24,LAFA,9.9,9.9,9.9,9.9,0
2025-12-26,LAFA,9.91,9.91,9.91,9.91,503
2025-12-29,LAFA,9.91,9.91,9.91,9.91,23
2025-12-30,LAFA,9.88,9.92,9.88,9.92,5985
2025-12-31,LAFA,9.9,9.9,9.9,9.9,933
