date,ticker,open,high,low,close,volume
2024-03-28,LEGT,10.0,10.06,10.0,10.05,55911
2024-04-01,LEGT,10.07,10.07,10.06,10.06,1952
2024-04-02,LEGT,10.06,10.06,10.05,10.05,158016
2024-04-03,LEGT,10.06,10.06,10.06,10.06,26617
2024-04-04,LEGT,10.08,10.08,10.05,10.06,142304
2024-04-05,LEGT,10.05,10.06,10.05,10.06,200415
2024-04-08,LEGT,10.06,10.06,10.06,10.06,13
2024-04-09,LEGT,10.06,10.06,10.06,10.06,100395
2024-04-10,LEGT,10.06,10.08,10.05,10.06,634249
2024-04-11,LEGT,10.06,10.06,10.06,10.06,0
2024-04-12,LEGT,10.07,10.07,10.07,10.07,573
2024-04-15,LEGT,10.06,10.08,10.06,10.07,503515
2024-04-16,LEGT,10.08,10.08,10.07,10.075,29259
2024-04-17,LEGT,10.07,10.07,10.07,10.07,25100
2024-04-18,LEGT,10.08,10.09,10.07,10.09,272698
2024-04-19,LEGT,10.07,10.15,10.07,10.115,39895
2024-04-22,LEGT,10.09,10.09,10.085,10.085,17036
2024-04-23,LEGT,10.08,10.1,10.08,10.09,36202
2024-04-24,LEGT,10.08,10.08,10.08,10.08,50211
2024-04-25,LEGT,10.09,10.124,10.08,10.09,44767
2024-04-26,LEGT,10.09,10.09,10.09,10.09,49
2024-04-29,LEGT,10.17,10.23,10.09,10.1,355235
2024-04-30,LEGT,10.1,10.13,10.1,10.13,10936
2024-05-01,LEGT,10.07,10.13,10.07,10.1,219414
2024-05-02,LEGT,10.09,10.11,10.09,10.11,255144
2024-05-03,LEGT,10.11,10.11,10.1,10.1,1401
2024-05-06,LEGT,10.11,10.13,10.1,10.1,305268
2024-05-07,LEGT,10.11,10.12,10.1,10.1,23088
2024-05-08,LEGT,10.11,10.12,10.1,10.1,4489
2024-05-09,LEGT,10.09,10.105,10.09,10.095,14987
2024-05-10,LEGT,10.1,10.1,10.1,10.1,450000
2024-05-13,LEGT,10.11,10.12,10.11,10.11,6217
2024-05-14,LEGT,10.11,10.12,10.105,10.105,7489
2024-05-15,LEGT,10.11,10.11,10.1,10.1,1612
2024-05-16,LEGT,10.1,10.11,10.09,10.105,137922
2024-05-17,LEGT,10.106,10.115,10.1,10.11,308331
2024-05-20,LEGT,10.11,10.12,10.11,10.12,98967
2024-05-21,LEGT,10.11,10.11,10.11,10.11,600
2024-05-22,LEGT,10.1217,10.1232,10.12,10.12,3381
2024-05-23,LEGT,10.1237,10.1237,10.1237,10.1237,620
2024-05-24,LEGT,10.13,10.13,10.12,10.12,6968
2024-05-28,LEGT,10.13,10.13,10.13,10.13,138256
2024-05-29,LEGT,10.13,10.13,10.12,10.12,14118
2024-05-30,LEGT,10.13,10.13,10.12,10.12,104758
2024-05-31,LEGT,10.13,10.13,10.1,10.1,4408
2024-06-03,LEGT,10.11,10.12,10.11,10.11,719
2024-06-04,LEGT,10.1266,10.145,10.12,10.12,10351
2024-06-05,LEGT,10.13,10.135,10.12,10.1201,15814
2024-06-06,LEGT,10.11,10.11,10.11,10.11,285
2024-06-07,LEGT,10.1,10.1342,10.1,10.13,2008
2024-06-10,LEGT,10.17,10.17,10.17,10.17,500
2024-06-11,LEGT,10.117,10.13,10.11,10.13,7464
2024-06-12,LEGT,10.12,10.47,10.12,10.12,303028
2024-06-13,LEGT,10.1169,10.12,10.1,10.1,1957
2024-06-14,LEGT,10.111,10.12,10.11,10.11,32073
2024-06-17,LEGT,10.1176,10.1176,10.11,10.11,3850
2024-06-18,LEGT,10.11,10.125,10.11,10.11,13643
2024-06-20,LEGT,10.11,10.115,10.1,10.105,45846
2024-06-21,LEGT,10.15,10.15,10.12,10.12,366508
2024-06-24,LEGT,10.12,10.12,10.12,10.12,728
2024-06-25,LEGT,10.12,10.12,10.11,10.11,612
2024-06-26,LEGT,10.13,10.13,10.1,10.11,27622
2024-06-27,LEGT,10.11,10.11,10.1,10.105,225972
2024-06-28,LEGT,10.1067,10.1137,10.1067,10.1133,1799
2024-07-01,LEGT,10.1,10.1,10.1,10.1,3016
2024-07-02,LEGT,10.1197,10.12,10.1,10.11,1008774
2024-07-03,LEGT,10.1114,10.1114,10.11,10.11,274
2024-07-05,LEGT,10.13,10.13,10.11,10.11,1502
2024-07-08,LEGT,10.11,10.12,10.1,10.11,31512
2024-07-09,LEGT,10.11,10.11,10.11,10.11,62
2024-07-10,LEGT,10.1137,10.1137,10.1,10.11,990
2024-07-11,LEGT,10.11,10.12,10.11,10.11,286888
2024-07-12,LEGT,10.12,10.12,10.1,10.11,11311
2024-07-15,LEGT,10.11,10.11,10.11,10.11,452
2024-07-16,LEGT,10.12,10.13,10.11,10.13,820668
2024-07-17,LEGT,10.14,10.14,10.14,10.14,5396
2024-07-18,LEGT,10.13,10.15,10.13,10.15,123067
2024-07-19,LEGT,10.16,10.16,10.14,10.14,36085
2024-07-22,LEGT,10.15,10.17,10.15,10.16,100200
2024-07-23,LEGT,10.18,10.18,10.15,10.16,54757
2024-07-24,LEGT,10.15,10.17,10.15,10.16,15355
2024-07-25,LEGT,10.19,10.19,10.16,10.16,1394
2024-07-26,LEGT,10.19,10.19,10.16,10.16,18082
2024-07-29,LEGT,10.17,10.17,10.16,10.17,298488
2024-07-30,LEGT,10.18,10.18,10.16,10.16,1183
2024-07-31,LEGT,10.2,10.2,10.17,10.175,2099
2024-08-01,LEGT,10.16,10.17,10.16,10.17,15853
2024-08-02,LEGT,10.16,10.1701,10.16,10.165,10247
2024-08-05,LEGT,10.16,10.17,10.16,10.17,2500
