date,ticker,open,high,low,close,volume
2025-11-06,LKSP,9.89,9.96,9.89,9.925,1898897
2025-11-07,LKSP,9.93,9.935,9.93,9.93,582061
2025-11-10,LKSP,9.935,9.9399,9.93,9.93,25815
2025-11-11,LKSP,9.94,9.95,9.935,9.945,469002
2025-11-12,LKSP,9.94,9.94,9.93,9.93,13938
2025-11-13,LKSP,9.94,9.94,9.93,9.94,430299
2025-11-14,LKSP,9.94,9.94,9.92,9.93,115797
2025-11-17,LKSP,9.91,9.93,9.91,9.93,1433
2025-11-18,LKSP,9.9108,9.94,9.9108,9.9276,38938
2025-11-19,LKSP,9.94,9.94,9.92,9.92,5775
2025-11-20,LKSP,9.93,9.94,9.92,9.92,8546
2025-11-21,LKSP,9.95,9.95,9.9,9.9,8477
2025-11-24,LKSP,9.9,9.9,9.9,9.9,800
2025-11-25,LKSP,9.9,9.9,9.9,9.9,769
2025-11-26,LKSP,9.92,9.925,9.92,9.92,231704
2025-11-28,LKSP,9.91,9.91,9.91,9.91,224
2025-12-01,LKSP,9.92,9.92,9.92,9.92,110624
2025-12-02,LKSP,9.9149,9.9149,9.9149,9.9149,350
2025-12-03,LKSP,9.93,9.93,9.93,9.93,1642
2025-12-04,LKSP,9.92,9.92,9.92,9.92,2501
2025-12-05,LKSP,9.92,9.92,9.9,9.9,4819
2025-12-08,LKSP,9.91,9.91,9.91,9.91,96802
2025-12-09,LKSP,9.92,9.93,9.92,9.93,117113
2025-12-10,LKSP,9.93,9.93,9.93,9.93,119199
2025-12-11,LKSP,9.93,9.93,9.925,9.93,508772
2025-12-12,LKSP,9.93,9.93,9.93,9.93,100
2025-12-15,LKSP,9.92,9.92,9.92,9.92,486
2025-12-16,LKSP,9.92,9.92,9.92,9.92,0
2025-12-17,LKSP,9.92,9.92,9.92,9.92,0
2025-12-18,LKSP,9.91,9.91,9.91,9.91,385
2025-12-19,LKSP,9.9,9.9,9.9,9.9,100
2025-12-22,LKSP,9.9,9.9,9.9,9.9,322
2025-12-23,LKSP,9.9,9.9,9.9,9.9,428
2025-12-24,LKSP,9.9,9.9,9.9,9.9,0
2025-12-26,LKSP,9.934,9.934,9.93,9.93,664
2025-12-29,LKSP,9.93,9.93,9.93,9.93,44
2025-12-30,LKSP,9.92,9.92,9.91,9.92,372141
2025-12-31,LKSP,9.92,9.92,9.92,9.92,203942
