date,ticker,open,high,low,close,volume
2021-12-03,MCAG,9.72,9.72,9.72,9.72,310051
2021-12-06,MCAG,9.82,9.82,9.71,9.72,128175
2021-12-07,MCAG,9.74,9.74,9.72,9.72,871010
2021-12-08,MCAG,9.75,9.75,9.71,9.73,119932
2021-12-09,MCAG,9.73,9.75,9.72,9.75,70782
2021-12-10,MCAG,9.72,9.73,9.72,9.73,8018
2021-12-13,MCAG,9.73,9.73,9.72,9.72,33641
2021-12-14,MCAG,9.73,9.74,9.73,9.74,8560
2021-12-15,MCAG,9.74,9.74,9.74,9.74,0
2021-12-16,MCAG,9.73,9.73,9.73,9.73,1143
2021-12-17,MCAG,9.73,9.73,9.73,9.73,100
2021-12-20,MCAG,9.72,9.72,9.71,9.71,11470
2021-12-21,MCAG,9.72,9.74,9.7198,9.74,16292
2021-12-22,MCAG,9.74,9.74,9.74,9.74,54003
2021-12-23,MCAG,9.715,9.74,9.715,9.74,21215
2021-12-27,MCAG,9.73,9.73,9.73,9.73,105
2021-12-28,MCAG,9.73,9.73,9.73,9.73,0
2021-12-29,MCAG,9.7299,9.74,9.725,9.74,6501
2021-12-30,MCAG,9.74,9.74,9.74,9.74,1000
2021-12-31,MCAG,9.76,9.76,9.76,9.76,3821
2022-01-03,MCAG,9.76,9.76,9.76,9.76,0
2022-01-04,MCAG,9.76,9.76,9.76,9.76,0
2022-01-05,MCAG,9.74,9.8,9.73,9.75,3126
2022-01-06,MCAG,9.75,9.75,9.75,9.75,100
2022-01-07,MCAG,9.75,9.77,9.75,9.77,4375
2022-01-10,MCAG,9.77,9.77,9.77,9.77,1
2022-01-11,MCAG,9.77,9.77,9.77,9.77,0
2022-01-12,MCAG,9.77,9.77,9.77,9.77,0
2022-01-13,MCAG,9.77,9.77,9.77,9.77,18100
2022-01-14,MCAG,9.77,9.77,9.77,9.77,0
2022-01-18,MCAG,9.77,9.77,9.77,9.77,0
2022-01-19,MCAG,9.77,9.77,9.77,9.77,0
2022-01-20,MCAG,9.77,9.77,9.77,9.77,0
2022-01-21,MCAG,9.77,9.77,9.77,9.77,0
2022-01-24,MCAG,9.76,9.76,9.76,9.76,27001
2022-01-25,MCAG,9.76,9.76,9.76,9.76,0
2022-01-26,MCAG,9.76,9.76,9.76,9.76,0
2022-01-27,MCAG,9.76,9.76,9.76,9.76,0
2022-01-28,MCAG,9.75,9.75,9.75,9.75,100
2022-01-31,MCAG,9.76,9.76,9.755,9.755,5662
2022-02-01,MCAG,9.76,9.77,9.7599,9.77,11805
2022-02-02,MCAG,9.77,9.78,9.76,9.76,22653
2022-02-03,MCAG,9.76,9.76,9.76,9.76,425
2022-02-04,MCAG,9.76,9.76,9.76,9.76,0
2022-02-07,MCAG,9.8,9.8,9.8,9.8,100
2022-02-08,MCAG,9.8,9.8,9.8,9.8,0
2022-02-09,MCAG,9.8,9.8,9.8,9.8,0
2022-02-10,MCAG,9.8,9.8,9.8,9.8,100
2022-02-11,MCAG,9.8,9.8,9.8,9.8,7
2022-02-14,MCAG,9.8,9.8,9.8,9.8,26
2022-02-15,MCAG,9.8,9.8,9.8,9.8,29
2022-02-16,MCAG,9.785,9.8,9.785,9.8,458
2022-02-17,MCAG,9.8,9.8,9.8,9.8,0
2022-02-18,MCAG,9.8,9.8,9.8,9.8,0
2022-02-22,MCAG,9.8,9.8,9.8,9.8,0
2022-02-23,MCAG,9.8,9.8,9.8,9.8,0
2022-02-24,MCAG,9.76,9.7741,9.76,9.7741,900
2022-02-25,MCAG,9.7741,9.7741,9.7741,9.7741,0
2022-02-28,MCAG,9.795,9.8,9.79,9.8,4647
2022-03-01,MCAG,9.801,9.805,9.8002,9.8009,3500
2022-03-02,MCAG,9.79,9.81,9.79,9.81,10457
2022-03-03,MCAG,9.81,9.81,9.81,9.81,0
2022-03-04,MCAG,9.83,9.83,9.83,9.83,1181
2022-03-07,MCAG,9.83,9.83,9.83,9.83,0
2022-03-08,MCAG,9.83,9.83,9.83,9.83,25
2022-03-09,MCAG,9.83,9.83,9.83,9.83,63
2022-03-10,MCAG,9.83,9.83,9.83,9.83,0
2022-03-11,MCAG,9.8,9.8,9.8,9.8,217
2022-03-14,MCAG,9.8,9.8,9.8,9.8,1
2022-03-15,MCAG,9.8,9.8,9.8,9.8,317
2022-03-16,MCAG,9.8,9.8,9.8,9.8,17
2022-03-17,MCAG,9.81,9.81,9.81,9.81,1009
2022-03-18,MCAG,9.81,9.81,9.81,9.81,0
2022-03-21,MCAG,9.81,9.81,9.8,9.8,2486
2022-03-22,MCAG,9.81,9.81,9.81,9.81,613
2022-03-23,MCAG,9.81,9.81,9.81,9.81,0
2022-03-24,MCAG,9.81,9.81,9.81,9.81,0
2022-03-25,MCAG,9.81,9.81,9.81,9.81,0
2022-03-28,MCAG,9.82,9.82,9.82,9.82,866
2022-03-29,MCAG,9.82,9.82,9.82,9.82,0
2022-03-30,MCAG,9.82,9.82,9.82,9.82,0
2022-03-31,MCAG,9.82,9.82,9.82,9.82,0
2022-04-01,MCAG,9.82,9.85,9.82,9.85,10000
2022-04-04,MCAG,9.85,9.85,9.85,9.85,0
2022-04-05,MCAG,9.85,9.85,9.85,9.85,0
2022-04-06,MCAG,9.83,9.83,9.83,9.83,228
2022-04-07,MCAG,9.83,9.83,9.83,9.83,0
2022-04-08,MCAG,9.83,9.83,9.83,9.83,10000
2022-04-11,MCAG,9.83,9.86,9.83,9.86,6300
2022-04-12,MCAG,9.86,9.86,9.86,9.86,50
2022-04-13,MCAG,9.86,9.86,9.86,9.86,0
2022-04-14,MCAG,9.86,9.86,9.86,9.86,0
2022-04-18,MCAG,9.86,9.87,9.86,9.87,3740
2022-04-19,MCAG,9.87,9.87,9.87,9.87,0
2022-04-20,MCAG,9.87,9.87,9.87,9.87,0
2022-04-21,MCAG,9.87,9.87,9.87,9.87,0
2022-04-22,MCAG,9.87,9.87,9.87,9.87,0
2022-04-25,MCAG,9.87,9.87,9.87,9.87,100017
2022-04-26,MCAG,9.87,9.87,9.87,9.87,18
2022-04-27,MCAG,9.87,9.87,9.87,9.87,0
2022-04-28,MCAG,9.86,9.88,9.86,9.88,1257
2022-04-29,MCAG,9.88,9.88,9.88,9.88,2
2022-05-02,MCAG,9.88,9.88,9.88,9.88,0
2022-05-03,MCAG,9.86,9.87,9.86,9.86,243745
2022-05-04,MCAG,9.85,9.86,9.85,9.86,50503
2022-05-05,MCAG,9.86,9.95,9.84,9.84,738758
2022-05-06,MCAG,9.84,9.84,9.84,9.84,40200
2022-05-09,MCAG,9.84,9.84,9.84,9.84,42971
2022-05-10,MCAG,9.84,9.84,9.84,9.84,30
2022-05-11,MCAG,9.84,9.84,9.84,9.84,0
2022-05-12,MCAG,9.84,9.84,9.84,9.84,100
2022-05-13,MCAG,9.84,9.84,9.84,9.84,0
2022-05-16,MCAG,9.84,9.84,9.84,9.84,3718
