date,ticker,open,high,low,close,volume
2025-01-16,NOEM,9.85,9.85,9.8,9.82,35205
2025-01-17,NOEM,10.78,10.78,9.78,9.8,24616
2025-01-21,NOEM,9.8,9.8,9.8,9.8,5
2025-01-22,NOEM,9.88,9.88,9.88,9.88,105
2025-01-23,NOEM,9.9,9.9,9.79,9.9,3029
2025-01-24,NOEM,9.8,9.9,9.8,9.87,5775
2025-01-27,NOEM,9.78,9.89,9.78,9.89,712
2025-01-28,NOEM,9.82,9.9,9.82,9.9,560
2025-01-29,NOEM,9.87,9.87,9.86,9.86,2197
2025-01-30,NOEM,9.9,9.9,9.88,9.88,1835
2025-01-31,NOEM,9.89,9.89,9.89,9.89,127
2025-02-03,NOEM,9.85,9.9,9.85,9.9,529
2025-02-04,NOEM,9.86,9.87,9.85,9.87,32525
2025-02-05,NOEM,9.85,9.87,9.85,9.87,1086
2025-02-06,NOEM,9.87,9.87,9.851,9.851,508
2025-02-07,NOEM,9.82,9.87,9.82,9.87,993
2025-02-10,NOEM,9.87,9.87,9.87,9.87,4293
2025-02-11,NOEM,9.87,9.87,9.87,9.87,137
2025-02-12,NOEM,9.86,9.86,9.86,9.86,129
2025-02-13,NOEM,9.86,9.87,9.85,9.85,56086
2025-02-14,NOEM,9.85,9.86,9.85,9.86,292
2025-02-18,NOEM,9.86,9.86,9.86,9.86,155
2025-02-19,NOEM,9.87,9.87,9.85,9.85,3705
2025-02-20,NOEM,9.86,9.86,9.86,9.86,155
2025-02-21,NOEM,9.86,9.86,9.86,9.86,5156
2025-02-24,NOEM,9.86,9.86,9.86,9.86,166
2025-02-25,NOEM,9.86,9.86,9.85,9.85,10129
2025-02-26,NOEM,9.86,9.86,9.84,9.84,2628
2025-02-27,NOEM,9.86,9.86,9.85,9.85,296
2025-02-28,NOEM,9.85,9.85,9.85,9.85,0
2025-03-03,NOEM,9.86,9.86,9.85,9.85,107831
2025-03-04,NOEM,9.85,9.85,9.84,9.84,197777
2025-03-05,NOEM,9.85,9.86,9.85,9.85,263290
2025-03-06,NOEM,9.85,9.87,9.85,9.87,745978
2025-03-07,NOEM,9.87,9.87,9.865,9.87,216410
2025-03-10,NOEM,9.87,9.88,9.87,9.88,72401
2025-03-11,NOEM,9.875,9.88,9.875,9.88,15001
2025-03-12,NOEM,9.88,9.88,9.88,9.88,1150
2025-03-13,NOEM,9.88,9.88,9.88,9.88,1029
2025-03-14,NOEM,9.8719,9.88,9.87,9.8701,183050
2025-03-17,NOEM,9.87,9.875,9.87,9.87,32500
2025-03-18,NOEM,9.87,9.87,9.87,9.87,4393
2025-03-19,NOEM,9.87,9.87,9.87,9.87,644
2025-03-20,NOEM,9.879,9.879,9.87,9.87,34859
2025-03-21,NOEM,9.87,9.87,9.87,9.87,21
2025-03-24,NOEM,9.86,9.88,9.86,9.87,315114
2025-03-25,NOEM,9.87,9.88,9.87,9.8751,20805
2025-03-26,NOEM,9.88,9.89,9.87,9.88,430059
2025-03-27,NOEM,9.89,9.96,9.89,9.94,2141
2025-03-28,NOEM,9.91,9.91,9.91,9.91,521
2025-03-31,NOEM,9.92,9.92,9.92,9.92,1520
2025-04-01,NOEM,9.92,9.92,9.92,9.92,42
2025-04-02,NOEM,9.92,9.92,9.92,9.92,49
2025-04-03,NOEM,9.92,9.92,9.92,9.92,20
2025-04-04,NOEM,9.92,9.92,9.92,9.92,26
2025-04-07,NOEM,9.92,10.0,9.92,10.0,140783
2025-04-08,NOEM,10.03,10.03,9.92,10.0,1736
2025-04-09,NOEM,9.97,9.97,9.97,9.97,307
2025-04-10,NOEM,9.97,9.97,9.97,9.97,110
2025-04-11,NOEM,9.97,9.97,9.97,9.97,16
2025-04-14,NOEM,9.97,9.97,9.97,9.97,54
2025-04-15,NOEM,9.97,9.97,9.97,9.97,0
2025-04-16,NOEM,9.97,9.97,9.97,9.97,0
2025-04-17,NOEM,9.97,9.97,9.97,9.97,0
2025-04-21,NOEM,9.99,9.99,9.94,9.94,204
2025-04-22,NOEM,9.96,9.96,9.96,9.96,101
2025-04-23,NOEM,9.97,9.97,9.97,9.97,151
2025-04-24,NOEM,9.97,9.97,9.97,9.97,105
2025-04-25,NOEM,9.97,9.97,9.97,9.97,31
2025-04-28,NOEM,9.96,9.96,9.96,9.96,50000
2025-04-29,NOEM,9.98,9.98,9.98,9.98,208
2025-04-30,NOEM,9.99,9.99,9.95,9.98,741
2025-05-01,NOEM,9.98,9.98,9.98,9.98,1120
2025-05-02,NOEM,9.98,9.98,9.98,9.98,125
2025-05-05,NOEM,9.98,9.98,9.98,9.98,362
2025-05-06,NOEM,9.98,9.98,9.98,9.98,121
2025-05-07,NOEM,9.99,9.99,9.99,9.99,119
2025-05-08,NOEM,9.98,9.98,9.98,9.98,123
2025-05-09,NOEM,9.98,9.98,9.98,9.98,103
2025-05-12,NOEM,9.98,10.0,9.9652,9.99,24561
2025-05-13,NOEM,10.49,10.49,9.98,9.98,16882
2025-05-14,NOEM,9.99,9.99,9.99,9.99,103
2025-05-15,NOEM,9.99,10.01,9.99,9.995,64558
2025-05-16,NOEM,9.9701,9.98,9.9701,9.98,1434
2025-05-19,NOEM,9.98,9.98,9.98,9.98,43
2025-05-20,NOEM,9.965,9.965,9.965,9.965,177
2025-05-21,NOEM,9.98,9.99,9.98,9.99,1319
2025-05-22,NOEM,9.99,9.99,9.99,9.99,9784
2025-05-23,NOEM,9.99,9.99,9.99,9.99,97
2025-05-27,NOEM,9.99,9.99,9.99,9.99,74
2025-05-28,NOEM,9.99,9.99,9.98,9.99,11552
2025-05-29,NOEM,10.0,10.0,10.0,10.0,809
2025-05-30,NOEM,10.0,10.0,10.0,10.0,75
2025-06-02,NOEM,10.0,10.0,9.99,9.99,160295
2025-06-03,NOEM,9.9999,10.0,9.9999,10.0,6277
2025-06-04,NOEM,10.0,10.0,10.0,10.0,301
2025-06-05,NOEM,10.05,10.05,10.02,10.05,13072
2025-06-06,NOEM,10.035,10.035,10.035,10.035,2034
2025-06-09,NOEM,10.02,10.04,10.02,10.04,150235
2025-06-10,NOEM,10.04,10.08,10.03,10.08,6649
2025-06-11,NOEM,10.05,10.055,10.04,10.05,9832
2025-06-12,NOEM,10.04,10.04,10.04,10.04,123
2025-06-13,NOEM,10.05,10.055,10.05,10.055,140445
2025-06-16,NOEM,10.06,10.08,10.055,10.08,11997
2025-06-17,NOEM,10.055,10.055,10.055,10.055,158
2025-06-18,NOEM,10.055,10.055,10.055,10.055,129
2025-06-20,NOEM,10.06,10.06,10.06,10.06,129
2025-06-23,NOEM,10.06,10.06,10.06,10.06,105
2025-06-24,NOEM,10.06,10.06,10.06,10.06,116
2025-06-25,NOEM,10.07,10.07,10.06,10.06,105389
2025-06-26,NOEM,10.06,10.06,10.06,10.06,27
2025-06-27,NOEM,10.06,10.06,10.06,10.06,23
2025-06-30,NOEM,10.07,10.07,10.07,10.07,2208
2025-07-01,NOEM,10.49,10.49,10.11,10.11,603
2025-07-02,NOEM,10.11,10.11,10.11,10.11,24
2025-07-03,NOEM,10.11,10.11,10.11,10.11,8
2025-07-07,NOEM,10.11,10.11,10.11,10.11,13
2025-07-08,NOEM,10.11,10.11,10.11,10.11,1795
2025-07-09,NOEM,10.1,10.1,10.08,10.08,25304
2025-07-10,NOEM,10.08,10.08,10.08,10.08,1
2025-07-11,NOEM,10.08,10.08,10.08,10.08,24097
2025-07-14,NOEM,10.08,10.08,10.08,10.08,174
2025-07-15,NOEM,10.08,10.08,10.08,10.08,1
2025-07-16,NOEM,10.08,10.08,10.08,10.08,1
2025-07-17,NOEM,10.08,10.08,10.08,10.08,123
2025-07-18,NOEM,10.08,10.08,10.08,10.08,73
2025-07-21,NOEM,10.12,10.12,10.12,10.12,310
2025-07-22,NOEM,10.12,10.12,10.12,10.12,5
2025-07-23,NOEM,10.12,10.12,10.12,10.12,1
2025-07-24,NOEM,10.12,10.12,10.12,10.12,9
2025-07-25,NOEM,10.08,10.08,10.08,10.08,3028
2025-07-28,NOEM,10.08,10.08,10.08,10.08,9
2025-07-29,NOEM,10.09,10.09,10.09,10.09,19492
2025-07-30,NOEM,10.09,10.09,10.09,10.09,1
2025-07-31,NOEM,10.1,10.1,10.1,10.1,2053
2025-08-01,NOEM,10.1,10.1,10.1,10.1,11
2025-08-04,NOEM,10.1,10.1,10.1,10.1,20016
2025-08-05,NOEM,10.1,10.1,10.1,10.1,95
2025-08-06,NOEM,10.1,10.1,10.1,10.1,102
2025-08-07,NOEM,10.1,10.1,10.1,10.1,1828
2025-08-08,NOEM,10.1,10.1,10.1,10.1,3
2025-08-11,NOEM,10.1,10.1,10.1,10.1,7
2025-08-12,NOEM,10.1,10.1,10.1,10.1,58
2025-08-13,NOEM,10.0872,10.0909,10.08,10.0801,3682
2025-08-14,NOEM,10.0801,10.0801,10.0801,10.0801,0
2025-08-15,NOEM,10.09,10.09,10.09,10.09,60053
2025-08-18,NOEM,10.09,10.09,10.09,10.09,69
2025-08-19,NOEM,10.09,10.09,10.09,10.09,0
2025-08-20,NOEM,10.1,10.1,10.1,10.1,104
2025-08-21,NOEM,10.1,10.1,10.1,10.1,2
2025-08-22,NOEM,10.1,10.1,10.1,10.1,38
2025-08-25,NOEM,10.14,10.14,10.14,10.14,935
2025-08-26,NOEM,10.14,10.14,10.14,10.14,0
2025-08-27,NOEM,10.14,10.14,10.14,10.14,75
2025-08-28,NOEM,10.15,10.15,10.15,10.15,234
2025-08-29,NOEM,10.15,10.15,10.15,10.15,2
2025-09-02,NOEM,10.1202,10.1495,10.12,10.1495,603
2025-09-03,NOEM,10.1495,10.1495,10.1495,10.1495,8
2025-09-04,NOEM,10.15,10.15,10.15,10.15,338
2025-09-05,NOEM,10.15,10.15,10.15,10.15,5
2025-09-08,NOEM,10.15,10.15,10.15,10.15,17
2025-09-09,NOEM,10.15,10.15,10.15,10.15,7
2025-09-10,NOEM,10.15,10.15,10.15,10.15,10
2025-09-11,NOEM,10.14,10.14,10.14,10.14,501
2025-09-12,NOEM,10.14,10.1436,10.14,10.1436,279
2025-09-15,NOEM,10.15,10.15,10.15,10.15,159
2025-09-16,NOEM,10.16,10.16,10.16,10.16,230
2025-09-17,NOEM,10.2,10.2,10.2,10.2,2551
2025-09-18,NOEM,10.2,10.2,10.2,10.2,6
2025-09-19,NOEM,10.2,10.2,10.2,10.2,9
2025-09-22,NOEM,10.2,10.2,10.2,10.2,7
2025-09-23,NOEM,10.2,10.2,10.2,10.2,23
2025-09-24,NOEM,10.2,10.2,10.2,10.2,2
2025-09-25,NOEM,10.2,10.2,10.2,10.2,4
2025-09-26,NOEM,10.15,10.2,10.15,10.2,45484
2025-09-29,NOEM,10.2,10.2,10.2,10.2,361
2025-09-30,NOEM,10.2,10.2,10.2,10.2,26
2025-10-01,NOEM,10.2,10.2,10.2,10.2,0
2025-10-02,NOEM,10.16,10.16,10.16,10.16,234
2025-10-03,NOEM,10.16,10.16,10.16,10.16,22
2025-10-06,NOEM,10.186,10.186,10.186,10.186,202
2025-10-07,NOEM,10.186,10.186,10.186,10.186,13
2025-10-08,NOEM,10.18,10.18,10.18,10.18,302
2025-10-09,NOEM,10.18,10.18,10.18,10.18,10
2025-10-10,NOEM,10.18,10.18,10.18,10.18,498
2025-10-13,NOEM,10.18,10.1926,10.18,10.1926,2916
2025-10-14,NOEM,10.1926,10.1926,10.1926,10.1926,164
2025-10-15,NOEM,10.21,10.21,10.21,10.21,105
2025-10-16,NOEM,10.21,10.21,10.21,10.21,72
2025-10-17,NOEM,10.21,10.21,10.21,10.21,197
2025-10-20,NOEM,10.21,10.21,10.21,10.21,88
2025-10-21,NOEM,10.21,10.21,10.21,10.21,201
2025-10-22,NOEM,10.21,10.21,10.21,10.21,0
2025-10-23,NOEM,10.21,10.21,10.21,10.21,32
2025-10-24,NOEM,10.2062,10.22,10.2062,10.22,4000
2025-10-27,NOEM,10.2,10.22,10.2,10.22,517
