date,ticker,open,high,low,close,volume
2021-03-29,NXU,9.65,9.65,9.65,9.65,100
2021-03-30,NXU,9.7999,9.7999,9.58,9.66,3376
2021-03-31,NXU,9.65,9.7,9.65,9.7,9089
2021-04-01,NXU,9.75,9.8214,9.74,9.75,35816
2021-04-05,NXU,9.71,9.84,9.71,9.7582,4539
2021-04-06,NXU,9.72,9.89,9.7,9.73,25280
2021-04-07,NXU,9.78,9.8,9.78,9.78,1719
2021-04-08,NXU,9.8491,9.8491,9.78,9.8,5359
2021-04-09,NXU,9.92,10.15,9.83,9.99,31777
2021-04-12,NXU,10.07,10.07,9.87,9.87,57351
2021-04-13,NXU,9.8601,9.8601,9.82,9.82,33972
2021-04-14,NXU,9.84,9.85,9.8,9.845,80663
2021-04-15,NXU,9.84,9.855,9.81,9.8334,10163
2021-04-16,NXU,10.05,10.05,9.82,9.869,18997
2021-04-19,NXU,9.75,9.85,9.75,9.85,21617
2021-04-20,NXU,9.8,9.835,9.75,9.82,24135
2021-04-21,NXU,9.8,9.82,9.79,9.82,9404
2021-04-22,NXU,9.75,9.81,9.75,9.78,11054
2021-04-23,NXU,9.74,9.9,9.74,9.9,36529
2021-04-26,NXU,9.9,9.91,9.85,9.87,34701
2021-04-27,NXU,9.87,9.87,9.76,9.83,12478
2021-04-28,NXU,9.83,9.83,9.8145,9.8145,1158
2021-04-29,NXU,9.81,9.81,9.7134,9.81,10781
2021-04-30,NXU,9.8,9.8,9.75,9.76,9298
2021-05-03,NXU,9.76,9.79,9.74,9.7703,17606
2021-05-04,NXU,9.77,9.77,9.74,9.76,38489
2021-05-05,NXU,9.76,9.79,9.74,9.79,17594
2021-05-06,NXU,9.75,9.8,9.75,9.8,8090
2021-05-07,NXU,9.7844,9.7844,9.732,9.78,28698
2021-05-10,NXU,9.78,9.79,9.74,9.77,44118
2021-05-11,NXU,9.74,9.77,9.7,9.7,234690
2021-05-12,NXU,9.7,9.79,9.69,9.78,73815
2021-05-13,NXU,9.78,9.78,9.73,9.73,253554
2021-05-14,NXU,9.72,9.73,9.7,9.73,47110
2021-05-17,NXU,9.7213,9.7213,9.7,9.71,4261
2021-05-18,NXU,9.71,9.71,9.71,9.71,14
2021-05-19,NXU,9.88,9.95,9.71,9.71,258049
2021-05-20,NXU,9.69,9.7,9.64,9.64,6830
2021-05-21,NXU,9.63,9.85,9.63,9.63,50004
2021-05-24,NXU,9.65,9.69,9.63,9.69,357710
2021-05-25,NXU,9.7,9.7,9.67,9.68,27374
2021-05-26,NXU,9.7,9.73,9.65,9.66,25913
2021-05-27,NXU,9.66,9.695,9.66,9.68,79335
2021-05-28,NXU,9.7,9.7,9.67,9.68,10985
2021-06-01,NXU,9.76,9.76,9.7,9.7,60419
2021-06-02,NXU,9.7,9.73,9.69,9.73,20101
2021-06-03,NXU,9.66,9.76,9.66,9.76,24886
2021-06-04,NXU,9.75,9.76,9.74,9.75,11006
2021-06-07,NXU,9.72,9.75,9.72,9.74,9204
2021-06-08,NXU,9.73,9.73,9.72,9.7217,2841
2021-06-09,NXU,9.7217,9.7217,9.7217,9.7217,5
2021-06-10,NXU,9.77,9.91,9.75,9.78,53802
2021-06-11,NXU,9.8,9.8,9.76,9.77,1493
2021-06-14,NXU,9.75,9.77,9.75,9.77,3870
2021-06-15,NXU,9.8,9.8,9.75,9.79,22029
2021-06-16,NXU,9.77,9.8,9.77,9.79,9058
2021-06-17,NXU,9.76,9.77,9.76,9.76,2054
2021-06-18,NXU,9.75,9.78,9.75,9.78,36884
2021-06-21,NXU,9.85,9.85,9.77,9.78,20563
2021-06-22,NXU,9.77,9.8,9.76,9.8,35160
2021-06-23,NXU,9.77,9.78,9.77,9.78,2071
2021-06-24,NXU,9.71,9.78,9.71,9.78,3734
2021-06-25,NXU,9.73,9.7401,9.73,9.73,4402
2021-06-28,NXU,9.71,9.75,9.71,9.75,20415
2021-06-29,NXU,9.84,9.84,9.71,9.75,43727
2021-06-30,NXU,9.76,9.76,9.75,9.75,10238
2021-07-01,NXU,9.74,9.78,9.74,9.78,28537
2021-07-02,NXU,9.76,9.78,9.74,9.77,42485
2021-07-06,NXU,9.76,9.76,9.68,9.72,37824
