date,ticker,open,high,low,close,volume
2025-07-11,OYSE,9.95,10.0,9.9,9.96,742657
2025-07-14,OYSE,9.975,9.98,9.96,9.97,45486
2025-07-15,OYSE,9.9732,9.98,9.97,9.98,105219
2025-07-16,OYSE,10.0,10.0,9.985,9.985,6148
2025-07-17,OYSE,9.985,9.985,9.985,9.985,123
2025-07-18,OYSE,10.0,10.0,9.99,10.0,427894
2025-07-21,OYSE,10.0,10.0,10.0,10.0,13300
2025-07-22,OYSE,9.9856,9.9856,9.9856,9.9856,1104
2025-07-23,OYSE,10.0,10.0396,10.0,10.02,28437
2025-07-24,OYSE,10.0,10.0,10.0,10.0,1653
2025-07-25,OYSE,10.0,10.0,10.0,10.0,9100
2025-07-28,OYSE,9.99,9.99,9.99,9.99,50001
2025-07-29,OYSE,9.99,9.99,9.99,9.99,10
2025-07-30,OYSE,9.9989,9.9989,9.9989,9.9989,1299
2025-07-31,OYSE,9.98,9.99,9.98,9.98,29100
2025-08-01,OYSE,9.98,10.0,9.98,9.99,30599
2025-08-04,OYSE,9.99,9.99,9.99,9.99,190
2025-08-05,OYSE,9.989,9.995,9.985,9.99,121247
2025-08-06,OYSE,9.99,9.99,9.98,9.9899,14200
2025-08-07,OYSE,10.0,10.0,9.982,9.982,11693
2025-08-08,OYSE,9.982,9.982,9.982,9.982,5336
2025-08-11,OYSE,9.99,9.9963,9.99,9.9963,1230352
2025-08-12,OYSE,9.9951,10.0,9.99,9.99,129525
2025-08-13,OYSE,9.99,10.09,9.99,10.0,32227
2025-08-14,OYSE,10.0,10.0,9.99,9.99,125884
2025-08-15,OYSE,10.0205,10.03,10.0,10.01,186557
2025-08-18,OYSE,10.0,10.01,10.0,10.01,107962
2025-08-19,OYSE,10.0,10.0,10.0,10.0,139320
2025-08-20,OYSE,10.01,10.235,10.01,10.04,851463
2025-08-21,OYSE,10.03,10.09,10.03,10.03,133514
2025-08-22,OYSE,10.03,10.04,10.03,10.04,119825
2025-08-25,OYSE,10.035,10.04,10.03,10.03,210161
2025-08-26,OYSE,10.03,10.04,10.03,10.04,105648
2025-08-27,OYSE,10.04,10.04,10.03,10.04,925
2025-08-28,OYSE,10.04,10.04,10.04,10.04,184
2025-08-29,OYSE,10.04,10.04,10.04,10.04,1636
2025-09-02,OYSE,10.04,10.04,10.03,10.03,3069
2025-09-03,OYSE,10.03,10.0307,10.03,10.03,35637
2025-09-04,OYSE,10.03,10.035,10.03,10.03,256001
2025-09-05,OYSE,10.03,10.03,10.03,10.03,77351
2025-09-08,OYSE,10.03,10.03,10.03,10.03,28055
2025-09-09,OYSE,10.04,10.0432,10.04,10.04,13557
2025-09-10,OYSE,10.05,10.05,10.05,10.05,774
2025-09-11,OYSE,10.05,10.05,10.05,10.05,6413
2025-09-12,OYSE,10.05,10.05,10.05,10.05,6
2025-09-15,OYSE,10.05,10.05,10.05,10.05,30
2025-09-16,OYSE,10.04,10.04,10.02,10.03,317098
2025-09-17,OYSE,10.03,10.04,10.025,10.04,3364
2025-09-18,OYSE,10.03,10.03,10.03,10.03,208
2025-09-19,OYSE,10.03,10.03,10.03,10.03,3112
2025-09-22,OYSE,10.03,10.03,10.03,10.03,89
2025-09-23,OYSE,10.03,10.03,10.03,10.03,1062
2025-09-24,OYSE,10.03,10.03,10.03,10.03,48
2025-09-25,OYSE,10.03,10.03,10.03,10.03,5
2025-09-26,OYSE,10.03,10.03,10.03,10.03,26
2025-09-29,OYSE,10.02,10.022,10.02,10.022,92624
2025-09-30,OYSE,10.022,10.022,10.022,10.022,0
