date,ticker,open,high,low,close,volume
2021-03-26,PUCK,9.75,9.75,9.6,9.6,22686
2021-03-29,PUCK,9.6,9.65,9.595,9.6,5492
2021-03-30,PUCK,9.65,9.65,9.55,9.64,164500
2021-03-31,PUCK,9.64,9.65,9.6,9.64,117302
2021-04-01,PUCK,9.65,9.68,9.61,9.64,132241
2021-04-05,PUCK,9.93,9.93,9.62,9.75,60341
2021-04-06,PUCK,9.7,9.7455,9.67,9.7,11556
2021-04-07,PUCK,9.67,9.75,9.65,9.7,42558
2021-04-08,PUCK,9.71,9.73,9.67,9.73,479459
2021-04-09,PUCK,9.68,9.76,9.68,9.72,57402
2021-04-12,PUCK,9.71,9.75,9.7,9.73,38118
2021-04-13,PUCK,9.7241,9.74,9.69,9.73,195516
2021-04-14,PUCK,9.7,9.77,9.66,9.74,1215402
2021-04-15,PUCK,9.75,9.75,9.72,9.75,466402
2021-04-16,PUCK,9.72,9.7499,9.71,9.71,28951
2021-04-19,PUCK,9.71,9.75,9.71,9.75,46167
2021-04-20,PUCK,9.75,9.77,9.71,9.71,167962
2021-04-21,PUCK,9.71,9.75,9.71,9.71,67920
2021-04-22,PUCK,9.77,9.8,9.7,9.72,149816
2021-04-23,PUCK,9.71,9.75,9.67,9.73,189535
2021-04-26,PUCK,9.72,9.74,9.7,9.71,128429
2021-04-27,PUCK,9.71,9.725,9.69,9.72,137543
2021-04-28,PUCK,9.7,9.73,9.69,9.73,106333
2021-04-29,PUCK,9.72,9.73,9.68,9.7,272062
2021-04-30,PUCK,9.69,9.69,9.66,9.67,188770
2021-05-03,PUCK,9.67,9.71,9.67,9.69,501127
2021-05-04,PUCK,9.67,9.71,9.67,9.7,107996
2021-05-05,PUCK,9.7,9.71,9.66,9.67,60278
2021-05-06,PUCK,9.675,9.7,9.67,9.68,84083
2021-05-07,PUCK,9.68,9.74,9.67,9.69,73950
2021-05-10,PUCK,9.69,9.72,9.66,9.66,79959
2021-05-11,PUCK,9.66,9.69,9.66,9.68,26647
2021-05-12,PUCK,9.69,9.69,9.67,9.67,3534
2021-05-13,PUCK,9.67,9.67,9.66,9.66,24626
2021-05-14,PUCK,9.66,9.67,9.65,9.65,10171
2021-05-17,PUCK,9.65,9.65,9.61,9.61,56098
2021-05-18,PUCK,9.64,9.65,9.6,9.62,111762
2021-05-19,PUCK,9.6201,9.65,9.62,9.65,4602
2021-05-20,PUCK,9.68,9.68,9.62,9.65,9500
2021-05-21,PUCK,9.67,9.68,9.63,9.64,11525
2021-05-24,PUCK,9.63,9.68,9.63,9.68,3059
2021-05-25,PUCK,9.68,9.69,9.67,9.69,8523
2021-05-26,PUCK,9.6886,9.69,9.63,9.63,38444
2021-05-27,PUCK,9.6275,9.64,9.62,9.63,30305
2021-05-28,PUCK,9.62,9.66,9.61,9.63,33797
2021-06-01,PUCK,9.66,9.66,9.6,9.62,18729
2021-06-02,PUCK,9.618,9.65,9.61,9.62,15566
2021-06-03,PUCK,9.62,9.6401,9.62,9.64,14140
2021-06-04,PUCK,9.64,9.655,9.64,9.655,20265
2021-06-07,PUCK,9.6417,9.6691,9.64,9.66,15885
2021-06-08,PUCK,9.63,9.67,9.63,9.66,31588
2021-06-09,PUCK,9.6616,9.67,9.64,9.66,8916
2021-06-10,PUCK,9.65,9.65,9.6,9.62,335611
2021-06-11,PUCK,9.62,9.67,9.61,9.64,280159
2021-06-14,PUCK,9.659,9.67,9.65,9.66,24323
2021-06-15,PUCK,9.66,9.66,9.65,9.66,2272
2021-06-16,PUCK,9.6608,9.67,9.63,9.63,19105
2021-06-17,PUCK,9.64,9.64,9.62,9.63,128401
2021-06-18,PUCK,9.63,9.65,9.62,9.63,57133
2021-06-21,PUCK,9.64,9.6402,9.63,9.64,13668
2021-06-22,PUCK,9.643,9.68,9.64,9.68,669590
2021-06-23,PUCK,9.68,9.68,9.65,9.65,67977
2021-06-24,PUCK,9.66,9.6702,9.66,9.66,10801
2021-06-25,PUCK,9.6616,9.67,9.65,9.65,4253
2021-06-28,PUCK,9.64,9.66,9.64,9.66,92505
2021-06-29,PUCK,9.65,9.65,9.64,9.65,68580
2021-06-30,PUCK,9.65,9.655,9.64,9.64,39955
2021-07-01,PUCK,9.65,9.66,9.65,9.65,106966
2021-07-02,PUCK,9.65,9.66,9.62,9.62,18205
2021-07-06,PUCK,9.65,9.67,9.63,9.66,73226
2021-07-07,PUCK,9.65,9.67,9.65,9.66,27289
2021-07-08,PUCK,9.6501,9.67,9.64,9.66,8835
2021-07-09,PUCK,9.64,9.66,9.64,9.66,31280
2021-07-12,PUCK,9.65,9.66,9.63,9.66,32241
2021-07-13,PUCK,9.65,9.66,9.65,9.66,29432
2021-07-14,PUCK,9.65,9.67,9.645,9.66,35328
2021-07-15,PUCK,9.65,9.66,9.64,9.65,2380
2021-07-16,PUCK,9.65,9.66,9.65,9.66,18889
2021-07-19,PUCK,9.63,9.63,9.6,9.61,85586
2021-07-20,PUCK,9.63,9.63,9.6272,9.63,559
2021-07-21,PUCK,9.63,9.67,9.58,9.66,55539
2021-07-22,PUCK,9.62,9.65,9.62,9.62,3084
2021-07-23,PUCK,9.62,9.6302,9.62,9.62,10682
2021-07-26,PUCK,9.63,9.65,9.62,9.65,7445
2021-07-27,PUCK,9.63,9.63,9.63,9.63,1641
2021-07-28,PUCK,9.64,9.65,9.64,9.65,27630
2021-07-29,PUCK,9.64,9.65,9.64,9.65,33578
2021-07-30,PUCK,9.6,9.72,9.6,9.72,171604
2021-08-02,PUCK,9.66,9.72,9.65,9.72,1971
2021-08-03,PUCK,9.66,9.66,9.61,9.65,55696
2021-08-04,PUCK,9.62,9.66,9.62,9.66,17230
2021-08-05,PUCK,9.64,9.64,9.63,9.63,1928
2021-08-06,PUCK,9.66,9.66,9.63,9.63,52303
2021-08-09,PUCK,9.62,9.62,9.62,9.62,886
2021-08-10,PUCK,9.62,9.62,9.62,9.62,91
2021-08-11,PUCK,9.62,9.63,9.62,9.62,1047
2021-08-12,PUCK,9.62,9.65,9.62,9.64,53216
2021-08-13,PUCK,9.63,9.63,9.58,9.6,97455
2021-08-16,PUCK,9.6,9.62,9.5999,9.61,3077
2021-08-17,PUCK,9.61,9.63,9.61,9.63,18574
2021-08-18,PUCK,9.62,9.63,9.62,9.63,7605
2021-08-19,PUCK,9.62,9.66,9.62,9.66,35281
2021-08-20,PUCK,9.65,9.69,9.65,9.69,7837
2021-08-23,PUCK,9.65,9.69,9.65,9.69,1117
2021-08-24,PUCK,9.65,9.69,9.61,9.69,3263
2021-08-25,PUCK,9.65,9.68,9.58,9.63,8744
2021-08-26,PUCK,9.63,9.65,9.63,9.65,1345
2021-08-27,PUCK,9.65,9.65,9.65,9.65,13
2021-08-30,PUCK,9.59,9.59,9.59,9.59,222
2021-08-31,PUCK,9.6201,9.66,9.61,9.66,19156
2021-09-01,PUCK,9.66,9.67,9.62,9.67,2334
2021-09-02,PUCK,9.63,9.63,9.63,9.63,6214
2021-09-03,PUCK,9.63,9.63,9.63,9.63,27
2021-09-07,PUCK,9.63,9.63,9.63,9.63,6
2021-09-08,PUCK,9.678,9.68,9.675,9.68,3423
2021-09-09,PUCK,9.66,9.67,9.6517,9.66,8774
2021-09-10,PUCK,9.65,9.68,9.64,9.66,21502
2021-09-13,PUCK,9.65,9.68,9.64,9.68,6704
2021-09-14,PUCK,9.68,9.69,9.68,9.69,8946
2021-09-15,PUCK,9.69,9.71,9.62,9.71,131448
2021-09-16,PUCK,9.71,9.71,9.71,9.71,13
2021-09-17,PUCK,9.68,9.71,9.68,9.71,3696
2021-09-20,PUCK,9.71,9.71,9.71,9.71,101
2021-09-21,PUCK,9.6601,9.69,9.66,9.69,814
2021-09-22,PUCK,9.65,9.69,9.65,9.69,3208
2021-09-23,PUCK,9.7,9.71,9.7,9.71,4990
2021-09-24,PUCK,9.71,9.71,9.71,9.71,627
2021-09-27,PUCK,9.71,9.71,9.71,9.71,1383
2021-09-28,PUCK,9.66,9.71,9.66,9.71,1774
2021-09-29,PUCK,9.71,9.74,9.71,9.71,150561
2021-09-30,PUCK,9.71,9.74,9.71,9.72,18728
2021-10-01,PUCK,9.74,9.74,9.69,9.71,23976
2021-10-04,PUCK,9.71,9.74,9.71,9.74,3828
2021-10-05,PUCK,9.71,9.74,9.71,9.73,4334
2021-10-06,PUCK,9.715,9.74,9.715,9.74,6913
2021-10-07,PUCK,9.74,9.74,9.74,9.74,304
2021-10-08,PUCK,9.74,9.77,9.73,9.75,24083
2021-10-11,PUCK,9.75,9.75,9.75,9.75,9
2021-10-12,PUCK,9.74,9.74,9.735,9.735,475
2021-10-13,PUCK,9.75,9.75,9.66,9.66,11532
2021-10-14,PUCK,9.75,9.75,9.74,9.74,2821
2021-10-15,PUCK,9.71,9.78,9.71,9.73,75449
2021-10-18,PUCK,9.73,9.75,9.73,9.75,1368
2021-10-19,PUCK,9.74,9.75,9.74,9.74,197705
2021-10-20,PUCK,9.73,9.75,9.73,9.74,41880
2021-10-21,PUCK,9.73,9.75,9.73,9.75,17636
2021-10-22,PUCK,9.72,9.75,9.72,9.75,12228
2021-10-25,PUCK,9.74,9.75,9.73,9.73,10927
2021-10-26,PUCK,9.74,9.75,9.73,9.75,13509
2021-10-27,PUCK,9.73,9.75,9.73,9.75,8853
2021-10-28,PUCK,9.74,9.75,9.73,9.75,9375
2021-10-29,PUCK,9.74,9.75,9.74,9.75,9649
2021-11-01,PUCK,9.75,9.75,9.74,9.75,2742
2021-11-02,PUCK,9.73,9.75,9.73,9.75,2140
2021-11-03,PUCK,9.75,9.75,9.73,9.75,7065
2021-11-04,PUCK,9.75,9.77,9.74,9.74,1901
2021-11-05,PUCK,9.74,9.74,9.74,9.74,1
2021-11-08,PUCK,9.77,9.77,9.74,9.74,6956
2021-11-09,PUCK,9.74,9.77,9.73,9.74,79768
2021-11-10,PUCK,9.73,9.77,9.73,9.7473,30940
2021-11-11,PUCK,9.7473,9.7473,9.7473,9.7473,119
2021-11-12,PUCK,9.74,9.75,9.74,9.74,12520
2021-11-15,PUCK,9.74,9.75,9.74,9.75,23140
