date,ticker,open,high,low,close,volume
2025-10-02,SSEA,10.0,10.0,9.93,9.93,169796
2025-10-03,SSEA,9.93,9.945,9.93,9.945,86503
2025-10-06,SSEA,9.94,9.95,9.94,9.95,341719
2025-10-07,SSEA,9.94,9.95,9.94,9.95,133758
2025-10-08,SSEA,9.95,9.96,9.95,9.95,994906
2025-10-09,SSEA,10.0,10.0,9.96,9.96,3533
2025-10-10,SSEA,9.96,9.96,9.96,9.96,138
2025-10-13,SSEA,9.97,9.98,9.96,9.97,435411
2025-10-14,SSEA,9.97,9.98,9.96,9.98,232200
2025-10-15,SSEA,9.97,9.99,9.97,9.97,5868
2025-10-16,SSEA,9.97,9.98,9.97,9.97,39043
2025-10-17,SSEA,9.98,9.99,9.98,9.99,154029
2025-10-20,SSEA,9.96,9.99,9.96,9.98,3809
2025-10-21,SSEA,9.97,9.98,9.97,9.98,2443
2025-10-22,SSEA,9.98,9.98,9.98,9.98,198
2025-10-23,SSEA,9.98,9.98,9.98,9.98,87978
2025-10-24,SSEA,9.98,9.98,9.98,9.98,112001
2025-10-27,SSEA,9.98,9.98,9.97,9.97,48190
2025-10-28,SSEA,9.97,9.975,9.97,9.97,52037
2025-10-29,SSEA,9.96,9.96,9.96,9.96,146
2025-10-30,SSEA,10.0,10.0,9.98,9.98,61270
2025-10-31,SSEA,9.99,9.99,9.99,9.99,128
2025-11-03,SSEA,9.98,9.98,9.98,9.98,223
2025-11-04,SSEA,9.99,9.99,9.99,9.99,20029
2025-11-05,SSEA,9.99,9.99,9.99,9.99,179
2025-11-06,SSEA,10.0,10.0,9.96,9.96,305
2025-11-07,SSEA,9.96,9.96,9.96,9.96,28
2025-11-10,SSEA,9.96,9.96,9.96,9.96,3
2025-11-11,SSEA,9.96,9.96,9.96,9.96,2
2025-11-12,SSEA,9.96,9.96,9.96,9.96,77
2025-11-13,SSEA,9.96,9.96,9.96,9.96,1
2025-11-14,SSEA,9.999,10.0,9.999,10.0,19619
2025-11-17,SSEA,9.991,9.991,9.99,9.9901,17801
2025-11-18,SSEA,9.99,9.99,9.98,9.98,558456
2025-11-19,SSEA,9.99,9.99,9.99,9.99,3500
2025-11-20,SSEA,9.98,9.98,9.98,9.98,42496
2025-11-21,SSEA,9.98,9.98,9.98,9.98,24
2025-11-24,SSEA,9.98,9.98,9.98,9.98,0
2025-11-25,SSEA,9.98,9.98,9.98,9.98,0
2025-11-26,SSEA,9.98,9.98,9.98,9.98,1
2025-11-28,SSEA,9.98,9.98,9.98,9.98,14
2025-12-01,SSEA,10.0,10.0,10.0,10.0,10000
2025-12-02,SSEA,10.0,10.0,10.0,10.0,3
2025-12-03,SSEA,10.0,10.0,10.0,10.0,0
2025-12-04,SSEA,10.0,10.0,9.98,9.98,14000
2025-12-05,SSEA,9.98,9.98,9.98,9.98,0
2025-12-08,SSEA,9.99,9.99,9.99,9.99,772
2025-12-09,SSEA,10.0,10.0,9.995,10.0,213102
2025-12-10,SSEA,10.02,10.03,10.02,10.03,6601
2025-12-11,SSEA,10.0,10.0,10.0,10.0,5114
2025-12-12,SSEA,10.01,10.01,10.01,10.01,959
2025-12-15,SSEA,10.01,10.01,10.01,10.01,16
2025-12-16,SSEA,10.01,10.01,10.01,10.01,10
2025-12-17,SSEA,10.01,10.01,10.01,10.01,6
2025-12-18,SSEA,10.01,10.01,10.01,10.01,4
2025-12-19,SSEA,10.01,10.01,10.01,10.01,14
2025-12-22,SSEA,10.01,10.01,10.01,10.01,1
2025-12-23,SSEA,10.01,10.01,10.01,10.01,1
2025-12-24,SSEA,10.01,10.01,10.01,10.01,1
2025-12-26,SSEA,10.01,10.01,10.01,10.01,1
2025-12-29,SSEA,10.0,10.01,10.0,10.01,4564
2025-12-30,SSEA,10.01,10.01,10.01,10.01,0
2025-12-31,SSEA,10.01,10.01,10.01,10.01,21
