date,ticker,open,high,low,close,volume
2021-09-23,SWSS,9.73,9.77,9.71,9.73,100842
2021-09-24,SWSS,9.77,9.77,9.75,9.76,92850
2021-09-27,SWSS,9.75,9.78,9.75,9.76,250240
2021-09-28,SWSS,9.74,9.74,9.74,9.74,72851
2021-09-29,SWSS,9.75,9.78,9.75,9.77,175924
2021-09-30,SWSS,9.77,9.79,9.76,9.77,185407
2021-10-01,SWSS,9.77,9.79,9.77,9.78,179765
2021-10-04,SWSS,9.78,9.8,9.75,9.77,222666
2021-10-05,SWSS,9.8,9.81,9.79,9.79,25580
2021-10-06,SWSS,9.805,9.805,9.79,9.79,29164
2021-10-07,SWSS,9.8,9.82,9.79,9.8,139022
2021-10-08,SWSS,9.8015,9.8015,9.8015,9.8015,1006
2021-10-11,SWSS,9.8,9.81,9.8,9.8,85043
2021-10-12,SWSS,9.8,9.8,9.8,9.8,100
2021-10-13,SWSS,9.8,9.8,9.8,9.8,353
2021-10-14,SWSS,9.8,9.8,9.8,9.8,63
2021-10-15,SWSS,9.8,9.81,9.8,9.81,11282
2021-10-18,SWSS,9.8,9.8,9.8,9.8,807
2021-10-19,SWSS,9.8,9.8,9.8,9.8,17099
2021-10-20,SWSS,9.8,9.8,9.8,9.8,0
2021-10-21,SWSS,9.8,9.8,9.8,9.8,100
2021-10-22,SWSS,9.8,9.8,9.8,9.8,283
2021-10-25,SWSS,9.8,9.8,9.8,9.8,228
2021-10-26,SWSS,9.8,9.8,9.8,9.8,369
2021-10-27,SWSS,9.8,9.8,9.8,9.8,954
2021-10-28,SWSS,9.8,9.81,9.79,9.8,6745
2021-10-29,SWSS,9.79,9.81,9.79,9.8,276809
2021-11-01,SWSS,9.8,9.81,9.8,9.81,10416
2021-11-02,SWSS,9.8,9.8,9.8,9.8,6860
2021-11-03,SWSS,9.8,9.82,9.8,9.815,13830
2021-11-04,SWSS,9.8,9.8,9.8,9.8,415
2021-11-05,SWSS,9.82,9.82,9.81,9.81,10622
2021-11-08,SWSS,9.81,9.82,9.81,9.8101,136211
2021-11-09,SWSS,9.8,9.84,9.8,9.81,1775
2021-11-10,SWSS,9.81,9.81,9.81,9.81,60
2021-11-11,SWSS,9.81,9.82,9.8,9.82,101020
2021-11-12,SWSS,9.81,9.81,9.81,9.81,10705
2021-11-15,SWSS,9.81,9.83,9.81,9.82,6244
2021-11-16,SWSS,9.81,9.81,9.81,9.81,345
2021-11-17,SWSS,9.8,9.83,9.8,9.82,8029
2021-11-18,SWSS,9.81,9.81,9.81,9.81,1832
2021-11-19,SWSS,10.1,10.1,10.1,10.1,623
2021-11-22,SWSS,10.07,10.07,9.8,9.86,4590
2021-11-23,SWSS,9.855,9.86,9.8,9.83,4548
2021-11-24,SWSS,9.82,9.83,9.82,9.825,200876
2021-11-26,SWSS,9.82,9.82,9.82,9.82,13851
2021-11-29,SWSS,9.82,9.82,9.81,9.81,52055
2021-11-30,SWSS,9.83,9.83,9.8,9.8,23441
2021-12-01,SWSS,9.8,9.8,9.8,9.8,14
2021-12-02,SWSS,9.9,9.9,9.9,9.9,107
2021-12-03,SWSS,9.9,9.9,9.9,9.9,67
2021-12-06,SWSS,9.8,9.8,9.8,9.8,711
2021-12-07,SWSS,9.79,9.8,9.79,9.79,21824
2021-12-08,SWSS,9.78,9.8,9.78,9.8,679151
2021-12-09,SWSS,9.81,9.9,9.81,9.9,5385
2021-12-10,SWSS,9.77,9.8,9.77,9.78,48585
2021-12-13,SWSS,9.78,9.78,9.78,9.78,30167
2021-12-14,SWSS,9.78,9.8,9.77,9.78,65854
2021-12-15,SWSS,9.78,9.78,9.78,9.78,532
2021-12-16,SWSS,9.78,9.78,9.78,9.78,73
2021-12-17,SWSS,9.78,9.8,9.78,9.8,1389
2021-12-20,SWSS,9.8,9.82,9.78,9.82,16011
2021-12-21,SWSS,9.78,9.78,9.78,9.78,319
2021-12-22,SWSS,9.78,9.9,9.78,9.9,79345
2021-12-23,SWSS,9.8,9.8,9.79,9.8,3094
2021-12-27,SWSS,9.8,9.8,9.8,9.8,47
2021-12-28,SWSS,9.77,9.79,9.77,9.79,1126
2021-12-29,SWSS,9.84,9.84,9.77,9.79,3326
2021-12-30,SWSS,9.79,9.79,9.79,9.79,43
2021-12-31,SWSS,9.79,9.79,9.76,9.765,6594
2022-01-03,SWSS,9.77,9.77,9.77,9.77,35001
2022-01-04,SWSS,9.79,9.79,9.77,9.78,23141
2022-01-05,SWSS,9.81,9.81,9.81,9.81,305
2022-01-06,SWSS,9.8,9.8,9.8,9.8,949
2022-01-07,SWSS,9.81,9.83,9.81,9.83,2385
2022-01-10,SWSS,9.8,9.8,9.8,9.8,418
2022-01-11,SWSS,9.8,9.8,9.8,9.8,1497
2022-01-12,SWSS,9.8,9.8,9.8,9.8,10
2022-01-13,SWSS,9.8,9.8,9.8,9.8,17678
2022-01-14,SWSS,9.8,9.8,9.8,9.8,1629
2022-01-18,SWSS,9.8,9.8,9.8,9.8,10884
2022-01-19,SWSS,9.8,9.84,9.79,9.84,80362
2022-01-20,SWSS,9.8,9.8,9.79,9.79,89995
2022-01-21,SWSS,9.79,9.79,9.79,9.79,0
2022-01-24,SWSS,9.78,9.78,9.78,9.78,5421
2022-01-25,SWSS,9.78,9.78,9.76,9.76,12258
2022-01-26,SWSS,9.78,9.78,9.775,9.78,3053
2022-01-27,SWSS,9.78,9.79,9.78,9.79,204452
2022-01-28,SWSS,9.79,9.79,9.79,9.79,3960
2022-01-31,SWSS,9.79,9.79,9.79,9.79,34591
2022-02-01,SWSS,9.8,9.8,9.79,9.79,4281
2022-02-02,SWSS,9.79,9.8,9.79,9.8,87510
2022-02-03,SWSS,9.8,9.8,9.8,9.8,250
2022-02-04,SWSS,9.8,9.8,9.8,9.8,200
2022-02-07,SWSS,9.8,9.8,9.8,9.8,0
2022-02-08,SWSS,9.8,9.8,9.8,9.8,1202
2022-02-09,SWSS,9.8,9.8,9.8,9.8,195
2022-02-10,SWSS,9.83,9.83,9.83,9.83,3200
2022-02-11,SWSS,9.81,9.81,9.81,9.81,424
2022-02-14,SWSS,9.81,9.82,9.8,9.8,51563
2022-02-15,SWSS,9.81,9.81,9.8,9.8,1870
2022-02-16,SWSS,9.805,9.805,9.8,9.8,12507
2022-02-17,SWSS,9.81,9.855,9.8,9.8,1318
2022-02-18,SWSS,9.81,9.82,9.81,9.81,7363
2022-02-22,SWSS,9.8,9.8,9.8,9.8,10321
2022-02-23,SWSS,9.8,9.8,9.8,9.8,0
2022-02-24,SWSS,9.81,9.81,9.81,9.81,826
2022-02-25,SWSS,9.81,9.81,9.81,9.81,0
2022-02-28,SWSS,9.75,9.75,9.75,9.75,270
2022-03-01,SWSS,9.81,9.815,9.79,9.81,217804
2022-03-02,SWSS,9.81,9.85,9.81,9.81,3000
2022-03-03,SWSS,9.82,9.82,9.82,9.82,582
2022-03-04,SWSS,9.815,9.82,9.815,9.82,731
2022-03-07,SWSS,9.83,9.83,9.83,9.83,5857
2022-03-08,SWSS,9.83,9.83,9.83,9.83,29854
2022-03-09,SWSS,9.88,9.88,9.83,9.83,1666
2022-03-10,SWSS,9.83,9.83,9.83,9.83,0
2022-03-11,SWSS,9.82,9.83,9.82,9.83,5832
2022-03-14,SWSS,9.83,9.83,9.83,9.83,328
2022-03-15,SWSS,9.83,9.84,9.82,9.84,4680
2022-03-16,SWSS,9.83,9.83,9.83,9.83,362
2022-03-17,SWSS,9.83,9.83,9.83,9.83,91
2022-03-18,SWSS,9.83,9.83,9.83,9.83,123
2022-03-21,SWSS,9.83,9.83,9.83,9.83,0
2022-03-22,SWSS,9.85,9.85,9.83,9.83,1340
2022-03-23,SWSS,9.83,9.83,9.83,9.83,0
2022-03-24,SWSS,9.83,9.83,9.83,9.83,0
2022-03-25,SWSS,9.83,9.83,9.83,9.83,0
2022-03-28,SWSS,9.85,9.85,9.83,9.85,81759
2022-03-29,SWSS,9.86,9.86,9.85,9.85,599
2022-03-30,SWSS,9.865,9.865,9.865,9.865,215
2022-03-31,SWSS,9.865,9.865,9.865,9.865,5
2022-04-01,SWSS,9.865,9.865,9.865,9.865,23
2022-04-04,SWSS,9.85,9.87,9.85,9.87,10407
