date,ticker,open,high,low,close,volume
2024-12-20,TAVI,9.9,9.9101,9.9,9.91,679038
2024-12-23,TAVI,9.91,9.91,9.89,9.89,75627
2024-12-24,TAVI,9.89,9.89,9.89,9.89,47
2024-12-26,TAVI,9.89,9.89,9.89,9.89,0
2024-12-27,TAVI,9.9,9.925,9.9,9.92,321393
2024-12-30,TAVI,9.91,9.915,9.91,9.915,133787
2024-12-31,TAVI,9.91,9.92,9.91,9.9111,328918
2025-01-02,TAVI,9.92,9.92,9.9,9.91,573
2025-01-03,TAVI,9.91,9.91,9.91,9.91,214439
2025-01-06,TAVI,9.91,9.915,9.91,9.91,36987
2025-01-07,TAVI,9.92,9.92,9.92,9.92,544
2025-01-08,TAVI,9.92,9.92,9.92,9.92,349838
2025-01-10,TAVI,9.93,9.93,9.92,9.93,325661
2025-01-13,TAVI,9.94,9.94,9.94,9.94,588
2025-01-14,TAVI,9.94,9.95,9.93,9.93,68556
2025-01-15,TAVI,9.93,9.93,9.93,9.93,23
2025-01-16,TAVI,9.93,9.93,9.93,9.93,35033
2025-01-17,TAVI,9.93,9.93,9.93,9.93,25
2025-01-21,TAVI,9.93,9.93,9.93,9.93,100036
2025-01-22,TAVI,9.93,9.945,9.93,9.945,9169
2025-01-23,TAVI,9.947,9.95,9.94,9.95,54355
2025-01-24,TAVI,9.95,9.955,9.94,9.955,25474
2025-01-27,TAVI,9.94,9.955,9.94,9.955,10300
2025-01-28,TAVI,9.96,9.96,9.955,9.955,5865
2025-01-29,TAVI,9.9598,10.0,9.9598,10.0,26331
2025-01-30,TAVI,9.97,9.97,9.95,9.97,10449
2025-01-31,TAVI,9.97,9.97,9.9616,9.97,2734
2025-02-03,TAVI,9.97,9.97,9.97,9.97,84
2025-02-04,TAVI,9.97,9.97,9.97,9.97,26911
2025-02-05,TAVI,9.97,9.97,9.97,9.97,17306
2025-02-06,TAVI,9.975,9.98,9.975,9.98,2702
2025-02-07,TAVI,9.98,9.98,9.97,9.98,53420
2025-02-10,TAVI,9.9787,9.98,9.97,9.98,36763
2025-02-11,TAVI,9.9765,9.98,9.9765,9.98,7554
2025-02-12,TAVI,9.98,9.99,9.98,9.99,608801
2025-02-13,TAVI,9.99,9.99,9.98,9.99,203023
2025-02-14,TAVI,9.995,9.995,9.9849,9.9849,100220
2025-02-18,TAVI,10.0,10.0,9.99,9.995,6949
2025-02-19,TAVI,9.99,9.99,9.985,9.985,21146
