date,ticker,open,high,low,close,volume
2025-04-23,TVACU,10.0,10.01,9.99,9.99,6500103
2025-04-24,TVACU,10.0,10.0,9.99,10.0,1398314
2025-04-25,TVACU,9.99,10.005,9.99,10.0001,590047
2025-04-28,TVACU,9.9901,10.0,9.99,9.99,723161
2025-04-29,TVACU,10.0,10.03,10.0,10.0,1147592
2025-04-30,TVACU,9.99,10.02,9.99,10.01,135965
2025-05-01,TVACU,10.0101,10.02,10.01,10.01,1343965
2025-05-02,TVACU,10.02,10.03,10.01,10.01,369132
2025-05-05,TVACU,10.02,10.02,10.01,10.01,536726
2025-05-06,TVACU,10.01,10.02,10.01,10.01,154603
2025-05-07,TVACU,10.02,10.02,10.01,10.02,23465
2025-05-08,TVACU,10.01,10.02,10.01,10.02,28191
2025-05-09,TVACU,10.02,10.03,10.02,10.025,189256
2025-05-12,TVACU,10.02,10.02,10.01,10.02,32760
2025-05-13,TVACU,10.02,10.03,10.02,10.03,268079
2025-05-14,TVACU,10.03,10.04,10.0247,10.03,13722
2025-05-15,TVACU,10.07,10.07,10.03,10.045,158566
2025-05-16,TVACU,10.05,10.2,10.05,10.07,205949
2025-05-19,TVACU,10.1,10.11,10.07,10.07,403354
2025-05-20,TVACU,10.1,10.12,10.07,10.12,3172
2025-05-21,TVACU,10.12,10.12,10.08,10.08,153145
2025-05-22,TVACU,10.12,10.12,10.08,10.08,951
2025-05-23,TVACU,10.12,10.12,10.08,10.08,302
2025-05-27,TVACU,10.12,10.15,10.09,10.15,1237
2025-05-28,TVACU,10.11,10.11,10.09,10.09,300
2025-05-29,TVACU,10.12,10.12,10.08,10.1,927
2025-05-30,TVACU,10.1,10.11,10.08,10.11,2110
2025-06-02,TVACU,10.12,10.12,10.11,10.11,728
2025-06-03,TVACU,10.125,10.13,10.125,10.13,780
2025-06-04,TVACU,10.17,10.19,10.14,10.14,759
2025-06-05,TVACU,10.13,10.13,10.13,10.13,103
2025-06-06,TVACU,10.14,10.14,10.14,10.14,116
2025-06-09,TVACU,10.2,10.2,10.14,10.14,325
2025-06-10,TVACU,10.2,10.2,10.15,10.15,322
2025-06-11,TVACU,10.15,10.15,10.15,10.15,102
2025-06-12,TVACU,10.15,10.15,10.15,10.15,131
2025-06-13,TVACU,10.15,10.15,10.15,10.15,114
2025-06-16,TVACU,10.17,10.17,10.17,10.17,304
2025-06-17,TVACU,10.17,10.17,10.17,10.17,350
2025-06-18,TVACU,10.17,10.17,10.17,10.17,826
2025-06-20,TVACU,10.2,10.22,10.19,10.22,52449
2025-06-23,TVACU,10.21,10.23,10.21,10.21,1010
2025-06-24,TVACU,10.21,10.23,10.21,10.23,9220
2025-06-25,TVACU,10.21,10.3,10.21,10.3,28117
2025-06-26,TVACU,10.31,10.34,10.21,10.21,1465
2025-06-27,TVACU,10.21,10.21,10.21,10.21,32
2025-06-30,TVACU,10.21,10.21,10.21,10.21,18
2025-07-01,TVACU,10.32,10.32,10.21,10.21,227
2025-07-02,TVACU,10.31,10.31,10.21,10.21,280
2025-07-03,TVACU,10.21,10.21,10.21,10.21,213
2025-07-07,TVACU,10.21,10.21,10.21,10.21,128
2025-07-08,TVACU,10.22,10.22,10.21,10.21,225
2025-07-09,TVACU,10.3,10.3,10.21,10.21,280
2025-07-10,TVACU,10.21,10.21,10.21,10.21,447
2025-07-11,TVACU,10.21,10.21,10.21,10.21,140
2025-07-14,TVACU,10.21,10.21,10.21,10.21,54
2025-07-15,TVACU,10.21,10.21,10.21,10.21,25
2025-07-16,TVACU,10.21,10.21,10.21,10.21,0
2025-07-17,TVACU,10.21,10.21,10.21,10.21,15
2025-07-18,TVACU,10.21,10.21,10.21,10.21,0
2025-07-21,TVACU,10.21,10.21,10.21,10.21,0
2025-07-22,TVACU,10.21,10.21,10.21,10.21,0
2025-07-23,TVACU,10.21,10.21,10.21,10.21,0
2025-07-24,TVACU,10.21,10.21,10.21,10.21,0
2025-07-25,TVACU,10.21,10.21,10.21,10.21,20
2025-07-28,TVACU,10.21,10.23,10.21,10.23,2005
2025-07-29,TVACU,10.23,10.23,10.23,10.23,0
2025-07-30,TVACU,10.23,10.23,10.23,10.23,10
2025-07-31,TVACU,10.23,10.23,10.23,10.23,390
2025-08-01,TVACU,10.23,10.23,10.23,10.23,0
2025-08-04,TVACU,10.23,10.23,10.23,10.23,0
2025-08-05,TVACU,10.23,10.23,10.23,10.23,2
2025-08-06,TVACU,10.23,10.23,10.23,10.23,0
2025-08-07,TVACU,10.23,10.23,10.23,10.23,50
2025-08-08,TVACU,10.23,10.23,10.23,10.23,0
2025-08-11,TVACU,10.23,10.23,10.23,10.23,0
2025-08-12,TVACU,10.23,10.23,10.23,10.23,0
2025-08-13,TVACU,10.23,10.23,10.23,10.23,0
2025-08-14,TVACU,10.23,10.23,10.23,10.23,0
2025-08-15,TVACU,10.23,10.23,10.23,10.23,0
2025-08-18,TVACU,10.23,10.23,10.23,10.23,0
2025-08-19,TVACU,10.23,10.23,10.23,10.23,0
2025-08-20,TVACU,10.23,10.23,10.23,10.23,0
2025-08-21,TVACU,10.23,10.23,10.23,10.23,0
2025-08-22,TVACU,10.23,10.23,10.23,10.23,0
2025-08-25,TVACU,10.23,10.23,10.23,10.23,0
2025-08-26,TVACU,10.24,10.24,10.23,10.23,500
