date,ticker,open,high,low,close,volume
2025-07-02,TVAI,10.5,10.5,9.9,9.965,229851
2025-07-03,TVAI,9.99,9.99,9.97,9.975,12219
2025-07-07,TVAI,9.98,9.98,9.9601,9.98,826858
2025-07-08,TVAI,9.985,9.99,9.9799,9.98,684431
2025-07-09,TVAI,9.98,9.98,9.98,9.98,87
2025-07-10,TVAI,9.98,10.0,9.98,9.98,51242
2025-07-11,TVAI,9.99,10.0,9.99,10.0,45460
2025-07-14,TVAI,10.0,10.0,10.0,10.0,11
2025-07-15,TVAI,9.99,9.995,9.99,9.995,3254
2025-07-16,TVAI,9.995,9.995,9.995,9.995,89
2025-07-17,TVAI,9.995,9.995,9.995,9.995,20
2025-07-18,TVAI,10.0,10.0,9.9999,9.9999,42009
2025-07-21,TVAI,9.9923,10.0,9.9899,10.0,153414
2025-07-22,TVAI,9.9805,9.995,9.9805,9.995,21576
2025-07-23,TVAI,9.984,10.0,9.984,9.99,191092
2025-07-24,TVAI,10.0,10.0,10.0,10.0,60166
2025-07-25,TVAI,9.99,10.0,9.99,10.0,13185
2025-07-28,TVAI,9.9991,10.0,9.9955,10.0,41188
2025-07-29,TVAI,10.0,10.0,9.99,9.9963,64277
2025-07-30,TVAI,10.0,10.0,9.995,9.995,12272
2025-07-31,TVAI,10.0,10.0,10.0,10.0,12172
2025-08-01,TVAI,10.0,10.0,10.0,10.0,16899
2025-08-04,TVAI,10.0,10.0,10.0,10.0,16456
2025-08-05,TVAI,10.0,10.0,9.99,10.0,90205
2025-08-06,TVAI,10.0,10.0,9.985,10.0,14528
2025-08-07,TVAI,10.0,10.0,9.97,10.0,46661
2025-08-08,TVAI,10.0,10.0,10.0,10.0,6645
2025-08-11,TVAI,10.01,10.01,10.0,10.0,97408
2025-08-12,TVAI,10.01,10.01,10.01,10.01,3268
2025-08-13,TVAI,10.02,10.02,10.02,10.02,139
2025-08-14,TVAI,10.02,10.02,10.02,10.02,155117
2025-08-15,TVAI,10.04,10.04,10.04,10.04,298
2025-08-18,TVAI,10.04,10.04,10.04,10.04,128
2025-08-19,TVAI,10.01,10.01,10.01,10.01,50002
2025-08-20,TVAI,10.04,10.04,10.04,10.04,288
2025-08-21,TVAI,10.04,10.04,10.04,10.04,119
2025-08-22,TVAI,10.04,10.04,10.04,10.04,351
2025-08-25,TVAI,10.04,10.04,10.04,10.04,0
2025-08-26,TVAI,10.04,10.04,10.04,10.04,0
2025-08-27,TVAI,10.035,10.04,10.03,10.04,55419
2025-08-28,TVAI,10.04,10.04,10.04,10.04,0
2025-08-29,TVAI,10.04,10.04,10.04,10.04,0
2025-09-02,TVAI,10.04,10.04,10.04,10.04,0
2025-09-03,TVAI,10.0,10.06,10.0,10.04,36963
2025-09-04,TVAI,10.0,10.04,10.0,10.04,404
2025-09-05,TVAI,10.04,10.04,10.04,10.04,168
2025-09-08,TVAI,10.04,10.04,10.04,10.04,130
2025-09-09,TVAI,10.04,10.04,10.04,10.04,0
2025-09-10,TVAI,10.0316,10.04,10.0316,10.04,2001
2025-09-11,TVAI,10.03,10.04,10.02,10.04,59294
2025-09-12,TVAI,10.03,10.04,10.03,10.04,5443
2025-09-15,TVAI,10.03,10.03,10.03,10.03,132266
2025-09-16,TVAI,10.03,10.04,10.03,10.04,3701
2025-09-17,TVAI,10.04,10.04,10.04,10.04,0
2025-09-18,TVAI,10.04,10.04,10.04,10.04,101
2025-09-19,TVAI,10.04,10.04,10.04,10.04,0
2025-09-22,TVAI,10.09,10.09,10.09,10.09,101
2025-09-23,TVAI,10.06,10.06,10.06,10.06,101
2025-09-24,TVAI,10.04,10.04,10.04,10.04,25000
2025-09-25,TVAI,10.04,10.04,10.04,10.04,0
2025-09-26,TVAI,10.04,10.04,10.04,10.04,0
2025-09-29,TVAI,10.04,10.04,10.04,10.04,0
2025-09-30,TVAI,10.04,10.04,10.04,10.04,0
2025-10-01,TVAI,10.0399,10.05,10.0399,10.05,12374
2025-10-02,TVAI,10.04,10.04,10.04,10.04,25909
2025-10-03,TVAI,10.04,10.04,10.04,10.04,416316
2025-10-06,TVAI,10.04,10.04,10.04,10.04,75
2025-10-07,TVAI,10.04,10.04,10.04,10.04,0
2025-10-08,TVAI,10.04,10.045,10.04,10.04,58973
2025-10-09,TVAI,10.05,10.1,10.05,10.06,62203
2025-10-10,TVAI,10.06,10.06,10.06,10.06,11
2025-10-13,TVAI,10.06,10.06,10.06,10.06,0
2025-10-14,TVAI,10.06,10.06,10.06,10.06,0
2025-10-15,TVAI,10.06,10.06,10.06,10.06,6325
2025-10-16,TVAI,10.06,10.06,10.06,10.06,39
2025-10-17,TVAI,10.06,10.06,10.06,10.06,21
2025-10-20,TVAI,10.06,10.06,10.06,10.06,6
2025-10-21,TVAI,10.0795,10.09,10.0795,10.09,1267
2025-10-22,TVAI,10.05,10.05,10.05,10.05,127
2025-10-23,TVAI,10.05,10.05,10.05,10.05,0
2025-10-24,TVAI,9.8,10.07,9.75,10.07,6843
