date,ticker,open,high,low,close,volume
2025-05-27,UYSC,10.05,10.05,9.89,9.99,252453
2025-05-28,UYSC,9.99,9.99,9.99,9.99,200016
2025-05-29,UYSC,9.99,9.99,9.98,9.98,82506
2025-05-30,UYSC,9.99,10.0,9.99,10.0,85119
2025-06-02,UYSC,10.0,10.0,9.99,10.0,31686
2025-06-03,UYSC,9.995,10.01,9.995,10.01,165330
2025-06-04,UYSC,10.01,10.015,10.0012,10.01,67627
2025-06-05,UYSC,10.03,10.03,10.03,10.03,109
2025-06-06,UYSC,10.015,10.02,10.01,10.02,16507
2025-06-09,UYSC,10.03,10.03,10.025,10.03,17203
2025-06-10,UYSC,10.0299,10.03,10.02,10.03,86175
2025-06-11,UYSC,10.02,10.03,10.02,10.03,39894
2025-06-12,UYSC,10.01,10.02,10.01,10.02,10586
2025-06-13,UYSC,10.02,10.02,10.02,10.02,10253
2025-06-16,UYSC,10.02,10.0283,10.02,10.0283,80953
2025-06-17,UYSC,10.02,10.035,10.02,10.03,133643
2025-06-18,UYSC,10.02,10.04,10.02,10.02,128499
2025-06-20,UYSC,10.02,10.02,10.02,10.02,3504
2025-06-23,UYSC,10.02,10.02,10.02,10.02,0
2025-06-24,UYSC,10.02,10.02,10.02,10.02,0
2025-06-25,UYSC,10.02,10.02,10.02,10.02,0
2025-06-26,UYSC,10.04,10.04,10.03,10.03,39900
2025-06-27,UYSC,10.03,10.04,10.03,10.04,4500
2025-06-30,UYSC,10.05,10.06,10.05,10.05,14263
2025-07-01,UYSC,10.045,10.06,10.04,10.04,50694
2025-07-02,UYSC,10.04,10.04,10.04,10.04,0
2025-07-03,UYSC,10.05,10.05,10.05,10.05,199
2025-07-07,UYSC,10.05,10.05,10.05,10.05,0
2025-07-08,UYSC,10.05,10.06,10.05,10.06,77898
2025-07-09,UYSC,10.0527,10.07,10.05,10.07,25182
2025-07-10,UYSC,10.09,10.09,10.09,10.09,102
2025-07-11,UYSC,10.09,10.09,10.04,10.09,2204
2025-07-14,UYSC,10.09,10.09,10.09,10.09,101
2025-07-15,UYSC,10.075,10.09,10.075,10.09,1376
2025-07-16,UYSC,10.09,10.09,10.09,10.09,0
2025-07-17,UYSC,10.09,10.09,10.09,10.09,375
2025-07-18,UYSC,10.0791,10.08,10.0791,10.08,99355
2025-07-21,UYSC,10.0879,10.125,10.0879,10.125,2033
2025-07-22,UYSC,10.085,10.09,10.07,10.08,169152
2025-07-23,UYSC,10.076,10.076,10.076,10.076,199
2025-07-24,UYSC,10.1,10.1,10.1,10.1,8006
2025-07-25,UYSC,10.0723,10.08,10.07,10.08,3730
2025-07-28,UYSC,10.09,10.09,10.08,10.09,64614
2025-07-29,UYSC,10.09,10.09,10.09,10.09,0
2025-07-30,UYSC,10.09,10.09,10.09,10.09,0
2025-07-31,UYSC,10.09,10.09,10.09,10.09,167
2025-08-01,UYSC,10.1,10.1,10.09,10.095,332
2025-08-04,UYSC,10.095,10.095,10.095,10.095,0
2025-08-05,UYSC,10.095,10.095,10.095,10.095,253
2025-08-06,UYSC,10.25,10.25,10.1,10.1,1494
2025-08-07,UYSC,10.13,10.13,10.13,10.13,9822
2025-08-08,UYSC,10.13,10.13,10.13,10.13,41
2025-08-11,UYSC,10.101,10.101,10.1,10.1,1122
2025-08-12,UYSC,10.1,10.1,10.1,10.1,5
2025-08-13,UYSC,10.1,10.1,10.1,10.1,0
2025-08-14,UYSC,10.1,10.1,10.1,10.1,0
2025-08-15,UYSC,10.1,10.1,10.1,10.1,0
2025-08-18,UYSC,10.1,10.1,10.1,10.1,0
2025-08-19,UYSC,10.11,10.11,10.11,10.11,50000
2025-08-20,UYSC,10.11,10.12,10.1,10.1,53503
2025-08-21,UYSC,10.35,10.35,10.13,10.13,4008
2025-08-22,UYSC,10.45,10.45,10.11,10.14,752
2025-08-25,UYSC,10.45,10.45,10.11,10.11,28703
2025-08-26,UYSC,10.17,10.17,10.11,10.11,402
2025-08-27,UYSC,10.2,10.2,10.11,10.11,220
2025-08-28,UYSC,10.11,10.11,10.11,10.11,17188
2025-08-29,UYSC,10.135,10.135,10.135,10.135,761
2025-09-02,UYSC,10.11,10.11,10.11,10.11,1160
2025-09-03,UYSC,10.11,10.11,10.11,10.11,62
2025-09-04,UYSC,10.13,10.13,10.11,10.125,18885
2025-09-05,UYSC,10.125,10.125,10.125,10.125,0
2025-09-08,UYSC,10.125,10.125,10.125,10.125,1
2025-09-09,UYSC,10.125,10.125,10.125,10.125,0
2025-09-10,UYSC,10.13,10.1304,10.125,10.1304,57649
2025-09-11,UYSC,10.19,10.19,10.11,10.11,1191
2025-09-12,UYSC,10.18,10.18,10.12,10.12,748
2025-09-15,UYSC,10.16,10.2,10.13,10.13,4552
2025-09-16,UYSC,10.13,10.13,10.13,10.13,230
2025-09-17,UYSC,10.13,10.13,10.13,10.13,120
2025-09-18,UYSC,10.13,10.13,10.13,10.13,2
2025-09-19,UYSC,10.13,10.13,10.13,10.13,2
2025-09-22,UYSC,10.13,10.13,10.13,10.13,22
2025-09-23,UYSC,10.13,10.13,10.13,10.13,15
2025-09-24,UYSC,10.13,10.13,10.13,10.13,0
2025-09-25,UYSC,10.15,10.15,10.15,10.15,510
2025-09-26,UYSC,10.15,10.15,10.15,10.15,7
2025-09-29,UYSC,10.1451,10.1451,10.1451,10.1451,1524
2025-09-30,UYSC,10.1451,10.1451,10.1451,10.1451,6
2025-10-01,UYSC,10.15,10.15,10.15,10.15,7500
2025-10-02,UYSC,10.15,10.15,10.15,10.15,0
2025-10-03,UYSC,10.15,10.1609,10.15,10.1609,4017
2025-10-06,UYSC,10.15,10.15,10.15,10.15,140
2025-10-07,UYSC,10.15,10.15,10.15,10.15,0
2025-10-08,UYSC,10.15,10.15,10.15,10.15,0
2025-10-09,UYSC,10.15,10.15,10.15,10.15,0
