date,ticker,open,high,low,close,volume
2025-07-21,WTG,10.2,10.2,9.74,10.02,435302
2025-07-22,WTG,10.005,10.005,10.005,10.005,509
2025-07-23,WTG,10.03,10.03,10.0,10.0,105019
2025-07-24,WTG,10.0,10.0,10.0,10.0,234
2025-07-25,WTG,10.01,10.03,10.01,10.03,942
2025-07-28,WTG,10.03,10.03,10.03,10.03,23
2025-07-29,WTG,10.03,10.04,10.03,10.04,198500
2025-07-30,WTG,10.04,10.04,10.0296,10.03,7501
2025-07-31,WTG,10.03,10.03,10.03,10.03,1200
2025-08-01,WTG,10.03,10.03,10.03,10.03,140209
2025-08-04,WTG,10.03,10.03,10.03,10.03,92709
2025-08-05,WTG,10.025,10.03,10.02,10.03,38060
2025-08-06,WTG,10.03,10.03,10.03,10.03,0
2025-08-07,WTG,10.06,10.06,10.025,10.03,35236
2025-08-08,WTG,10.03,10.03,10.03,10.03,1300
2025-08-11,WTG,10.03,10.03,10.03,10.03,0
2025-08-12,WTG,10.04,10.04,10.04,10.04,1000
2025-08-13,WTG,10.04,10.04,10.04,10.04,4
2025-08-14,WTG,10.04,10.04,10.04,10.04,1000
2025-08-15,WTG,10.04,10.06,10.04,10.06,55600
2025-08-18,WTG,10.06,10.06,10.06,10.06,0
2025-08-19,WTG,10.06,10.06,10.06,10.06,0
2025-08-20,WTG,10.06,10.06,10.06,10.06,7
2025-08-21,WTG,10.06,10.06,10.06,10.06,0
2025-08-22,WTG,10.06,10.06,10.06,10.06,0
2025-08-25,WTG,10.06,10.06,10.06,10.06,0
2025-08-26,WTG,10.06,10.06,10.06,10.06,0
2025-08-27,WTG,10.06,10.06,10.06,10.06,0
2025-08-28,WTG,10.06,10.06,10.06,10.06,0
2025-08-29,WTG,10.06,10.06,10.06,10.06,0
2025-09-02,WTG,10.06,10.06,10.06,10.06,1000
2025-09-03,WTG,10.06,10.06,10.06,10.06,28178
2025-09-04,WTG,10.04,10.04,10.04,10.04,250000
2025-09-05,WTG,10.04,10.04,10.04,10.04,1502
2025-09-08,WTG,10.04,10.04,10.04,10.04,1
2025-09-09,WTG,10.04,10.04,10.04,10.04,1
2025-09-10,WTG,10.06,10.06,10.06,10.06,1201
2025-09-11,WTG,10.06,10.06,10.055,10.055,15600
2025-09-12,WTG,10.07,10.07,10.06,10.06,26600
2025-09-15,WTG,10.05,10.05,10.05,10.05,5024
2025-09-16,WTG,10.05,10.05,10.05,10.05,0
2025-09-17,WTG,10.06,10.06,10.055,10.055,24900
2025-09-18,WTG,10.055,10.055,10.055,10.055,0
2025-09-19,WTG,10.06,10.06,10.06,10.06,4755
2025-09-22,WTG,10.06,10.06,10.06,10.06,2009
2025-09-23,WTG,10.06,10.06,10.06,10.06,100
2025-09-24,WTG,10.06,10.06,10.06,10.06,0
2025-09-25,WTG,10.06,10.06,10.06,10.06,5000
2025-09-26,WTG,10.06,10.06,10.06,10.06,2
2025-09-29,WTG,10.06,10.06,10.06,10.06,0
2025-09-30,WTG,10.06,10.06,10.06,10.06,0
2025-10-01,WTG,10.06,10.06,10.06,10.06,0
2025-10-02,WTG,10.06,10.06,10.06,10.06,0
2025-10-03,WTG,10.06,10.06,10.06,10.06,0
2025-10-06,WTG,10.06,10.06,10.06,10.06,0
2025-10-07,WTG,10.06,10.06,10.06,10.06,0
2025-10-08,WTG,10.06,10.06,10.06,10.06,0
2025-10-09,WTG,10.1,10.11,10.095,10.11,10000
2025-10-10,WTG,10.11,10.11,10.11,10.11,0
2025-10-13,WTG,10.11,10.11,10.11,10.11,0
2025-10-14,WTG,10.11,10.11,10.11,10.11,0
2025-10-15,WTG,10.11,10.11,10.11,10.11,0
2025-10-16,WTG,10.11,10.11,10.11,10.11,0
2025-10-17,WTG,10.11,10.11,10.11,10.11,0
2025-10-20,WTG,10.11,10.11,10.11,10.11,0
2025-10-21,WTG,10.11,10.11,10.11,10.11,0
2025-10-22,WTG,10.11,10.11,10.105,10.11,18022
2025-10-23,WTG,10.11,10.11,10.11,10.11,46
2025-10-24,WTG,10.11,10.11,10.11,10.11,4275
2025-10-27,WTG,10.11,10.11,10.11,10.11,1090
2025-10-28,WTG,10.1,10.1,10.1,10.1,11202
2025-10-29,WTG,10.1,10.1,10.1,10.1,0
2025-10-30,WTG,10.1,10.1,10.1,10.1,0
2025-10-31,WTG,10.1,10.1,10.1,10.1,0
2025-11-03,WTG,10.1,10.1,10.1,10.1,3
2025-11-04,WTG,10.11,10.11,10.105,10.11,6900
2025-11-05,WTG,10.11,10.11,10.11,10.11,2805
2025-11-06,WTG,10.11,10.11,10.11,10.11,1
2025-11-07,WTG,10.11,10.11,10.1048,10.11,5000
2025-11-10,WTG,10.11,10.11,10.11,10.11,307
2025-11-11,WTG,10.11,10.11,10.11,10.11,4000
2025-11-12,WTG,10.11,10.11,10.11,10.11,0
2025-11-13,WTG,10.11,10.12,10.11,10.12,51600
2025-11-14,WTG,10.12,10.12,10.12,10.12,0
2025-11-17,WTG,10.12,10.12,10.12,10.12,1
2025-11-18,WTG,10.14,10.15,10.1254,10.15,1428
2025-11-19,WTG,10.15,10.15,10.15,10.15,2971
2025-11-20,WTG,10.12,10.12,10.12,10.12,101
2025-11-21,WTG,10.12,10.12,10.12,10.12,35
2025-11-24,WTG,10.12,10.12,10.12,10.12,0
2025-11-25,WTG,10.12,10.12,10.12,10.12,2967
2025-11-26,WTG,10.12,10.12,10.12,10.12,0
2025-11-28,WTG,10.12,10.12,10.12,10.12,13
2025-12-01,WTG,10.12,10.12,10.12,10.12,101
2025-12-02,WTG,10.12,10.12,10.12,10.12,97
2025-12-03,WTG,10.12,10.12,10.12,10.12,9
2025-12-04,WTG,10.15,10.15,10.12,10.12,5561
2025-12-05,WTG,10.12,10.12,10.12,10.12,23561
2025-12-08,WTG,10.15,10.15,10.1363,10.1363,235
2025-12-09,WTG,10.1497,10.17,10.1401,10.1699,5349
2025-12-10,WTG,10.1699,10.2,10.131,10.1701,32247
2025-12-11,WTG,10.18,10.18,10.15,10.16,25846
2025-12-12,WTG,10.15,10.15,10.15,10.15,287
2025-12-15,WTG,10.1501,10.1501,10.1501,10.1501,471
2025-12-16,WTG,10.1501,10.1501,10.1501,10.1501,0
2025-12-17,WTG,10.1512,10.1512,10.1512,10.1512,1026
2025-12-18,WTG,10.15,10.19,10.15,10.189,1277
2025-12-19,WTG,10.15,10.1699,10.15,10.1699,5657
2025-12-22,WTG,10.1601,10.1601,10.16,10.1601,534
2025-12-23,WTG,10.16,10.19,10.16,10.19,609
2025-12-24,WTG,10.19,10.19,10.19,10.19,56
2025-12-26,WTG,10.19,10.19,10.19,10.19,48
2025-12-29,WTG,10.19,10.19,10.19,10.19,87
2025-12-30,WTG,10.189,10.19,10.189,10.19,1184
2025-12-31,WTG,10.19,10.19,10.19,10.19,24
