date,ticker,open,high,low,close,volume
2024-11-08,YHNA,10.01,10.05,9.99,10.01,28489
2024-11-11,YHNA,10.01,10.01,10.0,10.01,751996
2024-11-12,YHNA,10.0,10.0,10.0,10.0,137
2024-11-13,YHNA,10.0,10.01,10.0,10.0,415817
2024-11-14,YHNA,10.0,10.0,9.99,9.9999,87893
2024-11-15,YHNA,9.9999,9.9999,9.9999,9.9999,14
2024-11-18,YHNA,10.0,10.0,9.99,9.99,51055
2024-11-19,YHNA,10.0,10.01,10.0,10.0,360809
2024-11-20,YHNA,10.0,10.0,10.0,10.0,108
2024-11-21,YHNA,10.01,10.01,10.0,10.01,119193
2024-11-22,YHNA,10.0,10.0,10.0,10.0,185256
2024-11-25,YHNA,10.01,10.01,10.0,10.01,270927
2024-11-26,YHNA,10.01,10.01,10.0,10.01,8264
2024-11-27,YHNA,10.02,10.03,10.01,10.01,512383
2024-11-29,YHNA,10.02,10.03,10.01,10.03,14321
2024-12-02,YHNA,10.02,10.03,10.02,10.025,277821
2024-12-03,YHNA,10.02,10.025,10.02,10.02,83820
2024-12-04,YHNA,10.02,10.025,10.0199,10.02,254362
2024-12-05,YHNA,10.02,10.02,10.02,10.02,320
2024-12-06,YHNA,10.02,10.02,10.02,10.02,200
2024-12-09,YHNA,10.03,10.03,10.03,10.03,1817
2024-12-10,YHNA,10.03,10.03,10.03,10.03,842
2024-12-11,YHNA,10.03,10.03,10.03,10.03,3890
2024-12-12,YHNA,10.0307,10.0307,10.0307,10.0307,675
2024-12-13,YHNA,10.0307,10.0307,10.0307,10.0307,0
2024-12-16,YHNA,10.03,10.035,10.03,10.03,30519
2024-12-17,YHNA,10.03,10.04,10.03,10.04,16501
2024-12-18,YHNA,10.04,10.045,10.04,10.045,111000
2024-12-19,YHNA,10.05,10.05,10.04,10.04,100200
2024-12-20,YHNA,10.04,10.05,10.04,10.04,32957
2024-12-23,YHNA,10.04,10.04,10.04,10.04,57395
2024-12-24,YHNA,10.04,10.04,10.04,10.04,0
2024-12-26,YHNA,10.04,10.04,10.04,10.04,0
2024-12-27,YHNA,10.04,10.05,10.04,10.0499,116457
2024-12-30,YHNA,10.05,10.055,10.0499,10.05,10090
2024-12-31,YHNA,10.06,10.06,10.06,10.06,1000
2025-01-02,YHNA,10.06,10.06,10.06,10.06,114279
2025-01-03,YHNA,10.05,10.05,10.05,10.05,13351
2025-01-06,YHNA,10.06,10.06,10.06,10.06,25000
2025-01-07,YHNA,10.07,10.07,10.07,10.07,975
2025-01-08,YHNA,10.065,10.065,10.06,10.06,5604
2025-01-10,YHNA,10.06,10.065,10.06,10.065,96616
2025-01-13,YHNA,10.0641,10.075,10.0641,10.07,110495
2025-01-14,YHNA,10.07,10.07,10.07,10.07,33674
2025-01-15,YHNA,10.07,10.07,10.07,10.07,14
2025-01-16,YHNA,10.08,10.08,10.08,10.08,51208
2025-01-17,YHNA,10.07,10.07,10.07,10.07,1004
2025-01-21,YHNA,10.07,10.07,10.07,10.07,326
2025-01-22,YHNA,10.0622,10.08,10.0622,10.08,1116
2025-01-23,YHNA,10.08,10.08,10.08,10.08,0
2025-01-24,YHNA,10.08,10.08,10.08,10.08,0
2025-01-27,YHNA,10.09,10.1,10.09,10.09,305249
2025-01-28,YHNA,10.27,10.27,10.11,10.11,2026
2025-01-29,YHNA,10.11,10.11,10.11,10.11,1180
2025-01-30,YHNA,10.11,10.12,10.11,10.12,2631
2025-01-31,YHNA,10.12,10.12,10.12,10.12,336
2025-02-03,YHNA,10.12,10.12,10.12,10.12,78
2025-02-04,YHNA,10.12,10.12,10.12,10.12,83
2025-02-05,YHNA,10.12,10.12,10.12,10.12,6
2025-02-06,YHNA,10.11,10.11,10.11,10.11,552
2025-02-07,YHNA,10.11,10.11,10.11,10.11,6
2025-02-10,YHNA,10.09,10.11,10.09,10.11,25610
2025-02-11,YHNA,10.11,10.11,10.1,10.1,2648
2025-02-12,YHNA,10.11,10.12,10.11,10.12,4838
2025-02-13,YHNA,10.11,10.11,10.11,10.11,800
2025-02-14,YHNA,10.11,10.11,10.11,10.11,782
2025-02-18,YHNA,10.11,10.11,10.11,10.11,309
2025-02-19,YHNA,10.1201,10.1201,10.11,10.11,1931
